date,open,high,low,close,volume
2016-09-15,18.41,18.47,18.33,18.40,9973960
2016-09-16,18.29,18.36,18.16,18.18,16700947
2016-09-19,18.20,18.40,18.20,18.36,9823735
2016-09-20,18.43,18.55,18.30,18.34,11094354
2016-09-21,18.67,18.67,18.33,18.64,14615873
2016-09-22,18.70,19.04,18.64,18.91,19277300
2016-09-23,18.79,18.90,18.64,18.78,11328204
2016-09-26,18.74,18.91,18.67,18.80,12483189
2016-09-27,18.89,19.04,18.79,18.97,13284473
2016-09-28,18.96,18.97,18.75,18.80,10137250
2016-09-29,18.81,18.91,18.58,18.59,10165210
2016-09-30,18.66,18.75,18.59,18.67,7747886
2016-10-03,18.63,18.67,18.39,18.41,11867604
2016-10-04,18.42,18.53,18.24,18.29,9990820
2016-10-05,18.36,18.44,18.31,18.32,8161721
2016-10-06,18.30,18.52,18.21,18.50,7814651
2016-10-07,18.57,18.57,18.31,18.36,7582931
2016-10-10,18.39,18.57,18.38,18.52,4781578
2016-10-11,18.48,18.48,18.28,18.31,8591276
2016-10-12,18.26,18.46,18.26,18.42,9582040
2016-10-13,18.35,18.60,18.30,18.59,9129490
2016-10-14,18.67,18.88,18.61,18.62,7819226
2016-10-17,18.60,18.69,18.52,18.53,12308784
2016-10-18,18.66,18.74,18.42,18.54,7650701
2016-10-19,18.40,18.77,18.24,18.54,13530488
2016-10-20,18.49,18.65,18.24,18.26,11005959
2016-10-21,18.19,18.42,18.12,18.37,9975955
2016-10-24,18.53,18.64,18.48,18.62,9342925
2016-10-25,18.54,18.69,18.48,18.68,10882840
2016-10-26,18.66,18.66,18.46,18.48,14440403
2016-10-27,18.00,18.23,16.77,16.87,50461220
2016-10-28,16.87,17.62,16.87,17.57,40887835
2016-10-31,17.58,17.68,17.42,17.63,20678195
2016-11-01,17.59,17.73,17.50,17.62,15828472
2016-11-02,17.61,17.73,17.50,17.51,12131424
2016-11-03,17.51,17.63,17.41,17.46,10785385
2016-11-04,17.31,17.60,17.31,17.41,15960532
2016-11-07,17.65,17.66,17.27,17.31,19872650
2016-11-08,17.29,17.46,17.22,17.31,15582367
2016-11-09,16.95,17.68,16.67,17.61,16646662
2016-11-10,17.60,17.76,17.41,17.50,14148578
2016-11-11,17.43,17.63,17.40,17.52,14511488
2016-11-14,17.54,17.61,17.40,17.48,22843939
2016-11-15,17.86,17.95,17.56,17.87,17892291
2016-11-16,17.81,18.00,17.70,17.99,13014518
2016-11-17,17.89,18.15,17.86,18.07,12632664
2016-11-18,17.98,18.15,17.66,17.72,13733393
2016-11-21,17.72,18.04,17.70,18.00,12183174
2016-11-22,18.11,18.34,18.00,18.33,12190764
2016-11-23,18.35,18.51,18.23,18.36,12029274
2016-11-25,18.33,18.60,18.33,18.44,4862923
2016-11-28,18.45,18.62,18.29,18.31,8998976
2016-11-29,18.31,18.55,18.29,18.36,8428196
