date,open,high,low,close,volume
2026-03-12,19.00,19.29,17.00,18.16,12338760
2026-03-13,21.00,21.98,19.81,21.14,14116770
2026-03-16,21.73,21.76,19.11,19.35,6386445
2026-03-17,19.50,20.50,19.38,19.79,4512669
2026-03-18,19.98,19.98,17.80,18.46,3905025
2026-03-19,18.50,20.50,18.00,20.45,3803943
2026-03-20,20.45,20.45,19.50,19.90,1462441
2026-03-23,20.00,24.89,19.60,24.11,5043307
2026-03-24,23.96,24.00,22.06,22.51,2292181
2026-03-25,23.77,24.80,23.09,24.56,2394003
2026-03-26,24.73,24.73,22.70,22.71,1987294
2026-03-27,23.06,24.18,22.69,23.04,2360823
2026-03-30,23.29,23.49,19.85,20.66,2587002
2026-03-31,21.32,21.98,20.18,21.34,2558939
2026-04-01,21.60,21.60,20.40,21.13,2960730
2026-04-02,20.31,21.16,19.88,21.02,1870961
2026-04-06,21.00,21.01,18.82,18.84,2824583
2026-04-07,19.26,20.17,19.00,20.10,1626293
2026-04-08,21.00,21.11,20.00,20.36,1639385
2026-04-09,20.25,21.20,20.20,21.16,1065835
2026-04-10,21.12,21.12,20.06,20.10,694958
2026-04-13,20.18,20.60,20.01,20.50,791135
2026-04-14,20.50,22.39,20.36,22.19,1374398
2026-04-15,22.20,22.83,21.25,21.56,1208688
2026-04-16,21.68,22.34,20.65,20.85,1008238
2026-04-17,21.00,21.71,20.36,21.60,938255
2026-04-20,21.41,21.41,20.32,20.91,910724
2026-04-21,20.95,21.10,19.51,19.56,1454625
2026-04-22,20.00,20.59,20.00,20.41,884404
2026-04-23,20.40,20.54,19.77,20.23,1008241
2026-04-24,20.27,20.80,20.01,20.02,754765
2026-04-27,20.00,20.48,19.75,20.23,1087364
2026-04-28,19.89,20.30,19.84,20.27,452761
2026-04-29,20.12,20.66,19.85,20.16,902717
2026-04-30,20.12,22.16,20.03,22.14,1341260
2026-05-01,21.92,22.60,21.52,21.87,930139
2026-05-04,21.87,22.16,21.06,21.18,549764
2026-05-05,21.19,21.35,20.25,21.29,456966
2026-05-06,21.14,21.41,20.75,21.36,514826
2026-05-07,21.50,23.39,19.10,19.27,2434112
2026-05-08,20.45,20.45,19.37,19.61,1295841
2026-05-11,19.50,19.54,18.70,19.21,1193412
2026-05-12,19.24,20.48,18.92,20.34,1211436
2026-05-13,19.84,20.48,19.68,19.69,557022
2026-05-14,19.69,19.99,19.20,19.78,940777
2026-05-15,19.63,19.63,19.22,19.29,425937
2026-05-18,19.30,19.41,18.98,19.30,432248
2026-05-19,19.20,19.32,18.92,19.13,440115
2026-05-20,19.09,19.90,19.02,19.76,560807
2026-05-21,19.36,19.66,19.27,19.41,390100
2026-05-22,19.16,19.55,19.05,19.11,779822
2026-05-26,19.15,19.67,19.08,19.61,612028
2026-05-27,19.30,19.69,19.25,19.32,600447
2026-05-28,19.19,20.00,19.10,19.73,763020
2026-05-29,19.36,19.71,19.26,19.52,472680
2026-06-01,19.23,19.41,18.57,18.61,768795
