date,open,high,low,close,volume
2021-01-04,69.38,70.11,67.78,68.83,429531
2021-01-05,68.86,69.35,68.21,68.69,464232
2021-01-06,70.00,73.13,70.00,72.41,700565
2021-01-07,72.00,72.87,71.29,71.48,487071
2021-01-08,72.08,72.08,69.63,70.89,452261
2021-01-11,70.29,72.19,69.75,71.98,391303
2021-01-12,72.56,73.47,71.70,71.76,486211
2021-01-13,71.50,71.50,70.00,70.38,327729
2021-01-14,71.38,71.38,70.14,70.35,395982
2021-01-15,69.36,69.98,68.62,69.53,364640
2021-01-19,69.97,70.59,69.44,70.35,369863
2021-01-20,70.35,71.08,69.69,71.01,386247
2021-01-21,71.01,71.01,68.96,69.21,333538
2021-01-22,68.69,70.31,68.60,70.25,339866
2021-01-25,69.70,69.97,68.71,69.75,512157
2021-01-26,70.39,70.50,68.36,68.47,394229
2021-01-27,67.87,70.85,67.52,68.31,630186
2021-01-28,69.20,69.20,67.06,68.14,509337
2021-01-29,68.03,69.24,66.99,67.44,1371440
2021-02-01,68.06,68.49,66.45,68.40,406622
2021-02-02,68.97,69.61,68.14,68.45,496024
2021-02-03,68.03,68.57,66.89,68.22,297683
2021-02-04,68.25,69.67,68.25,69.48,391410
2021-02-05,69.93,69.93,68.78,69.24,314617
2021-02-08,69.80,70.42,69.24,70.42,368791
2021-02-09,70.20,71.42,70.14,71.32,297354
2021-02-10,71.63,72.23,70.89,71.39,328465
2021-02-11,71.29,71.93,70.37,70.73,358446
2021-02-12,70.36,71.39,70.07,71.33,293171
2021-02-16,72.00,72.97,71.52,72.65,338443
2021-02-17,72.52,73.13,71.67,71.87,385599
2021-02-18,71.41,72.01,71.10,71.77,362566
2021-02-19,72.32,73.44,72.14,73.17,388540
2021-02-22,73.05,74.49,73.03,74.31,591044
2021-02-23,74.70,75.62,74.24,75.41,636550
2021-02-24,75.73,76.64,75.08,76.05,442535
2021-02-25,76.83,77.17,74.18,74.18,315009
2021-02-26,73.83,74.58,72.81,73.47,422872
2021-03-01,74.51,75.48,73.99,75.33,351751
2021-03-02,75.05,75.33,73.40,73.42,383015
2021-03-03,73.97,76.19,73.97,75.44,538199
2021-03-04,75.48,76.76,74.19,74.88,436480
2021-03-05,76.32,77.38,74.78,77.22,491247
