date,open,high,low,close,volume
2016-09-15,37.83,38.07,37.56,37.95,4128081
2016-09-16,37.72,37.97,37.35,37.71,4818493
2016-09-19,37.97,38.22,37.70,37.79,2514235
2016-09-20,38.08,38.34,37.93,38.19,4892169
2016-09-21,38.27,38.61,38.17,38.52,3120753
2016-09-22,38.89,39.18,38.67,38.97,2456164
2016-09-23,38.95,39.10,38.07,38.62,2156115
2016-09-26,38.38,38.55,38.09,38.13,1997883
2016-09-27,38.07,38.29,37.85,38.25,2252098
2016-09-28,38.33,39.03,38.33,39.01,1877805
2016-09-29,38.92,39.25,38.53,38.59,2136913
2016-09-30,38.93,39.53,38.66,39.19,3250053
2016-10-03,38.99,39.28,38.91,39.18,1477216
2016-10-04,39.17,39.89,39.12,39.39,2882095
2016-10-05,39.49,40.00,39.13,39.88,1823737
2016-10-06,39.87,39.89,39.57,39.84,1626259
2016-10-07,39.97,40.14,39.16,39.35,2345823
2016-10-10,39.57,39.67,38.95,39.01,1720590
2016-10-11,38.96,39.07,38.11,38.29,3275359
2016-10-12,38.23,38.70,37.72,38.30,3425526
2016-10-13,37.89,38.01,37.53,37.79,2290224
2016-10-14,38.03,38.27,37.79,37.88,1626198
2016-10-17,37.93,38.13,37.83,37.87,1479192
2016-10-18,38.31,38.47,37.86,37.95,2279092
2016-10-19,37.63,38.12,37.57,37.97,2128089
2016-10-20,37.96,37.96,37.29,37.75,2355247
2016-10-21,37.29,37.79,36.88,37.66,3086967
2016-10-24,37.92,38.36,37.55,37.56,3409560
2016-10-25,36.67,37.85,36.17,36.53,7050748
2016-10-26,36.37,37.00,36.03,36.84,4064349
2016-10-27,36.95,37.04,36.35,36.85,3195996
2016-10-28,36.89,37.21,36.74,36.93,3926695
2016-10-31,37.07,37.23,36.59,36.61,3709225
2016-11-01,36.69,37.03,36.07,36.40,2459829
2016-11-02,36.39,36.77,36.23,36.35,3311595
2016-11-03,36.41,36.63,36.00,36.09,3034264
2016-11-04,35.75,36.77,35.75,36.35,3425200
2016-11-07,36.96,37.26,36.78,37.17,2701321
2016-11-08,37.11,37.25,36.54,37.04,2445445
2016-11-09,35.59,38.83,35.59,38.64,4124872
2016-11-10,38.75,40.27,38.75,40.22,6559420
2016-11-11,39.93,40.29,38.92,39.45,3692053
2016-11-14,39.55,39.93,39.15,39.70,3293668
2016-11-15,39.65,40.46,39.46,40.42,3424918
2016-11-16,40.26,40.27,39.86,40.20,2714187
2016-11-17,39.99,40.25,39.91,40.01,2301288
2016-11-18,39.87,40.08,39.74,39.85,2049718
2016-11-21,40.03,40.35,39.93,40.09,1862247
2016-11-22,40.25,40.56,40.10,40.50,2304253
2016-11-23,40.61,41.48,40.42,41.32,2939902
2016-11-25,41.46,41.46,40.92,41.33,1075504
2016-11-28,41.25,41.33,40.62,40.67,2227773
2016-11-29,40.62,40.97,40.33,40.85,2931252
2016-11-30,41.13,41.75,40.90,41.43,3319656
2016-12-01,39.19,42.20,39.19,42.03,3316392
2016-12-02,41.85,42.21,41.39,42.07,2695828
2016-12-05,42.61,43.67,42.43,43.61,5581482
2016-12-06,43.40,43.67,42.69,42.95,5367895
2016-12-07,43.14,45.31,42.83,45.09,5486728
2016-12-08,44.95,45.61,44.69,45.38,4640136
2016-12-09,45.67,45.67,44.71,45.12,5729034
2016-12-12,45.11,45.35,44.50,44.73,2873355
2016-12-13,44.96,45.16,44.52,44.78,3587470
2016-12-14,44.25,44.60,43.67,43.81,2624382
2016-12-15,43.81,44.17,43.42,43.58,4290832
2016-12-16,43.77,43.96,43.33,43.40,4812993
2016-12-19,43.29,43.87,43.20,43.47,2119618
2016-12-20,43.51,43.89,43.34,43.80,2561947
2016-12-21,43.79,44.01,43.43,43.57,2254588
2016-12-22,43.57,43.58,43.18,43.43,1570348
2016-12-23,43.45,43.89,43.34,43.62,1711281
2016-12-27,43.69,44.01,43.57,43.75,784116
2016-12-28,43.91,43.98,43.21,43.31,1777336
2016-12-29,43.31,43.53,42.88,42.91,1700337
2016-12-30,43.03,43.31,42.51,42.60,3184834
2017-01-03,43.08,43.95,43.07,43.55,3173692
2017-01-04,43.80,44.26,43.77,44.15,3672645
2017-01-05,43.93,44.15,43.31,43.43,2487375
2017-01-06,43.70,44.23,43.30,43.92,2611552
2017-01-09,43.83,43.99,43.17,43.38,2225532
2017-01-10,43.51,44.21,43.41,44.17,3052812
2017-01-11,44.17,44.55,44.01,44.53,2403036
2017-01-12,44.53,44.53,43.79,44.22,2220949
2017-01-13,44.71,45.10,44.52,45.01,2269158
2017-01-17,44.67,44.97,44.41,44.61,1857832
2017-01-18,44.60,44.61,44.12,44.21,3680830
2017-01-19,44.36,44.47,43.65,43.83,3102301
