date,open,high,low,close,volume
2021-01-04,51.84,52.16,51.29,51.56,813106
2021-01-05,51.03,51.31,50.75,51.25,513753
2021-01-06,51.03,52.00,51.01,51.60,389912
2021-01-07,50.76,50.97,50.37,50.61,500290
2021-01-08,51.36,51.87,51.19,51.86,598836
2021-01-11,50.74,50.96,50.59,50.73,641748
2021-01-12,50.34,50.38,49.78,50.20,642113
2021-01-13,49.99,50.21,49.91,49.97,325883
2021-01-14,50.13,50.46,50.02,50.04,347225
2021-01-15,50.34,50.61,49.95,50.19,512082
2021-01-19,51.00,51.00,50.26,50.56,419528
2021-01-20,50.36,50.61,50.24,50.53,331071
2021-01-21,50.99,51.33,50.80,51.28,415277
2021-01-22,51.31,51.55,51.08,51.43,479344
2021-01-25,52.10,52.80,51.95,52.77,803452
2021-01-26,52.51,53.76,52.40,53.59,731734
2021-01-27,52.50,52.86,52.09,52.27,798385
2021-01-28,51.79,52.22,51.76,51.92,531847
2021-01-29,51.00,51.26,50.24,50.25,586693
2021-02-01,51.86,52.26,51.73,52.05,631420
2021-02-02,52.43,52.64,52.19,52.56,461796
2021-02-03,52.33,52.42,51.87,52.19,451697
2021-02-04,52.31,52.58,52.14,52.55,285759
2021-02-05,52.62,52.65,52.38,52.63,272188
2021-02-08,52.49,52.53,52.08,52.20,304622
2021-02-09,52.26,52.87,52.24,52.85,272482
2021-02-10,52.97,53.09,52.48,52.55,312101
2021-02-11,52.95,53.17,52.82,53.10,294723
2021-02-12,53.50,54.07,53.49,53.99,281319
2021-02-16,53.86,53.88,53.29,53.30,345833
2021-02-17,52.83,53.12,52.71,53.02,359974
2021-02-18,52.63,52.70,52.32,52.61,321916
2021-02-19,52.83,52.86,52.18,52.25,694603
2021-02-22,52.51,52.78,52.22,52.23,551187
2021-02-23,52.44,52.63,51.64,52.45,577071
2021-02-24,51.56,52.23,51.33,52.17,426230
2021-02-25,51.86,52.00,50.86,51.09,474409
2021-02-26,50.89,50.93,50.11,50.35,575550
2021-03-01,50.83,51.26,50.75,50.96,1078003
2021-03-02,51.08,51.26,50.95,51.09,1038622
2021-03-03,50.25,50.34,49.80,49.89,503686
2021-03-04,50.45,50.60,49.40,49.61,958097
2021-03-05,50.16,50.23,49.59,50.16,928556
2021-03-08,49.66,50.10,49.55,49.64,641336
2021-03-09,50.51,50.95,50.51,50.80,401352
2021-03-10,52.53,52.64,52.16,52.35,490386
2021-03-11,52.22,52.60,51.95,52.56,325547
2021-03-12,51.95,52.20,51.77,52.17,313419
2021-03-15,52.14,52.34,51.94,52.00,329712
2021-03-16,52.07,52.32,51.93,52.23,418617
2021-03-17,52.13,52.24,51.74,52.10,249583
2021-03-18,52.39,52.52,51.81,51.83,414528
2021-03-19,52.37,52.99,52.16,52.84,488452
2021-03-22,52.76,53.25,52.73,53.14,293054
2021-03-23,53.44,53.51,52.58,52.63,726609
2021-03-24,52.07,52.07,51.61,51.71,509371
2021-03-25,52.43,52.90,52.19,52.86,1001442
2021-03-26,52.36,52.93,52.16,52.88,420762
2021-03-29,52.46,52.79,52.44,52.65,316460
2021-03-30,52.48,52.67,52.33,52.52,340711
2021-03-31,52.93,53.26,52.79,52.79,576488
2021-04-01,53.40,53.95,53.28,53.87,674462
2021-04-05,54.33,54.83,54.15,54.70,405681
2021-04-06,53.88,54.40,53.82,54.13,487201
2021-04-07,54.34,54.65,54.23,54.52,718488
2021-04-08,55.49,56.10,55.47,55.76,1050040
2021-04-09,55.84,56.15,55.79,56.09,441161
2021-04-12,55.47,55.69,55.44,55.44,451746
2021-04-13,55.46,55.99,55.46,55.96,319046
2021-04-14,55.67,55.76,55.25,55.39,443270
2021-04-15,55.68,56.34,55.68,56.20,535601
2021-04-16,56.07,56.39,56.06,56.31,479370
2021-04-19,56.44,56.44,56.10,56.12,496670
2021-04-20,55.58,55.71,55.10,55.44,516159
2021-04-21,55.54,56.20,55.51,56.15,972445
2021-04-22,55.74,56.39,55.58,56.21,1797893
2021-04-23,55.86,56.68,55.83,56.56,1056975
2021-04-26,54.53,54.61,54.00,54.41,1283837
2021-04-27,53.12,53.57,52.79,52.97,1359333
2021-04-28,52.81,53.06,52.63,52.77,743612
2021-04-29,53.21,53.23,52.50,52.73,563259
2021-04-30,52.37,52.51,52.20,52.43,1428806
2021-05-03,53.33,53.42,53.05,53.09,900520
2021-05-04,52.28,52.48,51.87,52.15,596878
