date,open,high,low,close,volume
2021-01-04,138.41,139.47,134.84,135.75,610527
2021-01-05,136.56,138.27,135.26,137.15,999849
2021-01-06,138.03,145.59,138.03,144.52,872445
2021-01-07,144.69,146.00,144.01,144.95,927794
2021-01-08,145.45,146.57,143.13,144.78,740850
2021-01-11,143.21,146.99,142.07,145.83,713865
2021-01-12,143.70,148.14,143.54,147.23,565637
2021-01-13,145.75,146.28,142.21,143.65,863826
2021-01-14,143.88,144.55,142.60,143.00,985804
2021-01-15,141.47,143.71,140.23,142.53,586631
2021-01-19,143.95,144.30,139.50,139.68,663177
2021-01-20,140.73,141.01,138.71,140.47,576875
2021-01-21,139.98,141.60,139.98,140.55,404045
2021-01-22,140.10,141.11,139.00,140.40,375645
2021-01-25,140.55,142.64,140.01,140.92,750135
2021-01-26,141.63,141.90,139.82,139.84,352417
2021-01-27,138.41,140.12,135.03,135.87,650487
2021-01-28,135.88,137.44,129.12,131.71,1174421
2021-01-29,130.60,135.09,128.94,134.46,1379612
2021-02-01,135.54,136.13,132.70,134.65,975540
2021-02-02,136.14,137.66,135.08,135.56,537292
2021-02-03,135.66,136.52,134.41,135.64,522909
2021-02-04,135.88,136.29,132.23,132.33,1006272
2021-02-05,133.35,134.02,132.15,133.30,857635
2021-02-08,133.95,135.18,132.65,133.03,737819
2021-02-09,133.44,133.88,131.67,131.94,829414
2021-02-10,132.98,134.12,132.52,133.79,716291
2021-02-11,133.99,134.49,130.37,131.17,768588
2021-02-12,131.04,133.92,131.04,133.18,562984
2021-02-16,133.45,133.56,131.50,133.04,638371
2021-02-17,132.75,133.74,131.94,133.42,445238
2021-02-18,132.78,133.50,132.41,132.68,382933
2021-02-19,132.90,134.84,132.23,134.08,386392
2021-02-22,133.26,135.08,133.06,134.32,451847
2021-02-23,134.66,134.80,132.86,133.54,595806
2021-02-24,133.42,133.97,131.62,133.43,659098
2021-02-25,133.43,134.61,132.81,133.57,477463
2021-02-26,132.86,133.72,131.50,132.02,803601
2021-03-01,133.25,136.50,133.25,135.89,618527
2021-03-02,136.20,137.29,135.20,136.41,706294
2021-03-03,136.42,137.97,135.53,136.51,443838
2021-03-04,136.46,137.15,131.75,134.21,549498
2021-03-05,135.30,135.86,132.16,134.95,923141
2021-03-08,135.50,140.25,134.94,138.43,818483
2021-03-09,138.24,141.07,137.26,140.00,471381
2021-03-10,139.80,142.56,139.80,140.83,474849
2021-03-11,140.64,141.54,139.21,139.96,714877
2021-03-12,139.78,140.17,136.99,137.22,762827
2021-03-15,136.66,136.66,132.92,134.74,1005181
2021-03-16,134.18,135.11,131.79,133.50,593431
2021-03-17,133.92,135.01,133.49,134.88,798852
2021-03-18,135.60,136.17,133.99,133.99,653337
2021-03-19,134.50,134.50,130.60,131.02,1661407
2021-03-22,128.08,130.71,127.06,130.45,676500
2021-03-23,130.58,132.94,128.35,128.93,607729
2021-03-24,129.05,131.91,129.05,129.89,467751
2021-03-25,130.10,134.23,129.31,133.79,596649
2021-03-26,134.24,135.72,133.28,135.52,428606
2021-03-29,134.61,136.41,134.49,135.84,451385
2021-03-30,135.62,136.32,135.07,135.45,254914
2021-03-31,135.12,136.14,133.79,134.48,494582
2021-04-01,134.59,136.20,133.45,135.57,497220
2021-04-05,137.35,138.03,136.54,137.46,650976
2021-04-06,137.39,139.85,136.79,139.46,928419
2021-04-07,140.00,140.61,138.01,138.05,522383
2021-04-08,137.22,137.65,135.39,136.24,724468
2021-04-09,137.00,137.93,135.61,137.84,429736
2021-04-12,138.01,139.33,138.00,139.10,381625
2021-04-13,139.09,139.64,136.52,137.32,333903
2021-04-14,136.94,137.66,136.27,137.56,348640
2021-04-15,138.11,140.38,137.91,139.55,574258
2021-04-16,140.61,141.43,138.88,140.36,497837
2021-04-19,142.21,142.45,139.25,141.12,554779
2021-04-20,141.17,141.89,139.89,140.81,391576
2021-04-21,140.83,142.39,140.74,142.25,289736
2021-04-22,142.65,142.86,140.55,140.69,575740
2021-04-23,141.29,142.69,140.69,142.33,281508
2021-04-26,143.02,143.60,141.88,143.15,465354
2021-04-27,142.00,147.17,141.20,144.77,593959
2021-04-28,145.96,147.03,144.94,145.37,598983
2021-04-29,146.51,150.07,146.51,150.01,619029
2021-04-30,149.52,150.22,147.25,147.65,550600
2021-05-03,148.64,150.32,147.89,149.47,342156
2021-05-04,149.60,151.98,149.60,151.88,545113
2021-05-05,151.88,153.13,150.58,152.17,417901
2021-05-06,153.08,153.38,151.21,153.24,338359
2021-05-07,152.22,153.56,151.72,153.16,224299
2021-05-10,154.20,156.54,154.06,154.56,370325
2021-05-11,154.63,156.03,153.27,154.85,469137
2021-05-12,155.16,155.40,151.34,151.56,359665
2021-05-13,150.81,155.89,150.38,155.05,254544
2021-05-14,155.19,155.72,153.72,154.25,299062
2021-05-17,154.60,156.44,153.89,155.13,338190
2021-05-18,153.81,154.27,152.03,152.21,400387
2021-05-19,151.51,151.51,149.38,150.77,290822
2021-05-20,150.29,151.09,149.26,149.39,370713
2021-05-21,149.92,151.23,149.61,150.16,399904
2021-05-24,151.18,151.91,150.55,151.50,352067
2021-05-25,151.58,152.16,148.86,149.19,369452
2021-05-26,148.90,149.54,147.55,148.73,462094
2021-05-27,149.83,150.41,148.37,149.39,1184891
2021-05-28,149.48,150.25,148.07,148.65,382261
2021-06-01,150.00,150.62,148.89,149.79,431308
2021-06-02,149.24,149.33,145.61,146.44,1256947
2021-06-03,146.09,146.52,145.33,146.08,916082
2021-06-04,147.00,147.41,145.95,146.76,583832
2021-06-07,147.30,147.30,144.09,144.32,680268
2021-06-08,144.27,145.00,143.47,144.27,902992
2021-06-09,143.84,144.65,142.92,142.99,706921
2021-06-10,144.25,144.25,142.56,142.62,484390
2021-06-11,143.28,144.07,142.48,143.85,1260107
2021-06-14,142.97,143.25,138.44,138.86,857623
2021-06-15,139.81,140.62,138.54,139.94,877050
2021-06-16,139.62,139.67,138.26,138.62,981188
2021-06-17,138.92,138.98,133.36,133.81,830494
2021-06-18,132.16,133.24,131.66,132.75,1104230
2021-06-21,134.18,136.24,134.18,135.33,445178
2021-06-22,135.26,136.03,134.55,135.32,340819
2021-06-23,135.45,135.57,134.07,134.60,344463
2021-06-24,135.00,135.38,133.61,133.80,541626
2021-06-25,133.96,136.21,133.96,135.26,590590
2021-06-28,135.21,135.68,133.94,135.59,434131
2021-06-29,136.03,137.18,134.63,135.07,474797
2021-06-30,134.53,135.82,134.23,135.42,474851
2021-07-01,136.05,137.16,135.07,136.54,414418
2021-07-02,136.75,136.94,135.23,136.65,518236
2021-07-06,136.58,136.76,134.38,135.72,566605
2021-07-07,135.09,138.22,135.09,137.62,508261
2021-07-08,135.91,137.23,135.02,136.13,661364
2021-07-09,138.22,138.73,137.44,138.63,422285
2021-07-12,137.28,139.24,136.20,138.91,648021
2021-07-13,139.08,139.62,137.23,137.49,480549
2021-07-14,137.49,138.66,137.01,137.16,429499
2021-07-15,136.82,138.04,136.24,136.72,708479
2021-07-16,137.29,137.49,134.60,134.92,490789
2021-07-19,132.98,134.04,130.65,132.19,509252
2021-07-20,132.52,134.94,132.02,132.58,620411
