date,open,high,low,close,volume
2021-01-04,63.39,63.69,62.14,62.39,104920
2021-01-05,65.00,65.81,64.82,65.49,101811
2021-01-06,64.99,66.38,64.95,65.89,178072
2021-01-07,66.87,67.00,66.57,66.70,77652
2021-01-08,67.00,67.39,66.50,67.23,67290
2021-01-11,64.30,65.95,63.73,65.62,229380
2021-01-12,63.43,64.05,63.06,63.77,185136
2021-01-13,64.53,64.53,63.83,63.90,101487
2021-01-14,64.53,65.35,64.35,64.86,114610
2021-01-15,62.68,62.68,61.51,61.60,172938
2021-01-19,62.15,62.15,61.42,61.67,63777
2021-01-20,62.00,62.68,61.63,62.34,139368
2021-01-21,61.87,61.91,61.08,61.50,159642
2021-01-22,59.26,60.37,59.07,59.98,316952
2021-01-25,60.32,60.32,59.40,59.75,239057
2021-01-26,58.70,59.05,58.03,58.75,295327
2021-01-27,58.00,58.70,57.15,57.72,130695
2021-01-28,56.75,56.95,54.40,55.82,244399
2021-01-29,55.53,55.97,54.56,54.79,194173
2021-02-01,56.22,56.81,55.91,56.66,119447
2021-02-02,58.80,59.46,58.00,59.16,319917
2021-02-03,59.39,59.39,58.62,58.84,106482
2021-02-04,59.03,59.75,58.62,59.75,121326
2021-02-05,59.09,59.65,58.67,59.47,149768
2021-02-08,59.99,60.68,59.93,60.53,96274
2021-02-09,60.59,61.35,60.51,61.14,130732
2021-02-10,61.70,61.77,60.50,61.08,113341
2021-02-11,61.75,61.75,61.00,61.23,55371
2021-02-12,61.25,62.03,61.03,61.99,61851
2021-02-16,61.64,62.14,61.24,61.84,166988
2021-02-17,61.13,61.41,60.54,61.27,119803
2021-02-18,60.02,60.09,59.34,59.79,103628
2021-02-19,60.11,60.66,60.02,60.29,129447
2021-02-22,59.99,61.47,59.99,60.88,159409
2021-02-23,61.94,62.57,61.23,62.10,164585
2021-02-24,61.61,62.71,61.25,62.50,104931
2021-02-25,63.22,63.73,61.35,61.78,131828
2021-02-26,62.48,62.79,60.99,61.10,194179
2021-03-01,62.05,63.94,61.60,63.68,123428
2021-03-02,63.52,64.33,63.28,63.76,128285
2021-03-03,65.15,68.70,65.15,68.16,431451
2021-03-04,68.38,69.31,66.16,66.84,265935
2021-03-05,69.70,69.84,68.18,69.37,341129
2021-03-08,69.92,70.58,69.40,70.25,268997
2021-03-09,69.66,70.51,68.09,69.81,616074
2021-03-10,65.15,65.16,63.01,63.53,608875
2021-03-11,66.75,67.45,66.34,67.18,382587
2021-03-12,66.34,67.00,66.03,66.98,275757
2021-03-15,67.42,67.90,66.31,67.28,200376
2021-03-16,67.32,67.55,66.68,66.93,118832
2021-03-17,65.36,66.93,65.08,66.76,168738
2021-03-18,65.85,65.90,64.84,64.99,216348
2021-03-19,64.18,65.08,63.15,64.80,231010
2021-03-22,66.72,67.75,66.57,67.19,229247
2021-03-23,68.62,69.11,66.90,67.43,443507
2021-03-24,67.53,68.01,67.27,67.49,160585
2021-03-25,67.51,68.06,66.64,67.86,155661
2021-03-26,69.82,71.79,69.81,71.78,156883
