date,open,high,low,close,volume
2016-09-15,89.06,90.64,88.82,90.32,2940364
2016-09-16,89.03,89.90,88.83,89.39,3534951
2016-09-19,89.89,91.10,89.82,90.11,1922674
2016-09-20,90.92,90.96,90.07,90.36,1908943
2016-09-21,90.92,91.39,90.07,90.74,1889307
2016-09-22,90.93,91.13,89.79,90.00,2909223
2016-09-23,89.86,90.50,89.41,89.41,2480217
2016-09-26,88.88,89.03,87.53,87.77,3067853
2016-09-27,87.38,88.69,87.04,88.55,3116507
2016-09-28,88.87,89.49,88.48,89.41,3313054
2016-09-29,89.22,90.44,88.52,88.99,3939802
2016-09-30,89.57,90.50,89.28,90.09,3380090
2016-10-03,89.55,89.97,89.12,89.40,1776216
2016-10-04,90.23,90.77,89.44,90.50,2583656
2016-10-05,90.77,91.94,90.34,91.52,3382503
2016-10-06,91.75,91.99,90.98,91.82,3004407
2016-10-07,91.78,91.99,90.79,91.42,2081347
2016-10-10,91.79,92.06,91.41,91.69,2392497
2016-10-11,91.64,91.89,90.18,90.51,2822103
2016-10-12,90.65,91.10,90.17,90.38,2975955
2016-10-13,89.00,89.25,87.34,87.94,4090301
2016-10-14,89.59,90.09,87.59,88.03,4586379
2016-10-17,88.42,89.18,87.97,88.21,3053848
2016-10-18,89.46,89.96,88.64,89.86,2630219
2016-10-19,90.23,91.87,90.13,91.60,3442828
2016-10-20,91.19,93.43,91.04,93.30,4775488
2016-10-21,92.79,93.18,92.37,92.92,3901026
2016-10-24,93.38,93.67,92.87,93.02,2778742
2016-10-25,93.61,93.69,92.87,93.14,3935282
2016-10-26,92.92,94.40,92.76,94.28,2631700
2016-10-27,94.58,95.59,94.46,95.43,3481213
2016-10-28,95.70,95.74,94.39,95.10,2592979
2016-10-31,95.46,95.73,95.08,95.60,2951510
2016-11-01,96.07,96.26,94.64,95.57,2588819
2016-11-02,95.09,95.30,94.44,94.77,3283185
2016-11-03,95.05,96.35,94.54,94.90,3139169
2016-11-04,95.19,95.60,94.30,94.65,2750227
2016-11-07,96.01,96.56,95.97,96.40,2467046
2016-11-08,95.95,96.99,95.30,96.64,2491964
2016-11-09,98.29,101.63,97.30,101.25,5231447
2016-11-10,102.42,106.34,102.42,105.98,6897532
2016-11-11,105.43,106.23,104.78,105.93,4186776
2016-11-14,106.91,109.17,106.48,108.10,6833952
2016-11-15,106.88,108.83,105.47,108.78,3821142
2016-11-16,107.74,108.16,106.97,107.51,3354981
2016-11-17,107.52,110.81,107.46,110.60,4154558
2016-11-18,110.91,111.39,110.27,111.24,5245777
2016-11-21,111.35,111.35,110.22,110.71,2270594
2016-11-22,110.87,111.44,110.19,110.76,2878882
2016-11-23,111.31,111.97,110.37,111.14,3708549
2016-11-25,111.23,112.07,111.15,112.07,1047854
2016-11-28,111.23,111.62,109.61,109.80,2180635
2016-11-29,110.00,110.43,109.16,109.26,3943566
2016-11-30,110.60,111.23,110.12,110.54,5570145
2016-12-01,111.23,112.68,110.68,112.60,5430041
2016-12-02,112.42,112.42,110.69,111.08,2449253
2016-12-05,112.04,112.52,111.10,111.50,3607479
2016-12-06,111.46,111.99,110.84,111.49,4162821
2016-12-07,111.70,112.69,110.97,112.67,4257664
2016-12-08,113.33,115.69,112.88,114.82,3083445
2016-12-09,114.56,115.02,113.57,115.02,2565802
2016-12-12,114.69,115.31,113.95,114.07,3332238
2016-12-13,114.22,115.25,113.62,114.70,3118782
2016-12-14,113.76,115.77,112.61,114.20,5157865
2016-12-15,115.78,116.20,114.44,115.63,2801764
2016-12-16,115.98,116.21,114.65,114.86,3318268
2016-12-19,114.43,116.25,114.38,115.80,3657839
2016-12-20,116.79,118.33,116.30,118.07,1998865
2016-12-21,118.26,118.29,117.38,117.64,1282042
2016-12-22,117.75,118.00,117.21,117.43,1457859
2016-12-23,117.49,117.98,117.07,117.96,913407
2016-12-27,117.89,118.52,117.89,118.31,1076932
2016-12-28,118.38,118.57,116.93,117.06,1165294
2016-12-29,117.28,117.61,115.36,116.10,1542292
2016-12-30,116.21,117.16,115.92,116.96,1624856
2017-01-03,118.78,119.47,116.97,117.97,2989081
2017-01-04,118.32,119.27,117.76,118.97,2279644
2017-01-05,118.41,119.03,116.60,117.38,2405020
2017-01-06,118.21,119.74,117.85,119.05,3003916
2017-01-09,118.31,118.50,117.07,118.20,3294385
2017-01-10,118.01,118.85,117.53,118.67,2914675
2017-01-11,117.93,121.33,117.52,121.33,4408649
2017-01-12,120.13,120.30,116.73,117.93,3970587
2017-01-13,118.96,121.25,117.18,118.79,4034665
2017-01-17,117.94,117.99,113.70,113.93,4301443
2017-01-18,114.69,116.39,113.66,116.32,3086183
2017-01-19,116.67,117.30,115.04,115.61,2589914
2017-01-20,116.29,117.59,115.99,117.35,2876759
2017-01-23,116.81,117.86,116.50,116.93,2485524
2017-01-24,117.50,119.44,116.92,118.66,2564252
2017-01-25,120.00,121.19,119.53,121.01,2572865
2017-01-26,121.17,121.98,120.74,121.63,1947008
2017-01-27,121.34,121.90,120.89,121.64,1609030
2017-01-30,120.97,121.11,119.64,120.38,1995361
2017-01-31,120.16,121.02,119.59,120.46,2620211
2017-02-01,121.66,122.58,121.02,121.14,2673240
2017-02-02,120.20,120.76,119.00,120.01,2091268
2017-02-03,122.18,122.42,121.06,122.16,1955170
2017-02-06,121.61,122.82,121.34,122.41,1563899
2017-02-07,122.81,123.25,121.28,121.47,2680907
2017-02-08,122.20,122.20,120.50,121.46,2892366
2017-02-09,122.10,122.93,121.28,122.39,2076709
2017-02-10,123.30,123.54,122.68,123.10,1965425
2017-02-13,124.00,125.35,123.62,124.42,1929560
2017-02-14,124.54,126.23,123.77,126.10,2420150
