date,open,high,low,close,volume
2021-01-04,80.00,80.75,78.70,79.09,963539
2021-01-05,79.09,79.32,77.33,77.73,1020318
2021-01-06,78.08,80.64,78.00,80.48,852966
2021-01-07,80.48,80.52,77.57,77.94,816386
2021-01-08,77.97,78.09,76.96,77.77,513238
2021-01-11,77.41,78.11,76.18,76.69,637087
2021-01-12,76.75,77.22,75.85,76.42,1083504
2021-01-13,76.46,78.13,76.19,77.93,847928
2021-01-14,78.10,78.21,76.91,77.05,584585
2021-01-15,76.94,78.75,76.15,78.55,789707
2021-01-19,78.71,78.80,77.65,78.00,1131497
2021-01-20,77.59,78.15,76.77,77.94,1188857
2021-01-21,77.73,77.90,76.37,77.53,956289
2021-01-22,77.24,77.50,76.46,77.09,504663
2021-01-25,76.69,78.46,76.62,78.36,855604
2021-01-26,78.48,78.69,77.02,77.50,770509
2021-01-27,76.88,77.38,75.05,76.31,1166902
2021-01-28,76.64,77.89,76.17,76.68,1063054
2021-01-29,75.24,76.06,74.73,75.25,1756941
2021-02-01,75.58,76.74,75.05,76.20,782345
2021-02-02,76.48,78.25,76.19,76.70,920147
2021-02-03,76.40,77.19,75.91,76.73,614587
2021-02-04,76.62,77.27,76.25,77.06,773191
2021-02-05,77.61,78.04,76.86,77.78,728645
2021-02-08,77.81,77.94,76.30,76.94,806565
2021-02-09,77.06,77.92,76.03,76.66,516622
2021-02-10,77.00,77.50,76.41,77.12,644452
2021-02-11,77.23,77.43,76.32,76.66,522335
2021-02-12,76.44,77.06,75.87,76.19,610941
2021-02-16,76.13,76.38,75.37,76.02,663078
2021-02-17,76.14,77.21,75.88,77.15,580446
2021-02-18,77.09,77.92,77.01,77.17,741787
2021-02-19,77.15,77.25,76.15,76.26,508078
2021-02-22,76.04,76.18,73.11,74.59,1207870
2021-02-23,75.30,76.08,74.25,75.50,998662
2021-02-24,75.25,75.42,72.53,73.06,1779578
2021-02-25,72.50,73.76,72.10,73.04,1290189
2021-02-26,72.98,73.70,69.89,69.93,1309384
2021-03-01,71.48,73.50,70.86,72.30,1436685
2021-03-02,72.31,74.37,72.05,73.72,954538
2021-03-03,73.59,73.62,72.07,72.99,770859
2021-03-04,73.36,75.53,72.95,74.65,1106499
2021-03-05,74.88,76.69,74.84,76.30,1022287
2021-03-08,77.00,78.87,76.30,78.25,1293112
2021-03-09,78.40,78.84,77.12,77.58,873492
2021-03-10,77.37,78.65,76.90,78.46,854984
2021-03-11,78.06,78.60,76.77,76.78,732832
2021-03-12,77.30,78.54,76.76,78.33,721827
2021-03-15,78.53,80.42,78.35,80.41,858231
2021-03-16,78.65,79.69,78.65,79.58,712362
2021-03-17,79.90,80.53,79.08,79.20,681807
2021-03-18,79.15,79.69,78.24,79.58,1278410
