date,open,high,low,close,volume
2021-01-04,832.01,843.41,809.96,811.76,20478
2021-01-05,816.56,837.11,795.71,827.51,16971
2021-01-06,826.46,899.65,769.46,863.06,18551
2021-01-07,868.61,911.86,868.61,902.95,14221
2021-01-08,909.70,914.21,867.11,884.36,16855
2021-01-11,876.11,889.91,836.36,877.16,3092
2021-01-12,875.51,880.61,836.81,857.66,29943
2021-01-13,859.01,905.80,842.06,898.76,8314
2021-01-14,901.60,905.80,881.06,897.26,11787
2021-01-15,888.71,892.16,836.66,862.61,13422
2021-01-19,871.91,878.21,832.01,838.76,5332
2021-01-20,840.11,856.76,821.81,852.26,3505
2021-01-21,856.31,856.31,798.86,812.81,5746
2021-01-22,807.11,850.76,794.66,846.71,4765
2021-01-25,853.01,874.46,832.23,852.56,3331
2021-01-26,851.51,851.51,784.16,807.41,10997
2021-01-27,784.16,826.61,757.46,782.81,6741
2021-01-28,780.41,800.28,768.94,778.31,6635
2021-01-29,778.31,817.31,733.61,763.31,6893
2021-02-01,764.06,781.01,746.21,764.66,4926
2021-02-02,771.86,797.06,769.31,785.06,3012
2021-02-03,781.01,781.22,761.96,777.71,2887
2021-02-04,777.26,809.06,777.26,800.66,3143
2021-02-05,810.71,813.86,791.51,804.11,4664
2021-02-08,803.36,825.41,769.76,817.46,5417
2021-02-09,809.81,828.86,793.15,799.46,7367
2021-02-10,799.76,812.21,789.11,797.21,3275
2021-02-11,795.26,808.68,779.06,785.96,2367
2021-02-12,778.61,794.96,743.06,787.91,1953
2021-02-16,784.91,803.06,739.91,754.31,3488
2021-02-17,750.71,770.36,748.91,766.16,1811
2021-02-18,768.11,796.31,739.42,780.26,4076
2021-02-19,774.86,788.96,740.81,750.11,2909
2021-02-22,745.01,768.86,731.99,760.76,3293
2021-02-23,741.86,763.69,708.41,727.91,5696
2021-02-24,736.01,788.48,730.91,758.36,5702
2021-02-25,720.71,778.01,677.07,680.67,3430
2021-02-26,686.13,723.11,646.77,652.47,7716
2021-03-01,671.22,695.67,614.67,622.62,4465
2021-03-02,629.97,652.84,548.15,555.87,13706
2021-03-03,559.32,567.42,522.57,533.37,17116
2021-03-04,537.12,537.12,472.03,493.33,12574
2021-03-05,496.03,547.77,482.77,546.27,7449
2021-03-08,563.22,599.52,552.27,590.52,9547
2021-03-09,593.67,638.82,592.55,602.67,4535
2021-03-10,606.27,682.47,584.37,657.72,4769
2021-03-11,656.97,752.96,656.97,678.72,5471
2021-03-12,675.87,705.26,617.89,664.47,4585
2021-03-15,660.42,663.57,582.65,629.07,20744
2021-03-16,626.07,637.17,589.17,621.72,9112
2021-03-17,604.77,641.52,544.62,637.62,9957
2021-03-18,633.72,640.24,542.00,579.57,19581
2021-03-19,572.37,579.27,455.68,509.22,99205
2021-03-22,508.32,559.17,502.93,550.17,14286
2021-03-23,536.22,537.03,488.45,501.27,16948
2021-03-24,504.42,515.90,465.73,495.13,9861
2021-03-25,484.18,494.08,450.73,483.88,9302
2021-03-26,491.38,491.38,452.98,463.33,3684
2021-03-29,464.98,482.38,453.13,453.88,4678
2021-03-30,450.28,461.53,422.71,440.08,6362
2021-03-31,447.43,496.48,446.23,491.38,5425
2021-04-01,490.93,509.22,452.53,462.73,8269
2021-04-05,473.68,496.63,463.93,495.73,3405
2021-04-06,489.13,512.67,419.08,421.78,20693
2021-04-07,423.13,426.58,407.83,421.93,12124
2021-04-08,422.08,457.48,417.73,450.28,8196
2021-04-09,444.43,458.08,424.78,443.08,9255
2021-04-12,441.58,456.16,432.28,449.23,10043
2021-04-13,453.28,469.78,444.20,455.53,5128
2021-04-14,455.53,459.88,374.53,379.48,46243
2021-04-15,380.38,403.33,369.73,387.73,53970
2021-04-16,391.33,444.13,373.66,410.53,15279
2021-04-19,405.58,425.83,389.98,398.68,7256
2021-04-20,394.63,408.05,386.91,389.53,8561
2021-04-21,391.63,443.53,391.48,443.23,19909
