date,open,high,low,close,volume
2021-01-04,78.40,78.40,75.71,76.40,2620879
2021-01-05,76.28,77.96,76.04,77.14,1578462
2021-01-06,79.10,82.84,78.94,81.71,3286443
2021-01-07,82.62,82.94,81.23,81.35,2364575
2021-01-08,81.46,81.60,79.32,80.70,1603962
2021-01-11,79.68,81.18,79.22,80.78,1202415
2021-01-12,81.38,82.79,81.05,82.29,1548072
2021-01-13,81.86,82.47,81.20,82.24,1357443
2021-01-14,82.65,84.56,82.33,83.91,1721895
2021-01-15,83.57,84.03,82.17,83.61,2242066
2021-01-19,84.16,85.64,83.64,84.86,1899439
2021-01-20,84.77,84.85,83.61,84.01,1493179
2021-01-21,83.82,84.36,82.82,82.86,1326427
2021-01-22,82.00,82.88,81.45,82.62,1375400
2021-01-25,81.42,82.22,80.59,81.96,1983838
2021-01-26,82.37,82.58,81.10,81.22,1642315
2021-01-27,80.00,80.21,78.96,79.24,3166458
2021-01-28,80.10,82.23,79.92,81.19,2157278
2021-01-29,80.66,80.92,77.72,78.28,3636368
2021-02-01,78.86,79.10,77.27,78.91,1600377
2021-02-02,80.00,81.21,79.40,80.16,1885037
2021-02-03,80.00,81.15,79.83,80.96,1574779
2021-02-04,81.25,83.17,80.94,82.78,2413111
2021-02-05,83.81,83.81,79.55,80.16,4167380
2021-02-08,80.40,80.94,79.32,80.91,2709011
2021-02-09,80.78,82.00,80.44,81.43,2749647
2021-02-10,81.61,82.50,81.14,82.11,2881988
2021-02-11,82.25,82.69,80.75,81.33,2355655
2021-02-12,80.01,82.17,80.00,80.86,2520161
2021-02-16,81.69,83.68,81.31,82.76,2966074
2021-02-17,82.44,84.27,82.31,83.42,2051869
2021-02-18,82.79,83.49,81.11,81.91,2189980
2021-02-19,82.62,84.37,82.58,84.10,2881268
2021-02-22,83.72,87.00,83.72,86.11,2969789
2021-02-23,87.02,87.20,85.12,85.37,2326221
2021-02-24,86.12,90.59,85.82,89.91,4862029
2021-02-25,90.32,91.61,87.72,87.91,3203601
2021-02-26,87.43,88.26,85.47,86.72,2749329
2021-03-01,88.52,89.55,88.08,88.62,2816654
2021-03-02,89.06,89.74,88.84,89.02,2003164
2021-03-03,88.38,90.98,88.38,89.37,3220105
2021-03-04,89.35,89.83,86.41,88.57,2704406
2021-03-05,90.00,91.03,87.32,90.66,2219551
2021-03-08,91.59,94.53,91.41,92.72,3085778
2021-03-09,91.64,93.37,90.27,91.39,2777878
2021-03-10,91.30,93.33,91.15,92.80,2141502
2021-03-11,92.34,93.99,91.72,92.41,2548038
2021-03-12,93.56,94.85,93.11,93.87,2525812
2021-03-15,94.02,94.45,91.95,93.80,2095565
2021-03-16,92.61,93.03,90.81,91.39,2556577
2021-03-17,92.41,93.40,91.83,93.18,2070474
2021-03-18,94.08,95.49,92.89,93.11,2988892
2021-03-19,92.00,93.19,90.73,91.98,9148422
2021-03-22,91.10,91.72,90.32,90.86,2390088
2021-03-23,90.30,90.73,88.03,88.43,2627696
2021-03-24,89.45,90.95,88.74,88.80,2260155
2021-03-25,88.68,91.23,87.84,90.93,1977405
2021-03-26,92.00,92.27,90.62,91.98,1957294
2021-03-29,90.63,91.84,90.10,90.64,1955744
2021-03-30,91.30,92.58,91.03,92.08,1823031
2021-03-31,91.41,92.20,91.06,91.10,2878506
2021-04-01,90.90,92.71,90.81,92.71,1895336
2021-04-05,93.79,94.20,92.54,92.75,1925147
2021-04-06,92.79,93.70,92.46,93.04,1695098
2021-04-07,93.05,94.16,93.05,93.95,1644714
2021-04-08,93.20,93.34,92.18,92.97,1205920
2021-04-09,93.89,94.42,93.48,94.35,2436215
2021-04-12,95.00,95.75,94.51,95.56,1848467
2021-04-13,95.20,95.89,94.20,95.28,2775118
2021-04-14,95.48,97.85,95.39,97.34,3520042
2021-04-15,97.24,97.95,96.74,97.30,2882393
2021-04-16,98.00,99.53,97.85,98.88,2218860
2021-04-19,99.27,99.87,98.34,98.54,1786500
2021-04-20,97.58,98.00,95.27,96.02,1939290
2021-04-21,95.66,98.06,95.41,97.93,1989351
2021-04-22,97.45,97.76,96.30,96.74,1888576
2021-04-23,96.65,98.86,96.53,98.50,1699002
2021-04-26,98.97,100.21,98.35,98.53,1914754
2021-04-27,98.53,99.38,98.53,99.30,1390527
2021-04-28,100.14,100.77,99.66,99.81,1539270
2021-04-29,100.77,101.55,100.06,101.20,1660533
2021-04-30,100.87,101.36,99.95,100.36,1524626
2021-05-03,101.35,102.39,100.58,101.44,1760338
2021-05-04,101.41,102.25,100.18,101.67,2056599
2021-05-05,102.75,104.61,101.63,104.19,2162044
2021-05-06,104.61,105.68,103.42,105.61,2303054
2021-05-07,103.99,105.98,103.85,105.95,2130588
2021-05-10,106.70,108.56,105.88,106.72,2935434
2021-05-11,105.76,106.48,103.95,104.91,2890825
2021-05-12,105.64,106.25,102.93,103.20,2226227
2021-05-13,102.73,106.65,102.68,105.80,2263481
2021-05-14,106.14,107.89,106.01,107.68,1764271
2021-05-17,107.06,108.21,106.67,107.96,1573214
2021-05-18,107.50,107.89,106.51,106.59,2136904
2021-05-19,105.32,106.51,103.64,106.45,2264513
2021-05-20,106.44,106.85,104.84,105.70,1949624
2021-05-21,106.06,107.42,106.06,106.90,2028775
2021-05-24,105.95,106.87,105.50,106.33,1693021
2021-05-25,106.40,107.38,104.20,104.37,1918306
2021-05-26,104.99,105.26,103.61,105.03,1768300
2021-05-27,106.54,107.02,105.60,106.63,3026669
2021-05-28,107.10,107.21,104.92,106.97,2181434
2021-06-01,107.91,108.64,107.37,108.51,1813873
2021-06-02,108.75,109.17,107.62,108.03,2029506
2021-06-03,107.57,109.08,107.27,108.23,1779194
2021-06-04,108.04,108.53,107.32,108.44,1287053
2021-06-07,108.65,108.90,107.73,108.07,1492038
2021-06-08,107.23,108.46,106.09,108.06,1287341
2021-06-09,107.41,107.55,106.08,106.09,1869086
2021-06-10,107.45,107.90,104.88,104.92,1594994
2021-06-11,105.43,106.28,105.05,105.53,1563736
2021-06-14,105.30,105.82,103.66,104.42,1739436
2021-06-15,104.48,105.55,104.02,104.89,1707014
2021-06-16,104.51,105.94,103.32,105.16,1745346
2021-06-17,105.53,105.83,99.97,100.64,2948890
2021-06-18,98.57,99.64,97.38,97.62,5237926
2021-06-21,98.58,100.77,98.57,100.77,1896133
2021-06-22,100.82,100.96,99.37,100.42,1506265
2021-06-23,100.70,101.66,100.25,101.03,1450872
2021-06-24,101.25,102.88,100.63,102.51,1496974
2021-06-25,102.99,104.57,102.53,104.33,1950426
2021-06-28,103.91,103.91,101.88,102.20,1496385
2021-06-29,102.89,103.68,101.37,101.73,1281952
2021-06-30,101.48,102.60,101.21,102.47,1289563
2021-07-01,103.29,103.63,102.61,103.30,1217339
