date,open,high,low,close,volume
2021-01-04,230.32,231.97,219.95,220.20,911813
2021-01-05,219.33,221.61,216.15,217.37,1094768
2021-01-06,216.35,217.90,212.22,213.82,1506109
2021-01-07,214.11,218.52,213.05,217.45,1224349
2021-01-08,218.49,223.63,218.49,222.62,805533
2021-01-11,221.94,222.71,217.87,221.25,738860
2021-01-12,220.17,222.87,219.03,222.24,690177
2021-01-13,222.25,225.63,222.25,224.79,785386
2021-01-14,224.77,224.77,220.84,221.23,773154
2021-01-15,221.29,225.38,220.09,224.39,1864205
2021-01-19,225.83,225.83,219.13,220.62,1145017
2021-01-20,219.54,226.00,218.58,224.98,1326829
2021-01-21,223.21,225.14,221.41,221.97,1283951
2021-01-22,222.85,223.85,221.58,222.79,1079093
2021-01-25,223.44,226.50,221.94,225.82,830034
2021-01-26,225.86,228.69,225.33,227.84,825918
2021-01-27,227.33,228.98,224.89,228.05,821953
2021-01-28,228.07,230.15,225.45,227.51,791591
2021-01-29,226.66,230.09,224.81,227.62,1052401
2021-02-01,229.13,232.77,226.29,232.69,763720
2021-02-02,231.85,232.66,229.83,230.30,949770
2021-02-03,229.14,232.79,226.80,231.30,703275
2021-02-04,232.14,235.98,230.30,230.85,1165848
2021-02-05,231.51,231.51,228.75,229.34,777103
2021-02-08,228.73,232.71,227.56,232.51,523128
2021-02-09,233.69,236.74,232.95,236.37,680321
2021-02-10,237.64,237.69,231.35,234.10,697090
2021-02-11,232.94,234.15,231.61,233.07,853183
2021-02-12,232.48,232.95,229.50,231.86,617503
2021-02-16,231.60,231.80,226.54,229.95,566324
2021-02-17,229.95,234.54,229.63,234.07,879036
2021-02-18,233.38,236.09,233.38,235.00,622754
2021-02-19,235.65,236.87,233.76,234.70,761455
2021-02-22,234.59,238.39,233.25,237.76,711487
2021-02-23,239.51,246.21,239.51,242.34,794294
2021-02-24,241.81,244.99,241.20,242.61,803240
2021-02-25,243.26,246.52,240.26,243.36,816457
2021-02-26,243.73,244.83,233.85,233.94,1110882
2021-03-01,236.00,238.86,231.80,231.97,779209
2021-03-02,231.26,236.03,230.23,234.43,917032
2021-03-03,232.98,233.98,230.72,230.85,1025173
2021-03-04,231.54,234.44,229.14,231.35,1003402
2021-03-05,231.80,235.53,229.50,235.05,667872
2021-03-08,236.23,240.82,234.53,238.65,628400
2021-03-09,238.67,242.31,238.01,240.03,584405
2021-03-10,240.66,240.66,237.19,239.84,625746
2021-03-11,238.91,241.80,238.46,238.61,615362
2021-03-12,238.42,243.16,238.42,243.05,598971
2021-03-15,242.32,243.58,239.64,242.48,887301
2021-03-16,243.07,245.90,241.66,245.33,512931
2021-03-17,245.11,245.11,239.83,241.66,751810
2021-03-18,240.42,242.31,238.39,242.01,570904
2021-03-19,242.57,243.00,233.46,233.46,1336444
2021-03-22,233.46,237.71,233.00,236.70,647131
2021-03-23,237.42,243.29,236.72,242.90,723585
2021-03-24,241.60,242.80,240.17,241.14,656213
2021-03-25,242.39,242.50,237.51,241.30,594832
2021-03-26,241.97,244.83,239.83,244.59,836504
2021-03-29,243.94,250.16,241.96,247.99,823237
2021-03-30,248.29,248.88,245.93,247.03,652934
2021-03-31,247.00,249.97,244.56,246.76,1105401
2021-04-01,248.28,252.12,247.41,251.94,844326
2021-04-05,251.65,255.59,250.58,255.27,1162391
2021-04-06,254.31,255.36,252.00,255.31,744612
2021-04-07,255.54,256.33,253.86,255.72,760717
2021-04-08,255.60,259.08,255.60,256.76,566799
2021-04-09,257.79,259.44,257.42,257.88,538953
2021-04-12,258.88,261.30,257.62,260.86,524141
2021-04-13,261.58,267.27,261.17,266.95,819401
2021-04-14,266.24,266.24,262.81,263.69,508541
