date,open,high,low,close,volume
2025-08-07,11.64,12.79,10.57,11.74,43107820
2025-08-08,11.42,11.86,10.38,10.51,39967390
2025-08-11,10.62,10.65,9.95,10.12,51349480
2025-08-12,10.23,11.29,10.14,10.97,30407020
2025-08-13,11.20,17.53,11.15,15.00,133664900
2025-08-14,14.90,14.94,13.67,14.38,26039940
2025-08-15,14.38,14.60,13.66,13.72,16703490
2025-08-18,13.72,13.90,13.22,13.50,11959410
2025-08-19,13.51,13.67,12.96,13.48,11058860
2025-08-20,13.50,14.06,13.32,13.98,9088528
2025-08-21,13.95,16.30,13.95,16.03,46431450
2025-08-22,15.57,16.64,15.25,16.00,14871580
2025-08-25,15.91,16.39,15.75,15.96,8131635
2025-08-26,15.71,15.90,15.15,15.84,14226840
2025-08-27,15.71,15.71,14.63,14.81,12166100
2025-08-28,14.77,15.03,14.42,14.69,5585042
2025-08-29,14.62,14.79,14.38,14.70,4862759
2025-09-02,14.54,14.66,14.19,14.46,5127161
2025-09-03,14.45,15.31,14.39,15.06,8362669
2025-09-04,14.92,15.04,14.41,14.74,5291765
2025-09-05,14.48,15.18,14.48,15.00,7422232
2025-09-08,15.07,15.23,14.74,15.19,6514822
2025-09-09,14.95,15.47,14.71,15.20,6071125
2025-09-10,15.30,15.79,14.83,15.11,6164326
2025-09-11,15.02,17.58,13.99,17.46,48508780
2025-09-12,17.46,18.87,16.90,18.79,32421300
2025-09-15,18.80,19.05,18.22,18.58,11157410
2025-09-16,18.59,18.62,17.45,17.53,9622727
2025-09-17,17.64,18.31,17.57,17.92,7332397
2025-09-18,18.00,18.15,17.66,17.88,5567001
2025-09-19,18.00,19.23,17.70,18.92,21734800
2025-09-22,18.92,19.30,18.48,18.61,13813060
2025-09-23,18.69,20.86,18.29,19.73,23432200
2025-09-24,19.58,20.05,19.00,19.12,11908370
2025-09-25,18.73,19.34,18.60,18.93,7548222
2025-09-26,18.91,19.14,18.68,18.92,4528930
2025-09-29,19.17,19.70,18.31,19.50,8183585
2025-09-30,19.31,20.09,18.87,18.92,11997130
2025-10-01,18.88,19.12,18.60,18.89,4902976
2025-10-02,18.91,19.15,18.61,18.62,4635404
2025-10-03,18.60,19.45,18.60,19.09,12239030
2025-10-06,19.14,19.22,18.68,19.13,10251160
2025-10-07,19.09,19.22,18.23,18.51,5035197
2025-10-08,18.38,18.87,18.14,18.50,8336288
2025-10-09,18.50,18.65,17.89,17.97,4697925
2025-10-10,18.10,18.10,16.89,17.00,6055565
2025-10-13,17.13,17.54,17.04,17.10,4426748
2025-10-14,16.96,17.44,16.63,17.29,4230830
2025-10-15,17.27,17.68,17.08,17.43,3790051
2025-10-16,17.35,17.43,16.75,16.90,4354539
2025-10-17,16.78,16.99,16.51,16.77,4216192
2025-10-20,16.93,17.09,16.65,16.99,2422004
2025-10-21,17.15,17.29,16.45,16.51,4350707
2025-10-22,16.47,16.73,16.28,16.57,2655203
2025-10-23,16.57,16.87,16.45,16.47,3585492
2025-10-24,16.69,16.89,16.58,16.72,2239173
2025-10-27,16.81,16.93,16.36,16.57,3798318
2025-10-28,16.56,16.56,16.11,16.21,3482129
2025-10-29,16.21,16.28,15.81,15.88,4414368
2025-10-30,15.79,15.86,15.37,15.46,4880211
2025-10-31,15.38,15.64,15.29,15.39,6730835
2025-11-03,15.36,15.47,14.87,15.42,6608569
2025-11-04,15.21,15.44,14.79,14.84,7350401
2025-11-05,14.85,15.34,14.83,15.09,6114579
2025-11-06,15.09,15.40,14.73,14.80,6506044
2025-11-07,14.66,15.28,14.65,15.10,9772866
2025-11-10,15.13,15.32,14.97,15.25,13006310
2025-11-11,16.21,17.16,16.01,16.74,15858650
2025-11-12,16.55,16.60,15.27,15.57,12217990
2025-11-13,15.48,15.79,15.29,15.37,5957557
2025-11-14,15.28,15.77,15.05,15.68,6226851
2025-11-17,15.72,15.93,15.60,15.73,7821904
2025-11-18,15.70,16.30,15.25,16.09,10117520
2025-11-19,15.98,16.14,15.45,15.47,7942643
2025-11-20,15.58,16.30,15.52,15.68,8946256
2025-11-21,15.70,16.04,15.46,15.89,5483097
2025-11-24,15.89,15.90,15.00,15.06,13558280
2025-11-25,15.15,15.67,15.10,15.64,4552492
2025-11-26,15.68,15.85,15.45,15.79,6666167
2025-11-28,15.80,16.03,15.49,16.02,2774876
2025-12-01,15.81,15.90,15.50,15.71,4571586
2025-12-02,15.71,16.05,15.49,15.82,6446546
2025-12-03,15.80,15.83,14.64,14.67,9614681
2025-12-04,14.63,14.91,14.25,14.82,7527166
2025-12-05,14.41,14.41,13.20,13.37,27103890
2025-12-08,14.07,14.76,13.53,14.57,39522880
2025-12-09,14.42,14.81,13.97,14.64,15404800
2025-12-10,14.68,15.30,14.55,14.72,14626160
2025-12-11,14.81,15.03,14.04,14.12,19132560
2025-12-12,14.09,14.23,13.71,13.74,10241470
2025-12-15,13.78,14.00,13.47,13.99,6609275
2025-12-16,13.86,13.98,13.51,13.85,7512971
2025-12-17,13.55,13.58,13.06,13.10,12883220
2025-12-18,13.11,13.24,12.95,13.01,7405302
2025-12-19,12.95,13.14,12.87,13.05,23332970
2025-12-22,13.47,14.10,13.44,13.61,11617980
2025-12-23,13.49,13.63,13.44,13.53,4407513
2025-12-24,13.49,13.75,13.36,13.74,2464091
2025-12-26,13.70,13.74,13.46,13.59,2886844
2025-12-29,13.50,13.56,13.42,13.50,4764449
2025-12-30,13.40,13.69,13.40,13.51,3937220
2025-12-31,13.39,13.51,13.34,13.40,5084276
2026-01-02,13.40,13.43,13.13,13.18,5927697
2026-01-05,13.13,13.16,12.89,12.98,7570599
2026-01-06,12.98,12.98,12.45,12.50,11137920
2026-01-07,12.56,12.60,12.23,12.37,6702768
2026-01-08,12.36,12.51,12.25,12.27,7859325
2026-01-09,12.29,12.32,12.02,12.06,7700126
2026-01-12,12.01,12.20,11.97,12.15,6919832
2026-01-13,12.13,12.22,12.04,12.14,7364508
2026-01-14,12.13,12.20,12.00,12.08,4829654
2026-01-15,12.07,12.12,11.77,11.83,6835773
2026-01-16,11.89,11.96,11.75,11.80,6144153
2026-01-20,11.53,11.81,11.45,11.55,11269900
2026-01-21,11.51,11.63,11.42,11.60,5892478
2026-01-22,11.71,11.94,11.65,11.78,7224845
2026-01-23,11.73,11.83,11.70,11.70,4484129
2026-01-26,11.75,11.99,11.58,11.89,6274180
2026-01-27,11.91,11.96,11.46,11.55,5415913
2026-01-28,11.59,11.65,11.33,11.34,4473306
2026-01-29,11.34,11.34,10.96,11.26,7729518
2026-01-30,11.22,11.26,10.98,11.21,5752706
2026-02-02,11.10,11.23,11.03,11.18,5975874
2026-02-03,11.11,11.15,10.75,10.81,11221700
2026-02-04,10.80,10.98,10.65,10.75,11096010
2026-02-05,10.80,10.85,10.34,10.52,7618695
2026-02-06,10.60,10.78,10.45,10.56,7137239
2026-02-09,10.50,10.69,10.31,10.68,7458894
2026-02-10,10.77,10.93,10.70,10.84,8683368
2026-02-11,10.83,11.07,10.68,11.01,6938505
2026-02-12,11.00,11.02,10.15,10.25,10202060
2026-02-13,10.27,10.45,10.19,10.32,8460530
2026-02-17,10.62,11.32,10.62,10.83,13681710
2026-02-18,10.83,11.25,10.70,11.12,7348974
2026-02-19,11.08,11.12,10.78,10.94,6815246
2026-02-20,10.95,10.97,10.71,10.71,8880892
2026-02-23,10.73,10.74,10.39,10.56,9263825
2026-02-24,10.51,10.68,10.36,10.39,7891322
2026-02-25,10.40,10.55,10.15,10.16,13242160
2026-02-26,10.32,11.30,10.31,11.18,16079370
2026-02-27,11.21,14.00,10.98,13.51,91699560
2026-03-02,14.10,14.10,13.06,13.34,27383850
2026-03-03,12.85,13.12,12.25,12.45,22139410
2026-03-04,12.30,12.62,12.01,12.05,14241880
2026-03-05,12.06,12.51,11.71,11.74,17433210
2026-03-06,11.53,12.13,11.32,11.99,11347300
2026-03-09,11.49,11.60,11.02,11.19,13474570
2026-03-10,11.03,11.09,10.25,10.33,21087840
2026-03-11,10.38,10.42,9.91,9.94,12482370
2026-03-12,9.85,10.05,9.79,9.80,10735690
2026-03-13,9.85,9.99,9.54,9.72,16612860
2026-03-16,9.62,9.72,9.47,9.50,12748470
2026-03-17,9.52,9.70,9.21,9.23,11598860
2026-03-18,9.12,9.29,8.96,9.00,8799749
2026-03-19,8.89,9.00,8.62,8.96,10724930
2026-03-20,8.92,9.23,8.86,9.15,23898510
2026-03-23,9.24,9.42,9.04,9.14,9541048
2026-03-24,9.10,9.35,9.09,9.17,9786306
2026-03-25,9.20,9.32,9.07,9.23,9298808
2026-03-26,9.16,9.25,8.86,8.88,10668060
2026-03-27,8.88,9.02,8.65,8.79,9833523
2026-03-30,8.85,9.07,8.76,8.92,8343977
2026-03-31,8.90,9.24,8.71,9.02,27912730
2026-04-01,9.03,9.28,8.97,9.25,9585491
2026-04-02,9.02,9.71,9.02,9.52,12892340
2026-04-06,9.52,10.04,9.47,9.85,10663220
2026-04-07,9.76,11.15,9.76,10.90,37937380
2026-04-08,10.96,11.34,10.80,10.82,19513090
2026-04-09,10.78,10.96,10.43,10.85,13849820
2026-04-10,10.90,11.01,10.48,10.62,9474487
2026-04-13,10.53,10.76,10.32,10.73,11251940
2026-04-14,10.77,11.14,10.73,11.08,8876312
2026-04-15,11.10,11.78,11.04,11.67,11100630
2026-04-16,11.76,11.94,11.60,11.73,5981245
2026-04-17,11.79,11.97,11.61,11.74,7187774
2026-04-20,11.68,11.87,11.61,11.82,5951950
2026-04-21,11.86,11.92,11.61,11.61,8428927
2026-04-22,11.71,11.83,11.48,11.80,5347548
2026-04-23,11.80,11.82,11.06,11.27,8489747
2026-04-24,11.27,11.33,10.90,10.97,6288858
2026-04-27,11.02,11.19,10.57,10.59,9839290
2026-04-28,10.58,10.63,10.30,10.52,9172101
2026-04-29,10.55,10.55,10.21,10.34,5899608
2026-04-30,10.26,10.40,10.18,10.24,15083290
2026-05-01,10.78,11.25,10.71,11.09,12285990
2026-05-04,11.01,11.22,10.84,11.13,12353790
2026-05-05,10.83,10.96,10.16,10.66,12843560
2026-05-06,10.79,11.04,10.69,10.91,10000430
2026-05-07,10.86,11.06,10.66,10.76,13606360
2026-05-08,10.71,11.11,10.66,11.09,8164928
2026-05-11,11.15,11.17,10.73,10.90,13264180
2026-05-12,10.91,10.96,10.53,10.69,11018790
2026-05-13,10.61,10.64,10.39,10.47,10685870
2026-05-14,10.50,10.62,10.10,10.11,10650610
2026-05-15,10.03,10.13,9.81,9.89,14996600
2026-05-18,9.90,10.01,9.76,9.82,7559514
2026-05-19,9.81,9.96,9.71,9.90,9796273
2026-05-20,9.86,10.19,9.72,10.13,12427550
2026-05-21,10.07,10.37,9.93,10.28,5373011
2026-05-22,10.34,10.61,10.29,10.46,5045315
2026-05-26,10.41,10.54,10.30,10.37,4732143
2026-05-27,10.30,10.87,10.29,10.62,7292197
2026-05-28,10.56,10.84,10.43,10.81,5717639
2026-05-29,10.66,10.85,10.53,10.61,7002245
2026-06-01,10.60,11.17,10.45,10.98,7128026
2026-06-02,10.90,10.94,10.63,10.78,8088683
2026-06-03,10.78,10.78,10.40,10.45,6223966
2026-06-04,10.51,10.87,10.51,10.68,4881928
2026-06-05,10.65,10.71,9.81,10.22,14615980
2026-06-08,10.16,10.41,9.87,10.39,8844003
2026-06-09,10.40,10.51,10.21,10.24,8326849
2026-06-10,10.26,10.43,10.19,10.31,6066286
2026-06-11,10.25,10.76,10.08,10.49,6901432
2026-06-12,10.46,10.53,10.17,10.47,4901205
2026-06-15,10.85,10.97,10.37,10.49,10877740
2026-06-16,10.44,10.79,10.20,10.30,7950145
2026-06-17,10.19,10.29,9.91,9.98,9025114
2026-06-18,9.98,10.20,9.75,9.94,28105420
2026-06-22,9.88,10.10,9.75,9.89,8102860
2026-06-23,9.80,9.89,9.59,9.71,7896560
2026-06-24,9.69,9.88,9.63,9.75,5871979
2026-06-25,9.70,9.84,9.40,9.43,6661478
2026-06-26,9.36,9.82,9.35,9.64,7282804
2026-06-29,9.82,9.96,9.66,9.82,7001452
2026-06-30,9.80,10.01,9.61,9.86,14379380
2026-07-01,9.90,10.23,9.71,10.17,7970801
2026-07-02,10.23,10.39,10.09,10.39,5759795
2026-07-06,10.32,10.37,9.97,10.09,6825867
2026-07-07,10.14,10.22,9.93,9.94,4327439
2026-07-08,9.95,9.95,9.60,9.75,6541321
2026-07-09,9.25,9.42,8.84,9.33,18873940
2026-07-10,9.42,9.53,9.24,9.41,9351872
2026-07-13,9.46,9.79,9.38,9.55,10841750
2026-07-14,9.46,9.55,9.10,9.12,7986486
2026-07-15,9.22,9.35,9.07,9.25,6546161
2026-07-16,9.28,9.38,9.12,9.14,9007369
2026-07-17,9.06,9.13,8.69,8.75,12992380
2026-07-20,8.80,8.84,8.55,8.57,9185393
2026-07-21,8.51,8.65,8.41,8.53,9092312
2026-07-22,8.57,8.92,8.46,8.78,11617660
2026-07-23,8.67,8.73,8.46,8.49,6752962
2026-07-24,8.50,8.57,8.17,8.21,8476583
2026-07-27,8.20,8.24,7.86,8.03,18407190
2026-07-28,8.08,8.18,7.96,8.07,15798700
2026-07-29,8.11,8.13,7.82,7.95,14348210
2026-07-30,7.90,7.91,7.66,7.81,13567600
2026-07-31,7.80,8.00,7.62,7.96,15142250
