date,open,high,low,close,volume
2016-09-15,61.95,62.67,61.55,62.54,8871186
2016-09-16,62.88,63.44,62.37,62.99,14676950
2016-09-19,63.13,63.39,62.76,62.86,6732339
2016-09-20,63.27,63.30,62.53,62.70,5466124
2016-09-21,63.10,63.64,62.91,63.57,7481034
2016-09-22,63.71,64.00,63.36,63.52,7895668
2016-09-23,63.00,63.57,62.67,62.75,7794672
2016-09-26,62.49,62.56,61.86,62.31,6199455
2016-09-27,62.53,63.36,62.44,63.31,5228184
2016-09-28,63.23,63.69,63.00,63.45,5243441
2016-09-29,63.28,68.83,62.71,67.45,43065230
2016-09-30,68.40,70.40,68.15,68.50,34361800
2016-10-03,68.08,69.28,66.87,67.11,10152810
2016-10-04,67.70,67.70,66.56,66.68,9740928
2016-10-05,66.84,67.42,66.55,66.84,6361946
2016-10-06,66.80,69.32,66.23,67.54,12942510
2016-10-07,67.53,68.33,67.49,68.19,8315809
2016-10-10,68.34,68.58,67.06,67.25,7029825
2016-10-11,67.00,67.09,65.45,66.09,8905244
2016-10-12,66.49,66.49,65.06,66.06,6608123
2016-10-13,65.55,66.06,64.30,65.70,7225174
2016-10-14,65.94,66.59,65.45,65.70,6737837
2016-10-17,65.53,65.71,65.09,65.19,6348159
2016-10-18,66.18,66.22,65.57,66.10,5965258
2016-10-19,65.88,66.06,65.31,65.79,5409069
2016-10-20,65.48,68.17,65.48,67.34,13457430
2016-10-21,67.11,69.44,66.70,67.93,19664820
2016-10-24,68.40,68.45,67.48,68.06,6551945
2016-10-25,67.90,68.25,67.48,67.71,5369950
2016-10-26,67.31,68.62,67.25,68.20,9227986
2016-10-27,70.80,71.62,70.00,70.09,33921170
2016-10-28,70.52,70.53,67.66,68.40,17952180
2016-10-31,69.00,69.51,68.68,68.72,10108210
2016-11-01,69.00,69.35,67.54,68.34,8909665
2016-11-02,68.46,68.60,67.03,67.09,15146750
2016-11-03,67.69,68.57,65.93,66.95,15630930
2016-11-04,65.74,67.41,65.74,66.73,8572152
2016-11-07,67.72,68.58,67.39,68.46,9198966
2016-11-08,68.22,68.71,67.63,68.27,6696351
2016-11-09,66.63,68.09,66.25,67.88,11604410
2016-11-10,67.81,68.21,64.32,66.31,17767460
2016-11-11,65.87,67.00,65.84,66.88,10224730
2016-11-14,67.42,67.42,65.93,65.93,8238111
2016-11-15,66.26,67.16,65.95,66.77,9606171
2016-11-16,66.71,66.71,65.65,66.30,9544651
2016-11-17,66.44,66.77,66.16,66.67,6981703
2016-11-18,66.68,67.45,65.94,67.31,9506336
2016-11-21,66.86,67.20,66.15,67.10,7868688
2016-11-22,67.57,68.60,67.04,68.31,9694603
2016-11-23,68.33,68.50,67.75,68.13,4820166
2016-11-25,68.16,68.42,67.71,68.29,4200136
2016-11-28,67.42,67.70,66.80,67.10,8217472
2016-11-29,67.23,67.54,66.63,66.77,6536446
2016-11-30,66.80,68.31,66.50,68.13,12450820
2016-12-01,67.72,67.92,63.78,64.16,16562800
2016-12-02,63.95,66.33,63.95,65.84,9686593
2016-12-05,66.38,66.94,65.69,66.36,8603317
2016-12-06,66.65,67.48,66.50,67.45,6688492
2016-12-07,67.35,68.34,66.95,68.34,7202394
2016-12-08,68.42,69.18,68.37,68.55,5546377
2016-12-09,68.61,68.89,67.80,68.52,5543106
2016-12-12,68.37,68.64,67.92,68.47,5615300
2016-12-13,68.72,70.24,68.49,69.34,8382471
2016-12-14,68.64,69.18,67.35,67.56,9956679
2016-12-15,68.10,68.77,67.31,68.03,7162436
2016-12-16,68.49,68.49,66.30,66.46,17899440
2016-12-19,66.79,67.43,66.64,67.02,7863507
2016-12-20,67.38,67.56,66.77,66.91,6684800
2016-12-21,67.07,67.35,66.82,67.16,5203454
2016-12-22,67.64,67.75,66.46,66.76,5900148
2016-12-23,66.89,66.94,66.52,66.86,3087852
2016-12-27,67.14,67.58,67.06,67.25,3021707
2016-12-28,66.65,67.07,65.70,65.75,6489036
2016-12-29,65.50,66.08,65.42,66.04,3695530
2016-12-30,66.25,66.35,65.04,65.20,5934414
2017-01-03,65.86,66.14,64.60,65.40,9501883
2017-01-04,65.67,65.95,65.26,65.47,6206217
2017-01-05,65.32,65.98,65.05,65.55,5997266
2017-01-06,65.48,65.87,64.86,65.53,6743242
2017-01-09,65.53,66.27,65.49,65.65,4751403
