date,open,high,low,close,volume
2026-06-04,68.00,71.35,59.89,60.38,29612020
2026-06-05,59.80,59.89,51.15,56.26,10670550
2026-06-08,58.66,61.80,57.51,58.40,4773689
2026-06-09,61.30,62.78,54.50,54.94,4572643
2026-06-10,54.82,55.35,50.10,51.40,5907449
2026-06-11,51.50,57.34,51.00,56.49,3137369
2026-06-12,56.15,57.48,54.25,55.26,1263508
2026-06-15,57.27,61.00,55.26,57.91,3115008
2026-06-16,58.75,59.33,54.64,55.43,1962194
2026-06-17,55.76,65.60,55.70,62.75,3663846
2026-06-18,63.41,72.74,62.00,69.80,5269900
2026-06-22,69.50,77.85,66.75,68.27,3992048
2026-06-23,66.52,81.48,66.10,77.46,5582936
2026-06-24,77.61,78.50,67.85,71.10,4295731
2026-06-25,72.62,72.81,64.53,71.68,2850775
2026-06-26,67.25,79.30,66.67,75.57,3972131
2026-06-29,79.50,80.50,70.61,72.84,4936617
2026-06-30,72.98,82.30,69.76,81.74,3780124
2026-07-01,80.13,81.84,75.28,78.41,4783649
2026-07-02,78.00,80.61,71.52,74.56,3097784
2026-07-06,74.44,86.79,74.20,83.17,5285854
2026-07-07,83.17,83.17,76.10,77.60,2826917
2026-07-08,76.05,78.88,75.10,75.61,1209069
2026-07-09,77.00,77.69,73.35,73.51,1062757
2026-07-10,73.37,73.64,69.27,70.45,1185056
2026-07-13,70.00,70.52,62.93,64.09,1594491
2026-07-14,65.00,67.31,63.01,66.63,1400419
2026-07-15,67.04,69.50,58.78,60.51,1945922
2026-07-16,59.02,59.70,56.52,56.52,1302379
2026-07-17,54.58,58.86,52.70,56.07,1343924
2026-07-20,57.06,60.89,56.52,57.35,1345362
2026-07-21,58.35,59.30,55.25,58.58,1276567
2026-07-22,57.50,59.97,53.70,54.88,1519172
2026-07-23,53.70,57.66,53.07,56.46,1367597
2026-07-24,56.41,56.74,52.00,52.29,1171210
2026-07-27,53.50,56.79,51.10,52.83,1461640
2026-07-28,52.00,52.89,47.13,49.78,1680888
2026-07-29,49.57,50.82,47.06,47.34,1399271
2026-07-30,48.12,52.44,48.00,51.55,1044963
2026-07-31,52.95,54.33,50.41,51.41,1163350
2026-08-03,51.40,56.76,49.38,55.65,1645631
2026-08-04,57.50,58.77,54.79,58.14,1408284
2026-08-05,57.13,57.75,55.16,56.91,910748
2026-08-06,55.00,60.37,54.33,58.88,1015491
2026-08-07,60.00,62.47,58.40,58.71,1077765
2026-08-10,58.71,59.45,55.96,56.59,737915
2026-08-11,56.82,57.40,53.89,56.06,1561226
2026-08-12,59.65,72.40,57.52,71.74,4584153
2026-08-13,69.66,71.47,66.09,68.50,2181327
2026-08-14,68.40,70.50,62.86,63.59,2614045
2026-08-17,63.54,67.40,62.37,66.01,1485246
2026-08-18,63.40,64.33,58.91,59.50,1752674
2026-08-19,59.66,59.72,55.79,56.00,1983192
2026-08-20,55.79,57.20,54.06,54.90,1322523
2026-08-21,55.20,56.96,54.28,56.60,1665258
2026-08-24,55.00,55.45,51.96,52.07,1270736
2026-08-25,52.88,54.44,52.62,53.89,928661
2026-08-26,52.56,54.12,52.55,53.29,696033
2026-08-27,53.99,54.78,53.42,54.00,630941
2026-08-28,53.70,54.14,49.65,49.92,1483828
2026-08-31,50.00,51.84,49.46,50.10,1170899
2026-09-01,49.01,49.07,47.41,47.66,1175101
2026-09-02,47.30,48.39,46.54,48.00,2132250
2026-09-03,48.58,49.32,46.80,48.70,1535485
2026-09-04,49.31,49.89,48.24,49.65,1073247
2026-09-08,52.04,53.25,49.80,50.47,2903351
2026-09-09,50.16,53.12,48.82,48.89,1406232
2026-09-10,47.40,49.93,47.00,48.67,1146852
2026-09-11,48.91,49.95,48.02,49.03,1017649
2026-09-14,47.29,51.05,47.28,49.10,1749093
2026-09-15,48.65,50.20,48.02,48.65,1287122
