date,open,high,low,close,volume
2021-01-04,62.47,62.55,60.60,61.42,303775
2021-01-05,61.19,62.69,60.95,62.55,349499
2021-01-06,62.96,65.32,62.96,65.22,552141
2021-01-07,65.88,67.30,64.96,66.97,457947
2021-01-08,67.00,67.92,66.81,67.04,346638
2021-01-11,66.46,68.00,66.40,67.05,310852
2021-01-12,67.41,68.98,66.97,68.32,448812
2021-01-13,68.41,68.69,66.19,66.31,501035
2021-01-14,67.70,69.63,67.01,68.48,693801
2021-01-15,67.80,68.07,65.84,67.46,318683
2021-01-19,68.10,69.10,67.79,68.26,414965
2021-01-20,68.60,69.94,68.26,69.55,339397
2021-01-21,69.56,69.95,68.42,68.52,268933
2021-01-22,67.71,68.66,66.50,68.24,391363
2021-01-25,68.05,68.52,65.34,67.19,800069
2021-01-26,67.77,67.77,66.24,66.65,465522
2021-01-27,65.22,67.07,64.03,64.54,495637
2021-01-28,65.29,66.11,64.54,65.37,317473
2021-01-29,65.31,65.31,62.35,62.59,587317
2021-02-01,63.40,63.88,61.36,63.52,287288
2021-02-02,64.29,64.92,62.46,64.54,365884
2021-02-03,64.79,65.13,63.90,64.60,227684
2021-02-04,64.80,67.60,64.29,67.57,429911
2021-02-05,68.36,68.73,67.17,67.25,239864
2021-02-08,67.83,68.96,67.70,68.96,457967
2021-02-09,68.80,69.00,67.70,68.18,451323
2021-02-10,68.87,70.23,68.12,69.14,646692
2021-02-11,65.70,67.44,62.77,65.30,1035721
2021-02-12,64.78,65.99,63.36,64.84,555478
2021-02-16,65.51,65.51,63.21,63.94,488685
2021-02-17,63.47,64.72,62.83,64.31,441377
2021-02-18,63.86,65.42,63.28,63.97,401673
2021-02-19,64.37,67.01,64.37,66.35,391449
2021-02-22,66.05,68.44,66.05,66.68,534348
2021-02-23,66.21,68.95,65.01,68.53,593508
2021-02-24,68.75,69.80,67.17,69.23,679096
2021-02-25,68.87,69.89,67.49,68.26,450683
2021-02-26,68.63,69.69,67.03,67.77,546496
2021-03-01,69.31,70.63,68.67,69.96,375439
2021-03-02,70.23,71.59,69.75,69.92,392409
2021-03-03,70.38,71.56,69.92,70.91,288451
2021-03-04,71.00,71.85,68.78,70.52,389290
2021-03-05,71.54,73.04,70.07,72.93,403792
2021-03-08,73.50,76.60,73.29,74.61,472453
2021-03-09,74.89,75.56,73.66,74.45,454294
2021-03-10,74.98,76.56,74.87,76.11,328211
2021-03-11,76.33,79.15,76.33,78.94,486900
2021-03-12,79.37,79.90,76.73,77.39,527976
2021-03-15,77.34,77.36,75.57,76.90,622510
2021-03-16,76.73,76.73,74.81,75.44,413315
2021-03-17,75.80,76.09,74.55,76.08,537200
2021-03-18,76.31,78.09,74.37,74.71,670628
2021-03-19,74.51,74.58,72.65,73.98,804664
2021-03-22,73.82,73.86,72.06,72.73,487442
2021-03-23,71.72,72.42,68.48,69.22,603202
2021-03-24,70.48,72.80,70.39,70.50,481500
2021-03-25,69.96,72.52,69.14,72.46,542319
2021-03-26,73.72,76.46,73.21,76.45,460676
2021-03-29,76.45,77.31,73.66,74.14,547660
2021-03-30,74.15,76.56,74.15,75.81,371418
2021-03-31,75.52,76.86,74.50,75.65,511684
2021-04-01,76.35,76.94,75.20,76.91,249760
2021-04-05,77.62,79.25,77.11,78.49,725894
2021-04-06,78.55,79.25,77.76,78.00,443881
2021-04-07,78.00,78.17,76.65,77.12,364672
2021-04-08,76.95,77.32,74.95,77.28,488416
2021-04-09,77.26,77.69,76.21,77.17,407657
2021-04-12,77.52,79.14,77.20,78.05,347446
2021-04-13,77.79,78.39,75.54,76.47,529874
2021-04-14,76.53,78.36,76.52,77.00,323668
2021-04-15,77.87,78.69,76.86,78.37,244914
2021-04-16,78.49,78.68,77.08,77.80,524598
2021-04-19,77.64,77.85,76.05,76.32,426040
2021-04-20,76.05,76.42,72.34,73.62,560239
2021-04-21,73.61,74.52,73.20,73.65,508559
2021-04-22,73.80,75.52,73.08,73.86,409572
2021-04-23,74.25,74.99,73.75,74.77,451438
2021-04-26,75.00,76.48,74.92,75.31,444267
2021-04-27,75.67,77.46,75.14,76.78,552507
2021-04-28,76.78,78.62,75.63,77.36,557115
2021-04-29,79.91,81.98,78.80,81.93,817907
2021-04-30,81.31,81.76,79.48,79.84,800869
2021-05-03,80.94,81.35,79.80,80.27,605584
2021-05-04,80.40,81.98,80.03,81.92,551438
2021-05-05,82.34,85.94,82.20,85.77,537253
2021-05-06,85.77,87.06,83.95,87.05,457275
2021-05-07,86.28,87.41,85.68,87.22,448438
2021-05-10,87.53,89.65,86.52,86.54,447780
2021-05-11,84.63,85.43,82.05,84.42,609455
2021-05-12,83.80,84.30,80.80,81.48,637784
2021-05-13,82.29,85.45,82.29,84.85,611140
2021-05-14,85.50,85.83,84.44,85.14,543416
2021-05-17,85.04,86.67,84.65,86.40,334758
2021-05-18,86.73,87.00,84.83,84.90,431416
2021-05-19,82.90,84.55,81.75,83.73,509368
2021-05-20,83.13,83.15,80.49,80.99,543053
2021-05-21,80.88,81.62,80.45,81.00,437742
2021-05-24,81.47,81.98,80.50,81.61,290708
2021-05-25,81.37,82.25,80.30,80.53,621940
2021-05-26,80.59,82.00,79.55,81.78,526524
2021-05-27,82.80,83.86,82.40,82.61,716885
2021-05-28,82.70,82.70,80.22,81.79,324908
2021-06-01,82.84,84.34,82.34,84.23,406282
2021-06-02,84.77,84.77,81.92,82.29,494059
2021-06-03,81.85,83.39,81.05,82.87,343134
2021-06-04,83.46,83.46,80.07,80.61,538001
2021-06-07,80.76,81.15,79.57,80.17,517004
2021-06-08,80.25,81.36,78.95,81.01,361309
2021-06-09,81.01,81.13,79.08,79.58,585844
2021-06-10,79.76,80.40,77.96,77.98,527350
2021-06-11,78.37,79.61,78.24,79.42,488200
2021-06-14,79.42,79.42,76.03,76.26,734972
2021-06-15,76.29,78.67,75.90,78.44,528303
2021-06-16,78.13,78.60,76.63,76.79,718220
2021-06-17,76.79,77.44,72.77,73.87,697433
2021-06-18,72.77,73.21,71.65,71.77,686286
2021-06-21,72.86,73.99,72.69,73.91,357112
2021-06-22,73.91,74.56,73.06,73.38,513400
2021-06-23,73.48,74.72,72.94,73.35,450404
2021-06-24,73.67,74.15,72.54,74.03,336054
2021-06-25,74.06,75.49,73.56,75.26,826084
2021-06-28,74.94,75.19,72.08,73.74,717451
2021-06-29,73.90,74.40,72.67,74.31,772218
2021-06-30,74.19,74.69,73.61,74.33,674107
2021-07-01,75.16,76.92,74.80,76.33,893603
2021-07-02,75.31,75.58,74.09,74.22,572053
2021-07-06,74.22,74.32,72.13,73.52,708946
2021-07-07,73.17,74.27,72.72,73.66,698190
2021-07-08,72.07,72.89,70.30,71.70,549141
2021-07-09,73.34,74.26,72.88,73.86,389664
2021-07-12,72.88,74.60,72.31,74.49,501283
2021-07-13,73.98,74.71,72.87,73.96,620621
2021-07-14,74.61,75.51,73.19,73.30,560028
2021-07-15,73.03,74.44,72.52,73.10,660684
2021-07-16,73.29,73.72,70.32,70.95,1614595
2021-07-19,69.05,69.90,67.58,68.94,873148
2021-07-20,69.30,72.26,69.30,70.80,1173411
2021-07-21,71.82,72.28,71.06,71.29,898144
2021-07-22,71.54,72.45,70.09,71.47,712952
2021-07-23,72.24,73.72,71.26,73.41,726797
2021-07-26,73.72,74.77,72.43,72.90,555582
2021-07-27,72.50,74.34,71.78,73.90,783377
2021-07-28,74.34,74.73,70.68,73.48,682363
2021-07-29,75.00,77.35,74.45,77.20,587274
2021-07-30,76.90,77.95,75.55,76.15,740705
2021-08-02,76.44,78.69,75.68,75.73,776208
2021-08-03,76.28,78.37,75.89,78.37,642755
2021-08-04,77.53,77.96,75.37,75.40,527468
2021-08-05,75.97,77.40,75.50,76.32,443001
2021-08-06,77.22,77.91,76.45,77.19,285657
2021-08-09,76.59,76.86,75.22,75.32,535746
2021-08-10,75.41,76.89,74.85,76.46,507659
2021-08-11,76.89,79.38,76.07,79.36,457162
2021-08-12,79.62,79.89,78.24,79.15,328453
2021-08-13,79.13,79.75,78.60,79.38,230769
2021-08-16,78.78,79.54,77.65,78.49,357610
2021-08-17,77.94,78.56,75.67,77.08,390038
2021-08-18,76.63,78.59,75.61,75.72,498783
2021-08-19,75.02,75.31,72.21,73.10,453934
2021-08-20,73.00,74.55,72.59,74.40,410461
2021-08-23,75.25,76.94,75.23,75.86,417536
2021-08-24,76.49,77.98,76.00,77.11,497652
2021-08-25,77.45,79.48,77.35,79.09,806104
2021-08-26,78.90,79.32,78.59,79.07,473816
2021-08-27,79.41,82.06,79.29,81.25,476685
2021-08-30,81.50,81.79,80.36,80.90,398955
2021-08-31,80.68,81.00,79.08,79.49,382571
2021-09-01,79.42,79.77,78.39,78.92,445213
2021-09-02,79.13,80.93,78.94,80.53,604810
2021-09-03,80.65,81.20,79.57,79.70,447347
2021-09-07,79.97,80.80,79.64,80.08,431271
2021-09-08,80.29,80.49,77.46,77.83,572147
2021-09-09,77.43,77.86,76.62,77.31,429659
2021-09-10,78.11,79.03,77.86,78.00,485880
2021-09-13,79.06,79.77,77.20,79.67,559164
2021-09-14,79.68,80.03,78.38,79.07,525620
2021-09-15,79.55,81.97,79.15,81.35,558106
2021-09-16,81.79,82.51,79.52,79.88,510216
2021-09-17,79.95,80.33,77.39,78.56,928675
2021-09-20,76.27,77.68,75.60,77.46,518579
2021-09-21,78.40,78.54,76.07,76.61,444922
2021-09-22,77.50,79.46,77.50,78.70,436689
2021-09-23,79.67,81.49,79.67,81.18,335633
2021-09-24,81.24,82.91,81.03,82.23,438441
2021-09-27,83.00,86.36,82.89,85.17,423367
2021-09-28,85.17,85.88,83.68,83.88,329931
2021-09-29,84.40,84.62,83.20,84.38,356815
2021-09-30,84.48,84.59,82.59,82.71,499329
2021-10-01,83.37,83.59,81.39,83.25,406228
2021-10-04,83.21,84.50,82.48,83.00,356772
2021-10-05,83.22,84.25,82.30,83.52,494968
2021-10-06,82.36,83.30,81.61,83.15,359004
2021-10-07,84.18,84.95,83.49,83.69,373983
2021-10-08,83.69,83.95,82.21,83.20,340532
2021-10-11,83.73,84.21,82.02,82.10,484972
2021-10-12,81.94,82.63,81.30,82.37,433973
2021-10-13,82.24,82.40,80.81,81.86,327498
2021-10-14,83.43,84.15,82.81,83.25,376623
2021-10-15,84.30,84.74,83.73,83.75,466844
2021-10-18,83.31,85.04,83.04,85.04,314918
2021-10-19,85.52,86.38,85.10,86.00,428587
2021-10-20,85.96,87.53,85.59,87.41,326553
2021-10-21,87.71,88.28,86.70,87.84,480168
2021-10-22,87.90,89.65,87.90,88.94,408942
