date,open,high,low,close,volume
2016-09-15,46.95,47.98,46.89,47.85,219052
2016-09-16,46.55,46.80,46.39,46.65,485120
2016-09-19,47.56,47.93,47.51,47.73,204862
2016-09-20,47.49,47.64,47.26,47.57,202902
2016-09-21,48.55,49.16,48.30,49.10,472638
2016-09-22,50.43,50.62,50.21,50.53,684573
2016-09-23,50.65,50.96,50.17,50.22,472294
2016-09-26,50.28,50.39,50.06,50.34,351977
2016-09-27,50.08,50.65,49.87,50.12,353432
2016-09-28,50.65,51.54,50.59,51.49,730991
2016-09-29,51.49,51.60,50.43,50.77,331744
2016-09-30,51.42,52.18,51.16,51.87,699875
2016-10-03,51.92,52.11,51.75,52.06,347819
2016-10-04,52.55,52.97,52.23,52.67,425454
2016-10-05,53.31,53.66,53.00,53.64,647048
2016-10-06,53.29,53.49,53.11,53.15,436735
2016-10-07,53.32,53.56,53.13,53.49,339037
2016-10-10,54.18,54.33,53.63,53.84,239974
2016-10-11,53.42,53.54,52.93,53.32,327052
2016-10-12,53.10,53.58,52.92,53.51,564695
2016-10-13,52.89,53.13,52.39,52.51,1170064
2016-10-14,52.85,53.01,52.63,52.72,818621
2016-10-17,52.75,52.76,52.09,52.21,361217
2016-10-18,52.73,52.77,51.94,52.40,365644
2016-10-19,52.01,52.69,51.95,52.55,202818
2016-10-20,52.48,52.95,52.38,52.78,216244
2016-10-21,52.02,52.60,51.99,52.60,155138
2016-10-24,52.83,53.35,52.82,53.25,364106
2016-10-25,52.99,53.05,52.58,53.01,269194
2016-10-26,52.79,53.29,52.65,53.11,323003
2016-10-27,53.12,53.16,52.75,53.00,217379
2016-10-28,52.63,53.19,52.54,52.87,231152
2016-10-31,52.73,52.84,52.26,52.77,213593
2016-11-01,53.09,53.10,51.02,51.31,520708
2016-11-02,51.14,51.71,50.90,51.31,418879
2016-11-03,50.97,51.34,50.46,50.50,352697
2016-11-04,50.43,51.44,50.39,51.07,554062
2016-11-07,53.52,54.99,53.11,54.89,896755
2016-11-08,54.43,54.77,54.15,54.42,837010
2016-11-09,53.99,54.30,53.69,54.21,641851
2016-11-10,53.46,54.21,52.83,53.53,750832
2016-11-11,53.38,54.89,53.18,54.47,942041
2016-11-14,53.57,54.22,53.18,53.26,1007152
2016-11-15,52.78,54.24,52.76,54.09,435187
2016-11-16,53.15,53.93,53.13,53.47,448986
2016-11-17,53.23,53.55,53.09,53.29,263530
2016-11-18,53.19,53.23,52.72,52.76,382619
2016-11-21,53.20,53.62,53.16,53.43,237701
2016-11-22,53.83,54.42,53.75,54.31,323571
2016-11-23,53.14,53.89,53.03,53.70,239836
2016-11-25,54.69,54.94,54.48,54.78,288583
2016-11-28,54.00,54.34,53.71,53.77,240657
2016-11-29,53.82,54.99,53.82,54.74,622701
2016-11-30,54.94,54.99,54.11,54.12,602894
2016-12-01,54.01,54.65,53.94,54.47,514676
2016-12-02,54.20,54.53,53.94,54.09,627575
2016-12-05,55.03,55.82,54.93,55.59,699852
2016-12-06,55.07,56.07,55.07,56.04,409918
2016-12-07,56.32,57.11,56.32,56.95,721621
2016-12-08,56.66,56.97,56.44,56.77,456638
2016-12-09,56.82,56.95,56.78,56.88,271607
2016-12-12,57.07,57.32,56.48,56.86,383713
2016-12-13,57.04,57.99,57.03,57.79,434358
2016-12-14,58.00,58.47,57.83,57.87,1213207
