date,open,high,low,close,volume
2025-06-25,47.00,48.50,46.80,47.50,399728
2025-06-26,47.25,48.00,47.25,48.00,41628
2025-06-27,52.00,55.08,47.00,52.98,230858
2025-06-30,50.25,54.60,45.57,48.49,27065700
2025-07-01,47.47,49.00,47.00,47.52,4899759
2025-07-02,47.00,47.47,45.25,45.75,6820802
2025-07-03,44.13,46.74,43.75,45.20,5068388
2025-07-07,44.55,47.15,44.00,46.18,6626620
2025-07-08,47.01,48.35,46.51,48.00,4671799
2025-07-09,47.50,49.31,46.75,48.74,3179264
2025-07-10,49.36,50.05,48.50,49.11,1634313
2025-07-11,48.79,49.39,47.17,47.40,1658730
2025-07-14,47.17,48.38,46.42,47.36,1429977
2025-07-15,48.66,49.76,47.37,48.20,2246025
2025-07-16,48.78,48.80,47.14,47.48,1435188
2025-07-17,47.95,48.52,47.21,48.02,1825520
2025-07-18,47.74,48.23,46.52,46.64,1508170
2025-07-21,46.99,47.60,46.52,46.52,1198169
2025-07-22,47.03,47.57,45.97,46.67,1835963
2025-07-23,47.09,48.13,46.30,48.10,2102865
2025-07-24,48.00,49.00,46.65,46.92,1079008
2025-07-25,46.47,47.54,45.90,47.50,1746272
2025-07-28,47.36,48.50,46.92,48.30,801694
2025-07-29,48.29,48.75,46.99,47.30,668238
2025-07-30,47.66,47.97,45.76,46.52,943583
2025-07-31,46.18,46.83,44.97,45.72,1126091
2025-08-01,45.20,45.74,43.49,44.38,1204080
2025-08-04,44.97,45.56,42.58,42.93,1187926
2025-08-05,42.52,44.37,42.34,43.61,1358979
2025-08-06,43.68,45.19,43.16,43.52,1732837
2025-08-07,43.46,44.46,42.00,42.80,1354762
2025-08-08,42.54,45.09,42.23,45.00,1444553
2025-08-11,45.08,45.62,44.17,44.74,1323367
2025-08-12,46.48,47.39,42.69,44.53,1812914
2025-08-13,45.35,47.13,44.28,45.10,1857647
2025-08-14,44.65,44.90,43.55,43.59,901729
2025-08-15,44.39,44.60,42.45,43.50,1329023
2025-08-18,43.64,43.94,43.20,43.20,824556
2025-08-19,43.51,43.51,42.35,42.84,1213462
2025-08-20,42.63,43.27,40.97,41.79,1731991
2025-08-21,41.57,42.58,41.34,41.97,1245459
2025-08-22,42.16,43.99,41.82,43.75,1708377
2025-08-25,43.71,43.71,42.11,42.36,1170192
2025-08-26,42.41,42.59,41.23,41.25,2558992
2025-08-27,41.53,42.74,41.47,42.33,896767
2025-08-28,42.38,43.05,41.62,42.69,951628
2025-08-29,42.37,43.09,41.78,41.81,706002
2025-09-02,42.14,42.83,41.00,42.59,1369880
2025-09-03,42.63,43.28,41.85,42.27,780874
2025-09-04,42.28,43.40,42.06,42.79,1288489
2025-09-05,43.61,44.40,42.81,43.28,1039692
2025-09-08,43.22,43.79,42.00,42.33,957698
2025-09-09,42.21,42.45,41.35,42.26,985143
2025-09-10,42.97,43.35,41.78,41.95,1078579
2025-09-11,41.89,43.14,41.42,42.92,1463755
2025-09-12,42.72,42.76,41.31,41.32,991934
2025-09-15,41.32,42.26,41.06,41.32,861851
2025-09-16,41.20,41.85,40.70,41.83,908970
2025-09-17,41.89,42.81,41.59,41.89,1120847
2025-09-18,42.50,44.16,42.50,43.76,1818475
2025-09-19,44.31,44.31,42.80,43.42,2486856
2025-09-22,43.00,44.51,43.00,44.38,1008730
2025-09-23,44.60,44.96,43.84,44.06,846603
2025-09-24,44.34,44.62,43.24,43.89,1063387
2025-09-25,43.07,43.30,42.06,42.70,1119048
2025-09-26,42.50,43.38,42.23,43.15,750114
2025-09-29,43.56,43.72,42.48,42.82,804462
2025-09-30,43.00,43.77,42.35,43.73,1037638
2025-10-01,43.18,44.43,42.69,44.16,1042314
2025-10-02,44.70,45.78,43.75,44.22,867980
2025-10-03,44.31,45.03,44.25,44.30,746786
2025-10-06,44.95,45.46,43.89,43.98,685729
2025-10-07,44.08,44.26,43.27,43.83,533723
2025-10-08,44.03,44.71,43.17,44.54,762691
2025-10-09,44.29,44.32,43.09,43.22,478232
2025-10-10,43.65,43.83,41.40,41.42,846243
2025-10-13,42.15,42.53,41.69,41.84,877463
2025-10-14,41.51,42.75,41.12,42.47,968850
2025-10-15,42.85,43.28,42.75,43.19,1074602
2025-10-16,43.43,43.76,42.91,43.04,929731
2025-10-17,42.96,43.50,41.60,42.35,1176566
2025-10-20,42.40,43.15,42.27,42.54,1006788
2025-10-21,42.94,43.70,42.84,43.39,922371
2025-10-22,43.19,43.25,42.01,42.42,712566
2025-10-23,42.22,43.47,42.01,43.45,709418
2025-10-24,43.54,44.26,43.11,43.41,1182697
2025-10-27,44.07,44.27,43.15,43.55,710212
2025-10-28,43.24,43.66,42.58,42.96,1248044
2025-10-29,43.37,44.98,43.09,43.58,1383894
2025-10-30,43.35,44.31,43.22,43.62,1189858
2025-10-31,43.20,44.16,43.14,43.92,1338453
2025-11-03,43.91,44.31,42.85,44.28,867374
2025-11-04,43.73,44.09,43.10,43.18,668492
2025-11-05,43.08,44.96,43.03,44.40,1706468
2025-11-06,43.03,47.78,42.63,46.86,2629573
2025-11-07,47.09,47.45,45.69,46.65,1962306
2025-11-10,47.01,47.22,45.84,45.92,1091668
2025-11-11,46.61,47.21,46.24,46.75,1441404
2025-11-12,46.68,48.83,46.68,47.78,2948520
2025-11-13,47.65,48.00,46.35,47.32,1667318
2025-11-14,47.01,47.95,46.50,47.46,1283747
2025-11-17,47.20,47.74,45.95,46.48,1671901
2025-11-18,46.11,47.07,44.80,45.76,1415337
2025-11-19,45.57,46.51,45.35,46.06,1310251
2025-11-20,46.46,47.62,44.32,44.57,1753829
2025-11-21,44.43,46.32,44.07,45.97,1422987
2025-11-24,45.97,46.90,45.67,46.86,1618782
2025-11-25,47.30,48.88,47.22,48.10,1445261
2025-11-26,48.37,49.80,48.14,48.78,1611181
2025-11-28,49.06,49.99,48.20,49.37,861531
2025-12-01,48.96,49.30,48.55,48.78,1023752
2025-12-02,48.83,49.12,48.23,48.74,1347036
2025-12-03,48.50,50.65,48.12,50.38,1479244
2025-12-04,50.29,51.77,50.05,51.63,1158080
2025-12-05,51.24,51.36,50.18,51.10,2922260
2025-12-08,52.37,52.44,50.92,51.33,1217530
2025-12-09,50.99,52.39,50.67,50.95,1596248
2025-12-10,50.77,51.75,50.23,51.40,1821377
2025-12-11,51.36,52.42,50.86,52.22,1324654
2025-12-12,52.89,52.89,50.56,50.96,1046910
2025-12-15,51.23,51.70,50.57,50.78,1053360
2025-12-16,50.85,51.45,50.31,50.50,1019709
2025-12-17,50.47,50.99,49.56,49.92,1048051
2025-12-18,50.40,50.92,49.60,50.91,1191188
2025-12-19,50.51,52.35,50.51,52.27,4274313
2025-12-22,52.49,52.60,51.54,51.72,1021826
2025-12-23,51.82,52.34,50.42,51.60,1006530
2025-12-24,51.82,52.09,51.32,51.65,486507
2025-12-26,51.56,51.97,51.10,51.49,888935
2025-12-29,51.23,51.46,50.80,51.25,1196050
2025-12-30,51.17,51.31,50.67,51.22,887669
2025-12-31,51.23,51.64,50.75,50.91,761887
2026-01-02,51.44,51.54,50.35,51.22,911692
2026-01-05,50.94,52.54,50.66,51.63,1042536
2026-01-06,51.64,52.26,51.18,52.00,1614447
2026-01-07,52.47,52.98,51.42,52.15,703850
2026-01-08,52.07,52.13,51.10,51.20,908177
2026-01-09,51.00,52.59,50.90,52.52,1274517
2026-01-12,52.15,53.26,51.53,52.91,790689
2026-01-13,53.20,53.60,52.15,52.25,758662
2026-01-14,52.31,53.00,52.01,52.53,988090
2026-01-15,52.63,54.38,52.53,53.91,1400150
2026-01-16,53.92,54.07,53.20,53.53,1227878
2026-01-20,52.73,53.66,51.60,51.87,1225109
2026-01-21,52.47,54.20,51.78,53.83,1023698
2026-01-22,54.58,55.25,54.10,54.27,1445650
2026-01-23,53.48,54.12,52.77,53.73,1531862
2026-01-26,53.72,54.40,52.81,53.85,1105583
2026-01-27,53.73,54.05,52.95,53.32,1074776
2026-01-28,53.56,53.70,52.73,52.96,1293417
2026-01-29,53.24,54.26,52.49,53.85,1576812
2026-01-30,53.56,54.15,52.41,52.97,3437191
2026-02-02,52.24,54.02,52.24,53.48,1506628
2026-02-03,53.35,54.78,52.66,54.73,2154125
2026-02-04,55.35,57.02,54.83,56.28,2848201
2026-02-05,41.74,41.88,37.27,38.39,10127810
2026-02-06,39.54,40.35,38.20,39.52,4940995
