date,open,high,low,close,volume
2016-09-15,67.66,67.94,67.15,67.34,1820881
2016-09-16,66.97,67.21,66.03,66.32,2004793
2016-09-19,66.88,66.88,65.45,65.48,2293484
2016-09-20,66.12,68.75,66.01,68.41,3361849
2016-09-21,68.65,68.82,67.06,67.86,1646773
2016-09-22,68.25,71.10,68.22,70.99,4071113
2016-09-23,70.52,72.31,68.73,71.99,2768625
2016-09-26,72.43,73.38,70.74,71.45,3086665
2016-09-27,71.67,74.43,71.57,74.35,3418291
2016-09-28,74.67,74.84,73.64,74.21,2038731
2016-09-29,73.92,74.56,73.70,74.25,2041305
2016-09-30,74.51,75.72,73.96,74.95,1932354
2016-10-03,74.49,75.36,74.03,74.57,1311351
2016-10-04,75.23,75.37,74.49,75.22,1800759
2016-10-05,75.00,75.50,74.29,74.85,2227503
2016-10-06,74.84,75.09,74.15,74.84,1507866
2016-10-07,74.74,75.16,73.69,73.69,1772110
2016-10-10,74.03,74.50,73.60,73.71,883181
2016-10-11,73.71,73.72,71.90,72.33,1932840
2016-10-12,72.38,72.89,71.72,72.38,1172900
2016-10-13,71.50,72.33,71.23,72.07,1637158
2016-10-14,71.80,72.54,69.96,69.98,2350710
2016-10-17,69.85,70.00,68.67,68.79,2231017
2016-10-18,69.99,70.95,69.56,70.05,1534559
2016-10-19,69.75,71.14,69.53,70.82,1562850
2016-10-20,70.81,70.81,69.51,70.48,1200644
2016-10-21,69.94,70.39,69.32,69.37,1709991
2016-10-24,69.88,70.94,69.81,70.35,1505387
2016-10-25,70.03,70.80,69.84,70.63,1113944
2016-10-26,70.39,70.44,69.69,69.90,2266490
2016-10-27,69.25,69.40,67.53,68.05,3119754
2016-10-28,72.13,75.46,71.50,74.47,7745024
2016-10-31,75.00,77.50,74.85,76.87,5247412
2016-11-01,77.11,77.78,74.62,76.22,3859222
2016-11-02,75.78,76.85,74.90,75.03,1779944
2016-11-03,75.41,76.69,75.41,76.09,2098298
2016-11-04,76.09,76.89,75.15,75.23,1347726
2016-11-07,76.16,76.77,75.56,76.48,2226725
2016-11-08,76.17,77.80,75.98,77.56,1929505
2016-11-09,76.22,79.47,75.80,79.01,3945842
2016-11-10,79.22,81.63,79.22,80.35,2845695
2016-11-11,80.44,82.13,80.36,81.75,2648261
2016-11-14,82.49,84.50,82.32,84.06,3853639
2016-11-15,84.00,84.15,82.70,82.97,1884113
2016-11-16,82.73,82.95,81.75,82.41,1423608
2016-11-17,82.20,83.42,82.08,82.87,1390788
2016-11-18,82.90,83.36,82.08,82.95,1193219
2016-11-21,83.10,83.59,82.32,82.67,1027318
2016-11-22,82.64,83.23,82.23,82.50,1797085
2016-11-23,82.73,82.87,82.08,82.59,1392910
2016-11-25,82.55,83.35,82.01,83.02,628154
2016-11-28,82.86,82.87,81.32,81.50,1478087
2016-11-29,81.94,82.98,81.75,82.92,1262248
2016-11-30,82.59,82.59,80.10,80.97,2107661
2016-12-01,80.56,80.78,78.77,79.30,1807405
2016-12-02,79.30,79.97,79.10,79.56,900018
2016-12-05,80.30,82.50,79.86,81.05,1585615
2016-12-06,81.22,81.79,80.87,81.15,1384872
2016-12-07,81.25,83.40,80.60,83.15,2043190
2016-12-08,83.36,85.82,82.51,85.78,2448590
2016-12-09,85.64,86.38,85.36,86.19,1511100
2016-12-12,85.67,85.72,84.66,85.56,2340301
2016-12-13,85.85,86.32,85.14,85.50,1658998
2016-12-14,85.50,86.70,85.43,85.72,1823765
2016-12-15,84.72,86.83,84.33,85.54,3598395
2016-12-16,85.43,85.76,83.72,84.03,2344235
2016-12-19,83.19,83.80,81.95,82.55,1432637
2016-12-20,83.16,86.24,82.86,85.40,2191116
2016-12-21,84.97,85.35,84.43,85.21,1140514
2016-12-22,84.96,84.96,83.34,84.24,1624173
2016-12-23,84.23,84.35,83.19,84.25,648458
2016-12-27,84.40,85.14,83.76,83.80,536809
2016-12-28,83.98,84.09,82.86,83.02,865038
2016-12-29,83.17,83.35,82.40,82.96,869672
2016-12-30,83.24,83.50,81.59,82.04,1074313
2017-01-03,82.72,84.57,82.72,83.87,1739482
2017-01-04,83.92,85.20,83.52,84.50,1691293
2017-01-05,84.60,85.50,84.46,85.00,1409466
2017-01-06,85.28,85.38,84.23,84.33,1451049
2017-01-09,84.36,85.11,84.05,84.55,1333520
2017-01-10,84.77,86.78,84.36,85.93,1531155
2017-01-11,85.90,86.67,85.02,86.62,1121795
2017-01-12,86.43,86.47,84.78,85.89,1370461
2017-01-13,85.63,86.03,84.89,85.09,1108381
2017-01-17,84.88,85.11,84.03,84.99,1015839
2017-01-18,84.90,86.35,84.05,85.51,1401500
2017-01-19,84.72,85.94,84.26,84.56,1759168
2017-01-20,84.83,86.54,84.50,85.04,2201689
2017-01-23,84.97,85.18,84.52,84.96,2373737
2017-01-24,85.22,86.36,85.16,86.03,3030881
2017-01-25,86.75,88.23,86.48,87.67,3402765
2017-01-26,93.05,96.09,92.28,95.64,7610270
2017-01-27,95.52,95.60,93.79,94.56,3285515
2017-01-30,95.23,95.74,93.62,94.40,2137329
2017-01-31,94.42,94.46,92.65,93.63,1884717
2017-02-01,93.94,95.02,93.63,94.33,2154878
2017-02-02,94.21,94.82,93.61,94.03,1336668
2017-02-03,94.01,95.28,93.96,94.52,1578223
2017-02-06,94.18,95.14,94.08,94.81,1226020
2017-02-07,95.21,95.50,94.57,95.03,1131355
2017-02-08,94.99,95.37,94.58,94.97,1495891
2017-02-09,95.13,95.47,94.77,95.37,1346190
2017-02-10,95.43,96.22,94.94,95.84,1341048
2017-02-13,96.49,97.03,96.10,96.50,1177461
2017-02-14,96.44,97.07,96.22,96.52,906714
2017-02-15,96.14,97.42,95.68,96.75,1322707
2017-02-16,96.68,96.85,95.42,95.93,1303085
2017-02-17,95.70,95.82,94.43,95.21,1495030
2017-02-21,95.22,96.05,94.93,95.49,1632842
2017-02-22,95.46,96.21,95.00,95.95,2058303
2017-02-23,96.55,97.39,95.42,95.53,1487550
2017-02-24,95.63,96.15,94.65,96.15,1215616
2017-02-27,95.96,96.89,95.57,96.69,1403533
2017-02-28,96.65,97.15,96.08,96.10,1284831
2017-03-01,96.87,97.67,96.53,97.31,1247353
2017-03-02,97.48,97.48,96.77,97.18,828629
2017-03-03,96.42,97.07,94.66,95.48,1827639
2017-03-06,94.62,94.98,93.40,94.81,1564154
2017-03-07,94.67,94.91,94.07,94.54,1361243
2017-03-08,95.05,96.09,94.86,95.37,1513277
2017-03-09,95.91,96.13,94.89,95.50,847233
2017-03-10,95.75,97.72,95.75,97.25,1672998
2017-03-13,97.51,97.65,96.40,96.89,1165276
2017-03-14,96.78,96.82,95.44,95.94,1040440
2017-03-15,96.18,97.00,95.86,96.75,781795
2017-03-16,96.90,97.24,96.45,96.99,841069
2017-03-17,97.01,98.46,96.88,97.80,1697638
2017-03-20,97.90,98.02,97.06,97.91,798027
2017-03-21,98.56,99.00,96.63,97.05,1075570
2017-03-22,96.72,99.07,95.56,98.75,1451742
2017-03-23,99.05,100.48,99.05,99.35,1636412
2017-03-24,99.42,99.78,98.18,98.57,913873
2017-03-27,98.11,99.57,97.33,99.28,1093471
2017-03-28,99.88,101.11,99.76,100.32,1372917
2017-03-29,100.00,100.44,98.63,98.92,1123204
2017-03-30,98.92,99.74,98.92,99.65,1090753
2017-03-31,99.66,99.88,98.05,98.11,1499347
2017-04-03,98.32,98.46,96.78,97.70,995929
2017-04-04,97.90,98.57,97.41,98.11,942419
2017-04-05,98.41,99.54,97.66,98.16,1063835
2017-04-06,97.86,99.22,97.12,98.78,927069
2017-04-07,98.69,98.76,96.53,97.39,1917788
2017-04-10,97.38,98.71,97.12,97.95,1496486
2017-04-11,97.29,97.88,94.85,95.30,2507780
2017-04-12,95.35,95.87,93.95,94.72,1422517
2017-04-13,94.57,95.35,93.86,94.36,1677913
2017-04-17,94.91,96.15,94.35,95.94,1082151
2017-04-18,95.71,95.92,94.58,95.55,919843
2017-04-19,96.17,97.05,95.60,95.91,984152
2017-04-20,96.32,97.98,96.32,97.21,1744958
2017-04-21,96.97,97.83,96.90,97.33,1025017
2017-04-24,98.85,99.49,96.91,97.44,1783056
2017-04-25,98.15,99.44,97.84,99.15,1463273
2017-04-26,99.27,100.92,99.14,100.47,1326867
2017-04-27,100.84,102.68,100.31,100.50,3006675
2017-04-28,106.32,110.60,105.42,106.60,6738289
2017-05-01,106.80,110.32,106.08,108.41,3561181
2017-05-02,108.73,108.95,106.46,108.07,2137773
2017-05-03,107.98,108.25,107.12,108.10,1280015
2017-05-04,108.44,108.91,107.47,107.92,2416612
2017-05-05,108.36,108.92,107.86,108.62,886074
2017-05-08,108.35,109.00,107.69,107.97,864987
2017-05-09,108.22,109.16,108.15,108.82,879166
2017-05-10,108.88,108.88,107.55,108.34,1196750
2017-05-11,108.00,108.33,106.68,108.26,985693
