date,open,high,low,close,volume
2021-01-04,45.77,46.38,43.90,44.27,1749412
2021-01-05,44.92,45.32,44.13,44.30,1256421
2021-01-06,44.97,46.18,44.94,45.60,1213784
2021-01-07,45.22,45.72,44.77,45.01,1172554
2021-01-08,45.09,45.51,44.75,45.49,1067067
2021-01-11,44.77,45.08,43.49,44.02,1206413
2021-01-12,43.95,44.79,43.90,44.75,747676
2021-01-13,44.64,46.52,44.64,46.37,1309993
2021-01-14,47.12,47.53,46.30,47.06,1060420
2021-01-15,46.66,47.22,46.09,47.07,1591996
2021-01-19,47.25,47.25,45.80,46.94,783603
2021-01-20,47.10,48.67,46.24,48.17,944804
2021-01-21,47.48,47.86,46.36,46.85,1016819
2021-01-22,46.49,47.05,46.08,46.93,1331116
2021-01-25,46.96,48.65,46.50,47.70,1723967
2021-01-26,48.11,48.62,47.17,47.93,1005308
2021-01-27,47.39,48.61,46.88,47.13,1379060
2021-01-28,47.43,48.98,46.96,47.68,1387851
2021-01-29,47.13,48.31,46.35,47.18,4012305
2021-02-01,47.86,47.86,45.57,46.94,1265853
2021-02-02,47.28,47.32,46.39,46.87,1005976
2021-02-03,46.81,47.85,46.09,47.60,1221819
2021-02-04,47.67,49.50,47.23,49.17,1320237
2021-02-05,49.76,49.93,48.98,49.11,1231723
2021-02-08,49.01,49.38,48.47,48.96,1106787
2021-02-09,49.34,49.88,49.00,49.54,656161
2021-02-10,49.68,50.98,49.60,50.16,852571
2021-02-11,50.59,51.34,49.92,51.25,1135272
2021-02-12,50.79,52.73,50.53,52.62,1187497
2021-02-16,52.63,53.34,51.96,52.23,1165111
2021-02-17,51.99,53.25,51.94,53.21,865642
2021-02-18,52.93,53.59,52.57,53.49,1079033
2021-02-19,53.50,53.83,52.60,52.80,1145141
2021-02-22,53.06,54.70,52.70,53.81,1314652
2021-02-23,54.49,55.38,53.90,55.22,803131
2021-02-24,55.11,56.38,54.52,56.30,1000252
2021-02-25,55.00,56.66,54.00,55.25,1378987
2021-02-26,54.85,55.20,53.80,54.78,1696742
2021-03-01,55.56,56.53,55.29,55.29,1305377
2021-03-02,55.17,55.17,53.83,54.16,1671150
2021-03-03,53.97,57.15,53.78,56.66,1855574
2021-03-04,56.18,57.16,55.28,56.28,1620218
2021-03-05,56.84,57.98,55.35,57.68,1303675
2021-03-08,58.24,59.73,57.38,59.18,846883
2021-03-09,58.73,58.86,57.55,58.55,2006806
2021-03-10,58.18,60.15,58.01,59.65,1955712
2021-03-11,59.02,60.14,58.84,58.98,1749113
2021-03-12,58.87,59.50,58.09,59.15,1014468
2021-03-15,59.26,59.54,57.69,58.97,1051290
2021-03-16,59.25,59.25,57.75,58.45,1398865
2021-03-17,58.30,58.85,57.86,58.15,1269101
2021-03-18,58.19,58.73,57.28,57.43,1328405
2021-03-19,57.43,57.50,55.90,56.06,2288255
2021-03-22,56.00,56.12,55.14,55.97,813840
2021-03-23,55.94,56.02,54.63,54.85,757036
2021-03-24,55.10,56.67,55.10,55.40,1023144
2021-03-25,54.98,57.11,54.50,57.05,1405857
2021-03-26,57.82,58.01,56.83,57.97,1033608
2021-03-29,57.11,57.56,56.11,56.75,1055845
2021-03-30,56.72,57.37,56.00,57.07,1049081
2021-03-31,56.58,57.20,56.19,56.71,1646040
2021-04-01,56.93,57.66,56.51,57.62,959139
2021-04-05,57.94,58.02,56.46,57.28,1620428
2021-04-06,57.34,57.62,56.81,57.28,1533158
2021-04-07,57.49,58.31,56.96,58.27,988755
2021-04-08,57.96,58.30,57.57,58.02,881952
2021-04-09,58.66,58.66,57.93,58.36,1318969
2021-04-12,58.43,58.66,57.44,58.35,951702
2021-04-13,57.86,59.26,57.86,59.22,1304144
2021-04-14,59.07,59.67,58.00,58.18,1145681
2021-04-15,58.50,59.32,58.50,59.13,1257039
2021-04-16,59.63,59.64,58.80,59.46,690315
2021-04-19,59.50,59.86,58.73,59.76,886309
2021-04-20,59.32,60.50,59.32,60.13,895858
2021-04-21,60.09,61.78,59.80,61.73,1049224
2021-04-22,61.69,62.96,61.36,61.72,1798852
2021-04-23,61.95,62.28,61.27,62.12,812348
2021-04-26,62.41,63.06,62.07,62.37,665681
2021-04-27,62.40,63.30,62.10,62.97,663452
2021-04-28,63.35,63.48,62.52,62.67,704589
2021-04-29,63.30,64.19,63.09,63.63,568087
2021-04-30,63.64,63.91,63.10,63.66,1062292
2021-05-03,64.13,64.63,63.56,63.92,959282
2021-05-04,64.02,64.75,63.16,63.43,993208
2021-05-05,63.23,63.33,62.30,62.54,1259558
2021-05-06,63.05,64.04,62.78,63.82,1393391
