date,open,high,low,close,volume
2021-01-04,49.21,49.34,47.21,47.24,730327
2021-01-05,47.34,47.86,46.97,46.98,1096115
2021-01-06,47.20,47.26,46.20,46.60,1160481
2021-01-07,46.63,46.82,46.07,46.71,556734
2021-01-08,46.70,47.23,46.53,46.86,360948
2021-01-11,46.69,47.04,46.43,46.74,546688
2021-01-12,46.68,47.14,46.14,46.42,656722
2021-01-13,46.51,47.59,46.19,46.98,1030173
2021-01-14,47.25,47.25,46.51,46.55,544094
2021-01-15,46.61,47.72,46.34,47.66,631910
2021-01-19,47.98,48.06,47.30,47.38,745634
2021-01-20,47.42,49.52,47.29,49.50,623089
2021-01-21,49.40,49.85,48.88,49.62,352792
2021-01-22,49.26,50.06,49.11,49.68,530147
2021-01-25,49.79,50.57,49.41,49.96,643830
2021-01-26,50.11,51.22,50.11,50.94,682312
2021-01-27,50.73,51.37,49.51,49.67,739266
2021-01-28,49.45,49.72,48.65,48.89,713646
2021-01-29,48.45,49.34,47.75,48.94,590068
2021-02-01,49.17,51.01,48.73,50.94,563682
2021-02-02,51.17,51.50,50.60,51.21,575580
2021-02-03,50.96,51.02,49.57,49.57,1017143
2021-02-04,49.62,50.31,49.57,49.65,779323
2021-02-05,49.80,50.20,49.62,50.00,419773
2021-02-08,50.21,50.21,49.70,49.88,369387
2021-02-09,50.19,50.31,49.65,49.96,638703
2021-02-10,50.27,50.86,49.97,50.38,962178
2021-02-11,50.50,51.80,50.18,50.76,957707
2021-02-12,50.39,51.56,50.39,51.50,577221
2021-02-16,51.54,51.54,50.69,51.25,851141
2021-02-17,50.99,51.39,50.82,50.94,569339
2021-02-18,50.75,51.10,49.61,49.66,455551
2021-02-19,49.75,50.10,49.46,49.59,529401
2021-02-22,49.42,49.70,48.83,49.50,606417
2021-02-23,49.41,49.96,49.32,49.52,469829
2021-02-24,49.47,49.87,49.00,49.84,784416
2021-02-25,49.57,49.95,48.72,48.76,1023800
2021-02-26,48.97,49.16,47.70,47.72,637749
2021-03-01,48.42,48.82,47.85,48.14,685810
2021-03-02,47.89,48.00,47.02,47.63,616643
2021-03-03,47.40,47.71,46.60,46.74,793626
2021-03-04,46.89,47.64,46.07,46.59,896800
2021-03-05,46.98,47.64,45.90,47.59,519882
2021-03-08,47.58,48.33,47.27,47.43,710727
2021-03-09,47.85,48.44,47.59,47.65,861587
2021-03-10,47.71,48.14,47.59,47.69,478910
2021-03-11,47.75,48.54,47.59,48.24,496604
2021-03-12,48.20,49.34,48.03,49.27,882965
2021-03-15,49.55,50.90,49.01,50.24,1022801
2021-03-16,50.43,50.59,49.97,50.32,892282
2021-03-17,50.11,50.12,49.38,49.99,805157
2021-03-18,49.68,50.72,49.65,50.63,881491
2021-03-19,50.70,51.03,49.56,49.57,2782560
2021-03-22,49.65,50.49,49.26,50.27,949603
2021-03-23,50.15,51.33,50.09,50.98,1174581
2021-03-24,50.83,51.34,50.36,50.59,1072872
2021-03-25,50.55,50.83,49.82,50.56,907419
2021-03-26,50.72,51.48,50.63,51.44,686750
2021-03-29,51.15,51.73,50.48,50.58,1014614
2021-03-30,50.36,50.86,50.23,50.75,561350
2021-03-31,50.68,51.39,50.25,50.40,952141
2021-04-01,51.15,51.84,50.33,51.83,546069
2021-04-05,52.00,52.26,51.42,52.10,485269
2021-04-06,52.07,52.73,51.75,52.71,1172974
2021-04-07,52.75,52.91,52.08,52.63,649709
2021-04-08,52.76,53.28,52.73,52.75,669276
2021-04-09,52.80,53.00,52.49,52.88,440565
2021-04-12,53.09,53.40,52.27,53.16,542894
2021-04-13,53.34,54.37,53.34,54.24,521405
2021-04-14,54.31,54.61,53.00,53.03,533181
2021-04-15,53.20,54.68,53.20,54.64,505300
2021-04-16,54.86,55.04,54.44,54.79,467066
2021-04-19,54.80,55.25,54.56,55.25,572698
2021-04-20,55.14,56.56,55.14,56.49,469148
2021-04-21,56.80,57.23,56.30,56.41,843074
2021-04-22,56.38,56.89,54.73,55.16,776830
2021-04-23,55.16,55.32,54.76,55.23,621816
2021-04-26,55.34,55.68,54.80,55.61,483719
2021-04-27,55.82,55.89,55.21,55.65,489983
2021-04-28,55.55,55.74,55.01,55.06,380198
2021-04-29,54.69,55.59,54.69,55.28,432143
2021-04-30,55.06,55.74,55.00,55.55,461325
2021-05-03,55.55,55.94,55.12,55.17,738236
2021-05-04,55.08,55.42,54.68,54.96,447841
2021-05-05,54.93,54.93,53.55,53.73,365292
2021-05-06,53.75,54.81,53.66,54.58,593521
2021-05-07,54.50,55.08,54.46,55.03,361373
2021-05-10,55.23,55.49,54.40,54.48,700261
2021-05-11,53.97,54.11,52.59,53.21,733682
2021-05-12,53.00,53.25,52.47,52.76,493713
2021-05-13,52.90,53.81,52.75,53.41,522441
2021-05-14,53.71,54.04,53.53,53.82,413883
2021-05-17,53.78,54.09,53.48,53.95,431602
2021-05-18,53.86,54.57,53.55,54.19,850954
2021-05-19,53.81,54.12,53.30,54.06,593709
2021-05-20,54.02,54.83,54.02,54.82,590259
2021-05-21,54.89,55.09,54.51,54.87,612914
2021-05-24,55.07,57.01,54.73,56.71,1041857
2021-05-25,55.61,55.76,54.55,55.30,2938410
2021-05-26,55.81,55.81,55.12,55.23,1313872
2021-05-27,55.54,55.54,54.44,54.71,1783226
2021-05-28,54.86,55.45,54.72,55.23,979871
2021-06-01,55.25,55.66,54.93,55.59,1322799
2021-06-02,55.85,56.39,55.60,55.88,1813102
2021-06-03,55.80,56.66,55.60,56.56,2121986
2021-06-04,56.85,56.85,56.25,56.28,656912
2021-06-07,56.51,57.55,56.42,57.46,1135795
2021-06-08,57.74,58.32,56.95,58.10,1031274
2021-06-09,58.34,58.60,58.17,58.39,872590
2021-06-10,58.36,59.28,58.14,59.08,1734338
2021-06-11,59.20,59.46,58.68,59.26,1912035
2021-06-14,59.31,59.35,58.54,59.24,1646459
2021-06-15,59.21,59.30,58.84,58.84,760714
2021-06-16,59.02,59.49,57.71,57.74,1150345
2021-06-17,57.54,58.99,57.54,58.71,863761
2021-06-18,58.67,58.90,57.35,57.36,1536297
2021-06-21,57.54,59.07,57.33,58.88,825753
2021-06-22,58.72,59.11,58.12,58.59,863141
2021-06-23,58.60,58.81,58.12,58.44,767507
2021-06-24,58.63,58.77,58.02,58.27,416821
2021-06-25,58.13,59.22,58.11,59.20,942374
2021-06-28,59.26,59.76,58.06,58.60,896455
2021-06-29,58.39,58.61,57.86,57.88,571623
2021-06-30,57.87,58.25,56.86,56.95,799705
2021-07-01,57.04,57.80,56.79,57.12,870914
2021-07-02,57.31,57.83,57.09,57.44,715333
2021-07-06,57.58,58.24,56.93,58.13,665898
2021-07-07,58.11,58.62,57.90,58.23,504619
2021-07-08,57.86,58.59,57.42,57.96,1357384
2021-07-09,58.22,58.88,57.90,58.76,1371300
2021-07-12,58.63,59.38,58.63,59.23,469389
2021-07-13,59.15,59.21,58.27,58.38,467702
2021-07-14,58.21,59.15,57.99,58.68,627019
2021-07-15,58.73,59.34,58.42,59.20,739497
2021-07-16,59.45,59.99,59.11,59.16,1241848
2021-07-19,59.11,59.86,58.48,58.71,1469055
2021-07-20,59.11,60.63,59.11,60.23,1107303
2021-07-21,60.22,60.91,60.22,60.53,1003373
2021-07-22,60.75,61.59,60.04,60.20,1189807
2021-07-23,60.34,61.33,60.34,61.12,662193
2021-07-26,60.96,61.08,60.46,60.59,617193
2021-07-27,60.74,61.32,60.40,60.99,668415
2021-07-28,61.37,61.37,60.66,60.97,450067
2021-07-29,61.12,61.83,61.05,61.29,433940
2021-07-30,61.61,62.17,61.38,61.52,629452
2021-08-02,61.73,62.06,61.19,61.20,914988
2021-08-03,61.28,62.18,61.22,62.12,702653
2021-08-04,62.20,62.34,61.47,61.63,335567
2021-08-05,61.94,62.49,61.69,62.45,355953
2021-08-06,62.50,62.58,61.80,61.94,405267
2021-08-09,61.63,61.86,61.50,61.67,268777
2021-08-10,61.76,62.15,60.71,60.71,665286
