date,open,high,low,close,volume
2021-01-04,67.61,68.45,62.88,64.25,710550
2021-01-05,64.25,66.08,64.25,65.31,287535
2021-01-06,66.78,69.25,65.31,68.56,554423
2021-01-07,68.67,70.05,66.50,67.88,367832
2021-01-08,68.35,68.63,66.75,67.99,387362
2021-01-11,66.80,67.40,64.81,66.17,439553
2021-01-12,65.85,69.10,65.60,69.01,526344
2021-01-13,69.07,74.38,68.30,72.18,1237075
2021-01-14,72.91,73.96,68.94,69.29,648737
2021-01-15,68.45,69.08,67.01,67.76,743083
2021-01-19,67.84,69.35,66.00,67.98,432365
2021-01-20,67.75,69.65,67.05,68.75,356408
2021-01-21,68.64,69.40,67.93,68.80,375550
2021-01-22,67.85,67.87,64.86,66.63,571566
2021-01-25,65.88,66.69,64.06,65.77,394819
2021-01-26,66.40,66.58,63.58,63.75,359676
2021-01-27,62.01,65.11,61.24,63.08,623987
2021-01-28,62.91,68.18,62.70,66.18,1431876
2021-01-29,65.70,65.92,62.87,64.85,627435
2021-02-01,65.41,67.24,64.59,66.99,383301
2021-02-02,68.00,69.12,67.14,67.55,507221
2021-02-03,67.31,68.35,66.63,66.89,371557
2021-02-04,67.03,69.74,66.82,69.00,449261
2021-02-05,70.00,71.05,69.18,70.38,303859
2021-02-08,70.56,71.82,70.18,71.77,339872
2021-02-09,71.54,71.56,67.63,67.79,311724
2021-02-10,68.04,71.68,68.04,70.48,325375
2021-02-11,70.71,71.88,69.55,71.22,310956
2021-02-12,70.82,73.58,70.82,73.50,275781
2021-02-16,73.85,75.17,72.40,73.65,326057
2021-02-17,73.13,74.21,72.17,73.30,216351
2021-02-18,72.79,74.36,71.97,73.92,383650
2021-02-19,74.47,76.90,73.94,75.93,467910
2021-02-22,75.63,79.14,75.63,78.31,581670
2021-02-23,78.57,81.00,76.55,80.01,685016
2021-02-24,80.82,84.03,79.83,80.78,1064151
2021-02-25,80.76,81.87,74.74,75.67,685439
2021-02-26,76.23,81.00,74.99,77.29,887644
2021-03-01,79.87,81.32,77.74,81.01,822510
2021-03-02,80.39,81.52,77.25,78.20,400784
2021-03-03,78.80,82.16,78.80,80.47,560366
2021-03-04,80.59,80.59,75.36,79.13,834765
2021-03-05,80.49,81.10,77.32,80.32,839144
2021-03-08,81.00,81.98,79.07,80.72,622559
2021-03-09,81.51,83.19,78.81,81.10,668817
2021-03-10,81.50,84.67,81.31,82.85,451100
2021-03-11,83.20,84.88,81.32,83.08,620730
2021-03-12,83.58,84.73,81.58,82.13,560407
2021-03-15,81.67,85.38,81.28,85.38,907306
2021-03-16,85.30,85.30,83.08,83.96,522054
2021-03-17,83.75,86.58,83.39,84.50,656070
2021-03-18,83.89,84.95,81.42,81.75,778598
2021-03-19,82.06,84.32,79.50,80.50,1129126
2021-03-22,80.09,80.09,77.12,78.53,337758
2021-03-23,77.34,77.78,75.77,76.70,448108
2021-03-24,78.04,79.91,77.47,77.48,562627
2021-03-25,76.92,78.83,74.35,78.20,519606
2021-03-26,79.32,79.84,77.89,79.00,508699
2021-03-29,78.58,79.65,76.07,76.94,359970
2021-03-30,77.18,79.38,77.18,78.27,308651
2021-03-31,78.02,79.00,76.66,77.51,405508
2021-04-01,77.90,79.06,77.39,78.85,213510
2021-04-05,79.87,80.25,77.03,77.87,420315
2021-04-06,77.99,78.55,76.56,76.94,315629
2021-04-07,77.02,78.08,76.21,77.61,301940
2021-04-08,77.36,78.37,75.83,77.81,259185
2021-04-09,77.43,77.58,75.01,76.64,355115
2021-04-12,76.94,77.75,75.89,77.56,333096
2021-04-13,76.62,76.99,74.74,76.05,389868
2021-04-14,76.41,80.09,76.05,76.13,708560
2021-04-15,77.01,77.18,74.82,77.03,457598
2021-04-16,77.95,79.41,77.55,78.09,329372
2021-04-19,77.53,78.30,76.25,78.19,301871
2021-04-20,77.18,77.63,74.73,75.23,422804
2021-04-21,74.90,77.88,73.82,77.16,333703
2021-04-22,77.95,78.33,74.78,76.32,448312
2021-04-23,76.31,77.58,75.55,75.94,736923
2021-04-26,76.82,78.78,75.53,77.04,444290
2021-04-27,76.65,78.55,76.63,77.35,374209
2021-04-28,77.59,78.20,76.68,76.78,458555
2021-04-29,77.47,79.44,77.38,78.99,467663
2021-04-30,78.09,78.92,76.81,78.65,341670
2021-05-03,79.35,82.43,79.11,81.37,539592
2021-05-04,79.32,80.15,75.36,76.05,909832
2021-05-05,76.20,77.33,75.01,75.40,498096
2021-05-06,75.61,76.23,74.39,75.65,342603
2021-05-07,75.47,78.99,75.47,78.99,261728
2021-05-10,79.22,79.33,76.53,76.63,354938
2021-05-11,74.74,76.52,73.70,76.27,401188
2021-05-12,76.00,76.30,70.68,71.19,403213
2021-05-13,72.19,74.75,72.19,73.52,438008
2021-05-14,74.08,76.57,74.08,76.22,203740
2021-05-17,75.18,75.18,73.59,74.53,291060
2021-05-18,74.58,74.68,72.07,72.13,464041
2021-05-19,70.98,71.70,68.64,70.84,348181
2021-05-20,70.86,70.86,68.75,70.07,296435
2021-05-21,70.65,71.82,70.33,70.46,303728
2021-05-24,71.12,72.36,69.87,72.30,242493
2021-05-25,72.68,74.98,72.31,73.22,418850
2021-05-26,72.99,75.97,72.27,75.74,397395
2021-05-27,76.42,76.50,75.22,75.58,233645
2021-05-28,76.19,76.19,74.45,74.91,197061
2021-06-01,75.75,78.12,75.07,77.90,368193
2021-06-02,78.51,78.62,77.04,77.21,185227
2021-06-03,76.64,76.64,75.06,75.17,186544
2021-06-04,75.50,76.31,74.34,74.53,225849
2021-06-07,74.57,76.67,74.18,76.28,547799
2021-06-08,76.99,80.69,75.90,79.66,868249
2021-06-09,80.16,80.16,77.77,78.91,390253
2021-06-10,79.30,79.30,78.11,78.25,453094
2021-06-11,78.10,81.53,78.10,80.89,393248
2021-06-14,81.26,82.13,80.06,80.88,485804
2021-06-15,81.00,83.66,80.86,83.08,707126
2021-06-16,83.29,84.60,82.13,83.34,440501
2021-06-17,83.41,83.94,81.07,83.11,439189
2021-06-18,83.11,83.11,79.56,81.80,738965
2021-06-21,82.00,83.24,81.30,82.83,328920
2021-06-22,82.23,82.97,81.00,82.41,395749
2021-06-23,82.50,83.77,81.83,81.95,366490
2021-06-24,82.37,83.66,80.90,83.59,633806
2021-06-25,84.05,84.28,82.77,83.77,782399
2021-06-28,83.15,83.48,78.21,79.79,762738
2021-06-29,79.84,80.09,78.38,78.60,466909
2021-06-30,78.60,79.96,77.71,78.96,357013
2021-07-01,79.59,80.62,77.76,77.84,418376
2021-07-02,77.84,77.84,76.52,76.86,293097
2021-07-06,76.48,76.97,72.60,74.86,598248
2021-07-07,74.86,76.16,73.78,75.28,545166
2021-07-08,73.58,75.06,71.68,74.53,654968
2021-07-09,75.84,77.90,75.09,77.89,411948
2021-07-12,79.06,81.01,77.94,80.65,597366
2021-07-13,79.25,80.08,78.05,78.22,516330
2021-07-14,78.94,80.98,78.04,79.00,431584
2021-07-15,77.95,80.07,77.56,79.11,656793
2021-07-16,80.49,81.58,78.39,78.43,889666
2021-07-19,75.86,76.48,71.15,74.86,1136179
2021-07-20,74.97,77.79,71.75,76.85,684954
2021-07-21,78.11,82.76,77.89,82.65,784552
2021-07-22,82.00,82.03,78.58,81.26,371634
2021-07-23,82.17,82.26,77.58,79.41,776053
2021-07-26,79.69,81.00,76.81,78.40,615686
2021-07-27,77.66,78.55,76.51,77.19,416019
2021-07-28,77.95,78.46,75.10,77.00,364036
2021-07-29,78.15,78.79,77.38,77.58,282819
2021-07-30,76.95,78.94,76.05,76.70,488508
2021-08-02,77.28,79.33,75.63,75.95,298959
2021-08-03,74.50,77.71,72.32,76.95,484294
2021-08-04,75.95,77.43,73.80,74.40,487874
2021-08-05,75.18,78.21,75.14,78.08,444349
2021-08-06,79.61,80.04,78.00,78.70,425525
2021-08-09,77.54,77.94,75.61,75.62,358694
2021-08-10,75.35,77.50,74.86,76.85,257375
2021-08-11,76.86,79.92,75.79,79.88,446366
2021-08-12,80.00,80.46,78.60,80.13,749604
2021-08-13,80.25,80.25,78.33,79.87,552506
2021-08-16,78.50,79.64,76.96,78.22,495946
2021-08-17,77.00,77.05,74.16,75.25,486716
2021-08-18,75.11,75.51,73.67,73.86,417544
2021-08-19,72.56,73.55,71.03,72.75,380483
2021-08-20,72.22,75.75,71.31,75.40,425045
2021-08-23,76.09,76.72,75.27,76.24,345856
2021-08-24,76.67,79.49,76.66,78.92,430338
2021-08-25,78.75,81.02,78.15,79.84,373663
2021-08-26,79.94,80.26,76.93,77.77,319181
