date,open,high,low,close,volume
2021-01-04,18.80,19.23,15.85,16.48,32293630
2021-01-05,15.75,18.65,15.35,18.41,28099780
2021-01-06,18.89,20.68,18.12,19.28,40860400
2021-01-07,20.84,24.70,19.87,22.72,59358050
2021-01-08,24.77,27.39,23.59,26.59,57499660
2021-01-11,21.00,24.00,20.26,22.64,55243830
2021-01-12,23.28,24.91,22.08,24.21,29022140
2021-01-13,23.65,25.08,22.52,23.88,24905720
2021-01-14,25.90,29.28,25.56,28.90,37560980
2021-01-15,27.00,27.15,24.51,25.78,28732180
2021-01-19,26.70,27.20,24.75,25.20,20272300
2021-01-20,24.28,24.28,20.70,22.28,26544460
2021-01-21,19.37,20.47,17.90,19.35,38293040
2021-01-22,20.30,22.50,20.28,20.97,30545080
2021-01-25,22.01,22.25,19.16,19.67,19272000
2021-01-26,18.98,20.30,18.37,19.32,14084380
2021-01-27,17.79,18.93,16.75,17.93,13308790
2021-01-28,18.39,22.41,17.75,19.93,26695000
2021-01-29,24.50,24.74,19.66,20.52,26696140
2021-02-01,20.17,20.48,18.69,19.98,13088890
2021-02-02,20.56,22.18,19.62,21.49,15361840
2021-02-03,22.14,23.64,21.72,22.85,18199940
2021-02-04,23.47,23.50,21.42,23.08,12936740
2021-02-05,23.58,24.39,22.93,23.38,12295600
2021-02-08,27.30,32.90,25.90,32.79,52243980
2021-02-09,35.56,41.88,33.23,39.86,53085090
2021-02-10,37.04,39.74,32.25,36.56,27942700
2021-02-11,42.35,46.64,40.83,43.09,39870510
2021-02-12,46.14,52.73,43.66,49.28,48423860
2021-02-16,55.05,61.27,54.35,59.50,43863930
2021-02-17,67.84,79.50,61.70,77.90,72578480
2021-02-18,72.76,78.75,58.77,62.03,86796140
2021-02-19,68.80,77.82,67.42,71.33,75047070
2021-02-22,61.00,69.45,59.70,64.76,52489460
2021-02-23,53.70,56.89,45.02,48.80,52317030
2021-02-24,53.41,56.46,50.86,52.27,33336870
2021-02-25,54.33,55.89,45.22,45.67,23574610
2021-02-26,41.99,47.75,40.55,43.74,23843620
2021-03-01,49.04,53.81,46.58,53.60,26614510
2021-03-02,57.00,57.02,48.50,49.10,23546280
2021-03-03,55.14,55.28,48.60,49.57,21775370
2021-03-04,47.40,49.00,41.33,44.29,20168780
2021-03-05,44.99,45.25,34.25,40.30,27668290
2021-03-08,42.20,43.65,37.62,38.98,17403020
2021-03-09,43.95,54.00,43.72,52.16,36308270
2021-03-10,57.50,59.33,52.80,56.50,35830640
2021-03-11,57.96,63.69,56.72,63.31,29031950
2021-03-12,58.10,65.75,57.70,62.81,26820460
2021-03-15,62.78,67.66,62.71,63.43,22488730
2021-03-16,62.00,62.17,55.70,56.98,18223100
2021-03-17,54.80,65.16,53.40,64.74,26146190
2021-03-18,63.00,67.85,59.15,60.19,28855880
2021-03-19,61.03,63.70,59.50,60.65,18072840
2021-03-22,59.95,60.69,55.17,56.01,17993730
2021-03-23,54.91,57.44,50.01,50.12,18373720
2021-03-24,54.36,55.71,45.00,45.71,20265120
2021-03-25,39.38,49.29,39.13,48.17,26951370
2021-03-26,49.41,49.80,45.85,48.22,15141590
2021-03-29,51.51,52.75,47.30,47.89,17849770
2021-03-30,48.83,52.19,47.42,51.51,18358730
2021-03-31,50.73,54.58,49.41,53.27,21061700
2021-04-01,54.75,56.82,51.12,52.03,15058040
2021-04-05,52.11,57.85,50.39,56.90,18908720
2021-04-06,56.00,56.36,52.31,54.10,15194780
2021-04-07,50.52,53.02,47.70,48.37,16833140
2021-04-08,50.52,51.89,49.35,49.55,13416220
2021-04-09,50.48,51.60,47.76,49.63,13678590
2021-04-12,52.50,55.79,50.62,51.53,23779380
2021-04-13,56.44,59.96,52.86,59.26,42774270
2021-04-14,60.80,61.55,49.30,50.16,52949230
2021-04-15,50.87,52.42,43.29,48.11,39017150
2021-04-16,45.01,47.56,42.80,44.64,24637470
2021-04-19,40.35,43.31,38.71,40.90,28356430
2021-04-20,40.54,41.10,35.71,38.56,29240870
2021-04-21,36.99,42.07,36.06,41.31,26801740
2021-04-22,40.58,42.21,36.37,36.49,27895060
2021-04-23,34.09,38.91,33.37,38.48,25879720
2021-04-26,41.27,42.16,39.55,40.89,19234300
2021-04-27,41.65,41.83,39.82,40.52,13779310
2021-04-28,40.18,44.16,39.41,43.93,15088660
2021-04-29,41.95,42.73,39.42,40.33,12765250
2021-04-30,40.81,43.38,40.45,41.83,15422820
2021-05-03,42.88,44.10,39.32,39.99,14120730
2021-05-04,38.60,39.00,35.10,37.57,15015600
2021-05-05,38.16,39.11,36.00,36.62,12083470
2021-05-06,36.39,36.65,32.00,33.45,14595140
2021-05-07,33.80,35.52,32.62,33.39,11020940
2021-05-10,33.33,33.40,29.88,29.95,15802820
2021-05-11,25.99,30.80,25.65,29.87,19802840
2021-05-12,28.25,29.60,26.08,26.52,15277550
2021-05-13,24.91,26.95,20.68,22.23,36110500
2021-05-14,24.05,26.80,23.63,26.02,22633660
2021-05-17,23.40,24.52,22.52,24.31,19652800
2021-05-18,23.20,26.80,23.12,25.56,24456870
2021-05-19,21.95,24.38,21.61,24.14,41600080
2021-05-20,26.07,26.58,23.13,24.18,24949520
2021-05-21,24.45,25.46,22.46,22.84,24553770
2021-05-24,23.45,26.30,22.77,25.95,22951140
2021-05-25,24.98,25.86,24.35,25.14,16489510
2021-05-26,26.68,28.63,26.03,27.64,28262440
2021-05-27,28.85,29.60,27.28,28.50,23524240
2021-05-28,27.40,28.72,26.73,27.13,13679840
2021-06-01,27.10,29.87,27.06,29.23,14647720
2021-06-02,30.28,31.06,29.10,30.03,14458580
2021-06-03,30.48,30.52,28.01,28.28,11061760
2021-06-04,27.96,29.18,27.60,29.15,9402455
2021-06-07,29.23,29.49,27.90,28.82,8729932
2021-06-08,27.38,28.43,25.29,28.06,13799470
2021-06-09,28.63,33.09,28.35,31.41,21515690
2021-06-10,31.77,32.69,30.41,31.64,14163460
2021-06-11,31.20,31.87,30.14,31.03,8444021
2021-06-14,34.01,38.08,33.38,35.40,25488970
2021-06-15,36.06,36.67,33.81,35.06,12984930
2021-06-16,33.92,35.12,33.21,34.20,10166400
2021-06-17,34.00,35.92,33.75,34.30,10132190
2021-06-18,33.66,34.28,31.68,32.18,10785840
