date,open,high,low,close,volume
2021-01-04,339.98,340.00,316.46,317.90,4919713
2021-01-05,320.80,335.38,320.50,335.18,4506492
2021-01-06,325.04,347.95,320.21,342.95,7546926
2021-01-07,352.01,379.39,352.00,379.29,8091042
2021-01-08,391.35,402.85,387.18,399.13,8410817
2021-01-11,390.30,416.22,390.03,403.13,5850650
2021-01-12,407.90,419.75,405.56,415.29,4766175
2021-01-13,419.30,423.00,404.50,408.60,4036917
2021-01-14,410.81,422.52,410.11,418.46,3416864
2021-01-15,418.00,425.99,407.09,408.30,3365868
2021-01-19,420.73,438.36,420.09,434.14,6043327
2021-01-20,442.82,448.17,425.60,428.50,4352990
2021-01-21,429.31,431.00,418.89,423.64,3272740
2021-01-22,422.00,429.89,418.33,422.85,2989751
2021-01-25,430.89,443.85,415.01,426.64,4770271
2021-01-26,424.98,429.39,400.31,403.40,4229847
2021-01-27,394.95,420.00,383.60,402.26,5698388
2021-01-28,409.10,409.11,392.18,404.01,3558832
2021-01-29,400.20,406.59,384.03,389.03,3853206
2021-02-01,395.33,416.34,393.19,416.20,3774472
2021-02-02,420.00,420.57,409.00,418.75,2750429
2021-02-03,422.50,432.61,421.88,425.07,2400460
2021-02-04,427.89,432.75,421.00,432.68,1887344
2021-02-05,435.21,443.20,430.91,439.89,2646191
2021-02-08,444.02,449.19,431.82,434.63,3056625
2021-02-09,436.46,484.85,433.53,467.30,8053741
2021-02-10,469.22,478.65,449.42,469.69,4002484
2021-02-11,474.39,479.95,462.95,465.69,2796999
2021-02-12,463.85,470.35,457.06,468.67,2115676
2021-02-16,476.99,486.72,466.28,469.70,3726504
2021-02-17,456.22,457.25,436.00,456.97,3911967
2021-02-18,448.50,462.50,441.77,452.99,4890448
2021-02-19,462.03,472.83,442.77,467.31,7685532
2021-02-22,458.77,483.70,434.01,437.28,7795597
2021-02-23,413.01,424.40,381.03,415.87,7253988
2021-02-24,410.00,420.00,400.00,413.79,3667338
2021-02-25,406.24,418.94,378.00,382.34,5348605
2021-02-26,391.40,401.88,380.66,395.48,4452767
2021-03-01,407.08,420.50,397.20,420.31,3818098
2021-03-02,425.98,429.44,388.70,389.67,6013398
2021-03-03,395.01,402.98,367.90,369.50,7048884
2021-03-04,366.00,375.56,345.54,359.95,7879905
2021-03-05,358.50,361.91,322.43,353.54,7957530
2021-03-08,347.53,356.99,325.00,327.19,5336933
2021-03-09,348.50,362.86,340.41,361.11,5158342
2021-03-10,369.08,376.28,352.96,356.54,4098192
2021-03-11,370.00,370.00,358.94,363.34,3578767
2021-03-12,350.14,361.48,346.14,359.96,2720084
2021-03-15,358.98,363.45,354.06,362.92,2363639
2021-03-16,364.50,369.60,348.53,353.58,3192054
2021-03-17,346.25,370.99,341.29,368.71,3370532
2021-03-18,359.03,361.35,341.38,341.95,3370467
2021-03-19,342.60,350.55,334.04,347.51,3549500
2021-03-22,352.90,361.33,350.98,356.32,2699815
2021-03-23,357.12,363.87,341.53,342.24,3335696
2021-03-24,344.01,345.10,317.05,318.45,3670709
2021-03-25,311.25,322.68,307.26,317.62,4151183
2021-03-26,315.65,318.78,292.92,306.82,5156235
2021-03-29,303.82,308.75,293.61,300.79,3522647
2021-03-30,303.70,314.81,296.36,311.96,4278944
