date,open,high,low,close,volume
2021-01-04,39.31,39.98,38.02,38.24,1628520
2021-01-05,38.07,38.94,38.02,38.87,1352240
2021-01-06,38.58,39.84,38.27,39.51,1378514
2021-01-07,39.65,40.26,39.40,40.17,1238074
2021-01-08,40.27,40.86,40.15,40.80,1179918
2021-01-11,40.50,41.23,40.50,40.91,797001
2021-01-12,41.00,41.76,40.90,41.51,981453
2021-01-13,41.83,41.83,39.81,39.86,1228241
2021-01-14,39.79,39.79,37.38,37.47,1741198
2021-01-15,37.47,38.00,37.02,37.24,2153135
2021-01-19,37.47,37.65,36.47,36.86,1671523
2021-01-20,37.00,37.96,36.62,37.76,1295280
2021-01-21,37.61,37.86,37.05,37.20,1161399
2021-01-22,37.21,37.28,36.26,37.02,1605606
2021-01-25,36.94,37.19,36.38,37.15,1474827
2021-01-26,37.24,37.36,35.69,37.04,2122578
2021-01-27,36.41,36.69,34.09,34.95,3657519
2021-01-28,35.30,36.40,34.65,35.98,1899372
2021-01-29,35.88,36.51,35.73,36.02,2705200
2021-02-01,36.59,36.75,35.89,36.22,2225913
2021-02-02,36.43,37.35,36.32,37.00,1466880
2021-02-03,36.99,37.47,36.18,36.61,1492302
2021-02-04,36.67,37.29,36.58,37.18,1347785
2021-02-05,37.46,37.60,37.18,37.55,1846928
2021-02-08,37.78,37.95,36.92,37.23,1309954
2021-02-09,37.34,37.98,37.13,37.92,1282432
2021-02-10,38.10,38.24,37.58,37.93,1354102
2021-02-11,38.06,38.32,37.45,37.65,1278449
2021-02-12,37.38,37.66,37.16,37.59,909474
2021-02-16,37.58,37.62,36.83,36.84,1384169
2021-02-17,36.66,36.76,36.06,36.60,1024614
2021-02-18,36.40,36.92,36.32,36.56,991808
2021-02-19,36.68,36.68,35.76,35.81,1798432
2021-02-22,35.70,35.76,35.01,35.08,1737423
2021-02-23,35.00,35.54,34.60,35.39,1220889
2021-02-24,35.34,35.89,34.81,35.46,1353886
2021-02-25,35.30,35.75,33.86,34.00,1472955
2021-02-26,34.04,34.18,33.13,33.17,2042420
2021-03-01,33.26,34.43,33.26,34.07,1371658
2021-03-02,34.09,34.16,33.42,33.50,1142425
2021-03-03,33.50,33.50,32.45,32.46,1341991
2021-03-04,32.45,32.78,31.58,31.90,1175586
2021-03-05,32.16,33.04,31.44,32.94,1169389
2021-03-08,33.02,33.27,32.47,32.49,1096074
2021-03-09,32.96,33.59,32.76,32.92,1395581
2021-03-10,33.01,33.57,32.98,33.27,915772
2021-03-11,33.60,33.86,33.22,33.25,998396
2021-03-12,33.20,33.43,32.63,33.04,1072466
2021-03-15,33.03,33.79,32.57,33.62,1207113
2021-03-16,33.41,33.65,32.83,32.98,1179838
