date,open,high,low,close,volume
2016-09-15,49.79,50.37,49.72,50.24,1192366
2016-09-16,50.06,50.32,49.77,50.26,2158953
2016-09-19,50.18,50.87,50.18,50.71,1617200
2016-09-20,51.00,51.38,50.70,50.76,1585787
2016-09-21,50.88,51.40,50.73,51.33,1433337
2016-09-22,51.50,51.59,51.04,51.21,1456367
2016-09-23,51.02,51.16,50.69,50.78,1297999
2016-09-26,50.61,51.01,50.58,50.78,939125
2016-09-27,50.92,51.19,50.71,50.77,1118848
2016-09-28,50.84,50.95,50.22,50.59,1156950
2016-09-29,50.14,50.32,49.99,50.07,1317327
2016-09-30,50.22,50.63,50.22,50.45,1523463
2016-10-03,50.48,50.67,50.20,50.40,1146814
2016-10-04,50.45,50.54,49.77,49.92,1315850
2016-10-05,49.99,50.27,49.70,49.85,1534011
2016-10-06,49.70,49.86,49.42,49.72,1775205
2016-10-07,49.74,49.85,49.24,49.49,1296313
2016-10-10,49.53,49.98,49.53,49.89,1056745
2016-10-11,49.82,49.98,49.38,49.60,1226042
2016-10-12,49.65,49.85,49.51,49.69,1334561
2016-10-13,49.41,49.80,49.18,49.63,1463518
2016-10-14,49.78,50.37,49.78,49.82,1261960
2016-10-17,49.82,50.24,49.82,50.15,846389
2016-10-18,50.32,50.65,50.15,50.24,696301
2016-10-19,50.33,50.48,49.92,50.17,713089
2016-10-20,50.09,50.22,49.78,49.98,1115353
2016-10-21,49.70,49.97,49.44,49.93,856677
2016-10-24,50.16,50.58,50.15,50.55,888545
2016-10-25,50.45,51.33,50.45,50.95,1806783
2016-10-26,51.07,51.62,50.76,51.29,1519495
2016-10-27,51.27,51.57,50.75,50.97,1643757
2016-10-28,51.90,52.27,51.22,51.98,3055387
2016-10-31,52.14,52.77,52.14,52.63,2012955
2016-11-01,52.30,52.38,51.15,51.29,2367500
2016-11-02,51.34,51.60,51.09,51.15,1221104
2016-11-03,51.18,51.37,50.89,51.03,1277711
2016-11-04,51.18,51.55,51.15,51.23,1855619
2016-11-07,51.76,52.02,51.66,52.01,1363270
2016-11-08,52.03,52.34,51.92,52.24,1321958
2016-11-09,51.74,52.93,51.59,52.76,1548611
2016-11-10,52.80,53.05,52.28,52.90,1788948
2016-11-11,52.88,53.74,52.84,53.67,1661623
2016-11-14,53.65,54.28,53.30,54.10,1660201
2016-11-15,54.29,54.92,54.14,54.91,1732087
2016-11-16,54.96,55.31,54.37,54.57,2083770
2016-11-17,54.48,54.74,54.38,54.67,1238364
2016-11-18,54.65,54.93,54.47,54.61,1396644
2016-11-21,55.01,55.38,54.82,55.35,1361969
2016-11-22,55.54,55.69,55.27,55.43,1512384
2016-11-23,55.38,55.66,55.04,55.18,1493419
2016-11-25,55.33,55.76,55.33,55.63,471851
2016-11-28,55.59,55.93,55.43,55.86,1233852
2016-11-29,55.84,56.02,55.67,55.90,1125693
2016-11-30,55.83,55.83,55.47,55.49,1317950
2016-12-01,55.49,55.71,55.23,55.47,1007045
2016-12-02,55.71,55.90,55.52,55.81,1033702
2016-12-05,55.86,55.99,55.07,55.28,1535855
2016-12-06,55.41,55.74,55.13,55.72,1268830
2016-12-07,55.74,56.29,55.54,56.29,1274201
2016-12-08,56.30,56.70,56.20,56.44,1593008
2016-12-09,56.38,56.70,56.01,56.52,1413071
2016-12-12,56.45,57.08,56.40,56.92,1293015
2016-12-13,57.08,57.36,56.68,57.05,1396194
2016-12-14,57.12,57.24,56.45,56.51,1265613
2016-12-15,56.38,56.83,56.24,56.65,1073569
2016-12-16,56.79,57.00,56.49,56.59,2404252
2016-12-19,56.87,57.55,56.87,57.41,978476
2016-12-20,57.49,58.00,57.35,57.50,1196639
2016-12-21,57.50,57.73,57.29,57.29,786595
2016-12-22,57.26,57.45,57.12,57.32,942116
2016-12-23,57.31,57.48,57.12,57.36,662489
2016-12-27,57.48,57.56,57.29,57.41,543369
2016-12-28,57.42,57.55,57.27,57.32,589132
2016-12-29,57.07,57.23,57.05,57.15,632365
2016-12-30,57.32,57.48,56.91,57.05,693575
2017-01-03,57.11,57.20,56.58,56.87,1174706
2017-01-04,57.09,57.41,56.96,56.97,1348602
2017-01-05,56.99,57.55,56.95,57.21,1113141
2017-01-06,57.10,57.31,56.93,57.03,1147534
2017-01-09,57.07,57.21,56.41,56.42,1374947
2017-01-10,56.24,56.74,56.17,56.69,1210824
2017-01-11,56.62,57.06,56.52,56.91,1261200
2017-01-12,56.91,57.13,56.65,57.10,1081771
2017-01-13,57.15,57.48,57.08,57.24,962729
2017-01-17,57.11,57.23,56.83,56.91,877449
2017-01-18,56.93,57.38,56.88,57.36,943853
2017-01-19,56.99,57.46,56.99,57.31,1239415
2017-01-20,57.43,57.59,57.16,57.36,985396
2017-01-23,57.41,57.55,57.01,57.24,1278509
2017-01-24,57.26,57.59,57.14,57.54,966201
2017-01-25,57.60,58.08,57.55,57.82,2194621
2017-01-26,57.91,58.08,57.58,57.65,1181846
2017-01-27,57.85,57.97,57.46,57.51,917999
2017-01-30,57.60,57.60,57.34,57.45,748542
2017-01-31,57.48,57.78,57.29,57.38,994829
2017-02-01,57.37,57.66,56.83,56.90,1877204
