date,open,high,low,close,volume
2021-01-04,144.13,147.50,142.48,145.51,943421
2021-01-05,145.80,152.52,145.00,151.90,1355165
2021-01-06,150.36,158.00,150.18,156.37,1490374
2021-01-07,160.58,162.16,158.75,160.53,1087677
2021-01-08,160.55,162.40,157.60,159.76,1006493
2021-01-11,158.90,162.70,157.48,159.25,1316447
2021-01-12,158.80,159.32,150.83,151.98,1389433
2021-01-13,151.94,153.86,151.01,151.52,1111192
2021-01-14,152.18,152.78,148.04,148.13,859481
2021-01-15,147.46,149.49,146.03,148.52,824867
2021-01-19,150.47,151.28,147.41,149.29,723372
2021-01-20,150.09,152.07,149.72,151.26,616912
2021-01-21,150.95,151.87,148.57,150.59,425318
2021-01-22,151.04,152.27,149.59,151.91,683444
2021-01-25,152.73,153.70,149.41,151.05,662897
2021-01-26,151.10,151.10,146.03,146.24,558912
2021-01-27,143.63,144.93,140.27,141.73,855735
2021-01-28,143.99,147.64,143.81,144.74,645154
2021-01-29,143.94,149.58,143.50,147.07,1153132
2021-02-01,148.24,153.99,147.78,151.93,1463184
2021-02-02,153.35,156.60,150.84,151.13,1176332
2021-02-03,148.91,151.50,139.66,139.72,2685237
2021-02-04,139.63,142.37,137.24,142.37,1372460
2021-02-05,142.38,145.94,142.38,145.03,1022642
2021-02-08,145.72,147.16,142.23,144.55,800955
2021-02-09,144.44,146.96,142.96,145.62,785378
2021-02-10,147.22,148.97,145.29,147.22,756504
2021-02-11,148.60,149.95,146.99,148.70,593898
2021-02-12,148.63,151.88,147.69,150.57,546502
2021-02-16,150.00,151.95,145.76,146.49,887241
2021-02-17,145.71,147.02,142.62,144.42,770262
2021-02-18,142.27,143.89,141.18,142.60,646426
2021-02-19,142.81,143.48,136.76,136.79,1417461
2021-02-22,135.49,135.57,128.21,129.72,1919825
2021-02-23,128.66,131.96,127.38,131.02,1300704
2021-02-24,131.00,131.55,127.94,128.78,1061743
2021-02-25,129.43,129.43,124.90,125.97,1100069
2021-02-26,127.00,127.00,124.91,126.09,1224696
2021-03-01,127.81,130.12,127.17,129.72,1153886
2021-03-02,129.61,130.82,127.44,127.53,1057413
2021-03-03,127.50,127.91,126.24,126.38,1635882
2021-03-04,125.48,126.49,123.27,124.22,2096113
2021-03-05,125.23,125.79,121.14,124.05,1648114
2021-03-08,124.06,126.39,121.54,121.56,1176591
2021-03-09,124.34,130.17,124.26,125.96,1176994
2021-03-10,127.00,129.66,119.95,120.35,2060747
2021-03-11,122.21,126.39,121.81,126.24,1485069
2021-03-12,123.98,124.68,120.79,123.10,915550
2021-03-15,122.77,127.04,122.01,126.63,1168876
2021-03-16,127.71,128.18,124.07,125.96,797036
2021-03-17,124.77,127.58,124.37,126.39,469012
2021-03-18,124.88,129.48,124.64,126.56,819409
2021-03-19,126.93,129.74,126.53,128.40,2541220
2021-03-22,128.01,129.72,126.54,128.13,871014
2021-03-23,128.13,128.82,126.25,127.25,661694
2021-03-24,126.31,127.15,124.27,125.20,830522
2021-03-25,124.99,126.02,123.30,125.85,826925
2021-03-26,126.61,129.77,125.97,129.55,576807
2021-03-29,127.82,129.36,127.03,128.65,558558
2021-03-30,128.82,130.62,126.03,127.73,732539
2021-03-31,128.62,129.71,127.89,128.29,670527
2021-04-01,129.32,130.10,128.02,129.88,598777
2021-04-05,131.02,131.45,130.20,130.99,695509
2021-04-06,131.91,134.50,131.73,132.97,690494
2021-04-07,132.19,133.00,128.72,130.18,651647
2021-04-08,131.36,132.81,130.76,131.56,491241
2021-04-09,132.39,133.67,131.45,133.39,572858
2021-04-12,133.18,133.38,132.25,132.62,575116
2021-04-13,133.56,135.69,132.80,135.35,813956
2021-04-14,135.78,136.31,130.43,132.85,1097473
2021-04-15,134.26,136.40,134.23,134.63,719666
2021-04-16,135.26,135.35,132.61,133.16,801084
2021-04-19,132.49,135.17,132.25,134.59,1176117
2021-04-20,134.20,135.07,132.84,134.36,664452
2021-04-21,134.11,134.38,132.50,133.94,470489
2021-04-22,133.94,135.20,132.79,133.39,844393
2021-04-23,133.22,135.09,132.79,134.97,607229
2021-04-26,135.51,135.61,134.52,134.98,769247
2021-04-27,135.44,135.87,134.64,135.01,868272
2021-04-28,134.32,135.04,132.85,133.89,567624
2021-04-29,134.00,134.12,129.94,130.50,1151563
2021-04-30,130.36,131.46,128.90,129.63,1310728
2021-05-03,130.89,131.98,129.46,130.56,1054922
2021-05-04,129.67,129.81,126.75,127.81,1352756
2021-05-05,131.09,138.10,130.78,136.57,1112429
2021-05-06,135.72,137.60,134.56,137.50,1305568
2021-05-07,138.00,141.32,137.86,140.97,963966
2021-05-10,141.44,142.21,139.09,140.00,933181
2021-05-11,137.97,141.04,137.13,139.44,845066
2021-05-12,138.39,139.87,137.71,137.86,677688
2021-05-13,138.90,141.99,138.13,141.27,672790
2021-05-14,141.98,144.43,141.23,143.56,763902
2021-05-17,143.50,144.83,143.15,143.23,679982
2021-05-18,142.56,143.12,140.78,141.89,722006
2021-05-19,140.76,142.84,140.30,142.63,525970
2021-05-20,143.39,148.87,143.20,147.68,1113352
2021-05-21,148.35,149.09,144.57,144.77,1636031
2021-05-24,146.37,146.87,144.60,144.61,817611
2021-05-25,143.78,144.50,142.20,143.10,889785
2021-05-26,144.65,144.86,142.51,143.71,756622
2021-05-27,143.66,146.66,143.34,144.90,1103351
2021-05-28,145.89,146.97,144.84,145.07,507068
2021-06-01,144.78,145.15,140.55,141.76,1051725
2021-06-02,141.46,141.86,138.76,139.17,981838
2021-06-03,138.67,139.25,137.37,138.61,464210
2021-06-04,139.78,140.22,138.88,138.96,408867
2021-06-07,138.77,139.35,137.49,137.52,467114
2021-06-08,138.54,140.58,138.37,139.72,656532
2021-06-09,140.28,142.69,140.28,141.40,490298
2021-06-10,142.34,146.22,141.70,146.11,557617
2021-06-11,146.26,147.18,145.35,146.81,677847
2021-06-14,146.74,147.27,145.61,147.15,454363
2021-06-15,148.94,148.94,146.72,148.11,512741
2021-06-16,148.40,150.16,147.49,148.85,736653
2021-06-17,148.26,150.66,147.62,149.69,686040
2021-06-18,149.63,151.62,148.81,150.69,1000451
2021-06-21,151.43,152.71,149.26,152.43,582327
2021-06-22,153.02,155.60,152.01,153.20,745789
2021-06-23,153.28,155.66,153.16,154.65,861347
2021-06-24,155.82,156.59,149.54,151.55,1190777
2021-06-25,151.01,153.00,148.77,152.43,1124167
2021-06-28,153.00,155.11,152.20,154.85,507748
2021-06-29,154.74,157.09,153.75,155.84,547251
2021-06-30,155.43,156.35,153.63,154.41,630993
2021-07-01,154.22,155.38,152.96,154.60,690532
2021-07-02,154.89,156.11,153.81,155.57,496549
2021-07-06,155.57,156.20,154.30,156.01,656082
2021-07-07,157.39,157.52,154.83,155.05,499397
2021-07-08,152.31,154.45,150.90,153.93,627000
2021-07-09,154.94,155.28,152.75,153.96,433572
2021-07-12,154.40,156.26,154.23,154.57,484782
2021-07-13,153.78,154.97,152.96,153.15,497122
2021-07-14,153.75,154.07,151.50,151.98,500224
2021-07-15,151.51,153.58,151.38,153.17,318944
2021-07-16,153.23,155.08,152.05,154.10,528212
2021-07-19,152.32,155.20,152.32,154.91,837810
2021-07-20,154.96,156.83,154.00,155.38,642900
2021-07-21,155.64,156.79,153.63,156.63,798578
2021-07-22,157.55,160.67,157.44,160.06,780236
2021-07-23,160.76,164.58,160.76,164.34,866736
2021-07-26,162.00,173.39,161.03,172.11,2004552
2021-07-27,173.25,174.52,167.88,170.16,949799
2021-07-28,170.20,175.28,169.51,174.46,1123110
2021-07-29,175.41,180.20,174.68,179.30,1232231
2021-07-30,179.09,183.85,177.73,182.23,1199155
2021-08-02,183.36,185.68,181.37,183.84,1278490
2021-08-03,184.00,187.14,183.49,185.07,1080226
2021-08-04,185.73,187.70,183.77,186.85,908382
2021-08-05,186.87,188.40,184.22,187.05,657185
2021-08-06,185.95,186.23,183.22,185.43,481822
2021-08-09,186.19,187.61,184.00,186.68,600504
2021-08-10,186.84,187.62,183.09,183.50,888053
2021-08-11,184.22,184.37,178.06,179.23,1108346
2021-08-12,179.89,182.41,179.07,182.29,665992
2021-08-13,181.92,183.36,181.66,183.11,354958
2021-08-16,183.30,185.03,181.67,184.61,730149
2021-08-17,184.06,184.79,180.72,182.85,703106
2021-08-18,182.86,184.77,181.02,181.07,623276
2021-08-19,180.06,182.79,179.28,181.77,623662
