date,open,high,low,close,volume
2016-09-15,30.27,31.03,30.17,30.93,9461515
2016-09-16,30.68,30.71,30.41,30.53,7553243
2016-09-19,30.72,31.35,30.60,30.89,6921699
2016-09-20,31.14,31.17,30.71,30.75,4335119
2016-09-21,30.98,31.29,30.69,31.13,9267962
2016-09-22,31.40,31.63,31.20,31.24,6949755
2016-09-23,31.15,31.25,30.62,30.67,5726948
2016-09-26,30.43,30.75,30.34,30.46,7806509
2016-09-27,30.28,30.75,29.86,30.73,6376692
2016-09-28,31.00,31.09,30.62,31.06,4705241
2016-09-29,31.05,31.42,30.55,30.69,7151739
2016-09-30,31.03,31.76,30.85,31.57,8757009
2016-10-03,31.56,31.82,31.35,31.48,5643545
2016-10-04,31.61,32.15,31.55,31.85,9514140
2016-10-05,32.00,32.89,31.98,32.61,9822822
2016-10-06,32.60,32.65,32.11,32.43,7737494
2016-10-07,32.43,32.63,32.18,32.40,7524242
2016-10-10,32.67,32.86,32.40,32.45,4260134
2016-10-11,32.40,32.61,31.65,31.90,7041914
2016-10-12,31.93,32.06,31.71,31.73,4321427
2016-10-13,31.55,31.55,30.90,31.43,8958985
2016-10-14,31.94,32.21,31.65,31.97,7684025
2016-10-17,31.99,32.10,31.14,31.69,13835070
2016-10-18,32.38,32.45,31.98,32.21,10294770
2016-10-19,32.32,32.82,32.20,32.54,9095115
2016-10-20,32.46,32.57,32.09,32.17,6499463
2016-10-21,31.79,32.40,31.72,32.27,8214712
2016-10-24,32.49,32.54,32.12,32.19,6305328
2016-10-25,32.11,32.22,31.68,31.71,5801981
2016-10-26,31.47,32.21,31.40,32.15,7960428
2016-10-27,32.33,32.45,32.03,32.16,6648699
2016-10-28,32.20,32.44,31.54,31.89,6961261
2016-10-31,32.04,32.18,31.68,31.70,5283711
2016-11-01,31.90,32.14,31.30,31.65,6145452
2016-11-02,31.45,31.45,30.87,31.06,8889239
2016-11-03,31.16,31.44,31.01,31.15,4740658
2016-11-04,31.18,31.41,30.66,30.90,6657841
2016-11-07,31.76,32.31,31.76,32.31,7413419
2016-11-08,32.11,32.52,31.91,32.41,6872884
2016-11-09,32.55,33.90,32.42,33.71,23315630
2016-11-10,34.26,35.63,34.23,35.26,23741410
2016-11-11,34.97,36.12,34.85,36.08,11737450
2016-11-14,36.43,37.71,36.29,36.76,22461970
2016-11-15,36.33,37.23,36.04,37.20,16471570
2016-11-16,36.67,37.34,36.45,36.70,10699770
2016-11-17,36.66,37.33,36.35,37.04,9376496
2016-11-18,37.16,37.80,37.00,37.48,10446740
2016-11-21,37.71,38.15,37.64,38.10,11882250
2016-11-22,38.30,38.42,37.74,38.24,11477950
2016-11-23,38.44,39.22,38.11,39.11,11089130
2016-11-25,39.00,39.00,38.62,38.99,3418536
2016-11-28,38.52,38.79,38.32,38.35,6973873
2016-11-29,38.40,38.65,38.15,38.46,6958551
2016-11-30,39.07,39.35,38.56,38.66,12973860
2016-12-01,39.11,39.69,38.80,39.61,15163490
2016-12-02,39.30,39.41,38.46,38.76,12058290
