date,open,high,low,close,volume
2016-09-15,47.70,48.27,47.43,48.01,5220358
2016-09-16,47.15,47.38,47.03,47.21,5920409
2016-09-19,48.05,48.10,47.34,47.42,5392462
2016-09-20,47.56,47.59,47.05,47.06,3920427
2016-09-21,47.56,48.06,47.34,48.00,3689069
2016-09-22,49.11,49.18,48.41,48.47,4717660
2016-09-23,48.40,48.58,47.75,47.97,3775565
2016-09-26,47.66,48.01,47.44,47.47,3957967
2016-09-27,46.80,47.13,46.57,47.10,5456967
2016-09-28,47.36,48.79,46.86,48.72,7341486
2016-09-29,49.75,50.18,49.25,49.73,8097890
2016-09-30,49.94,50.34,49.66,50.07,5990453
2016-10-03,50.41,50.44,50.04,50.35,3283296
2016-10-04,51.20,51.36,50.34,50.68,7461935
2016-10-05,51.37,51.69,50.99,51.51,3863468
2016-10-06,51.41,51.49,51.10,51.14,3608433
2016-10-07,51.63,51.66,51.07,51.30,2844699
2016-10-10,52.01,52.42,51.96,52.20,4454921
2016-10-11,52.00,52.04,51.04,51.22,3741531
2016-10-12,51.16,51.27,50.80,50.93,3313491
2016-10-13,50.14,50.78,50.03,50.55,3443485
2016-10-14,51.39,51.56,50.72,50.75,3375986
2016-10-17,50.27,50.42,49.88,50.25,2803363
2016-10-18,50.84,50.85,50.42,50.62,2093753
2016-10-19,50.56,51.37,50.46,51.02,3244427
2016-10-20,50.90,51.11,50.55,50.99,2613661
2016-10-21,50.54,50.85,50.48,50.82,2248343
2016-10-24,51.05,51.09,50.11,50.59,2257607
2016-10-25,50.63,50.82,50.32,50.51,2562872
2016-10-26,49.77,50.19,49.56,50.08,3122312
2016-10-27,50.28,50.82,50.16,50.52,3615553
2016-10-28,50.02,50.35,49.77,49.87,4687364
2016-10-31,49.61,49.91,49.34,49.81,4172897
2016-11-01,51.71,52.20,51.50,52.17,8801758
2016-11-02,51.24,51.38,50.54,51.00,5878478
2016-11-03,50.86,51.11,50.53,50.89,4071852
2016-11-04,50.25,50.74,50.17,50.28,5067551
2016-11-07,50.90,51.38,50.87,51.36,3790196
2016-11-08,50.33,50.97,50.32,50.51,3945975
2016-11-09,49.99,51.19,49.94,50.88,3859170
2016-11-10,51.52,51.66,50.91,51.15,4150883
2016-11-11,49.72,49.89,48.86,49.28,5559351
2016-11-14,48.37,48.81,48.07,48.78,6882764
2016-11-15,49.11,49.98,49.11,49.90,6521191
2016-11-16,49.26,49.74,49.12,49.27,5504516
2016-11-17,49.73,50.03,49.39,49.45,3166882
2016-11-18,49.25,49.45,48.83,49.22,3610700
2016-11-21,50.24,50.58,50.22,50.53,3656705
2016-11-22,50.73,50.93,50.30,50.76,3896774
2016-11-23,50.00,50.51,49.99,50.30,3314885
2016-11-25,50.15,50.30,50.03,50.18,1504274
2016-11-28,49.64,49.67,49.12,49.20,4228081
2016-11-29,48.58,49.21,48.34,49.06,3974538
2016-11-30,50.61,51.50,50.59,51.10,8501184
2016-12-01,52.06,52.45,51.58,51.78,6257329
2016-12-02,51.58,52.13,51.44,51.92,3297893
2016-12-05,52.51,52.53,52.19,52.20,3631680
2016-12-06,52.20,52.52,51.97,52.37,5202684
2016-12-07,52.77,52.97,52.54,52.85,3859533
2016-12-08,52.80,52.97,52.24,52.76,3316016
2016-12-09,52.64,52.83,52.49,52.81,3279999
2016-12-12,54.17,54.33,53.25,53.41,5045080
2016-12-13,54.00,54.44,53.72,54.29,4343307
2016-12-14,54.34,54.57,53.22,53.31,4803187
2016-12-15,53.27,53.78,53.10,53.69,3162825
