date,open,high,low,close,volume
2021-01-04,114.78,117.42,107.29,110.31,97213
2021-01-05,110.38,114.74,109.71,110.28,93769
2021-01-06,108.86,112.94,107.56,108.53,153716
2021-01-07,120.98,123.86,118.01,122.12,301641
2021-01-08,125.32,129.93,119.33,120.65,226242
2021-01-11,122.09,135.75,118.78,126.55,176584
2021-01-12,128.05,132.75,126.28,132.35,87175
2021-01-13,134.69,135.00,126.00,129.00,112818
2021-01-14,128.66,135.72,128.66,135.37,98957
2021-01-15,135.18,139.36,133.88,136.50,111944
2021-01-19,138.84,142.69,135.01,135.81,182574
2021-01-20,136.72,140.99,133.26,135.25,104659
2021-01-21,135.56,137.51,132.46,136.60,110092
2021-01-22,136.65,143.46,134.15,138.44,154434
2021-01-25,138.50,140.69,131.00,133.42,101793
2021-01-26,136.71,138.10,131.94,136.07,119231
2021-01-27,130.13,135.89,122.25,123.21,197640
2021-01-28,123.22,130.43,122.11,122.30,161292
2021-01-29,123.88,125.97,118.08,122.05,187375
2021-02-01,125.02,130.65,123.86,129.35,57661
2021-02-02,132.99,136.03,129.69,133.29,92352
2021-02-03,133.71,135.00,128.00,133.46,110352
2021-02-04,135.75,136.04,123.27,129.66,210342
2021-02-05,131.75,135.74,130.03,131.00,59904
2021-02-08,132.94,138.84,132.94,138.36,102238
2021-02-09,137.89,147.66,137.72,142.20,84859
2021-02-10,134.88,136.98,129.11,133.14,213411
2021-02-11,132.77,140.92,132.41,140.32,130611
2021-02-12,138.80,144.95,136.88,144.17,86486
2021-02-16,144.17,151.78,143.75,148.49,106881
2021-02-17,145.51,146.90,123.13,140.28,689956
2021-02-18,125.24,127.14,122.00,124.66,1476617
2021-02-19,126.43,127.33,122.37,123.81,864506
2021-02-22,122.01,125.80,110.37,110.75,1327311
2021-02-23,107.36,114.50,100.00,112.63,687789
2021-02-24,113.98,117.76,107.73,116.13,300520
2021-02-25,116.54,116.54,97.37,101.19,530121
2021-02-26,102.31,106.01,96.74,97.43,305742
2021-03-01,99.26,101.73,96.71,100.41,418587
2021-03-02,100.10,101.73,96.60,98.52,329464
2021-03-03,97.69,98.35,91.37,93.02,373146
2021-03-04,91.00,94.63,88.00,90.54,552350
2021-03-05,92.47,97.86,82.62,96.42,591024
2021-03-08,98.60,101.29,93.23,93.86,543466
2021-03-09,97.48,105.57,96.21,102.47,247439
2021-03-10,103.95,107.00,99.53,99.92,140640
2021-03-11,103.66,108.97,103.66,108.37,227469
2021-03-12,105.20,105.81,99.87,100.00,326315
2021-03-15,100.56,103.91,99.29,103.25,170075
2021-03-16,104.76,111.79,103.86,106.96,210229
2021-03-17,104.01,105.50,99.00,103.81,168829
2021-03-18,101.44,103.82,99.04,99.59,92615
2021-03-19,98.93,103.97,97.57,102.90,278633
2021-03-22,103.51,109.75,101.17,107.96,163332
2021-03-23,107.19,107.75,102.09,106.48,164415
2021-03-24,108.21,108.71,98.21,98.34,196686
2021-03-25,97.01,99.97,92.00,98.71,189319
2021-03-26,98.95,102.24,97.07,100.03,166521
2021-03-29,98.93,102.48,91.04,92.77,147539
2021-03-30,92.29,95.00,90.50,94.67,109677
2021-03-31,96.29,99.91,95.62,98.60,211957
2021-04-01,101.22,105.91,100.45,105.30,78129
2021-04-05,109.79,109.79,102.99,105.91,141201
2021-04-06,105.86,107.54,103.06,104.25,82066
2021-04-07,103.69,105.68,100.04,102.18,76236
2021-04-08,104.88,105.77,102.43,104.78,92300
2021-04-09,104.37,104.52,98.05,99.74,131715
2021-04-12,99.12,99.69,95.41,96.31,155234
2021-04-13,97.94,99.54,95.01,98.82,112721
2021-04-14,98.80,101.40,97.90,98.77,72938
2021-04-15,100.37,101.13,98.39,100.77,48800
2021-04-16,101.16,101.39,97.70,99.39,60736
2021-04-19,98.17,99.35,95.95,98.14,81435
2021-04-20,97.11,98.40,90.57,91.12,143016
2021-04-21,90.53,95.74,90.02,95.23,97574
2021-04-22,95.68,98.48,93.31,94.43,74684
2021-04-23,95.36,100.71,93.39,100.32,62690
2021-04-26,99.77,103.32,97.57,101.33,176421
2021-04-27,102.59,109.52,102.25,107.64,189186
2021-04-28,106.53,107.79,103.80,105.35,85909
2021-04-29,106.55,106.55,97.21,99.11,161004
2021-04-30,96.67,97.80,92.02,92.55,163780
2021-05-03,94.00,94.38,90.40,90.52,113488
2021-05-04,89.00,89.99,83.80,85.98,277240
2021-05-05,88.00,93.25,85.70,91.59,313508
2021-05-06,90.60,91.08,81.08,83.50,388683
2021-05-07,85.18,91.77,85.18,90.63,108463
2021-05-10,88.55,90.58,82.35,83.32,165825
2021-05-11,81.04,86.22,79.61,85.77,229750
2021-05-12,83.07,84.82,79.36,80.50,259611
2021-05-13,82.23,83.98,75.81,79.48,217390
2021-05-14,81.23,85.70,80.01,84.34,106509
2021-05-17,82.69,83.64,80.92,83.08,98836
2021-05-18,84.10,87.27,82.48,84.42,106589
2021-05-19,82.02,88.42,82.02,87.68,127078
2021-05-20,88.20,91.04,87.83,90.17,96145
2021-05-21,91.27,91.50,87.89,88.36,153255
2021-05-24,89.39,95.85,88.68,95.25,207115
2021-05-25,95.25,98.05,93.74,95.83,192454
2021-05-26,95.59,99.71,93.35,99.44,184634
2021-05-27,99.70,100.66,96.23,98.09,247598
2021-05-28,98.14,100.00,97.02,98.33,137674
2021-06-01,99.31,100.73,95.70,98.70,154520
2021-06-02,98.82,99.96,96.83,98.03,300884
2021-06-03,96.75,97.38,94.21,95.57,138589
2021-06-04,96.34,100.56,95.65,100.05,104733
2021-06-07,100.01,105.50,98.83,105.37,114746
2021-06-08,105.72,111.68,104.57,110.54,205664
2021-06-09,111.00,112.90,109.30,109.76,118992
