date,open,high,low,close,volume
2021-01-04,40.42,40.54,39.62,40.14,198324
2021-01-05,41.36,41.47,40.93,40.93,197668
2021-01-06,41.99,42.02,41.49,41.77,281884
2021-01-07,44.58,45.07,44.31,44.58,369583
2021-01-08,44.36,44.49,42.30,43.09,487166
2021-01-11,42.98,42.98,42.41,42.53,208694
2021-01-12,42.10,42.20,41.54,41.57,287049
2021-01-13,42.27,42.27,41.72,41.90,530255
2021-01-14,42.63,42.63,41.92,42.27,633877
2021-01-15,41.82,41.82,41.13,41.34,262254
2021-01-19,40.83,40.96,40.47,40.91,169690
2021-01-20,41.21,41.62,40.90,41.47,127764
2021-01-21,42.41,42.86,42.32,42.68,143757
2021-01-22,42.13,42.46,41.79,42.43,131800
2021-01-25,43.54,43.70,43.31,43.47,91729
2021-01-26,42.65,42.69,42.30,42.53,176265
2021-01-27,41.51,41.77,41.03,41.19,211038
2021-01-28,40.99,41.79,40.99,41.39,165843
2021-01-29,40.40,40.58,39.79,39.89,306849
2021-02-01,40.45,40.53,40.14,40.38,146301
2021-02-02,40.40,40.73,40.19,40.70,128748
2021-02-03,40.83,40.99,40.45,40.45,275226
2021-02-04,40.85,40.85,39.95,40.27,155662
2021-02-05,41.92,42.08,41.75,41.80,185047
2021-02-08,40.86,41.28,40.86,41.26,185903
2021-02-09,40.71,41.11,40.53,40.96,217287
2021-02-10,41.08,41.28,40.83,41.09,105372
2021-02-11,41.19,41.36,40.95,41.36,77311
2021-02-12,41.04,41.39,40.92,41.39,129788
2021-02-16,41.95,42.00,41.46,41.77,156793
2021-02-17,41.87,42.13,41.74,42.02,138597
2021-02-18,41.85,42.23,41.66,42.13,180752
2021-02-19,42.22,42.33,41.61,42.23,280286
2021-02-22,41.08,41.08,40.66,40.78,156999
2021-02-23,40.66,41.06,40.50,40.95,137797
2021-02-24,40.45,40.63,40.14,40.50,136560
2021-02-25,41.34,41.56,40.70,40.71,197223
2021-02-26,40.35,40.41,39.67,39.76,273121
2021-03-01,40.47,40.65,40.28,40.52,229177
2021-03-02,40.30,40.61,40.13,40.45,139452
2021-03-03,41.13,41.14,40.70,40.73,195551
2021-03-04,40.45,40.70,39.74,40.02,196721
2021-03-05,40.10,40.60,39.84,40.35,396860
2021-03-08,39.76,40.10,39.57,39.72,311489
2021-03-09,40.04,40.57,39.99,40.43,227278
2021-03-10,40.63,40.71,40.27,40.52,223441
2021-03-11,41.11,41.47,41.04,41.31,234024
2021-03-12,41.26,41.42,41.03,41.28,154434
2021-03-15,41.51,41.72,41.28,41.72,108519
2021-03-16,41.80,42.02,41.64,41.82,184508
2021-03-17,41.82,42.15,41.44,42.00,139500
2021-03-18,41.94,42.05,41.39,41.46,160232
2021-03-19,41.31,41.61,41.01,41.36,223455
2021-03-22,41.57,41.84,41.41,41.77,116665
2021-03-23,40.70,40.99,40.48,40.60,203817
