date,open,high,low,close,volume
2016-09-15,18.02,18.16,17.87,18.04,8199173
2016-09-16,17.77,17.88,17.74,17.86,8058720
2016-09-19,18.27,18.32,18.18,18.20,5489228
2016-09-20,18.15,18.30,18.11,18.27,3052552
2016-09-21,18.61,18.87,18.54,18.85,17214450
2016-09-22,18.98,19.05,18.85,18.90,9239534
2016-09-23,18.81,18.85,18.59,18.68,6946324
2016-09-26,18.64,18.67,18.37,18.41,6700983
2016-09-27,18.25,18.30,18.01,18.17,7778609
2016-09-28,18.09,18.24,17.96,18.21,6987752
2016-09-29,18.14,18.24,18.05,18.11,5775815
2016-09-30,18.65,18.67,18.13,18.20,11580930
2016-10-03,18.10,18.11,17.76,17.87,18044080
2016-10-04,17.58,17.58,16.82,16.94,27910710
2016-10-05,17.00,17.01,16.66,16.85,18162150
2016-10-06,16.51,16.56,16.24,16.44,18462390
2016-10-07,16.70,16.74,16.23,16.60,20240570
2016-10-10,16.75,16.83,16.70,16.73,8437095
2016-10-11,16.70,16.73,16.56,16.56,7177808
2016-10-12,16.60,16.71,16.53,16.65,6301065
2016-10-13,16.60,16.66,16.54,16.61,6255822
2016-10-14,16.56,16.69,16.48,16.56,8322289
2016-10-17,16.54,16.60,16.50,16.57,3552924
2016-10-18,16.69,16.80,16.62,16.72,8172439
2016-10-19,16.80,16.84,16.68,16.79,8580037
2016-10-20,16.80,16.83,16.56,16.64,7037502
2016-10-21,16.65,16.66,16.57,16.65,4149526
2016-10-24,16.96,16.98,16.64,16.70,5792065
2016-10-25,16.80,16.92,16.77,16.86,6572144
2016-10-26,16.81,16.87,16.68,16.71,5791842
2016-10-27,16.75,16.77,16.68,16.73,4050424
2016-10-28,16.82,17.01,16.73,16.87,9810365
2016-10-31,16.94,17.00,16.87,16.97,6049908
2016-11-01,17.37,17.55,17.32,17.41,12888480
2016-11-02,17.62,17.79,17.55,17.56,10931950
2016-11-03,17.26,17.50,17.24,17.42,7916201
2016-11-04,17.47,17.54,17.40,17.46,5668112
