date,open,high,low,close,volume
2023-07-31,30.05,52.90,30.05,42.31,1201396
2023-08-01,38.49,44.19,36.01,40.02,2013072
2023-08-02,37.01,38.15,35.01,36.92,3612710
2023-08-03,35.06,35.70,28.95,30.05,5977509
2023-08-04,29.45,29.73,25.84,26.90,7847611
2023-08-07,27.42,31.61,26.94,30.10,2581833
2023-08-08,28.81,30.55,28.50,28.87,1663192
2023-08-09,28.70,30.68,28.51,29.95,2375259
2023-08-10,29.95,31.97,29.95,31.33,945177
2023-08-11,31.50,32.45,31.36,32.02,1497279
2023-08-14,31.91,32.21,29.99,30.29,926575
2023-08-15,29.67,31.54,29.42,31.17,1230287
2023-08-16,30.73,31.04,29.48,30.30,1961131
2023-08-17,30.09,31.69,29.95,31.22,647053
2023-08-18,30.72,32.06,30.43,31.64,773362
2023-08-21,31.59,32.23,31.32,31.94,969912
2023-08-22,32.00,33.55,32.00,33.27,1304921
2023-08-23,32.87,33.01,31.51,31.97,1573513
2023-08-24,34.92,36.75,34.50,35.61,2235862
2023-08-25,35.61,35.89,34.00,34.97,1328486
2023-08-28,36.44,36.89,34.82,35.17,1123852
2023-08-29,35.15,35.55,34.25,35.12,891038
2023-08-30,35.12,35.80,34.67,35.33,758597
2023-08-31,35.00,36.33,33.78,34.92,1127363
2023-09-01,34.92,36.41,34.81,36.09,761070
2023-09-05,36.25,37.03,35.10,35.43,1804700
2023-09-06,35.17,35.48,34.30,34.67,999549
2023-09-07,34.20,34.50,33.70,33.90,1574156
2023-09-08,33.80,36.08,33.08,35.02,1644844
2023-09-11,37.00,40.84,36.76,40.50,4789777
2023-09-12,40.00,41.82,39.80,41.71,1634633
2023-09-13,41.67,42.08,39.42,40.17,2564328
2023-09-14,40.02,41.05,39.78,40.02,1035894
2023-09-15,40.00,41.33,39.66,40.71,1606757
2023-09-18,40.49,41.89,40.05,41.89,985479
2023-09-19,41.55,43.12,40.68,43.00,1319884
2023-09-20,42.81,44.81,42.81,44.44,1889372
2023-09-21,43.78,44.66,41.73,43.97,1560783
2023-09-22,43.97,44.98,43.78,43.78,1348727
2023-09-25,43.43,43.47,41.76,42.45,979108
2023-09-26,42.25,43.21,42.01,43.00,682239
2023-09-27,44.46,46.04,43.86,45.50,1678455
2023-09-28,45.50,45.50,44.55,44.93,1060409
2023-09-29,45.06,46.60,44.79,46.36,709033
2023-10-02,46.52,46.60,45.71,46.50,743437
2023-10-03,46.28,46.32,44.80,45.24,830908
2023-10-04,45.00,45.30,44.38,45.07,568860
2023-10-05,45.19,45.30,44.45,44.63,601083
2023-10-06,43.86,45.03,43.53,44.47,314006
2023-10-09,44.24,45.24,43.51,44.25,384018
2023-10-10,44.30,45.20,43.55,44.30,592542
2023-10-11,43.99,44.48,43.43,44.06,579049
2023-10-12,43.93,44.00,41.95,42.30,446797
2023-10-13,41.57,42.57,40.57,41.47,686642
2023-10-16,41.58,43.47,39.54,43.16,494159
2023-10-17,42.74,44.02,42.63,43.54,298033
2023-10-18,43.27,43.71,42.63,43.15,290429
2023-10-19,43.15,43.57,42.42,42.95,370739
2023-10-20,43.00,43.44,42.18,42.75,544437
2023-10-23,42.31,42.94,41.38,41.38,483494
2023-10-24,41.50,42.58,40.49,40.71,750652
2023-10-25,41.95,41.96,40.20,40.68,916377
2023-10-26,40.59,40.79,38.69,40.48,851178
2023-10-27,40.48,41.22,40.12,40.25,340744
2023-10-30,40.65,41.84,40.59,41.49,316435
2023-10-31,41.26,42.42,40.83,41.76,460991
2023-11-01,41.54,42.54,40.27,42.46,551885
2023-11-02,43.21,44.85,42.90,44.14,593622
2023-11-03,44.55,46.09,44.27,45.64,535561
2023-11-06,45.84,46.32,44.71,45.76,607354
2023-11-07,45.70,46.70,45.17,46.27,599116
2023-11-08,46.25,46.33,43.58,44.00,1551486
2023-11-09,44.50,44.99,41.26,43.62,2238066
2023-11-10,43.66,43.82,42.14,42.91,584513
2023-11-13,42.92,42.92,41.12,42.14,1036273
2023-11-14,42.90,44.57,42.74,43.18,2228152
2023-11-15,43.20,45.01,42.91,44.00,2838773
2023-11-16,44.15,44.31,43.25,43.98,1329355
2023-11-17,44.20,46.00,43.31,46.00,1063572
2023-11-20,46.21,47.00,44.97,45.91,659262
2023-11-21,45.70,47.08,45.22,46.30,628196
2023-11-22,46.49,48.66,46.40,47.40,1087595
2023-11-24,47.75,48.00,46.71,47.79,377560
2023-11-27,47.26,47.60,45.69,46.63,1330898
2023-11-28,47.15,49.49,46.22,48.90,1173537
2023-11-29,49.00,49.25,46.50,46.52,1605993
2023-11-30,46.08,47.30,45.35,47.00,749093
2023-12-01,46.93,49.05,46.60,49.01,1220003
2023-12-04,46.60,47.78,45.87,46.64,762655
2023-12-05,46.08,48.66,45.70,48.46,1226679
2023-12-06,49.32,50.12,46.79,47.41,3909508
2023-12-07,47.24,48.40,47.00,47.71,1372271
2023-12-08,47.87,47.99,46.90,47.58,945736
2023-12-11,47.40,48.12,47.06,47.65,801482
2023-12-12,47.50,47.78,46.66,47.28,586755
2023-12-13,47.30,48.47,46.85,48.46,724016
2023-12-14,48.61,50.89,48.55,50.00,2236982
2023-12-15,50.29,50.30,48.76,49.17,1051456
2023-12-18,49.36,50.23,48.65,50.12,1042412
2023-12-19,50.33,51.78,49.94,51.34,1024327
2023-12-20,51.03,51.55,49.63,49.70,688429
2023-12-21,50.55,50.83,49.97,50.51,701367
2023-12-22,50.72,51.13,50.35,50.64,352495
2023-12-26,50.94,51.22,50.64,51.00,420742
2023-12-27,51.14,51.49,50.04,51.48,691682
2023-12-28,53.26,53.40,50.89,51.47,1171299
2023-12-29,51.32,52.21,50.96,51.17,475588
2024-01-02,50.56,50.89,49.72,50.44,1029516
2024-01-03,50.31,50.39,47.93,47.95,1109420
2024-01-04,47.80,49.01,47.55,48.65,998480
2024-01-05,48.80,49.79,48.46,48.93,572854
2024-01-08,48.94,50.26,48.76,50.09,649462
2024-01-09,49.88,50.79,49.53,50.00,1000388
2024-01-10,49.80,50.30,49.10,49.54,482928
2024-01-11,49.55,50.04,48.81,49.17,352368
2024-01-12,49.78,49.78,48.87,49.26,312785
2024-01-16,49.07,49.25,47.89,48.50,605606
2024-01-17,47.52,48.20,47.02,47.69,732981
2024-01-18,48.00,48.47,46.83,47.96,496464
2024-01-19,47.99,49.20,47.69,48.19,979867
2024-01-22,48.19,49.84,47.65,49.50,1105862
2024-01-23,49.68,51.35,49.50,50.17,1229518
2024-01-24,50.77,50.77,48.78,49.66,839456
2024-01-25,49.77,50.43,49.37,49.78,465930
2024-01-26,50.19,50.73,49.62,50.65,364417
2024-01-29,49.00,50.71,48.95,50.54,1095274
2024-01-30,50.00,50.27,48.49,49.12,801708
2024-01-31,49.06,49.10,45.85,46.72,1383233
2024-02-01,47.27,48.16,46.88,47.87,797350
2024-02-02,47.82,48.72,47.50,48.67,473819
2024-02-05,48.82,49.17,47.29,47.65,622168
2024-02-06,47.83,48.36,47.42,47.98,460175
2024-02-07,48.26,48.82,47.84,48.17,537466
2024-02-08,48.05,50.07,48.05,49.87,614140
2024-02-09,49.63,51.50,49.28,51.02,803970
2024-02-12,51.00,52.84,51.00,52.36,831966
2024-02-13,51.35,51.42,50.60,50.79,941363
2024-02-14,51.46,51.78,50.41,50.90,2623230
2024-02-15,51.80,54.26,49.86,51.46,2441916
2024-02-16,51.93,52.86,51.39,52.51,1240867
2024-02-20,52.42,53.64,51.93,52.45,1185142
2024-02-21,52.86,54.48,52.53,53.92,1389133
2024-02-22,54.01,54.35,52.05,53.23,2029484
2024-02-23,53.34,53.95,52.17,53.76,1205199
2024-02-26,53.66,54.83,53.34,54.60,796836
2024-02-27,54.95,55.38,53.54,53.77,663927
2024-02-28,53.48,54.45,53.33,53.80,547040
2024-02-29,55.00,55.00,53.41,54.00,478047
2024-03-01,53.90,56.42,53.81,55.83,1539702
2024-03-04,56.04,57.23,54.91,56.45,1035806
2024-03-05,55.93,57.12,55.67,56.25,1017036
2024-03-06,55.80,56.97,54.94,55.38,650990
2024-03-07,55.78,56.23,55.03,55.68,930905
2024-03-08,55.86,56.60,54.54,56.00,1111497
2024-03-11,55.63,56.52,55.17,55.88,794837
2024-03-12,56.70,57.63,55.96,57.29,1761287
2024-03-13,57.62,58.78,56.93,58.33,1577305
2024-03-14,58.24,59.10,57.27,57.53,1041420
2024-03-15,57.30,58.29,57.28,57.95,643520
2024-03-18,56.93,57.74,56.10,57.62,1069861
2024-03-19,57.30,59.95,57.15,59.15,1842625
2024-03-20,58.67,59.91,58.30,59.59,3424549
2024-03-21,59.87,60.02,59.23,59.59,768570
2024-03-22,59.47,60.87,59.12,60.44,998963
2024-03-25,60.44,61.78,60.21,60.31,676478
2024-03-26,60.52,61.28,59.78,60.89,1330717
2024-03-27,60.96,62.95,60.91,62.94,1339945
2024-03-28,61.18,62.94,60.57,62.29,929912
2024-04-01,62.51,63.10,61.52,61.67,911583
2024-04-02,62.20,62.31,60.72,61.22,872756
2024-04-03,61.10,62.70,61.08,62.50,1132342
2024-04-04,63.50,64.34,62.77,62.92,1276899
2024-04-05,62.86,65.06,62.73,64.72,965979
2024-04-08,64.92,65.61,64.02,64.83,476572
2024-04-09,65.02,65.48,63.33,63.56,1191391
2024-04-10,62.09,63.98,61.21,62.95,848044
2024-04-11,63.22,63.56,62.00,62.51,671137
2024-04-12,62.56,62.78,61.14,61.27,596537
2024-04-15,62.00,62.38,61.29,61.76,805670
2024-04-16,61.38,62.77,61.00,62.59,604577
2024-04-17,63.00,63.52,62.47,63.19,854527
2024-04-18,63.41,64.42,61.56,62.08,935004
2024-04-19,61.88,62.48,61.30,61.86,945678
2024-04-22,61.58,62.65,61.58,61.84,779634
2024-04-23,62.35,62.78,61.68,62.55,540854
2024-04-24,62.84,63.51,62.39,62.93,468029
2024-04-25,63.03,63.28,61.58,62.79,454389
2024-04-26,63.47,64.68,63.26,63.84,694943
2024-04-29,63.92,65.10,63.92,64.95,598295
2024-04-30,64.49,64.70,63.12,64.28,1288966
2024-05-01,64.05,64.74,63.80,64.12,1232059
2024-05-02,64.81,65.67,64.00,65.12,1060502
2024-05-03,65.18,66.99,65.06,66.08,918174
2024-05-06,66.64,67.16,65.88,65.98,1156672
2024-05-07,66.18,67.27,65.55,66.93,1016459
2024-05-08,66.45,67.47,65.96,67.03,1559098
2024-05-09,70.17,72.50,69.00,71.35,3892546
2024-05-10,71.88,72.57,70.52,71.84,1433578
2024-05-13,72.21,72.47,69.75,70.38,1015732
2024-05-14,70.50,71.57,70.43,71.40,545225
2024-05-15,71.71,73.97,71.61,72.13,1585526
2024-05-16,72.85,74.65,72.25,73.20,1651660
2024-05-17,72.99,74.77,72.84,74.46,910769
2024-05-20,74.71,77.43,74.58,76.26,1122778
2024-05-21,76.31,77.75,75.80,77.41,1316781
2024-05-22,78.00,78.90,74.77,75.19,1131428
2024-05-23,75.64,76.21,74.56,75.16,858331
2024-05-24,75.64,77.14,75.17,76.88,474118
2024-05-28,77.38,77.67,74.42,74.89,1366594
2024-05-29,74.86,76.42,74.65,75.46,700571
2024-05-30,75.31,77.62,75.31,76.31,798744
2024-05-31,76.39,76.98,75.17,76.62,545350
2024-06-03,76.81,78.78,76.76,77.43,1121327
2024-06-04,76.83,78.09,75.84,76.12,1365925
2024-06-05,76.59,79.02,76.34,79.01,1207002
2024-06-06,79.40,80.42,75.33,75.93,1513608
2024-06-07,75.93,76.49,74.43,75.80,1220294
2024-06-10,74.94,75.95,73.36,75.25,1163738
