date,open,high,low,close,volume
2021-01-04,43.50,43.56,42.38,42.97,554370
2021-01-05,42.79,43.49,42.65,43.26,319102
2021-01-06,43.44,45.95,43.44,44.62,486108
2021-01-07,43.77,44.22,43.60,43.91,391940
2021-01-08,43.75,44.56,43.75,44.54,268143
2021-01-11,43.01,43.26,42.60,43.14,467471
2021-01-12,42.63,42.73,41.93,42.45,589028
2021-01-13,42.81,43.47,42.80,43.21,294874
2021-01-14,43.56,44.21,43.47,43.90,279257
2021-01-15,43.26,43.48,42.87,42.93,319107
2021-01-19,44.52,45.05,44.28,44.79,501152
2021-01-20,45.84,46.10,45.37,45.88,453227
2021-01-21,45.51,45.51,44.58,44.89,277613
2021-01-22,45.66,45.67,45.16,45.35,343788
2021-01-25,44.40,44.63,44.00,44.60,314004
2021-01-26,44.97,45.60,44.83,45.58,227158
2021-01-27,44.25,44.60,43.63,43.67,479808
2021-01-28,42.85,43.69,42.85,43.14,451335
2021-01-29,42.69,43.20,42.07,42.26,260899
2021-02-01,42.88,43.23,42.69,43.05,240108
2021-02-02,43.11,43.44,43.00,43.14,375648
2021-02-03,43.18,43.25,42.52,42.92,249425
2021-02-04,42.79,43.54,42.69,43.49,308692
2021-02-05,43.12,43.28,42.77,42.87,246688
2021-02-08,42.98,43.60,42.59,43.11,584134
2021-02-09,42.77,43.40,42.72,43.14,365103
2021-02-10,43.41,43.61,43.06,43.31,241853
2021-02-11,43.74,43.86,43.13,43.42,182378
2021-02-12,43.55,44.05,43.48,44.04,311280
2021-02-16,44.83,44.83,44.19,44.26,401597
2021-02-17,44.00,44.05,43.46,43.97,259629
2021-02-18,42.15,42.36,41.18,41.50,589766
2021-02-19,41.99,42.02,41.20,41.23,320259
2021-02-22,40.07,40.26,39.76,40.04,394207
2021-02-23,40.21,40.75,39.79,40.58,612259
2021-02-24,40.56,40.86,40.45,40.81,463038
2021-02-25,40.39,40.50,39.41,39.64,902572
2021-02-26,39.34,39.42,38.85,38.85,902519
2021-03-01,39.23,39.39,38.94,39.11,238811
2021-03-02,39.29,39.48,38.84,39.30,341922
2021-03-03,38.46,38.59,37.96,38.30,332049
2021-03-04,38.18,38.49,37.52,38.04,367650
2021-03-05,38.25,38.53,37.62,38.53,364505
2021-03-08,37.95,38.31,37.79,37.94,492051
2021-03-09,38.68,38.82,38.17,38.23,640976
2021-03-10,38.85,38.91,38.48,38.70,394186
2021-03-11,39.02,39.33,38.90,39.17,542917
2021-03-12,39.04,39.42,38.95,39.34,1136446
2021-03-15,39.24,39.35,38.96,38.96,350674
2021-03-16,39.18,39.38,39.13,39.20,377501
2021-03-17,39.38,39.43,38.90,38.99,243967
2021-03-18,38.92,39.08,38.34,38.44,299264
2021-03-19,38.20,38.28,37.79,37.90,496701
2021-03-22,37.96,38.18,37.74,37.75,375566
2021-03-23,37.70,37.79,36.98,36.99,553833
2021-03-24,37.25,37.26,36.75,36.75,423225
2021-03-25,37.28,37.56,37.13,37.50,675043
2021-03-26,37.58,37.73,37.29,37.69,526842
2021-03-29,37.92,38.14,37.82,37.88,521024
2021-03-30,37.74,37.98,37.67,37.87,270344
2021-03-31,38.00,38.26,37.88,37.90,346967
2021-04-01,38.30,38.47,38.01,38.19,366323
2021-04-05,37.96,38.16,37.95,38.03,272602
2021-04-06,37.89,38.20,37.89,38.02,321724
2021-04-07,38.23,38.23,37.83,37.86,359927
2021-04-08,38.38,38.60,38.25,38.30,389765
2021-04-09,38.49,38.63,38.26,38.50,885556
2021-04-12,38.67,38.70,38.48,38.55,573868
2021-04-13,38.59,38.91,38.59,38.80,493029
2021-04-14,39.22,39.33,38.84,39.10,849908
2021-04-15,39.30,40.11,38.78,39.70,1643637
2021-04-16,40.26,40.45,39.83,40.40,770564
2021-04-19,39.89,39.94,39.37,39.46,446812
2021-04-20,39.32,39.75,39.31,39.65,489197
2021-04-21,40.31,41.11,40.25,40.92,533149
2021-04-22,41.22,41.50,41.05,41.11,429619
2021-04-23,40.86,41.51,40.85,41.41,521983
2021-04-26,41.10,41.13,40.69,40.88,540390
2021-04-27,41.32,41.45,41.15,41.33,420435
2021-04-28,41.03,41.81,41.03,41.77,718657
2021-04-29,43.73,44.35,42.99,43.18,2194788
2021-04-30,43.25,43.82,43.15,43.17,1092520
2021-05-03,43.50,43.66,43.20,43.50,389357
2021-05-04,43.31,43.40,42.08,42.26,1262489
2021-05-05,43.09,43.16,42.64,43.00,908175
2021-05-06,43.19,43.64,43.10,43.59,663916
2021-05-07,43.81,44.43,43.81,43.99,968629
2021-05-10,43.99,44.04,43.43,43.48,518547
2021-05-11,42.91,43.20,42.72,42.84,703381
2021-05-12,42.90,42.94,41.79,41.84,1095623
2021-05-13,42.13,42.52,42.03,42.41,722671
2021-05-14,42.50,43.08,42.49,42.98,474929
2021-05-17,43.00,43.04,42.55,42.63,799488
2021-05-18,43.28,43.28,42.87,42.89,670140
2021-05-19,42.85,43.01,42.49,42.97,587093
2021-05-20,43.39,43.93,43.37,43.81,478786
2021-05-21,44.03,44.25,43.46,43.77,782672
2021-05-24,44.13,44.32,43.88,43.88,795187
2021-05-25,43.93,44.03,43.69,43.86,894137
2021-05-26,44.30,44.47,43.84,43.94,726581
2021-05-27,43.80,43.85,43.23,43.23,691259
2021-05-28,43.66,43.97,43.48,43.52,475148
2021-06-01,43.92,43.93,43.11,43.19,840026
2021-06-02,43.31,43.39,43.00,43.10,851201
2021-06-03,42.60,42.67,42.12,42.38,1448609
2021-06-04,42.50,42.58,42.31,42.43,914649
2021-06-07,42.59,42.74,41.30,41.47,2083401
2021-06-08,42.18,42.20,41.54,41.78,888157
2021-06-09,42.52,42.85,42.29,42.50,3362856
2021-06-10,43.40,43.94,43.29,43.94,970285
2021-06-11,43.60,43.90,43.45,43.87,352926
2021-06-14,43.71,44.01,43.55,44.01,241060
2021-06-15,43.84,44.03,43.68,43.82,216515
2021-06-16,43.71,43.90,43.29,43.40,229092
2021-06-17,42.81,43.54,42.79,43.48,265559
2021-06-18,42.59,42.69,42.12,42.14,585190
2021-06-21,42.35,43.26,42.07,43.11,395306
2021-06-22,43.12,43.37,42.92,43.25,289666
2021-06-23,43.50,43.57,43.01,43.14,492032
2021-06-24,43.53,43.67,43.27,43.48,220266
2021-06-25,43.60,43.81,43.53,43.80,257107
2021-06-28,43.25,43.46,43.19,43.33,377965
2021-06-29,43.25,43.36,43.14,43.20,278449
2021-06-30,43.40,43.58,43.14,43.44,289276
2021-07-01,43.54,43.90,43.54,43.87,242034
2021-07-02,43.89,44.27,43.76,44.17,153787
2021-07-06,44.00,44.03,43.67,43.94,158931
2021-07-07,43.78,44.22,43.69,44.16,211426
2021-07-08,43.18,43.51,43.05,43.50,323803
2021-07-09,43.33,43.62,43.30,43.55,301831
2021-07-12,43.31,43.60,43.23,43.54,390666
2021-07-13,43.48,43.65,43.27,43.28,345279
2021-07-14,43.11,43.14,42.61,42.62,225606
2021-07-15,42.24,42.29,41.81,41.90,342829
2021-07-16,41.70,41.81,41.48,41.68,455893
2021-07-19,40.35,40.60,39.98,40.37,582101
2021-07-20,40.33,41.19,40.27,41.16,596489
2021-07-21,42.25,42.66,41.91,42.63,526482
2021-07-22,42.80,42.81,42.47,42.70,460801
2021-07-23,42.51,43.06,42.47,42.90,331840
2021-07-26,42.38,42.38,41.99,42.03,382118
2021-07-27,42.21,42.70,42.12,42.70,374683
2021-07-28,43.09,44.20,42.99,43.70,753654
2021-07-29,41.19,41.33,40.59,41.06,1962915
2021-07-30,40.65,41.21,40.65,40.93,846694
2021-08-02,40.14,40.29,39.65,39.65,779039
2021-08-03,39.69,39.75,39.21,39.51,503785
2021-08-04,39.52,39.73,38.76,38.77,455843
2021-08-05,39.18,39.20,38.56,38.75,247072
2021-08-06,38.23,38.35,38.06,38.22,250906
2021-08-09,38.62,38.64,38.14,38.22,279047
2021-08-10,38.65,38.66,37.95,38.11,639052
2021-08-11,38.44,38.45,38.06,38.24,357681
2021-08-12,38.39,38.43,38.15,38.24,222088
2021-08-13,38.22,38.32,38.03,38.23,208199
2021-08-16,38.00,38.32,37.92,38.28,249910
2021-08-17,37.78,38.24,37.78,38.24,256117
2021-08-18,38.26,38.54,38.10,38.14,323551
2021-08-19,38.43,38.60,38.28,38.49,328057
2021-08-20,38.35,38.96,38.28,38.94,330628
2021-08-23,38.42,38.82,38.41,38.64,464718
2021-08-24,37.96,38.89,37.91,38.85,692080
2021-08-25,38.97,39.07,38.85,38.97,213193
2021-08-26,38.71,38.91,38.56,38.74,230311
2021-08-27,38.35,38.65,38.30,38.54,284419
2021-08-30,38.55,38.70,38.43,38.45,145766
2021-08-31,38.40,38.59,38.29,38.34,243163
2021-09-01,39.10,39.19,38.91,39.09,329218
2021-09-02,38.73,39.00,38.66,38.88,229656
2021-09-03,38.84,38.87,38.68,38.77,160399
2021-09-07,38.35,38.44,38.04,38.05,522708
2021-09-08,37.80,37.99,37.55,37.95,298496
2021-09-09,37.52,37.91,37.25,37.37,792900
2021-09-10,37.50,37.68,37.09,37.13,344276
2021-09-13,37.42,37.42,37.03,37.14,278903
2021-09-14,36.94,37.18,36.45,36.86,913305
2021-09-15,36.44,36.70,36.35,36.58,596791
2021-09-16,37.21,37.48,37.06,37.41,369421
2021-09-17,37.02,37.11,36.55,36.83,341249
2021-09-20,36.18,36.36,35.84,36.24,251431
2021-09-21,36.21,36.56,36.07,36.11,405351
2021-09-22,36.42,36.62,36.25,36.32,266572
2021-09-23,36.78,37.04,36.74,36.90,323347
2021-09-24,36.48,36.59,36.37,36.52,157704
2021-09-27,36.55,36.78,36.35,36.59,325256
2021-09-28,36.45,36.51,35.83,35.93,345768
2021-09-29,35.70,35.82,35.09,35.19,471921
2021-09-30,35.14,35.24,34.34,34.34,570881
2021-10-01,34.34,35.28,34.19,35.17,764459
2021-10-04,34.85,34.97,34.46,34.68,645146
2021-10-05,34.96,35.27,34.74,34.75,458401
2021-10-06,33.83,34.21,33.69,34.11,547059
2021-10-07,33.51,34.33,33.48,34.24,834597
2021-10-08,34.44,34.52,34.11,34.20,314840
2021-10-11,34.20,34.52,34.04,34.06,424457
2021-10-12,33.93,34.03,33.75,33.93,507388
2021-10-13,34.20,34.59,34.14,34.46,417759
2021-10-14,34.62,35.07,34.61,34.89,384411
2021-10-15,35.05,35.51,35.03,35.39,422841
2021-10-18,34.90,34.90,34.63,34.74,493574
2021-10-19,35.28,35.74,35.22,35.50,391732
2021-10-20,35.50,35.77,35.41,35.67,298507
2021-10-21,35.24,35.70,35.18,35.68,444735
2021-10-22,35.68,35.81,35.51,35.67,199727
2021-10-25,35.60,35.90,35.43,35.74,240380
2021-10-26,36.16,36.34,35.99,36.05,240860
2021-10-27,36.00,36.05,35.51,35.51,271102
