date,open,high,low,close,volume
2016-09-15,38.74,39.04,38.60,38.92,3159045
2016-09-16,38.57,38.62,38.33,38.43,2016914
2016-09-19,38.93,39.00,38.66,38.70,1135402
2016-09-20,39.17,39.21,38.92,38.97,952419
2016-09-21,38.85,38.93,37.93,38.38,3077487
2016-09-22,38.74,38.90,38.39,38.57,2606995
2016-09-23,38.30,38.54,38.28,38.35,1086862
2016-09-26,38.11,38.15,37.92,38.04,1794701
2016-09-27,37.89,38.24,37.83,38.15,1687050
2016-09-28,38.39,38.69,38.19,38.67,4945009
2016-09-29,38.39,38.48,37.71,37.83,7285102
2016-09-30,37.88,38.29,37.67,38.19,2666382
2016-10-03,38.31,38.41,38.17,38.32,1358011
2016-10-04,38.80,38.88,38.30,38.40,2679257
2016-10-05,38.62,38.67,38.41,38.56,1387441
2016-10-06,38.33,38.54,38.21,38.51,2839435
2016-10-07,38.69,38.75,38.19,38.53,1608371
2016-10-10,38.64,38.86,38.64,38.66,1544621
2016-10-11,38.59,38.64,38.16,38.22,4276287
2016-10-12,37.70,37.96,37.57,37.95,4841290
2016-10-13,37.22,37.86,37.20,37.73,5585951
2016-10-14,37.98,38.11,37.64,37.75,2767018
2016-10-17,37.57,37.58,37.28,37.35,2024179
2016-10-18,37.82,37.97,37.72,37.73,3901951
2016-10-19,37.66,37.79,37.48,37.52,1526806
2016-10-20,37.85,38.28,37.80,38.07,2272655
2016-10-21,37.66,37.86,37.60,37.75,2046302
2016-10-24,37.83,37.88,37.60,37.76,1216344
2016-10-25,37.47,37.53,37.16,37.39,3604176
2016-10-26,36.85,37.24,36.81,37.06,1835537
2016-10-27,37.81,38.01,37.25,37.25,2175449
2016-10-28,39.37,39.37,38.40,38.84,4654972
2016-10-31,39.01,39.03,38.71,38.89,1943800
2016-11-01,39.15,39.56,38.97,39.03,2748665
2016-11-02,39.93,40.02,39.50,39.75,2325245
2016-11-03,40.17,40.29,39.51,39.51,4011646
2016-11-04,39.35,40.00,39.35,39.94,3324750
2016-11-07,39.83,39.91,39.52,39.63,1791775
2016-11-08,40.27,40.33,40.11,40.16,1973571
2016-11-09,41.73,42.40,41.33,42.01,4739634
2016-11-10,41.99,42.42,41.77,41.83,2494342
2016-11-11,41.45,41.56,41.02,41.04,1375108
2016-11-14,41.33,41.49,41.08,41.44,4212295
2016-11-15,41.32,41.61,41.11,41.49,1731683
2016-11-16,41.16,41.49,41.14,41.17,1508786
2016-11-17,41.32,41.37,40.91,40.99,1878707
2016-11-18,40.54,40.61,39.98,40.03,2216918
2016-11-21,40.17,40.23,40.05,40.16,1171428
2016-11-22,40.15,40.18,39.56,39.86,2904594
2016-11-23,38.84,39.45,38.80,39.44,2420288
2016-11-25,39.96,39.96,39.78,39.84,710745
2016-11-28,39.83,39.92,39.69,39.73,1184393
2016-11-29,40.24,40.65,40.11,40.44,2224806
2016-11-30,40.73,40.75,40.19,40.20,1323056
2016-12-01,39.95,39.99,39.63,39.72,1301697
2016-12-02,39.66,40.33,39.57,40.02,1465428
2016-12-05,40.58,40.92,40.52,40.91,1805592
2016-12-06,40.25,40.76,40.11,40.66,1465423
2016-12-07,40.67,40.68,40.01,40.52,2836448
2016-12-08,39.78,39.92,39.54,39.77,3102893
2016-12-09,40.21,40.54,40.17,40.40,1438696
2016-12-12,40.20,40.65,40.17,40.59,1149112
2016-12-13,40.95,41.32,40.88,40.92,1717442
2016-12-14,40.16,40.34,39.62,39.62,1867702
2016-12-15,39.59,39.61,39.31,39.47,1487104
2016-12-16,38.56,38.90,38.45,38.54,3027961
2016-12-19,39.01,39.28,38.67,38.74,1698664
2016-12-20,39.40,39.43,38.70,38.86,3019148
2016-12-21,39.25,39.82,39.03,39.43,3939118
2016-12-22,39.83,39.97,39.48,39.54,1670959
2016-12-23,39.34,39.60,39.31,39.47,867685
2016-12-27,39.90,39.98,39.65,39.69,1149641
2016-12-28,39.55,39.56,39.26,39.26,2055845
2016-12-29,39.82,39.90,39.69,39.71,1945539
2016-12-30,40.25,40.57,40.03,40.44,1866126
2017-01-03,40.56,41.12,40.54,41.02,2701438
2017-01-04,40.79,41.02,40.67,40.85,2819610
2017-01-05,41.28,41.67,41.11,41.50,2825526
2017-01-06,40.13,40.54,40.12,40.32,2609682
2017-01-09,40.90,41.08,40.70,40.96,2357977
2017-01-10,41.56,41.59,41.00,41.05,2009526
2017-01-11,41.06,41.16,40.38,40.79,2265954
2017-01-12,40.54,41.77,40.47,40.62,3864327
2017-01-13,41.69,41.71,41.29,41.47,2553862
2017-01-17,40.68,41.07,40.54,40.96,2536087
2017-01-18,40.85,40.90,40.61,40.76,1356421
2017-01-19,40.28,40.37,40.00,40.17,958621
2017-01-20,40.42,40.58,40.23,40.35,988291
2017-01-23,40.33,40.35,39.91,40.21,2106309
2017-01-24,39.75,39.88,39.42,39.72,1541439
2017-01-25,40.10,40.10,39.69,39.89,2435643
2017-01-26,40.00,40.01,39.48,39.51,1720213
2017-01-27,39.88,40.01,39.71,39.88,1365069
2017-01-30,39.87,40.14,39.71,40.00,1785302
2017-01-31,39.94,40.81,39.89,40.78,2496444
2017-02-01,40.62,40.88,40.50,40.88,1563121
2017-02-02,40.55,40.71,40.42,40.51,1057359
2017-02-03,40.68,40.82,40.60,40.63,746745
2017-02-06,40.37,40.68,40.37,40.64,789519
2017-02-07,40.61,40.74,40.18,40.25,1120191
2017-02-08,40.61,41.26,40.56,41.21,2386045
2017-02-09,42.28,42.97,42.25,42.70,2412677
2017-02-10,42.60,42.81,42.55,42.57,1159991
2017-02-13,42.70,42.72,42.44,42.54,985025
2017-02-14,42.84,42.93,42.53,42.76,1206485
2017-02-15,42.75,43.45,42.75,43.35,1636978
2017-02-16,43.60,43.72,43.41,43.54,962489
2017-02-17,43.12,43.33,43.06,43.16,1811565
2017-02-21,42.21,42.78,42.08,42.76,2857419
2017-02-22,42.13,42.61,42.11,42.52,2316469
2017-02-23,42.71,42.76,42.40,42.51,1491003
2017-02-24,42.27,42.84,42.26,42.70,1786466
2017-02-27,42.54,42.96,42.53,42.92,2874165
2017-02-28,43.00,43.33,42.94,43.13,2527595
2017-03-01,43.81,43.84,43.46,43.48,1525679
2017-03-02,43.28,43.64,43.26,43.52,1166449
2017-03-03,44.09,44.37,44.01,44.24,1298741
2017-03-06,43.76,43.86,43.54,43.70,1023520
2017-03-07,42.87,43.27,42.85,43.09,1718165
2017-03-08,43.35,43.52,43.19,43.27,1015723
2017-03-09,43.51,43.71,43.41,43.58,1335482
2017-03-10,43.82,43.94,43.71,43.91,1161550
2017-03-13,43.83,43.88,43.66,43.84,775584
2017-03-14,43.64,43.78,43.56,43.63,582558
2017-03-15,43.52,44.20,43.52,44.19,754496
2017-03-16,44.31,44.58,44.16,44.57,1003446
2017-03-17,44.17,44.50,44.00,44.30,1417985
2017-03-20,44.55,44.74,44.36,44.51,1516020
2017-03-21,44.96,45.07,44.34,44.36,1775486
2017-03-22,44.76,44.88,44.55,44.67,1039038
2017-03-23,44.69,45.13,44.44,44.51,1348940
2017-03-24,44.76,44.81,44.50,44.63,2117041
2017-03-27,45.32,45.49,45.25,45.38,2362479
2017-03-28,45.24,45.95,45.18,45.35,2212614
2017-03-29,45.24,45.47,45.22,45.27,1608545
2017-03-30,45.03,45.18,44.77,44.85,1286334
2017-03-31,44.97,45.30,44.86,45.25,1357914
2017-04-03,44.88,45.20,44.80,45.14,782366
2017-04-04,45.25,45.51,45.23,45.49,858498
2017-04-05,45.54,45.69,45.19,45.28,1796036
2017-04-06,45.63,45.66,45.17,45.31,1191648
2017-04-07,44.92,45.09,44.79,44.81,1184503
2017-04-10,44.84,44.93,44.57,44.58,666071
2017-04-11,45.09,45.20,44.77,45.17,1194015
2017-04-12,45.28,45.49,45.14,45.39,732054
2017-04-13,45.26,45.86,45.21,45.65,1373382
2017-04-17,45.50,45.81,45.48,45.53,1190911
2017-04-18,44.82,44.87,44.27,44.45,1688382
2017-04-19,44.40,44.47,44.25,44.31,1527336
2017-04-20,44.75,45.03,44.59,44.79,1663453
2017-04-21,44.24,44.28,43.97,44.09,1715879
2017-04-24,46.11,46.16,45.72,45.90,3973977
2017-04-25,46.43,46.49,46.19,46.40,1567444
2017-04-26,46.29,46.62,46.29,46.42,950824
2017-04-27,46.55,46.92,46.42,46.91,1162987
2017-04-28,47.51,47.52,46.90,47.30,2167513
2017-05-01,47.19,47.45,47.11,47.26,1319548
2017-05-02,47.74,48.19,47.48,48.15,2683277
