date,open,high,low,close,volume
2021-01-04,27.47,27.50,27.25,27.33,62959
2021-01-05,27.37,27.38,27.23,27.33,55112
2021-01-06,27.27,27.27,26.78,26.88,103336
2021-01-07,26.77,26.94,26.55,26.56,72505
2021-01-08,26.57,26.73,26.50,26.55,79410
2021-01-11,26.50,26.56,26.11,26.11,178735
2021-01-12,26.15,26.19,25.93,26.10,309000
2021-01-13,26.10,26.47,26.10,26.40,212204
2021-01-14,26.48,26.63,26.33,26.50,141435
2021-01-15,26.56,26.58,26.43,26.50,111202
2021-01-19,26.57,26.57,26.41,26.43,81398
2021-01-20,26.49,26.54,26.35,26.42,166021
2021-01-21,26.40,27.53,26.26,26.38,90086
2021-01-22,26.30,26.64,26.30,26.61,78390
2021-01-25,26.66,26.69,26.58,26.65,87808
2021-01-26,26.69,26.69,26.51,26.57,66600
2021-01-27,26.62,26.66,26.27,26.31,53170
2021-01-28,26.29,26.30,26.02,26.08,74757
2021-01-29,26.15,26.28,26.00,26.10,229187
2021-02-01,26.20,26.20,26.03,26.05,139492
2021-02-02,26.10,26.26,26.09,26.11,151744
2021-02-03,26.16,26.16,26.00,26.04,197667
2021-02-04,26.07,26.10,25.93,26.08,130510
2021-02-05,26.08,26.20,26.08,26.11,70484
2021-02-08,26.10,26.24,26.10,26.19,45435
2021-02-09,26.22,26.38,26.19,26.22,50604
2021-02-10,26.25,26.30,26.15,26.18,104470
2021-02-11,26.25,26.25,26.05,26.08,66581
2021-02-12,26.11,26.11,25.88,25.98,81462
2021-02-16,26.05,26.16,25.88,25.91,223258
2021-02-17,25.97,25.97,25.88,25.92,87812
2021-02-18,25.92,25.94,25.85,25.89,112963
2021-02-19,25.94,25.94,25.79,25.83,184009
2021-02-22,25.85,25.89,25.76,25.77,199234
2021-02-23,25.81,25.86,25.75,25.78,99899
2021-02-24,25.78,25.82,25.67,25.69,173507
2021-02-25,25.65,25.69,25.42,25.51,179380
2021-02-26,25.71,25.71,25.28,25.61,116915
2021-03-01,25.81,25.82,25.62,25.81,107883
2021-03-02,25.86,25.97,25.72,25.94,146500
2021-03-03,25.94,26.29,25.85,26.28,155696
2021-03-04,26.35,26.45,26.11,26.28,181042
2021-03-05,26.28,26.30,26.12,26.21,146642
2021-03-08,26.21,26.28,26.10,26.20,146822
2021-03-09,26.25,26.31,26.17,26.31,95282
2021-03-10,26.32,26.38,26.25,26.38,96648
2021-03-11,26.43,26.72,26.32,26.70,86182
2021-03-12,26.65,26.67,26.31,26.57,68678
2021-03-15,26.60,26.63,26.50,26.51,185085
2021-03-16,26.51,26.85,26.51,26.82,140399
2021-03-17,26.78,26.80,26.55,26.61,69631
2021-03-18,26.35,26.47,26.20,26.23,135323
2021-03-19,26.30,26.30,26.22,26.28,154875
2021-03-22,26.39,26.39,26.24,26.28,152897
2021-03-23,26.27,26.33,26.18,26.23,103199
2021-03-24,26.30,26.34,26.24,26.26,138224
2021-03-25,26.28,26.28,26.21,26.22,81497
2021-03-26,26.29,26.29,26.20,26.27,55717
2021-03-29,26.29,26.29,26.17,26.21,79061
