date,open,high,low,close,volume
2024-03-26,91.05,96.05,79.10,80.00,353582
2024-03-27,80.00,80.00,74.18,75.00,454568
2024-03-28,78.00,78.00,69.00,69.55,2869643
2024-04-01,69.15,72.40,65.00,69.10,14094860
2024-04-02,67.67,68.59,64.47,66.90,9446891
2024-04-03,65.53,67.77,63.86,63.89,5177150
2024-04-04,63.05,68.17,62.33,67.00,5239733
2024-04-05,65.97,70.15,65.17,70.06,4216625
2024-04-08,70.06,71.66,66.25,67.01,4467678
2024-04-09,65.48,68.00,65.01,65.52,2894692
2024-04-10,64.68,64.93,63.59,63.89,2114791
2024-04-11,63.57,64.30,62.30,63.17,2396618
2024-04-12,62.50,63.25,61.87,62.75,1795364
2024-04-15,62.10,63.79,61.56,61.69,2043059
2024-04-16,62.00,62.99,61.66,61.95,1583249
2024-04-17,61.82,62.67,61.50,61.75,1849789
2024-04-18,61.84,64.11,61.38,64.03,2070485
2024-04-19,63.58,64.06,61.99,62.20,1469197
2024-04-22,62.25,62.76,61.83,62.07,1380397
2024-04-23,62.03,64.19,61.85,63.50,1505935
2024-04-24,62.85,64.17,62.78,63.54,1055100
2024-04-25,62.75,63.07,60.72,61.83,2938475
2024-04-26,61.46,64.69,61.32,64.43,1641165
2024-04-29,63.49,66.67,63.04,65.91,2163617
2024-04-30,65.21,65.86,63.75,65.01,2132558
2024-05-01,64.95,66.85,64.28,65.15,1612395
2024-05-02,65.00,66.23,64.70,65.14,1697552
2024-05-03,65.43,65.56,63.80,64.65,1724999
2024-05-06,64.70,65.11,64.30,64.69,1200293
2024-05-07,64.79,65.89,64.46,65.56,2270340
2024-05-08,65.23,66.97,65.15,66.43,1910630
2024-05-09,65.52,67.50,63.49,64.83,3088693
2024-05-10,63.80,64.81,63.03,63.74,1916241
2024-05-13,64.00,64.44,63.12,63.14,1510912
2024-05-14,63.61,65.40,63.46,65.10,1627518
2024-05-15,64.83,65.18,62.23,62.44,2812481
2024-05-16,62.00,62.03,60.57,61.56,2653989
2024-05-17,61.80,62.42,61.00,62.38,1711108
