date,open,high,low,close,volume
2016-09-15,2.68,2.86,2.66,2.85,11308839
2016-09-16,2.92,2.93,2.78,2.85,5264457
2016-09-19,2.91,2.98,2.83,2.86,5472462
2016-09-20,2.90,2.91,2.80,2.83,3736093
2016-09-21,2.86,2.95,2.83,2.94,3956113
2016-09-22,2.99,3.03,2.94,2.97,4539658
2016-09-23,2.96,2.96,2.86,2.88,2403899
2016-09-26,2.83,2.84,2.76,2.79,2850419
2016-09-27,2.78,2.94,2.77,2.94,4380358
2016-09-28,2.95,3.00,2.90,2.96,4859938
2016-09-29,2.96,3.12,2.86,3.06,12944034
2016-09-30,3.13,3.27,3.13,3.21,7448201
2016-10-03,3.21,3.27,3.13,3.14,3537088
2016-10-04,3.19,3.21,3.08,3.12,4381633
2016-10-05,3.15,3.25,3.13,3.19,3516478
2016-10-06,3.19,3.25,3.12,3.24,4367353
2016-10-07,3.27,3.29,3.14,3.23,4739788
2016-10-10,3.27,3.31,3.18,3.18,4125223
2016-10-11,3.16,3.17,2.89,2.98,11005719
2016-10-12,2.98,2.98,2.86,2.95,4562638
2016-10-13,2.87,2.87,2.70,2.84,7301966
2016-10-14,2.94,3.01,2.90,2.91,8758946
2016-10-17,2.89,2.95,2.86,2.86,3201373
2016-10-18,2.99,3.00,2.94,2.96,3814783
2016-10-19,2.88,2.93,2.84,2.92,4538953
2016-10-20,2.91,3.01,2.85,2.98,4455658
2016-10-21,2.91,2.97,2.87,2.96,3619258
2016-10-24,3.03,3.13,3.02,3.12,4045633
2016-10-25,3.15,3.16,3.10,3.12,4288708
2016-10-26,3.06,3.16,3.04,3.10,4482028
2016-10-27,3.19,3.22,3.04,3.06,4950433
2016-10-28,3.06,3.15,2.99,3.00,5381547
2016-10-31,3.06,3.09,3.04,3.05,2971589
2016-11-01,3.08,3.12,2.86,2.97,5791467
2016-11-02,2.97,3.03,2.88,2.91,6439077
2016-11-03,2.92,2.97,2.86,2.89,5180457
2016-11-04,2.83,2.91,2.78,2.84,2906249
2016-11-07,3.00,3.08,2.96,3.08,3788698
2016-11-08,3.09,3.16,3.02,3.10,4148308
2016-11-09,2.89,3.08,2.85,3.05,8143031
2016-11-10,3.12,3.17,2.77,2.86,11699379
2016-11-11,2.96,3.20,2.95,3.18,8975471
2016-11-14,3.20,3.24,3.10,3.13,3526078
2016-11-15,3.19,3.33,3.15,3.31,5699427
2016-11-16,3.30,3.43,3.29,3.43,6180357
2016-11-17,3.52,3.58,3.40,3.54,4749373
2016-11-18,3.56,3.62,3.51,3.61,3157618
2016-11-21,3.64,3.70,3.60,3.66,4189738
2016-11-22,3.76,3.81,3.73,3.80,5645382
2016-11-23,3.79,3.84,3.75,3.82,3952783
2016-11-25,3.86,3.86,3.78,3.84,1351409
2016-11-28,3.82,3.85,3.78,3.80,2221244
2016-11-29,3.79,3.84,3.72,3.78,1993304
2016-11-30,3.79,3.80,3.71,3.71,1819289
2016-12-01,3.70,3.71,3.10,3.16,10960585
2016-12-02,3.15,3.30,3.12,3.29,6095352
2016-12-05,3.37,3.44,3.30,3.41,6200082
2016-12-06,3.44,3.56,3.44,3.55,4475083
2016-12-07,3.53,3.79,3.50,3.77,6502137
2016-12-08,3.78,3.93,3.78,3.87,7059851
2016-12-09,3.98,3.99,3.74,3.82,5363247
2016-12-12,3.77,3.80,3.64,3.73,3918703
2016-12-13,3.79,3.94,3.75,3.86,6130437
2016-12-14,3.87,3.93,3.81,3.85,5143767
2016-12-15,3.89,4.10,3.88,4.05,7222271
2016-12-16,4.13,4.15,3.87,3.92,4265158
2016-12-19,4.00,4.09,3.95,4.04,4107433
2016-12-20,4.00,4.00,3.92,3.97,5374767
2016-12-21,4.00,4.02,3.95,3.97,2380739
2016-12-22,4.11,4.13,3.98,4.03,3078643
2016-12-23,4.01,4.10,3.99,4.09,1365179
2016-12-27,4.10,4.27,4.10,4.24,4865758
2016-12-28,4.33,4.33,3.99,4.00,8051906
2016-12-29,3.96,4.00,3.87,3.99,5998932
2016-12-30,4.08,4.10,3.77,3.81,5213577
2017-01-03,3.91,3.98,3.71,3.81,6213912
2017-01-04,3.86,3.90,3.79,3.85,3564928
2017-01-05,3.86,3.91,3.72,3.74,3570778
2017-01-06,3.77,3.86,3.69,3.83,4870768
2017-01-09,3.87,4.00,3.87,3.95,5390127
2017-01-10,3.95,4.04,3.95,4.01,3778723
2017-01-11,4.00,4.05,3.96,4.05,3206158
2017-01-12,4.03,4.03,3.77,3.95,5008122
2017-01-13,3.96,4.06,3.95,4.02,4091398
2017-01-17,3.99,3.99,3.79,3.83,4072273
2017-01-18,3.84,4.00,3.84,3.99,3650998
2017-01-19,3.93,4.07,3.93,3.93,2685464
2017-01-20,4.04,4.16,4.03,4.09,4135633
2017-01-23,4.03,4.07,3.91,4.01,4025443
2017-01-24,4.05,4.26,4.05,4.24,4713448
2017-01-25,4.41,4.46,4.31,4.43,5003292
2017-01-26,4.45,4.46,4.30,4.35,3686188
2017-01-27,4.42,4.52,4.42,4.52,3610498
2017-01-30,4.45,4.45,4.28,4.45,7094906
2017-01-31,4.37,4.38,4.19,4.27,6423372
2017-02-01,4.44,4.49,4.35,4.48,5635632
2017-02-02,4.39,4.52,4.31,4.47,4839628
2017-02-03,4.53,4.56,4.49,4.54,2787659
2017-02-06,4.58,4.60,4.49,4.59,4753483
2017-02-07,4.67,4.69,4.56,4.64,4060138
2017-02-08,4.69,4.72,4.59,4.66,3667723
2017-02-09,4.69,4.69,4.52,4.54,5069427
2017-02-10,4.64,4.64,4.40,4.53,5945937
2017-02-13,4.58,4.66,4.54,4.56,4623853
2017-02-14,4.55,4.56,4.44,4.52,3198928
2017-02-15,4.54,4.64,4.49,4.63,3541618
2017-02-16,4.64,4.67,4.56,4.65,2700614
2017-02-17,4.59,4.72,4.52,4.72,3577798
2017-02-21,4.81,4.92,4.79,4.92,4737253
