date,open,high,low,close,volume
2021-01-04,55.00,55.15,52.58,53.19,231000
2021-01-05,53.25,55.02,53.18,54.58,186527
2021-01-06,55.73,58.87,55.73,57.95,320600
2021-01-07,58.21,59.23,56.25,57.87,551490
2021-01-08,58.38,58.38,56.31,57.09,260061
2021-01-11,56.21,57.27,56.02,56.56,444976
2021-01-12,56.56,58.29,56.56,57.78,147411
2021-01-13,57.47,58.27,57.02,57.64,255949
2021-01-14,58.14,60.06,57.79,59.64,304468
2021-01-15,58.32,58.72,57.01,57.31,281695
2021-01-19,57.96,58.85,57.63,58.30,164519
2021-01-20,58.63,59.48,58.19,59.22,217709
2021-01-21,59.57,59.57,58.24,58.61,166978
2021-01-22,57.92,59.95,57.80,59.87,129695
2021-01-25,59.38,59.76,57.52,57.90,173405
2021-01-26,58.42,58.42,56.55,56.74,101716
2021-01-27,55.39,56.19,53.48,54.99,261254
2021-01-28,56.08,56.08,54.55,54.68,202086
2021-01-29,54.67,54.67,51.63,51.71,323279
2021-02-01,52.74,53.88,51.74,53.47,232491
2021-02-02,54.28,55.29,53.76,54.55,205024
2021-02-03,54.40,54.44,52.67,53.49,133774
2021-02-04,53.52,54.54,53.52,53.94,83614
2021-02-05,54.65,54.65,53.91,54.57,85506
2021-02-08,55.12,56.06,55.12,55.70,85672
2021-02-09,55.80,56.29,54.90,56.10,112528
2021-02-10,56.27,56.70,55.21,55.26,113505
2021-02-11,55.39,55.99,54.44,55.47,190402
2021-02-12,55.01,56.23,54.88,55.36,94120
2021-02-16,55.73,56.00,54.48,54.52,120430
2021-02-17,53.90,55.34,53.90,54.66,118166
2021-02-18,54.48,54.61,53.38,54.29,142440
2021-02-19,54.53,56.24,54.53,56.03,421631
2021-02-22,55.39,57.06,55.38,56.93,225480
2021-02-23,56.38,57.55,55.45,57.07,225054
2021-02-24,56.84,57.84,55.35,57.65,267526
2021-02-25,57.46,57.80,55.48,56.55,656221
2021-02-26,56.49,57.10,55.53,55.59,343920
2021-03-01,56.99,58.92,56.31,58.34,169450
2021-03-02,58.20,58.20,55.87,55.95,157956
2021-03-03,56.01,56.30,55.15,55.16,220599
2021-03-04,55.09,55.10,52.13,52.92,284686
2021-03-05,54.16,55.85,52.63,55.77,367774
2021-03-08,56.31,58.52,56.31,57.64,200672
2021-03-09,58.34,58.46,56.88,57.06,213278
2021-03-10,57.36,58.80,56.99,58.38,150151
2021-03-11,59.10,59.95,58.19,59.50,236976
2021-03-12,59.80,60.90,59.56,60.40,216226
2021-03-15,60.19,61.48,59.05,61.36,156990
2021-03-16,61.00,61.07,59.46,60.60,210480
2021-03-17,60.55,61.66,59.97,61.03,168486
2021-03-18,60.82,62.13,59.65,59.83,330006
2021-03-19,59.82,60.02,57.95,59.58,643252
2021-03-22,59.48,59.80,57.77,59.07,205025
2021-03-23,58.18,59.92,56.70,57.54,323087
2021-03-24,58.08,59.52,56.93,56.96,208164
2021-03-25,56.42,57.69,55.43,57.51,186744
2021-03-26,58.26,59.48,57.62,59.48,217828
2021-03-29,59.08,60.61,58.15,58.20,215146
2021-03-30,58.40,59.22,58.09,58.68,262866
2021-03-31,59.13,59.94,58.01,58.27,314085
2021-04-01,58.66,59.60,58.14,59.55,227912
2021-04-05,60.75,60.75,59.29,60.11,189270
2021-04-06,60.12,60.94,60.12,60.26,81945
2021-04-07,60.66,60.69,58.62,58.87,110293
2021-04-08,59.23,59.34,58.22,58.97,100371
2021-04-09,58.94,60.18,58.73,60.10,108794
2021-04-12,60.10,60.63,59.83,60.16,61162
2021-04-13,59.84,60.32,58.33,58.78,152766
2021-04-14,58.73,59.81,58.62,58.70,147661
2021-04-15,59.67,61.27,59.39,60.26,102568
2021-04-16,60.90,61.05,59.29,59.66,88369
2021-04-19,59.47,59.48,58.31,59.37,168007
2021-04-20,59.20,59.73,58.67,59.41,203964
2021-04-21,59.59,60.42,59.33,60.36,108621
2021-04-22,60.61,61.41,60.28,60.83,170614
2021-04-23,61.22,62.47,60.78,61.99,114354
2021-04-26,62.18,62.55,61.62,61.66,86482
2021-04-27,62.19,62.19,61.29,61.69,82050
2021-04-28,61.57,61.77,61.13,61.62,69053
2021-04-29,62.08,62.17,61.25,62.07,162113
2021-04-30,61.37,61.48,60.37,60.66,188130
2021-05-03,61.55,62.46,60.68,61.90,251014
2021-05-04,61.51,61.63,60.40,61.03,161645
2021-05-05,61.02,61.68,60.23,60.80,112617
2021-05-06,60.96,62.20,60.50,62.05,179224
2021-05-07,63.00,66.19,62.44,63.58,190384
2021-05-10,63.54,64.15,63.00,63.59,206235
2021-05-11,62.35,63.47,62.21,62.88,95720
2021-05-12,62.48,62.66,59.64,59.76,102743
2021-05-13,60.00,62.31,60.00,61.87,110661
2021-05-14,62.47,63.43,62.18,63.05,121157
2021-05-17,62.54,62.61,61.66,62.30,97172
2021-05-18,62.38,62.43,60.78,60.79,81860
2021-05-19,59.73,60.72,59.28,60.72,127419
2021-05-20,60.57,61.69,60.07,61.36,94641
2021-05-21,62.14,63.03,61.56,62.32,101363
2021-05-24,62.62,62.62,61.24,61.66,128589
2021-05-25,62.03,62.77,61.08,61.17,80648
2021-05-26,61.31,62.20,61.31,61.84,93061
2021-05-27,62.52,63.07,62.44,62.54,89680
2021-05-28,62.82,62.82,61.76,62.63,86263
2021-06-01,63.19,64.17,63.01,63.74,158817
2021-06-02,64.01,64.01,62.10,62.28,92226
2021-06-03,61.82,62.41,61.07,62.21,82912
2021-06-04,62.69,62.69,61.85,62.39,77741
2021-06-07,62.79,62.79,61.74,62.23,93981
2021-06-08,62.23,64.15,61.82,63.88,128486
2021-06-09,63.50,64.97,60.15,61.74,600478
2021-06-10,61.37,61.37,59.98,60.18,205102
2021-06-11,60.38,61.15,59.05,59.55,211876
2021-06-14,59.15,59.80,59.06,59.15,167365
2021-06-15,59.35,59.42,58.11,59.08,155961
2021-06-16,58.78,59.59,58.67,59.34,170539
2021-06-17,59.19,59.56,57.69,58.37,211536
2021-06-18,57.25,57.56,56.31,57.10,422428
2021-06-21,57.78,58.95,57.48,58.36,156693
2021-06-22,58.08,59.66,57.65,59.36,206830
2021-06-23,59.35,59.97,58.98,59.01,187130
2021-06-24,59.50,59.74,58.51,59.43,161378
2021-06-25,59.43,60.43,59.06,60.41,455329
2021-06-28,60.16,60.16,59.17,59.49,109977
2021-06-29,59.57,60.30,59.48,59.54,89779
2021-06-30,59.24,61.17,59.24,61.08,206924
2021-07-01,61.66,62.24,60.88,62.20,166011
2021-07-02,62.43,62.50,61.58,62.11,136931
2021-07-06,62.15,62.15,60.00,61.26,144588
2021-07-07,61.27,62.99,61.14,62.30,181364
2021-07-08,61.18,62.61,60.75,61.82,178965
2021-07-09,62.95,63.42,62.70,63.30,107075
2021-07-12,63.09,64.26,62.68,64.14,130458
2021-07-13,63.70,64.31,62.72,63.39,128261
2021-07-14,63.72,63.97,62.61,63.61,165737
2021-07-15,63.28,63.44,62.41,63.33,108995
2021-07-16,63.90,63.95,62.79,62.94,144285
2021-07-19,61.75,62.27,60.57,61.02,163003
2021-07-20,61.41,64.48,61.41,63.76,229718
2021-07-21,64.48,65.33,64.48,64.88,112266
2021-07-22,65.15,65.15,63.76,64.00,143074
2021-07-23,64.42,64.86,63.49,64.57,124134
2021-07-26,64.91,65.85,64.81,64.91,95962
2021-07-27,64.22,65.34,64.00,64.71,57293
2021-07-28,65.30,65.67,64.01,64.72,86379
2021-07-29,65.58,66.60,65.23,66.36,65270
2021-07-30,66.32,66.79,65.63,66.66,115157
2021-08-02,67.10,67.66,65.16,65.31,124684
2021-08-03,65.90,66.00,65.20,65.50,300306
2021-08-04,64.65,65.21,64.15,64.28,98771
2021-08-05,64.34,65.05,64.19,64.95,115223
2021-08-06,64.62,65.38,64.00,65.00,149312
2021-08-09,64.57,64.57,63.29,63.35,157869
2021-08-10,63.35,64.05,62.54,64.00,109778
2021-08-11,64.00,64.73,63.76,64.61,163988
2021-08-12,64.97,65.44,64.19,64.79,119132
2021-08-13,64.99,65.25,64.00,64.13,79026
2021-08-16,63.65,64.11,63.06,63.61,147851
2021-08-17,62.94,62.94,60.94,61.76,152555
2021-08-18,61.60,62.52,61.60,61.74,164208
2021-08-19,61.08,61.83,60.57,61.46,137022
2021-08-20,61.61,62.62,61.35,62.35,102232
2021-08-23,63.00,63.05,62.20,62.48,56194
2021-08-24,62.86,63.50,62.55,63.24,63502
2021-08-25,63.17,64.13,63.04,63.47,65357
2021-08-26,63.56,63.56,62.01,62.03,81901
2021-08-27,62.45,63.97,62.45,63.68,215201
2021-08-30,64.05,64.05,62.84,62.97,87901
2021-08-31,62.97,62.99,62.31,62.48,76085
2021-09-01,62.73,62.73,61.19,61.83,71029
2021-09-02,62.35,62.35,61.56,61.74,72209
2021-09-03,61.45,61.88,60.37,61.25,192656
2021-09-07,61.00,61.00,59.86,60.33,93818
2021-09-08,59.88,60.39,59.48,59.81,156346
2021-09-09,59.97,59.97,58.77,58.88,100930
2021-09-10,59.20,59.20,58.02,58.09,85655
2021-09-13,58.47,58.53,57.27,57.80,99192
2021-09-14,57.91,58.01,56.33,56.65,215112
2021-09-15,56.73,56.78,55.75,56.40,198079
2021-09-16,56.61,56.61,54.74,55.14,136537
2021-09-17,55.10,55.10,53.75,54.46,603434
2021-09-20,53.41,54.25,52.81,54.20,151087
2021-09-21,54.40,54.77,53.34,54.21,150696
2021-09-22,54.62,55.50,54.15,54.91,118848
2021-09-23,55.15,55.85,54.96,55.18,138096
2021-09-24,54.91,55.16,54.03,54.74,166271
2021-09-27,54.95,55.90,54.54,55.21,114398
2021-09-28,55.13,55.13,53.48,53.56,223870
2021-09-29,53.95,55.18,53.36,54.68,449038
2021-09-30,55.09,55.22,53.39,53.45,282206
2021-10-01,53.88,56.19,53.64,56.06,298949
2021-10-04,55.60,57.15,55.52,56.49,175972
2021-10-05,56.85,58.31,56.08,57.76,222062
2021-10-06,57.13,57.77,55.60,57.04,164399
2021-10-07,57.56,58.59,57.38,58.45,156225
2021-10-08,58.40,58.92,58.07,58.75,109580
2021-10-11,58.62,59.48,58.59,58.68,98217
2021-10-12,58.80,59.00,57.75,58.05,150007
2021-10-13,57.99,58.32,57.25,58.09,74046
2021-10-14,58.77,59.65,58.11,59.62,110280
2021-10-15,60.58,60.59,59.39,59.58,153639
2021-10-18,59.10,60.48,58.88,60.34,128552
2021-10-19,60.72,60.72,59.98,60.46,108068
2021-10-20,60.65,61.49,60.37,61.32,64059
2021-10-21,61.07,61.49,59.94,61.47,106659
2021-10-22,61.49,61.87,60.49,60.75,67324
2021-10-25,60.55,60.81,59.91,60.29,102485
2021-10-26,60.63,61.17,59.88,59.92,163412
2021-10-27,59.92,60.11,58.44,58.47,76838
2021-10-28,58.63,59.26,58.40,58.45,136016
2021-10-29,58.38,59.02,57.76,58.09,170351
2021-11-01,58.25,60.20,58.04,60.19,227719
2021-11-02,60.30,61.57,60.05,61.57,91897
2021-11-03,61.12,62.96,60.82,62.09,163469
2021-11-04,57.01,62.30,56.20,62.14,325895
2021-11-05,62.76,66.46,61.97,66.29,242293
2021-11-08,67.17,67.46,66.25,66.70,143781
2021-11-09,66.49,68.08,66.34,67.93,109494
2021-11-10,68.02,68.24,66.94,67.67,100329
2021-11-11,67.61,68.00,65.34,65.56,184594
2021-11-12,66.15,66.72,65.65,65.69,71094
2021-11-15,66.95,67.16,64.72,65.22,258029
2021-11-16,65.22,65.93,64.28,64.63,124908
2021-11-17,64.34,64.34,62.98,63.77,180281
2021-11-18,64.28,64.67,63.10,64.61,159931
2021-11-19,64.43,65.23,63.84,63.85,111071
2021-11-22,64.48,65.20,63.92,64.17,115331
2021-11-23,64.15,64.67,63.36,64.62,147191
2021-11-24,64.12,64.61,63.60,63.94,49683
2021-11-26,61.90,62.79,59.73,60.46,83118
2021-11-29,61.77,61.77,59.78,61.04,145775
2021-11-30,60.10,60.23,57.69,58.15,194886
2021-12-01,59.94,60.69,58.17,58.20,118350
2021-12-02,58.50,60.87,58.50,60.45,106782
2021-12-03,60.84,60.98,58.68,59.39,105842
2021-12-06,60.45,61.61,60.17,60.81,129727
2021-12-07,61.73,62.14,60.99,61.18,76628
2021-12-08,61.56,61.56,60.52,61.20,96314
2021-12-09,60.68,60.68,59.45,59.61,105941
2021-12-10,60.46,60.46,58.95,59.84,124460
2021-12-13,59.84,60.34,59.74,59.79,101479
2021-12-14,59.46,60.50,58.83,58.94,114785
2021-12-15,59.04,59.54,58.40,58.88,302489
2021-12-16,59.49,59.59,57.33,58.02,193130
2021-12-17,57.60,57.92,56.08,56.73,788654
2021-12-20,55.89,55.90,53.61,54.77,293301
2021-12-21,55.80,58.03,55.27,57.99,235291
2021-12-22,57.84,58.65,57.53,57.99,167436
2021-12-23,58.18,58.50,57.82,57.87,73158
2021-12-27,57.94,59.07,57.48,58.82,155498
2021-12-28,58.59,59.60,58.59,59.31,227290
2021-12-29,59.25,59.97,58.62,59.91,89872
2021-12-30,59.81,60.39,59.10,59.23,113157
2021-12-31,59.37,59.93,58.33,59.68,100003
2022-01-03,59.62,60.53,58.24,58.91,166565
2022-01-04,58.73,59.84,58.73,59.27,99011
2022-01-05,59.36,60.36,58.37,58.45,125113
2022-01-06,58.35,59.10,58.00,58.37,137612
2022-01-07,58.17,58.41,56.88,56.95,119660
2022-01-10,56.68,57.06,55.82,56.71,130819
2022-01-11,56.63,57.67,55.72,57.03,80416
2022-01-12,56.99,57.38,56.15,56.29,125818
2022-01-13,56.79,57.76,56.39,56.58,81250
2022-01-14,55.69,56.56,55.44,56.46,83535
2022-01-18,55.66,56.28,54.35,54.42,110122
2022-01-19,54.63,55.00,53.25,53.39,127891
2022-01-20,53.80,54.62,51.80,51.85,175082
2022-01-21,51.68,53.65,50.98,51.92,261879
2022-01-24,51.11,53.41,50.08,53.16,219583
2022-01-25,52.44,53.86,50.73,51.98,201184
2022-01-26,52.78,53.42,49.92,50.59,202665
2022-01-27,50.93,51.68,49.45,49.72,328376
2022-01-28,49.75,49.98,48.21,49.93,153832
2022-01-31,49.56,52.29,49.45,52.18,268084
2022-02-01,52.20,52.57,50.88,52.44,257330
2022-02-02,52.38,52.80,51.40,51.97,162923
2022-02-03,51.52,52.55,50.70,50.82,88527
2022-02-04,50.36,50.79,49.17,50.42,97529
2022-02-07,50.30,51.09,49.88,50.03,90790
2022-02-08,50.34,51.18,50.34,51.02,122391
2022-02-09,51.75,52.73,51.48,51.81,110823
2022-02-10,50.67,52.00,50.63,50.97,145724
2022-02-11,51.16,51.49,49.67,50.78,173994
2022-02-14,51.10,51.87,50.53,51.44,188303
2022-02-15,51.98,52.99,51.95,52.54,104128
