date,open,high,low,close,volume
2021-01-04,28.47,28.47,27.87,27.91,57830
2021-01-05,27.97,28.03,27.81,27.85,29483
2021-01-06,27.96,27.96,27.14,27.41,41610
2021-01-07,27.57,27.57,26.87,27.00,87319
2021-01-08,27.10,27.20,26.93,26.99,77940
2021-01-11,26.86,26.91,26.84,26.86,94095
2021-01-12,26.86,27.00,26.78,26.86,92041
2021-01-13,26.94,27.20,26.94,27.14,30047
2021-01-14,27.23,27.46,27.23,27.46,46747
2021-01-15,27.53,27.61,27.19,27.33,62117
2021-01-19,27.39,27.42,27.33,27.41,30211
2021-01-20,27.47,27.51,27.37,27.47,28610
2021-01-21,27.51,27.61,27.42,27.44,48157
2021-01-22,27.41,27.60,27.41,27.49,17534
2021-01-25,27.49,27.60,27.49,27.53,18568
2021-01-26,27.54,27.59,27.36,27.37,29404
2021-01-27,27.31,27.56,27.21,27.23,37242
2021-01-28,27.37,27.45,27.23,27.40,25520
2021-01-29,27.42,27.48,27.17,27.30,88551
2021-02-01,27.42,27.47,27.25,27.26,24476
2021-02-02,27.38,27.58,27.37,27.46,31869
2021-02-03,27.49,27.51,27.21,27.25,60772
2021-02-04,27.37,27.46,27.23,27.33,35725
2021-02-05,27.38,27.48,27.35,27.48,49584
2021-02-08,27.48,27.48,27.22,27.28,73554
2021-02-09,27.20,27.31,27.15,27.17,86556
2021-02-10,27.15,27.19,27.08,27.13,26941
2021-02-11,27.18,27.18,26.95,26.99,27759
2021-02-12,27.05,27.05,26.80,26.89,48586
2021-02-16,26.86,26.92,26.70,26.70,96868
2021-02-17,26.84,26.88,26.72,26.84,59645
2021-02-18,26.84,26.84,26.67,26.76,93462
2021-02-19,26.81,26.84,26.70,26.81,26994
2021-02-22,26.68,26.82,26.68,26.73,40356
2021-02-23,26.77,26.78,26.71,26.73,45508
2021-02-24,26.73,26.77,26.64,26.70,117703
2021-02-25,26.70,26.70,26.44,26.56,115320
2021-02-26,26.71,26.71,26.44,26.65,54038
2021-03-01,26.65,26.90,26.65,26.90,53813
2021-03-02,26.91,27.06,26.85,27.06,22554
2021-03-03,27.06,27.23,26.80,27.20,32019
2021-03-04,27.14,27.20,26.91,26.91,27013
2021-03-05,27.02,27.25,26.91,27.20,53394
2021-03-08,27.23,27.24,27.10,27.24,50272
2021-03-09,27.24,27.25,27.16,27.21,22886
2021-03-10,27.25,27.32,27.19,27.26,72037
2021-03-11,27.33,27.60,27.32,27.60,37255
2021-03-12,27.27,27.27,27.01,27.17,49554
2021-03-15,27.18,27.30,27.09,27.27,59163
2021-03-16,27.20,27.47,27.20,27.42,49508
2021-03-17,27.39,27.39,27.24,27.30,24568
2021-03-18,27.24,27.24,26.99,26.99,31485
2021-03-19,27.13,27.13,26.75,26.96,86663
2021-03-22,26.95,27.18,26.94,27.08,21118
2021-03-23,27.16,27.36,27.16,27.33,39020
2021-03-24,27.30,27.50,27.30,27.30,69341
2021-03-25,27.26,27.32,27.20,27.29,21409
2021-03-26,27.35,27.35,27.24,27.26,17561
2021-03-29,27.34,27.34,27.11,27.16,9831
2021-03-30,27.23,27.30,27.08,27.30,19829
2021-03-31,27.32,27.51,27.26,27.26,94824
2021-04-01,27.39,27.49,27.31,27.47,44001
2021-04-05,27.50,27.59,27.44,27.57,41272
2021-04-06,27.53,27.67,27.50,27.63,63955
2021-04-07,27.60,27.75,27.60,27.61,51988
2021-04-08,27.66,27.66,27.47,27.65,39919
2021-04-09,27.59,27.65,27.52,27.64,62362
2021-04-12,27.60,27.60,27.51,27.58,42377
2021-04-13,27.57,27.61,27.52,27.55,44434
2021-04-14,27.60,27.61,27.55,27.57,20925
2021-04-15,27.65,27.65,27.51,27.64,44424
2021-04-16,27.65,27.65,27.56,27.65,34090
2021-04-19,27.65,27.67,27.56,27.66,17061
2021-04-20,27.63,27.63,27.50,27.51,28373
2021-04-21,27.55,27.73,27.55,27.63,27422
2021-04-22,27.78,27.78,27.52,27.58,39369
2021-04-23,27.58,27.69,27.53,27.67,41335
2021-04-26,27.62,27.69,27.60,27.68,26987
2021-04-27,27.64,27.64,27.56,27.62,15300
2021-04-28,27.60,27.60,27.49,27.54,27601
2021-04-29,27.56,27.58,27.45,27.53,14595
2021-04-30,27.51,27.52,27.38,27.38,88877
2021-05-03,27.43,27.52,27.41,27.44,22461
2021-05-04,27.45,27.55,27.40,27.55,28780
2021-05-05,27.55,27.57,27.40,27.43,30863
2021-05-06,27.37,27.53,27.15,27.22,106712
2021-05-07,27.26,27.36,27.26,27.36,23840
2021-05-10,27.36,27.41,27.27,27.38,29453
2021-05-11,27.26,27.35,27.14,27.18,22051
2021-05-12,27.10,27.15,26.73,26.77,45960
2021-05-13,26.85,27.20,26.73,26.73,30940
2021-05-14,26.88,27.05,26.82,26.92,22129
2021-05-17,27.00,27.05,26.87,27.03,19451
2021-05-18,27.06,27.17,27.06,27.16,44759
2021-05-19,27.09,27.25,27.09,27.25,22498
2021-05-20,27.28,27.45,27.17,27.44,46236
2021-05-21,27.43,27.48,27.14,27.19,86884
2021-05-24,27.30,27.33,27.09,27.15,78941
2021-05-25,27.16,27.16,27.02,27.13,40258
2021-05-26,27.14,27.14,27.06,27.09,22234
2021-05-27,27.14,27.15,27.07,27.08,19312
2021-05-28,27.14,27.26,27.05,27.16,98967
2021-06-01,27.21,27.36,27.18,27.33,63987
2021-06-02,27.39,27.56,27.36,27.56,43140
2021-06-03,27.50,27.58,27.50,27.56,31870
2021-06-04,27.59,27.68,27.56,27.68,24904
2021-06-07,27.56,27.68,27.56,27.66,18808
2021-06-08,27.73,27.73,27.52,27.58,23586
2021-06-09,27.60,27.75,27.54,27.75,32855
2021-06-10,27.80,27.94,27.73,27.94,35291
2021-06-11,27.83,28.00,27.81,28.00,55276
2021-06-14,27.80,27.91,27.67,27.91,80266
2021-06-15,27.82,27.88,27.81,27.85,26896
2021-06-16,27.89,27.95,27.84,27.90,81289
2021-06-17,27.81,27.90,27.81,27.87,59722
2021-06-18,27.84,27.94,27.79,27.85,31995
2021-06-21,27.84,27.99,27.78,27.98,50190
2021-06-22,27.89,27.96,27.89,27.93,97607
2021-06-23,27.96,27.96,27.80,27.82,62624
2021-06-24,27.85,27.85,27.72,27.74,49838
2021-06-25,27.68,27.78,27.55,27.55,44787
2021-06-28,27.62,27.62,27.50,27.55,19670
2021-06-29,27.61,27.61,27.50,27.55,25231
2021-06-30,27.55,27.63,27.50,27.51,104403
2021-07-01,27.54,27.63,27.50,27.55,33183
2021-07-02,27.50,27.64,27.50,27.56,43263
2021-07-06,27.56,27.64,27.49,27.62,44652
2021-07-07,27.56,27.78,27.56,27.73,40763
2021-07-08,27.69,27.75,27.68,27.74,22539
2021-07-09,27.70,27.84,27.70,27.77,20161
2021-07-12,27.73,27.84,27.73,27.84,39252
2021-07-13,27.84,27.86,27.65,27.74,35800
2021-07-14,27.81,27.94,27.75,27.91,22324
2021-07-15,27.91,27.95,27.64,27.69,43312
2021-07-16,27.69,27.80,27.62,27.69,12592
2021-07-19,27.61,27.78,27.44,27.61,29642
2021-07-20,27.52,27.75,27.52,27.66,21457
2021-07-21,27.76,27.78,27.57,27.60,32984
2021-07-22,27.58,27.70,27.52,27.56,45005
2021-07-23,27.65,27.71,27.52,27.68,26908
2021-07-26,27.69,27.77,27.61,27.62,28902
2021-07-27,27.55,27.74,27.36,27.69,70610
2021-07-28,27.74,27.74,27.46,27.50,35235
2021-07-29,27.54,27.54,27.43,27.54,39281
2021-07-30,27.51,27.86,27.51,27.86,58334
2021-08-02,27.86,27.86,27.69,27.70,33953
2021-08-03,27.70,27.85,27.60,27.72,27861
2021-08-04,27.78,27.88,27.68,27.88,43249
2021-08-05,27.88,27.93,27.72,27.79,44035
2021-08-06,27.65,27.85,27.59,27.61,73875
2021-08-09,27.67,27.82,27.48,27.50,26763
2021-08-10,27.60,27.60,26.24,27.18,98681
2021-08-11,27.18,27.40,27.18,27.32,43271
2021-08-12,27.38,27.53,27.36,27.47,27286
2021-08-13,27.47,27.57,27.47,27.54,19113
2021-08-16,27.54,27.60,27.49,27.56,25254
2021-08-17,27.59,27.59,27.45,27.56,26588
2021-08-18,27.41,27.55,27.37,27.52,26321
2021-08-19,27.48,27.58,27.45,27.58,26039
2021-08-20,27.57,27.75,27.57,27.64,29208
2021-08-23,27.71,27.74,27.62,27.62,16975
2021-08-24,27.66,27.74,27.61,27.72,30202
2021-08-25,27.76,27.77,27.67,27.72,32259
2021-08-26,27.74,27.74,27.56,27.59,19464
2021-08-27,27.64,27.79,27.54,27.75,24193
2021-08-30,27.67,27.88,27.54,27.64,35112
2021-08-31,27.56,27.74,27.45,27.55,133209
2021-09-01,27.61,27.75,27.57,27.69,33509
2021-09-02,27.69,27.78,27.65,27.66,32934
2021-09-03,27.64,27.69,27.62,27.62,25083
2021-09-07,27.62,27.64,27.50,27.52,51323
2021-09-08,27.56,27.59,27.45,27.48,25832
2021-09-09,27.47,27.59,27.47,27.50,39413
2021-09-10,27.51,27.67,26.95,27.38,61890
2021-09-13,27.45,27.46,27.28,27.28,29184
2021-09-14,27.04,27.15,26.91,26.92,28060
2021-09-15,26.97,27.10,26.93,27.02,68900
2021-09-16,27.04,27.35,27.03,27.30,114323
2021-09-17,27.35,27.40,27.23,27.28,80898
2021-09-20,27.20,27.39,27.14,27.32,51497
2021-09-21,27.40,27.48,27.32,27.47,43421
2021-09-22,27.47,27.73,27.27,27.73,57751
2021-09-23,27.73,27.90,27.50,27.67,51938
2021-09-24,27.63,27.66,27.52,27.62,47098
2021-09-27,27.55,27.64,27.49,27.63,100773
2021-09-28,27.48,27.60,27.24,27.57,103739
