date,open,high,low,close,volume
2021-01-04,47.16,47.16,47.16,47.16,423
2021-01-05,47.24,48.55,47.19,48.51,4794
2021-01-06,48.65,49.58,48.65,49.58,9215
2021-01-07,49.88,49.88,49.88,49.88,340
2021-01-08,49.49,49.49,49.15,49.15,778
2021-01-11,49.25,49.25,48.89,48.89,1247
2021-01-12,50.20,50.20,50.20,50.20,285
2021-01-13,50.00,50.00,50.00,50.00,207
2021-01-14,50.00,50.00,50.00,50.00,0
2021-01-15,48.76,48.76,48.76,48.76,300
2021-01-19,49.07,49.07,49.07,49.07,274
2021-01-20,51.35,51.55,50.85,50.85,2301
2021-01-21,51.60,52.44,51.38,51.38,9735
2021-01-22,53.31,53.31,53.31,53.31,366
2021-01-25,53.31,53.31,53.31,53.31,0
2021-01-26,52.34,52.34,50.85,50.85,993
2021-01-27,49.21,49.21,49.21,49.21,307
2021-01-28,50.43,50.43,50.43,50.43,421
2021-01-29,53.50,53.50,51.12,52.31,3942
2021-02-01,53.55,53.55,53.55,53.55,221
2021-02-02,53.99,53.99,51.79,51.79,659
2021-02-03,51.29,51.29,51.29,51.29,478
2021-02-04,51.29,51.29,51.29,51.29,0
2021-02-05,51.71,51.71,51.71,51.71,176
2021-02-08,54.60,55.30,54.42,54.79,3383
2021-02-09,54.79,54.79,54.79,54.79,0
2021-02-10,52.32,52.60,52.32,52.60,363
2021-02-11,54.91,54.99,54.91,54.99,464
2021-02-12,54.72,55.59,54.72,55.40,2033
2021-02-16,56.72,56.72,53.66,53.66,2711
2021-02-17,54.59,54.59,54.00,54.00,1129
2021-02-18,55.48,56.29,54.00,54.00,8269
2021-02-19,54.76,56.67,54.76,56.67,2899
2021-02-22,55.80,55.80,55.80,55.80,5904
2021-02-23,55.33,55.74,55.33,55.71,409
2021-02-24,55.80,56.18,55.80,56.18,19370
2021-02-25,56.50,56.60,55.28,55.28,1777
2021-02-26,54.67,54.67,52.99,52.99,631
2021-03-01,55.34,56.72,53.45,56.72,3519
2021-03-02,55.34,55.34,55.34,55.34,240
2021-03-03,56.33,56.69,56.33,56.49,2623
2021-03-04,56.49,56.65,55.43,56.35,2959
2021-03-05,55.00,55.00,54.50,54.51,2068
2021-03-08,54.98,57.07,54.91,55.46,1834
2021-03-09,58.75,58.75,58.74,58.74,1327
2021-03-10,58.75,58.75,57.99,57.99,4437
2021-03-11,58.00,58.00,57.64,57.64,471
2021-03-12,57.80,58.51,57.80,58.49,652
2021-03-15,57.81,57.81,57.81,57.81,105
2021-03-16,59.75,59.75,59.75,59.75,385
2021-03-17,60.00,60.00,59.75,60.00,1664
2021-03-18,59.00,59.00,58.64,58.68,1130
2021-03-19,58.01,59.00,58.01,59.00,451
2021-03-22,59.00,59.00,59.00,59.00,231
2021-03-23,59.50,59.50,59.50,59.50,402
2021-03-24,59.00,59.00,59.00,59.00,168
2021-03-25,56.30,57.39,56.30,57.22,33499
2021-03-26,59.55,59.55,59.55,59.55,148
2021-03-29,60.66,60.66,59.05,59.05,1466
2021-03-30,60.66,60.66,60.66,60.66,196
2021-03-31,60.00,60.60,60.00,60.60,514
2021-04-01,60.60,60.60,60.60,60.60,0
2021-04-05,61.65,62.50,61.65,62.50,332
2021-04-06,62.22,62.22,61.80,61.80,652
2021-04-07,61.80,61.80,61.80,61.80,0
2021-04-08,61.80,62.34,61.80,62.34,349
2021-04-09,61.78,62.75,61.78,62.75,3934
2021-04-12,62.75,62.75,62.75,62.75,0
2021-04-13,62.92,62.92,62.92,62.92,271
2021-04-14,62.92,62.92,62.92,62.92,0
2021-04-15,63.00,64.70,63.00,64.70,1993
2021-04-16,64.39,64.39,64.39,64.39,153
2021-04-19,64.78,64.78,64.78,64.78,125
2021-04-20,64.78,64.78,64.78,64.78,205
2021-04-21,64.70,64.70,64.15,64.15,1332
2021-04-22,65.33,65.80,65.33,65.80,1356
2021-04-23,66.84,66.84,66.84,66.84,378
2021-04-26,67.20,67.20,65.59,65.59,1764
2021-04-27,65.59,65.59,65.59,65.59,0
2021-04-28,65.00,65.30,64.90,64.90,684
2021-04-29,67.42,67.42,67.15,67.15,445
2021-04-30,67.15,67.15,67.15,67.15,0
2021-05-03,65.59,65.59,65.59,65.59,239
2021-05-04,65.60,67.73,65.32,67.73,1008
2021-05-05,67.00,67.00,64.23,65.56,1066
2021-05-06,64.05,64.05,64.05,64.05,569
2021-05-07,64.88,68.47,64.88,67.26,1079
2021-05-10,67.26,67.26,67.26,67.26,0
2021-05-11,63.07,67.48,63.07,67.48,3595
2021-05-12,68.00,68.00,68.00,68.00,365
2021-05-13,68.00,70.44,67.57,67.57,4189
2021-05-14,71.75,71.75,70.74,70.74,1746
2021-05-17,70.14,70.51,70.14,70.51,1025
2021-05-18,69.83,69.83,69.83,69.83,1184
2021-05-19,66.75,66.75,66.75,66.75,287
2021-05-20,71.78,71.78,71.78,71.78,39079
2021-05-21,73.33,73.33,68.75,68.75,3324
2021-05-24,71.20,71.20,71.20,71.20,226
2021-05-25,69.68,72.96,69.68,71.00,2626
2021-05-26,69.15,69.15,69.15,69.15,592
2021-05-27,73.00,74.35,70.30,70.30,5508
2021-05-28,72.98,73.47,72.98,73.47,2358
2021-06-01,73.47,73.47,73.47,73.47,0
2021-06-02,76.40,76.40,74.26,74.26,612
2021-06-03,74.26,74.26,74.26,74.26,0
2021-06-04,74.30,75.92,74.30,75.92,356
2021-06-07,74.90,74.90,73.08,73.08,264
2021-06-08,73.08,73.08,73.08,73.08,0
2021-06-09,73.00,73.00,73.00,73.00,211
2021-06-10,71.33,71.33,71.33,71.33,776
2021-06-11,71.50,73.05,71.50,73.05,240
2021-06-14,70.35,70.35,70.35,70.35,248
2021-06-15,71.60,72.10,71.60,71.60,906
2021-06-16,71.85,71.85,71.85,71.85,6126
2021-06-17,71.85,71.85,71.85,71.85,0
2021-06-18,70.40,70.40,69.30,69.30,1339
2021-06-21,69.30,69.30,69.30,69.30,0
2021-06-22,71.55,71.55,70.68,70.68,362
2021-06-23,71.44,71.44,70.75,70.75,2844
2021-06-24,72.95,73.50,71.30,73.50,1046
2021-06-25,77.05,77.05,75.70,75.70,802
2021-06-28,77.20,77.20,73.14,73.14,2109
2021-06-29,73.25,73.25,71.89,71.89,5382
2021-06-30,71.89,71.89,71.89,71.89,0
2021-07-01,72.70,74.78,72.70,74.78,1413
2021-07-02,74.78,74.78,74.78,74.78,0
2021-07-06,75.00,75.00,75.00,75.00,57298
2021-07-07,76.90,76.90,76.90,76.90,333
2021-07-08,75.62,76.82,75.28,76.82,1925
2021-07-09,76.82,76.82,76.82,76.82,0
2021-07-12,78.38,78.38,78.38,78.38,297
2021-07-13,79.20,79.20,77.00,77.01,1075
2021-07-14,77.01,77.01,77.01,77.01,0
2021-07-15,77.01,77.01,77.01,77.01,0
