date,open,high,low,close,volume
2016-09-15,43.15,43.80,43.15,43.74,1146423
2016-09-16,43.44,43.55,43.09,43.28,1105774
2016-09-19,43.53,43.82,43.21,43.34,907067
2016-09-20,43.54,43.68,43.39,43.61,843380
2016-09-21,43.86,44.19,43.63,44.15,1224394
2016-09-22,44.69,44.76,44.51,44.60,1165043
2016-09-23,44.32,44.36,44.01,44.15,922112
2016-09-26,44.01,44.03,43.66,43.73,973820
2016-09-27,43.61,43.95,43.38,43.89,1063762
2016-09-28,43.93,44.59,43.85,44.51,1023945
2016-09-29,44.53,44.78,44.09,44.31,1062574
2016-09-30,44.53,44.72,44.34,44.40,1412577
2016-10-03,44.44,44.52,44.15,44.46,1211241
2016-10-04,44.37,44.60,44.02,44.27,1859148
2016-10-05,43.90,44.29,43.90,44.14,1289399
2016-10-06,43.95,44.21,43.88,44.04,984162
2016-10-07,43.95,44.10,43.48,43.84,1012361
2016-10-10,44.00,44.15,43.94,44.04,567376
2016-10-11,44.15,44.20,43.55,43.75,1951046
2016-10-12,43.69,43.88,43.38,43.68,1745255
2016-10-13,43.51,44.13,43.31,44.13,1355238
2016-10-14,44.37,44.57,44.22,44.35,1355079
2016-10-17,44.38,44.56,44.34,44.54,1274122
2016-10-18,44.79,44.94,44.63,44.94,1131007
2016-10-19,45.00,45.42,44.88,45.01,1418993
2016-10-20,44.78,44.99,44.69,44.86,949758
2016-10-21,44.53,45.20,44.46,45.03,1562465
2016-10-24,45.18,45.23,44.84,44.94,1081232
2016-10-25,45.06,45.27,44.99,45.17,1167842
2016-10-26,44.99,45.54,44.96,45.31,2262756
2016-10-27,45.54,45.57,45.29,45.38,1185389
2016-10-28,45.31,45.44,45.05,45.23,1152365
2016-10-31,45.16,45.53,45.09,45.38,1224029
2016-11-01,45.60,45.62,45.15,45.34,1410956
2016-11-02,45.27,45.40,45.04,45.14,1567435
2016-11-03,45.24,45.39,44.96,45.07,1220888
2016-11-04,44.84,44.84,44.37,44.54,1138612
2016-11-07,44.99,45.29,44.98,45.16,1057265
2016-11-08,45.18,45.55,45.00,45.49,1079080
2016-11-09,44.64,45.34,44.62,45.26,2017764
2016-11-10,45.41,46.10,45.18,45.88,2287309
2016-11-11,45.62,45.92,45.23,45.53,1513256
2016-11-14,45.74,46.43,45.63,46.39,2215429
2016-11-15,46.75,46.76,46.26,46.43,1464191
2016-11-16,46.22,46.54,46.01,46.40,1021406
2016-11-17,46.52,46.73,46.30,46.49,1288395
2016-11-18,46.45,47.03,46.37,46.85,891680
2016-11-21,47.49,47.49,47.10,47.26,983936
2016-11-22,47.52,47.61,47.09,47.29,967216
2016-11-23,47.11,47.62,47.08,47.41,1024402
2016-11-25,47.54,47.70,47.28,47.69,598296
2016-11-28,47.81,48.04,47.45,47.58,1235284
2016-11-29,47.64,47.88,47.63,47.74,1170984
2016-11-30,47.98,47.98,47.35,47.39,1946499
2016-12-01,47.87,47.87,46.83,47.36,1713941
2016-12-02,47.57,47.81,47.35,47.67,1391088
2016-12-05,47.91,48.14,47.78,47.92,898636
2016-12-06,48.13,48.28,48.00,48.18,1249083
2016-12-07,48.31,48.85,48.02,48.84,1196701
2016-12-08,48.96,49.53,48.85,49.42,1454980
2016-12-09,49.49,49.99,49.44,49.90,1694574
2016-12-12,49.98,50.17,49.72,49.87,1135386
2016-12-13,50.03,50.53,50.01,50.29,1415878
2016-12-14,50.34,50.42,49.50,49.56,1725230
2016-12-15,49.27,49.97,49.12,49.84,1898478
2016-12-16,49.98,50.06,49.71,49.82,943394
2016-12-19,49.76,49.83,49.62,49.73,829317
2016-12-20,49.97,50.23,49.93,50.11,1010715
2016-12-21,50.08,50.13,49.88,49.92,1091001
2016-12-22,49.67,49.95,49.49,49.85,1345448
2016-12-23,49.62,49.80,49.50,49.56,863080
2016-12-27,49.56,49.69,49.56,49.63,358366
2016-12-28,49.61,49.64,49.33,49.50,955840
2016-12-29,49.50,49.74,49.19,49.42,1002288
2016-12-30,49.63,49.67,49.26,49.34,755835
2017-01-03,49.57,49.85,49.57,49.79,1310160
2017-01-04,50.36,50.97,50.29,50.84,1528889
2017-01-05,50.94,51.45,50.88,51.22,2226338
2017-01-06,50.90,51.01,50.74,50.87,1462269
2017-01-09,50.64,50.94,50.37,50.66,1114531
2017-01-10,50.76,50.96,50.65,50.74,915732
2017-01-11,50.65,51.15,50.45,51.14,1461602
2017-01-12,51.30,51.31,50.81,51.14,1253077
2017-01-13,51.25,51.45,51.11,51.15,1190597
2017-01-17,51.21,51.27,50.77,50.86,1506920
2017-01-18,50.79,50.97,50.11,50.27,1292692
2017-01-19,50.18,50.27,49.97,50.06,1116955
2017-01-20,50.13,50.63,49.94,50.61,1364713
2017-01-23,50.59,50.84,50.31,50.78,840414
2017-01-24,50.82,51.41,50.64,51.37,1605348
2017-01-25,51.63,52.20,51.63,52.08,1265548
2017-01-26,52.21,52.24,51.92,52.19,1064653
2017-01-27,52.25,52.32,51.75,51.90,1156574
2017-01-30,51.67,51.99,51.51,51.76,1429768
2017-01-31,51.92,52.18,51.38,51.77,1442960
2017-02-01,51.81,51.96,51.38,51.66,1360363
2017-02-02,51.75,51.80,51.46,51.58,1112485
2017-02-03,51.87,52.15,51.70,51.83,1336250
2017-02-06,51.58,51.70,51.38,51.53,1024072
2017-02-07,51.32,51.45,51.23,51.32,1140121
2017-02-08,51.32,51.52,50.92,51.52,1245684
2017-02-09,51.70,51.99,51.59,51.91,1356359
2017-02-10,52.23,52.30,52.12,52.17,1192709
2017-02-13,52.36,52.47,52.25,52.35,1389438
2017-02-14,52.48,52.60,52.26,52.47,1331551
2017-02-15,52.43,52.90,52.41,52.90,1268011
2017-02-16,53.02,53.18,52.93,52.97,1483400
2017-02-17,52.87,53.07,52.56,53.03,1089284
2017-02-21,52.96,53.22,52.85,53.10,2162588
2017-02-22,52.94,53.74,52.90,53.67,2598494
2017-02-23,53.94,54.44,53.48,53.54,2181178
2017-02-24,53.41,53.65,52.71,52.84,2278040
2017-02-27,53.00,53.00,52.19,52.73,2226206
2017-02-28,52.26,52.67,51.55,51.60,2316423
2017-03-01,52.11,52.24,51.64,52.16,2759524
2017-03-02,53.55,53.55,51.22,51.49,2983254
2017-03-03,51.42,52.13,51.39,52.10,2079188
2017-03-06,51.92,52.43,51.65,52.37,1737231
2017-03-07,52.41,52.61,52.17,52.23,1406989
2017-03-08,52.41,52.50,51.92,52.00,1813126
2017-03-09,52.00,52.19,51.62,51.77,1265637
2017-03-10,52.03,52.03,48.91,49.02,9254871
2017-03-13,49.19,50.16,49.07,49.85,4162945
2017-03-14,49.81,49.84,49.16,49.25,1592247
2017-03-15,49.36,49.69,49.05,49.56,2458214
2017-03-16,49.68,50.05,49.64,49.71,1352557
2017-03-17,49.82,50.01,49.41,49.50,1301714
2017-03-20,49.48,49.57,49.04,49.13,1290503
2017-03-21,49.60,49.71,48.46,48.57,2177822
2017-03-22,48.11,48.68,47.95,48.59,1738121
2017-03-23,48.57,49.32,48.56,49.00,1739322
2017-03-24,49.23,49.30,48.52,48.68,2098520
2017-03-27,48.31,48.78,48.07,48.70,1587340
2017-03-28,48.73,49.35,48.73,49.24,1880494
2017-03-29,49.38,49.62,49.11,49.60,1728955
2017-03-30,49.84,50.10,49.49,49.66,2071821
2017-03-31,49.90,50.35,49.81,50.09,2390525
2017-04-03,50.15,50.22,49.49,50.01,2227192
2017-04-04,49.96,50.31,49.69,50.17,1848256
2017-04-05,50.40,50.49,49.80,49.80,1987173
2017-04-06,49.39,49.85,49.30,49.45,1786284
2017-04-07,49.55,49.67,49.30,49.38,1455469
2017-04-10,49.50,49.96,49.48,49.82,1468855
2017-04-11,49.87,49.89,49.16,49.62,1984684
2017-04-12,49.53,49.69,49.15,49.41,1625127
2017-04-13,49.31,49.44,48.59,48.67,1568394
2017-04-17,48.82,49.74,48.78,49.74,2776162
2017-04-18,49.41,49.59,49.05,49.26,3192822
2017-04-19,49.25,49.70,48.71,48.84,1880231
2017-04-20,48.94,49.26,48.79,48.98,1948911
2017-04-21,48.83,48.93,48.57,48.59,1609619
2017-04-24,49.27,49.46,49.19,49.34,1464267
2017-04-25,49.45,49.53,49.17,49.25,1656187
2017-04-26,49.25,49.29,48.23,48.32,2476935
2017-04-27,48.37,48.37,47.01,47.11,3945074
2017-04-28,47.07,47.40,46.76,47.09,2231643
2017-05-01,47.23,47.31,46.93,46.98,1647654
2017-05-02,46.96,47.03,46.25,46.44,2769295
2017-05-03,46.26,46.60,45.79,46.28,2483416
2017-05-04,46.55,46.57,45.91,46.02,2140981
2017-05-05,46.06,46.97,45.88,46.95,2214783
2017-05-08,47.07,47.13,46.72,46.83,1144355
2017-05-09,46.83,46.90,46.24,46.34,1598623
2017-05-10,46.49,46.98,46.33,46.78,1438669
2017-05-11,46.24,46.44,46.01,46.32,1929791
2017-05-12,46.08,46.27,45.77,46.02,1524312
2017-05-15,46.38,46.82,46.29,46.64,1527708
2017-05-16,46.90,47.03,46.39,46.46,2426260
2017-05-17,46.08,46.23,45.55,45.74,2007536
2017-05-18,45.57,46.30,45.18,45.96,1635712
2017-05-19,46.77,46.84,46.64,46.68,1180695
2017-05-22,46.77,46.84,46.64,46.68,592144
2017-05-23,47.22,47.42,46.95,47.03,1440604
