date,open,high,low,close,volume
2021-01-04,79.17,79.84,77.66,78.66,523004
2021-01-05,78.72,80.19,77.85,79.25,609784
2021-01-06,78.92,83.19,78.92,82.73,1153368
2021-01-07,82.83,84.78,82.83,83.96,453660
2021-01-08,84.35,85.75,81.69,82.38,744028
2021-01-11,81.81,83.92,81.31,83.70,380752
2021-01-12,83.61,84.86,83.08,83.50,325540
2021-01-13,83.98,84.84,82.19,82.64,609304
2021-01-14,83.07,85.92,83.07,84.30,744628
2021-01-15,85.23,87.36,84.30,86.93,1228768
2021-01-19,87.69,88.58,86.21,87.94,871764
2021-01-20,88.58,90.37,88.11,89.17,802000
2021-01-21,89.60,89.60,87.66,88.92,592516
2021-01-22,89.03,89.55,88.32,89.15,456352
2021-01-25,89.72,90.29,87.72,88.11,521604
2021-01-26,88.55,89.16,84.96,85.08,391644
2021-01-27,84.09,84.15,79.42,79.61,777472
2021-01-28,80.29,81.18,77.76,80.63,1179240
2021-01-29,81.11,82.37,80.50,81.23,872048
2021-02-01,82.55,85.45,82.05,85.02,743060
2021-02-02,89.49,99.96,89.49,94.19,2086548
2021-02-03,94.76,94.76,90.24,92.10,920092
2021-02-04,92.50,96.24,92.23,95.68,795088
2021-02-05,96.77,97.14,94.28,95.17,804988
2021-02-08,96.25,97.84,95.55,97.64,1475080
2021-02-09,98.22,99.00,96.33,97.49,576116
2021-02-10,98.23,98.86,96.38,97.58,483676
2021-02-11,97.85,99.07,96.75,98.75,611168
2021-02-12,99.06,101.38,98.66,99.72,692660
2021-02-16,100.48,103.75,100.32,102.75,1242228
2021-02-17,101.75,102.56,101.04,101.81,898152
2021-02-18,101.75,101.75,98.83,99.27,550384
2021-02-19,99.56,100.34,97.06,97.39,828548
2021-02-22,97.00,97.25,93.95,94.25,766292
2021-02-23,94.97,94.97,92.36,94.22,857288
2021-02-24,93.95,94.97,93.06,93.67,548816
2021-02-25,93.75,94.49,91.23,91.27,492560
2021-02-26,91.83,92.11,89.74,90.42,982868
2021-03-01,92.24,93.45,91.50,93.11,941964
2021-03-02,94.06,94.28,92.61,93.86,830116
2021-03-03,93.04,93.08,90.28,90.31,650416
2021-03-04,90.41,92.43,86.61,86.97,691372
2021-03-05,86.32,89.70,84.70,89.05,561392
2021-03-08,89.65,90.70,86.22,86.22,647492
2021-03-09,88.00,91.51,86.47,91.03,941608
2021-03-10,91.60,93.30,90.03,90.94,982608
2021-03-11,92.09,97.25,91.74,97.00,1274244
2021-03-12,95.22,96.34,92.64,96.28,1318224
2021-03-15,96.44,100.84,96.44,99.25,838540
2021-03-16,99.61,101.20,96.23,97.09,691744
2021-03-17,96.33,98.26,94.44,95.45,641356
2021-03-18,94.80,96.97,93.19,93.50,581656
2021-03-19,94.23,98.80,92.61,93.81,1572860
2021-03-22,94.22,96.74,94.03,96.34,445460
2021-03-23,95.73,95.73,93.28,94.12,533152
2021-03-24,94.42,95.45,92.01,92.36,450544
2021-03-25,91.49,94.67,89.30,94.31,810428
2021-03-26,94.44,97.53,93.15,97.06,832984
2021-03-29,96.06,96.06,89.85,91.75,1108440
2021-03-30,91.29,93.88,91.05,93.37,876212
2021-03-31,94.49,96.59,94.49,95.48,1379700
2021-04-01,96.26,97.64,95.52,97.12,859016
2021-04-05,98.14,99.23,97.47,99.20,392992
2021-04-06,99.57,101.14,99.57,99.77,925948
2021-04-07,98.78,100.42,97.87,99.25,618740
2021-04-08,100.38,101.99,99.14,101.28,923464
2021-04-09,101.55,102.85,100.67,102.18,730400
2021-04-12,101.76,101.76,99.76,100.76,895644
2021-04-13,101.14,105.08,100.68,104.86,1137336
2021-04-14,105.25,105.77,102.75,103.59,722192
2021-04-15,103.79,105.03,103.35,103.80,870280
2021-04-16,103.89,104.94,103.01,104.64,1169328
2021-04-19,103.81,104.86,102.33,103.63,543580
2021-04-20,103.83,104.81,102.47,102.98,752796
2021-04-21,103.33,106.16,102.57,105.96,947236
2021-04-22,105.85,107.77,104.91,105.93,719192
2021-04-23,106.75,108.67,104.56,108.12,516888
2021-04-26,108.63,111.21,108.22,110.14,746664
2021-04-27,110.53,111.12,108.14,110.35,445520
2021-04-28,110.19,110.99,109.01,109.20,478300
2021-04-29,109.71,110.81,107.35,108.44,517724
2021-04-30,107.94,109.40,106.42,106.87,680020
2021-05-03,107.97,108.23,105.58,106.60,684776
2021-05-04,105.33,106.03,103.51,104.56,673076
2021-05-05,105.62,106.23,103.65,104.20,932860
2021-05-06,104.20,104.57,99.75,102.75,885336
2021-05-07,102.69,107.26,102.16,105.76,865756
2021-05-10,105.28,105.83,101.98,102.06,1036888
2021-05-11,99.98,104.03,98.72,103.89,682796
2021-05-12,103.63,106.20,102.13,102.22,1119952
2021-05-13,102.96,103.25,96.77,99.17,1427628
2021-05-14,99.59,102.14,98.89,100.34,1275872
2021-05-17,100.20,100.58,96.69,96.84,937016
2021-05-18,97.14,100.30,96.53,100.00,1476964
2021-05-19,98.39,101.00,98.39,99.39,916388
2021-05-20,99.94,102.81,99.39,102.22,937992
2021-05-21,103.53,104.45,101.90,102.34,1110536
2021-05-24,102.89,105.57,102.85,105.25,1552648
2021-05-25,106.00,107.04,104.61,105.04,1437884
2021-05-26,105.76,106.19,102.73,104.07,1272732
2021-05-27,104.76,105.82,101.84,102.42,9237004
2021-05-28,102.73,105.09,102.73,103.46,1344024
2021-06-01,104.56,104.56,100.09,102.56,952684
2021-06-02,102.09,103.31,100.13,102.53,993772
2021-06-03,101.75,102.92,100.53,101.89,959188
2021-06-04,102.70,106.80,102.34,106.08,1316916
2021-06-07,105.24,107.00,103.78,104.93,862536
2021-06-08,106.21,107.44,104.44,106.26,530644
2021-06-09,106.26,108.47,105.92,107.29,785024
2021-06-10,107.51,110.25,107.51,108.95,792060
2021-06-11,109.56,111.11,108.94,110.98,697252
2021-06-14,110.98,112.69,110.88,112.34,694572
2021-06-15,111.28,111.87,108.64,110.33,781456
2021-06-16,110.73,111.58,109.68,110.64,586316
2021-06-17,110.17,113.14,109.92,111.30,811092
2021-06-18,111.86,113.45,106.59,107.97,3585964
2021-06-21,108.08,110.45,107.47,110.05,763440
2021-06-22,110.28,111.14,109.12,110.47,601648
2021-06-23,110.45,111.77,110.37,111.11,472724
2021-06-24,112.23,112.50,109.14,109.88,616648
2021-06-25,109.74,110.71,108.33,109.14,1032068
2021-06-28,109.53,112.19,109.14,111.25,647516
2021-06-29,111.45,112.99,111.28,111.95,462544
2021-06-30,111.70,113.17,111.31,112.56,962788
2021-07-01,112.34,114.85,112.02,113.48,934032
2021-07-02,113.61,114.25,111.81,112.39,762848
2021-07-06,112.81,114.50,111.42,113.87,907944
2021-07-07,114.62,116.86,113.58,115.93,919864
2021-07-08,114.08,115.58,112.64,115.22,509752
2021-07-09,115.70,116.58,114.58,116.35,848424
2021-07-12,116.64,116.91,112.38,112.86,841072
2021-07-13,112.75,114.00,112.36,113.36,546648
2021-07-14,112.61,114.07,109.80,111.22,957992
2021-07-15,111.16,112.66,110.47,112.38,448884
2021-07-16,113.03,115.19,111.80,114.67,805644
2021-07-19,113.49,115.35,112.78,113.86,517360
2021-07-20,114.44,117.31,114.44,116.76,909776
2021-07-21,116.71,117.33,113.84,115.78,449552
2021-07-22,115.80,117.74,115.79,117.30,297156
2021-07-23,117.64,119.75,117.64,118.60,469724
2021-07-26,118.36,119.15,117.45,118.03,236972
2021-07-27,118.26,118.66,116.53,118.40,288996
2021-07-28,117.81,119.46,117.72,119.19,566372
2021-07-29,119.68,121.79,118.98,120.78,252712
2021-07-30,120.20,122.06,120.20,120.56,303912
2021-08-02,121.50,121.61,118.54,121.44,566964
2021-08-03,121.33,121.44,118.77,120.32,618288
2021-08-04,120.46,121.97,119.84,121.69,1245908
2021-08-05,122.39,126.08,119.89,122.66,967256
2021-08-06,122.50,122.50,117.75,120.45,851336
2021-08-09,120.23,122.31,119.04,119.81,1038320
2021-08-10,119.75,119.75,115.45,115.93,659336
2021-08-11,116.37,116.37,114.15,115.72,385460
2021-08-12,115.91,117.36,115.62,115.97,520876
2021-08-13,116.29,117.23,115.43,116.73,440084
2021-08-16,116.08,119.73,116.08,119.36,596252
2021-08-17,119.44,119.44,117.81,118.50,406944
2021-08-18,118.71,119.42,117.36,117.70,369816
2021-08-19,116.59,119.87,116.15,118.97,559528
