date,open,high,low,close,volume
2021-01-04,40.33,40.42,38.03,38.98,883645
2021-01-05,39.90,42.20,39.59,41.41,1745742
2021-01-06,42.39,46.19,42.39,44.39,1872425
2021-01-07,44.94,45.43,43.59,44.74,849197
2021-01-08,47.17,48.11,44.81,46.00,953626
2021-01-11,45.00,46.50,44.66,45.44,698149
2021-01-12,46.00,46.41,44.85,45.17,814311
2021-01-13,44.75,45.35,43.87,44.89,892309
2021-01-14,45.64,47.65,45.23,46.77,837082
2021-01-15,46.12,47.70,45.04,47.38,815430
2021-01-19,48.18,48.45,46.25,47.65,1031688
2021-01-20,47.09,48.90,46.91,48.01,728284
2021-01-21,48.69,50.44,47.94,50.05,1314419
2021-01-22,49.20,50.80,48.77,50.74,883563
2021-01-25,50.14,51.05,49.55,50.06,1053029
2021-01-26,50.41,50.59,49.46,49.76,1058658
2021-01-27,47.97,49.20,47.20,48.25,1243716
2021-01-28,48.96,49.92,48.11,48.57,1062343
2021-01-29,48.51,48.78,46.01,47.27,944236
2021-02-01,48.00,50.88,47.71,50.72,999326
2021-02-02,51.68,51.97,49.55,49.57,746193
2021-02-03,49.41,50.46,49.04,49.88,989568
2021-02-04,49.93,50.34,49.46,49.87,912883
2021-02-05,50.51,50.81,48.97,50.65,1567633
2021-02-08,50.75,52.59,49.65,52.31,1425681
2021-02-09,51.97,52.44,50.76,51.60,1189501
2021-02-10,50.06,52.63,48.20,49.65,2727472
2021-02-11,50.35,51.40,49.45,50.54,1735538
2021-02-12,50.09,50.53,48.62,49.83,1115799
2021-02-16,50.50,50.62,48.88,50.62,839099
2021-02-17,50.09,51.37,49.58,50.23,794080
2021-02-18,50.26,50.46,49.44,49.96,997108
2021-02-19,50.12,51.42,49.80,50.90,580939
2021-02-22,50.35,51.34,49.85,50.53,688944
2021-02-23,50.15,51.88,49.26,51.30,666237
2021-02-24,51.74,53.80,51.31,52.85,774068
2021-02-25,52.81,53.70,50.88,51.08,859070
2021-02-26,51.15,53.00,50.14,51.02,973349
2021-03-01,51.42,53.50,51.10,52.88,747265
2021-03-02,52.60,54.25,52.23,53.18,948834
2021-03-03,53.45,54.89,53.28,53.70,921626
2021-03-04,53.20,54.62,51.44,52.69,856568
2021-03-05,53.28,54.05,50.84,53.78,904473
2021-03-08,53.91,56.10,53.54,55.50,813339
2021-03-09,56.54,57.00,53.91,53.98,770448
2021-03-10,54.17,55.90,53.87,55.58,704469
2021-03-11,56.12,56.77,55.39,55.62,1477694
2021-03-12,55.68,56.52,54.39,55.29,868923
2021-03-15,55.08,57.65,54.91,57.56,1168318
2021-03-16,57.49,57.88,53.70,54.47,685663
2021-03-17,53.81,55.12,52.79,54.84,649968
2021-03-18,54.84,55.28,52.88,53.18,833405
2021-03-19,53.35,55.72,52.77,54.18,1555705
2021-03-22,54.63,55.48,53.86,54.81,820267
2021-03-23,53.07,53.84,49.57,50.49,1879384
2021-03-24,51.29,52.95,50.00,50.03,1063083
2021-03-25,49.74,53.70,49.15,53.24,1281534
2021-03-26,54.37,55.03,52.67,53.26,854920
2021-03-29,52.87,54.45,51.36,51.80,672366
2021-03-30,52.22,53.34,51.00,53.15,778426
2021-03-31,53.51,54.50,51.94,52.00,1265667
2021-04-01,52.06,52.22,50.85,51.19,934144
2021-04-05,51.65,52.36,50.67,50.77,1160186
2021-04-06,50.87,51.95,50.51,51.30,598816
2021-04-07,51.19,51.80,49.94,50.49,812775
2021-04-08,50.49,51.06,49.37,50.77,829885
2021-04-09,51.10,52.28,50.40,52.19,578483
2021-04-12,52.15,53.00,51.98,52.39,677065
2021-04-13,52.33,52.33,50.38,51.57,975529
2021-04-14,51.48,53.26,51.48,52.23,673789
2021-04-15,53.03,53.47,52.44,53.19,706361
2021-04-16,53.64,54.88,53.46,54.42,793298
2021-04-19,54.47,54.64,51.90,52.55,1290664
2021-04-20,53.00,53.54,50.78,52.02,1155544
2021-04-21,53.00,55.88,51.02,54.53,1668959
2021-04-22,55.74,57.68,54.54,56.18,3015970
2021-04-23,56.20,57.32,55.01,55.70,2582568
2021-04-26,56.12,56.45,54.62,55.88,1672318
2021-04-27,55.66,57.09,55.37,56.46,1883090
2021-04-28,56.57,59.02,56.18,58.94,1159723
2021-04-29,59.13,61.24,58.90,59.59,1704686
2021-04-30,58.86,59.93,58.36,59.26,1164978
2021-05-03,60.76,63.13,60.25,62.30,1334689
2021-05-04,61.94,63.84,61.19,63.75,1017953
2021-05-05,64.38,64.50,62.91,64.13,791453
2021-05-06,64.00,65.45,63.48,65.41,940890
2021-05-07,65.55,67.26,64.59,66.84,945867
2021-05-10,67.35,67.85,64.87,64.92,1622107
2021-05-11,63.15,66.22,62.06,65.29,1339325
2021-05-12,63.94,64.69,61.77,62.03,1082933
2021-05-13,62.17,64.28,61.72,63.85,929247
2021-05-14,64.63,64.96,63.25,64.22,789625
2021-05-17,63.93,65.32,63.12,65.14,808861
2021-05-18,65.22,65.42,61.88,62.03,1252181
2021-05-19,60.83,61.74,59.74,61.67,1101748
2021-05-20,62.22,63.32,60.96,62.77,652724
2021-05-21,63.59,64.02,62.75,63.17,589590
2021-05-24,63.52,64.06,62.80,63.61,505756
2021-05-25,64.20,64.80,63.34,63.42,661063
2021-05-26,64.16,65.20,63.31,64.77,606740
2021-05-27,65.44,66.72,65.21,66.25,886860
2021-05-28,67.43,67.52,64.92,66.91,808568
2021-06-01,67.28,68.76,66.51,68.51,936927
2021-06-02,68.90,69.26,67.10,67.30,1162601
2021-06-03,66.81,68.19,65.00,67.66,701594
2021-06-04,68.38,68.38,66.91,67.73,392416
2021-06-07,67.78,68.59,67.32,68.09,570629
2021-06-08,68.13,68.21,66.81,67.71,526114
2021-06-09,67.85,68.35,67.00,67.69,681453
2021-06-10,68.52,68.82,66.95,68.15,647745
2021-06-11,68.42,68.92,67.78,68.78,602958
2021-06-14,68.80,68.80,67.01,67.50,838204
2021-06-15,67.43,68.25,66.44,67.38,460137
2021-06-16,67.00,67.01,65.61,66.77,1187500
2021-06-17,67.99,70.75,67.50,68.63,1535471
2021-06-18,67.70,67.90,65.40,65.93,1685217
2021-06-21,66.56,68.79,66.03,68.58,1028101
2021-06-22,68.24,68.72,67.82,68.42,741970
2021-06-23,68.52,68.82,67.39,68.04,1089538
2021-06-24,69.01,69.51,67.90,68.89,695270
2021-06-25,68.75,70.11,68.30,69.94,1898530
2021-06-28,69.61,70.00,67.93,68.42,572573
2021-06-29,68.92,69.53,66.02,66.04,957759
2021-06-30,65.95,67.48,65.55,66.99,1008989
2021-07-01,67.47,68.90,66.49,67.92,1026465
2021-07-02,67.64,68.71,67.15,68.53,593981
2021-07-06,68.20,68.47,66.19,68.01,962349
2021-07-07,67.77,68.78,67.06,67.96,520002
2021-07-08,66.27,68.31,65.99,67.08,718461
2021-07-09,68.61,69.31,67.79,68.92,844613
2021-07-12,68.56,70.22,67.96,69.10,927790
2021-07-13,68.66,68.97,67.12,68.24,608472
2021-07-14,68.33,69.28,66.43,66.78,727387
2021-07-15,66.17,67.92,66.06,67.33,803052
2021-07-16,67.76,68.12,66.50,66.63,647953
2021-07-19,64.91,65.88,63.49,64.66,1425579
2021-07-20,67.75,71.75,67.57,70.52,2175719
2021-07-21,71.18,73.65,70.85,72.25,1490929
2021-07-22,69.87,70.82,67.12,70.00,2487134
2021-07-23,71.42,72.20,70.70,71.63,1057888
2021-07-26,71.87,73.11,70.14,71.67,824013
2021-07-27,72.02,72.48,70.34,71.71,740636
2021-07-28,71.19,72.31,69.20,71.53,630326
2021-07-29,72.34,73.46,71.94,72.14,534728
2021-07-30,71.33,72.75,71.33,71.84,603252
2021-08-02,72.11,74.40,71.03,71.21,819492
2021-08-03,71.24,72.42,69.80,72.13,596494
2021-08-04,71.03,72.12,69.16,69.22,918161
2021-08-05,69.50,70.30,68.13,69.23,663039
2021-08-06,69.38,69.93,67.86,68.74,641087
2021-08-09,68.35,68.35,66.42,67.76,587011
2021-08-10,67.18,67.97,65.00,65.27,1745404
2021-08-11,65.41,67.61,64.10,67.52,1172336
2021-08-12,69.53,70.12,67.89,70.00,955359
2021-08-13,69.73,70.09,68.31,70.01,712440
2021-08-16,70.01,71.90,69.66,71.09,625259
2021-08-17,69.65,70.79,69.22,70.34,740471
2021-08-18,70.23,71.39,69.60,69.77,503642
2021-08-19,68.38,69.46,68.26,69.43,654582
2021-08-20,69.75,73.09,69.64,72.63,801876
2021-08-23,73.40,73.92,72.22,72.99,905357
2021-08-24,73.45,74.22,72.62,72.68,996952
2021-08-25,72.68,74.67,71.98,73.67,750842
2021-08-26,73.28,74.30,72.57,73.56,452292
2021-08-27,73.93,75.60,73.83,74.99,739062
2021-08-30,75.25,76.16,74.47,75.46,444710
2021-08-31,75.26,76.15,74.63,75.35,657063
2021-09-01,75.67,75.67,73.67,74.99,545169
2021-09-02,75.43,76.07,74.81,75.98,382191
2021-09-03,75.26,76.07,75.03,75.89,358259
2021-09-07,75.66,75.91,74.25,74.88,454549
2021-09-08,74.45,75.53,73.95,75.19,400659
2021-09-09,75.11,75.95,74.20,74.21,544862
2021-09-10,74.38,74.46,72.45,72.71,520839
2021-09-13,73.64,73.86,72.43,73.67,327836
2021-09-14,74.40,74.40,71.44,71.75,510825
2021-09-15,71.50,73.45,70.86,73.14,557319
2021-09-16,73.35,74.05,71.50,73.31,509684
2021-09-17,73.64,73.91,71.99,72.90,1682763
2021-09-20,70.86,72.22,70.25,71.82,744555
2021-09-21,72.70,73.77,71.96,72.58,542091
2021-09-22,72.94,74.35,72.20,73.23,644795
2021-09-23,74.11,74.40,72.66,72.67,630866
2021-09-24,71.53,72.33,70.77,71.39,604436
2021-09-27,70.95,71.74,68.78,69.59,1167015
2021-09-28,69.10,69.51,66.41,67.08,1343811
2021-09-29,67.64,69.25,67.01,68.64,629434
2021-09-30,69.03,69.03,65.90,66.44,1048148
2021-10-01,66.89,69.50,66.62,68.82,623816
2021-10-04,69.25,70.51,66.15,67.10,810249
2021-10-05,67.78,68.50,66.11,66.22,937206
2021-10-06,65.21,65.40,62.74,63.28,1209726
2021-10-07,63.60,64.62,62.92,63.53,864599
2021-10-08,63.23,63.79,61.76,61.86,780326
2021-10-11,61.77,63.56,61.77,62.00,717118
2021-10-12,62.29,62.67,61.63,62.14,553362
2021-10-13,61.84,61.84,60.49,61.02,669940
2021-10-14,61.70,63.09,61.51,62.44,562690
2021-10-15,63.52,64.66,63.10,63.56,866396
2021-10-18,63.12,63.40,61.71,62.97,715350
2021-10-19,63.51,66.60,63.51,64.45,1237147
2021-10-20,64.70,66.73,64.46,65.65,1271823
2021-10-21,71.37,71.57,64.76,70.45,3086972
2021-10-22,69.96,72.55,68.89,70.63,1759828
2021-10-25,70.88,71.23,68.37,68.74,872343
2021-10-26,68.59,68.73,66.88,68.32,855768
2021-10-27,68.07,71.68,67.54,70.16,1084733
2021-10-28,70.86,72.15,70.09,71.77,818000
2021-10-29,71.50,72.80,71.23,71.66,652612
2021-11-01,71.60,72.18,70.92,71.49,538272
2021-11-02,72.01,72.11,69.19,69.64,448275
2021-11-03,69.40,73.72,69.12,73.68,891333
2021-11-04,73.86,74.70,71.77,72.72,470937
2021-11-05,73.87,76.49,73.48,75.42,1151235
2021-11-08,75.68,75.94,74.20,75.20,535589
2021-11-09,79.77,83.69,78.05,79.53,1772477
2021-11-10,79.13,81.40,79.13,79.93,832634
2021-11-11,79.75,80.30,79.02,79.34,836985
2021-11-12,79.96,79.98,78.08,79.13,760604
2021-11-15,79.81,80.97,78.84,80.23,824266
2021-11-16,79.75,80.77,79.49,79.70,792376
2021-11-17,79.43,80.19,78.42,78.78,491884
2021-11-18,78.28,79.41,78.28,78.66,544702
2021-11-19,78.10,79.11,76.40,77.45,701035
2021-11-22,77.91,80.66,77.76,78.54,715230
2021-11-23,78.15,79.57,77.63,79.40,679708
2021-11-24,79.12,79.95,77.95,78.19,422170
2021-11-26,75.56,76.63,72.69,75.67,772163
2021-11-29,77.00,78.18,74.44,74.46,842205
2021-11-30,73.62,74.48,72.49,72.87,993608
2021-12-01,74.54,74.80,70.21,70.52,854586
2021-12-02,70.79,74.67,70.04,74.02,979390
2021-12-03,74.23,74.42,70.28,71.05,949189
2021-12-06,72.26,72.86,70.43,72.63,837525
2021-12-07,73.80,76.80,73.31,75.36,922029
2021-12-08,75.13,76.28,75.08,75.90,639227
2021-12-09,75.32,75.75,74.60,74.63,510160
2021-12-10,74.77,76.00,73.79,75.84,850546
2021-12-13,76.03,77.29,74.97,76.37,835073
2021-12-14,75.55,77.42,75.28,76.26,579128
2021-12-15,75.94,78.77,75.51,78.19,818273
2021-12-16,78.77,79.03,74.43,74.55,830999
2021-12-17,74.14,75.41,72.57,74.52,2393590
2021-12-20,72.85,73.41,69.46,72.89,1127711
2021-12-21,73.84,76.53,73.74,76.21,663927
2021-12-22,75.83,78.99,75.48,78.20,639252
2021-12-23,78.57,79.98,78.40,79.26,782946
2021-12-27,79.60,80.09,78.90,80.02,443017
2021-12-28,80.01,81.96,79.95,80.14,421971
2021-12-29,80.38,81.84,79.91,80.43,448789
2021-12-30,80.40,82.88,80.40,81.91,658669
2021-12-31,81.78,82.86,81.53,81.69,788846
