date,open,high,low,close,volume
2016-09-15,133.61,134.05,133.03,133.67,10232940
2016-09-16,134.58,134.81,134.22,134.75,7507393
2016-09-19,134.52,134.87,134.25,134.31,7105046
2016-09-20,135.15,135.58,134.67,134.78,6054517
2016-09-21,134.60,135.89,134.18,135.87,10696470
2016-09-22,136.67,137.29,136.50,136.95,12426210
2016-09-23,137.03,137.34,136.71,136.82,5917176
2016-09-26,137.07,137.83,137.02,137.69,8661184
2016-09-27,138.59,138.80,137.95,138.70,9450444
2016-09-28,138.50,139.15,138.22,138.40,7854925
2016-09-29,137.56,139.07,137.45,138.75,8319623
2016-09-30,138.55,138.64,136.87,137.51,11740190
2016-10-03,137.68,137.77,136.76,136.81,7584625
2016-10-04,136.62,136.84,135.16,135.21,12048690
2016-10-05,135.02,135.08,134.12,134.58,8917654
2016-10-06,133.97,134.69,133.68,133.83,7839879
2016-10-07,133.93,134.28,133.09,133.92,9953170
2016-10-10,132.85,133.16,132.51,133.13,6088117
2016-10-11,132.86,133.55,132.57,132.83,9670397
2016-10-12,132.67,133.02,132.24,132.96,7577971
2016-10-13,133.64,133.93,133.37,133.46,7080582
2016-10-14,132.27,132.95,131.53,131.59,11409620
2016-10-17,132.10,132.74,132.09,132.43,10594890
2016-10-18,131.86,132.89,131.83,132.86,7150501
2016-10-19,132.37,133.27,132.32,132.97,6941233
2016-10-20,133.64,133.75,132.90,133.11,6082054
2016-10-21,133.52,133.72,132.87,133.31,9201511
2016-10-24,133.41,133.45,132.29,132.73,6507354
2016-10-25,132.53,133.56,132.49,133.08,5092528
2016-10-26,132.46,132.80,131.99,132.18,5841948
2016-10-27,131.07,131.07,130.06,130.74,10044590
2016-10-28,130.39,130.93,130.33,130.45,7540799
2016-10-31,130.89,131.29,130.71,131.25,7026470
2016-11-01,130.16,131.60,129.88,131.01,12622270
2016-11-02,131.30,132.11,131.03,131.58,8665668
2016-11-03,130.75,131.05,130.44,130.57,6085408
2016-11-04,131.27,131.79,131.13,131.74,7445572
2016-11-07,130.75,131.00,130.44,130.62,5384005
2016-11-08,131.02,131.21,129.71,130.09,7576047
2016-11-09,127.22,127.37,124.22,124.57,31222500
2016-11-10,123.97,124.96,122.72,122.73,22955050
2016-11-11,122.96,123.05,121.65,122.04,10037010
2016-11-14,121.28,122.66,120.73,121.31,21152620
2016-11-15,122.22,122.81,121.78,121.91,11959130
2016-11-16,122.30,123.14,122.17,123.01,9146612
2016-11-17,121.95,122.11,120.99,121.20,11211960
2016-11-18,121.63,121.97,120.34,120.85,13575560
2016-11-21,121.21,121.47,120.89,121.15,6487056
2016-11-22,121.66,121.76,120.88,121.11,9987248
2016-11-23,119.99,120.91,119.25,120.64,13562480
2016-11-25,121.19,121.29,120.40,120.82,3126273
2016-11-28,121.41,121.73,121.09,121.71,8553426
2016-11-29,121.44,122.40,121.21,122.22,8134290
2016-11-30,119.97,121.01,119.48,120.24,21140990
2016-12-01,118.51,118.99,117.64,118.73,21695410
2016-12-02,119.17,120.21,119.14,119.60,12482250
2016-12-05,118.93,120.40,118.45,119.47,12098360
2016-12-06,119.70,119.94,119.12,119.38,11526440
2016-12-07,119.82,120.62,119.82,120.40,10388310
2016-12-08,119.15,119.31,118.78,118.98,12035940
2016-12-09,118.64,118.86,117.28,117.50,14645110
2016-12-12,117.27,117.80,116.88,117.72,9463381
2016-12-13,118.40,118.49,117.44,118.14,12187990
2016-12-14,119.08,119.21,116.80,116.82,16611760
2016-12-15,117.56,118.29,117.03,117.41,12399960
2016-12-16,117.61,117.92,116.80,117.14,14629030
2016-12-19,117.98,118.58,117.74,118.40,10866050
2016-12-20,117.63,117.90,117.38,117.81,7030608
