date,open,high,low,close,volume
2021-09-22,65.26,65.99,58.21,62.51,14255590
2021-09-23,62.32,64.94,59.00,59.00,4579120
2021-09-24,59.50,61.20,53.00,55.78,3928233
2021-09-27,55.51,56.37,54.11,54.90,2277851
2021-09-28,54.02,54.25,50.10,50.85,3987966
2021-09-29,50.60,52.86,49.00,49.78,1676477
2021-09-30,49.93,52.89,49.84,49.95,1444029
2021-10-01,50.09,53.85,49.89,53.55,959750
2021-10-04,53.55,53.65,50.66,52.07,1285208
2021-10-05,51.82,55.59,51.57,52.10,1641487
2021-10-06,51.54,53.50,51.07,52.12,964426
2021-10-07,52.51,55.30,52.42,53.00,745203
2021-10-08,53.55,54.00,51.18,51.82,383893
2021-10-11,51.79,52.34,50.20,51.36,1174350
2021-10-12,51.36,52.13,50.41,50.94,836120
2021-10-13,51.38,54.66,51.25,54.43,884617
2021-10-14,54.68,56.75,53.57,56.36,1096025
2021-10-15,56.79,58.45,54.82,56.21,1598825
2021-10-18,55.49,56.74,51.43,51.50,1620838
2021-10-19,51.70,54.80,51.40,52.54,1377371
2021-10-20,52.72,52.85,50.55,50.96,1080521
2021-10-21,50.50,52.85,50.50,51.33,677767
2021-10-22,51.35,51.99,48.65,49.62,906627
2021-10-25,49.62,53.43,49.61,52.74,1164988
2021-10-26,52.81,54.14,51.32,53.28,650275
2021-10-27,52.91,56.38,52.53,52.76,1073407
2021-10-28,53.29,55.82,52.71,53.05,1074652
2021-10-29,52.98,54.97,52.71,53.22,535255
2021-11-01,54.54,57.20,54.54,57.16,1126920
2021-11-02,57.16,65.73,57.16,65.22,2734283
2021-11-03,66.13,69.93,60.43,62.99,2613369
2021-11-04,63.30,64.05,58.20,60.26,1536262
2021-11-05,60.30,62.69,57.31,59.00,975838
2021-11-08,56.30,58.62,55.58,58.34,1336506
2021-11-09,57.93,61.75,55.58,60.75,1943465
2021-11-10,54.15,55.25,49.51,50.01,5702846
2021-11-11,47.96,50.00,46.40,48.36,4420371
2021-11-12,48.00,49.98,46.64,48.13,6363359
2021-11-15,48.00,48.99,47.05,47.97,3087076
2021-11-16,47.50,48.33,47.28,48.00,3506383
2021-11-17,47.90,48.01,46.20,47.00,3199490
2021-11-18,47.00,47.18,42.75,43.10,3697506
2021-11-19,43.08,45.29,42.07,45.07,2995797
2021-11-22,44.99,45.40,43.13,43.72,4982034
2021-11-23,43.64,44.45,40.02,41.50,4854497
2021-11-24,40.70,43.69,40.10,43.25,2317881
2021-11-26,41.31,43.23,41.10,43.10,1854835
2021-11-29,43.50,44.34,42.50,43.68,1839164
2021-11-30,43.23,43.90,39.77,39.99,3836306
2021-12-01,41.22,41.22,34.33,35.31,5100709
2021-12-02,36.01,36.18,32.65,35.69,4810080
2021-12-03,36.19,36.19,32.20,34.44,3833905
2021-12-06,34.11,37.09,32.95,36.74,3466943
2021-12-07,38.14,40.16,38.00,39.65,2771479
2021-12-08,39.58,40.80,38.28,40.38,2085866
2021-12-09,40.12,41.40,36.71,37.19,1729569
2021-12-10,37.20,38.27,36.01,37.27,2190615
2021-12-13,36.98,37.52,33.81,34.50,3483516
2021-12-14,33.18,35.38,33.03,34.00,2661696
2021-12-15,33.34,34.79,30.85,33.43,5516915
2021-12-16,35.37,37.65,32.76,32.85,6161895
2021-12-17,32.29,35.92,30.69,34.89,7693150
2021-12-20,33.68,35.20,33.25,34.13,2264242
2021-12-21,34.66,38.14,34.13,37.64,2386648
2021-12-22,37.58,39.76,36.98,37.84,2427571
2021-12-23,37.74,40.26,37.25,39.63,2372572
2021-12-27,39.94,40.13,38.63,38.95,1132890
2021-12-28,38.67,38.67,35.85,36.78,2979759
2021-12-29,35.75,37.52,35.13,37.11,1427930
2021-12-30,37.38,38.32,36.36,36.76,1486158
2021-12-31,36.47,37.52,34.50,34.71,1781040
2022-01-03,34.90,35.55,32.65,33.03,3030535
2022-01-04,33.46,33.59,29.15,30.86,4519797
2022-01-05,30.85,30.99,27.53,27.88,5260217
2022-01-06,27.40,28.88,25.95,28.50,4142718
2022-01-07,28.91,30.03,28.01,28.40,2332732
2022-01-10,27.60,28.19,26.15,27.70,2167959
2022-01-11,27.93,30.38,27.75,29.77,2854071
2022-01-12,30.14,30.94,27.71,28.41,2606047
2022-01-13,28.42,28.69,26.53,26.95,1841863
2022-01-14,26.50,27.45,24.69,25.20,3318905
2022-01-18,24.65,25.50,23.71,24.27,2755953
2022-01-19,24.75,25.41,24.14,24.20,2853016
2022-01-20,24.45,26.44,22.75,23.02,3704636
2022-01-21,22.70,23.73,20.80,22.56,5718778
2022-01-24,21.71,23.37,19.87,23.14,8214434
2022-01-25,22.07,23.18,20.53,21.21,4018482
2022-01-26,22.07,23.25,18.72,19.61,5277354
2022-01-27,20.72,20.80,19.28,19.93,3933791
2022-01-28,20.01,20.78,18.86,20.36,5361507
2022-01-31,20.47,23.35,20.40,22.88,3520189
2022-02-01,23.87,26.33,23.25,25.72,6110847
2022-02-02,25.34,26.33,24.20,24.46,4916244
2022-02-03,22.39,24.25,21.56,22.05,4715804
2022-02-04,22.02,23.35,21.59,23.06,3231311
2022-02-07,22.99,24.91,22.97,24.67,2758879
2022-02-08,24.26,25.95,23.77,25.81,2105140
2022-02-09,26.44,28.69,26.34,27.88,2915551
2022-02-10,26.06,30.60,26.02,27.76,3911095
2022-02-11,27.92,29.45,26.86,27.59,2187255
2022-02-14,27.49,28.90,26.88,27.44,2384983
2022-02-15,28.27,29.37,26.93,28.12,4635369
2022-02-16,22.95,24.40,22.10,23.00,12384300
