date,open,high,low,close,volume
2021-01-04,80.39,85.37,78.94,84.06,275445
2021-01-05,84.56,92.76,84.56,88.33,560538
2021-01-06,87.80,89.78,87.39,88.11,185652
2021-01-07,88.33,89.78,85.17,86.52,262755
2021-01-08,85.69,89.65,84.09,89.00,373959
2021-01-11,88.47,96.61,88.47,96.61,218079
2021-01-12,97.22,98.16,95.22,97.88,355833
2021-01-13,98.64,99.44,92.69,92.69,299142
2021-01-14,93.02,95.54,92.61,94.89,184167
2021-01-15,94.54,94.54,90.42,93.44,124983
2021-01-19,93.44,94.44,91.55,94.32,108090
2021-01-20,95.42,95.42,92.56,93.82,151758
2021-01-21,94.36,94.36,89.16,90.10,206631
2021-01-22,89.09,93.33,88.74,91.37,187200
2021-01-25,91.00,92.48,89.01,91.55,96768
2021-01-26,92.00,94.41,91.02,92.55,249480
2021-01-27,92.01,92.23,87.22,89.57,230256
2021-01-28,88.58,93.33,88.56,92.78,353106
2021-01-29,92.44,94.33,89.22,92.47,406629
2021-02-01,92.89,94.41,91.53,92.67,212472
2021-02-02,94.22,96.01,94.10,95.33,183249
2021-02-03,95.15,101.11,95.15,100.62,539586
2021-02-04,100.69,108.22,100.18,106.83,676296
2021-02-05,109.67,110.33,107.38,110.33,430110
2021-02-08,109.89,113.33,109.56,113.33,431271
2021-02-09,111.89,113.88,110.51,112.41,555444
2021-02-10,113.33,118.44,113.33,118.44,542376
2021-02-11,117.71,120.32,117.67,119.44,379809
2021-02-12,119.56,124.50,117.90,124.42,352665
2021-02-16,125.00,131.93,124.42,129.36,600363
2021-02-17,129.45,130.35,126.51,126.98,465273
2021-02-18,125.90,126.89,117.10,123.31,504594
2021-02-19,124.62,125.00,122.14,123.22,323289
2021-02-22,121.79,127.10,121.07,122.22,357993
2021-02-23,122.09,124.44,116.00,123.79,266472
2021-02-24,124.66,129.52,123.78,127.06,229131
2021-02-25,129.58,132.22,123.05,123.54,339282
2021-02-26,123.44,125.32,115.31,122.67,261279
2021-03-01,124.56,124.99,119.75,123.09,177687
2021-03-02,123.22,125.46,121.75,122.04,209718
2021-03-03,122.33,131.67,122.33,128.58,313533
2021-03-04,130.72,134.42,127.62,130.56,555399
2021-03-05,132.22,135.33,130.28,133.33,491229
2021-03-08,133.33,141.37,132.01,139.78,721269
2021-03-09,138.65,146.32,137.65,142.47,771354
2021-03-10,144.44,153.56,141.86,151.04,771759
2021-03-11,152.21,159.32,152.13,157.22,733527
2021-03-12,158.72,166.47,157.47,159.67,790758
2021-03-15,160.00,177.05,160.00,173.10,1509453
2021-03-16,171.33,183.57,164.60,172.64,1200726
2021-03-17,175.56,190.06,173.78,189.31,1924425
2021-03-18,189.38,189.38,167.84,171.26,1719675
2021-03-19,170.21,188.89,163.64,186.16,5488579
2021-03-22,183.37,187.14,173.80,175.95,1539198
2021-03-23,169.44,171.94,153.36,158.48,1777167
2021-03-24,160.34,169.17,160.20,165.16,512811
2021-03-25,161.43,171.10,158.51,170.22,417231
2021-03-26,170.56,176.11,167.21,175.33,449154
2021-03-29,173.89,176.67,164.02,164.04,456588
2021-03-30,166.55,174.48,164.02,171.56,444312
2021-03-31,172.58,179.40,172.58,176.60,574713
2021-04-01,175.56,181.50,170.20,177.78,532134
2021-04-05,178.67,178.67,173.25,176.44,485289
2021-04-06,176.46,183.71,176.46,177.28,443421
2021-04-07,178.08,181.73,177.54,179.17,401859
2021-04-08,177.93,181.94,175.12,178.92,354807
2021-04-09,176.75,179.81,175.01,177.58,405378
2021-04-12,178.23,182.52,175.89,177.60,462906
2021-04-13,178.43,179.78,170.57,171.18,495180
2021-04-14,171.44,181.67,171.44,179.22,297342
2021-04-15,180.79,180.79,173.00,174.91,277785
2021-04-16,175.04,175.90,171.67,175.56,162216
2021-04-19,173.13,176.69,170.06,171.78,341343
2021-04-20,169.89,170.80,160.84,163.07,383058
2021-04-21,161.13,165.56,159.69,161.85,569547
2021-04-22,162.23,167.51,162.00,163.00,287820
2021-04-23,165.33,169.84,163.63,163.63,308565
2021-04-26,165.26,176.27,164.80,175.11,371961
2021-04-27,176.67,180.02,174.27,178.28,501966
2021-04-28,179.44,185.12,178.36,184.25,751338
2021-04-29,183.55,186.11,175.00,175.00,848376
2021-04-30,174.22,180.01,171.13,171.13,556011
2021-05-03,175.02,179.89,171.38,178.75,379224
2021-05-04,178.69,182.76,175.01,181.99,297837
2021-05-05,183.33,190.33,182.03,189.10,276147
2021-05-06,187.77,189.00,178.22,178.65,530541
2021-05-07,180.44,194.81,177.10,194.81,585243
