date,open,high,low,close,volume
2023-06-23,133.07,136.21,132.22,135.70,350867
2023-06-26,135.65,137.45,135.56,137.29,386551
2023-06-27,138.25,140.37,137.43,140.30,426349
2023-06-28,139.84,140.12,136.91,137.08,714940
2023-06-29,137.00,137.08,134.81,136.10,457879
2023-06-30,136.42,137.70,135.91,137.06,478223
2023-07-03,136.30,136.97,132.96,135.28,238109
2023-07-05,134.98,136.13,134.62,135.79,505920
2023-07-06,135.44,136.93,134.70,136.22,360825
2023-07-07,135.50,135.92,131.76,131.85,411769
2023-07-10,132.04,133.45,131.93,133.25,313743
2023-07-11,132.99,133.31,131.18,132.30,387322
2023-07-12,133.11,133.36,131.48,132.82,307756
2023-07-13,133.40,134.55,131.82,132.93,312895
2023-07-14,133.58,135.63,133.11,134.79,591489
2023-07-17,135.17,135.48,134.32,134.72,218986
2023-07-18,134.17,134.76,132.84,133.81,263170
2023-07-19,134.44,135.17,133.49,134.77,319111
2023-07-20,134.34,135.28,133.89,134.18,365563
2023-07-21,135.05,135.05,133.66,133.70,290960
2023-07-24,134.28,134.44,132.96,133.65,333773
2023-07-25,133.92,136.86,133.81,136.46,513029
2023-07-26,135.64,135.96,134.21,134.69,1106210
2023-07-27,135.15,135.65,134.23,134.61,371491
2023-07-28,135.38,137.06,135.38,136.14,449264
2023-07-31,136.24,137.41,135.43,137.35,391946
2023-08-01,136.07,137.98,136.07,137.26,539622
2023-08-02,137.21,141.03,137.21,139.07,751087
2023-08-03,134.07,135.00,132.69,133.14,737939
2023-08-04,133.67,135.35,133.05,133.43,337530
2023-08-07,134.16,134.31,132.48,132.48,328651
2023-08-08,132.16,133.20,130.58,132.49,322004
2023-08-09,132.33,133.53,131.83,133.16,295220
2023-08-10,135.10,136.18,133.08,133.40,248933
2023-08-11,132.70,134.31,132.57,134.19,149416
2023-08-14,133.90,136.42,133.90,135.15,252623
2023-08-15,134.87,135.12,132.53,133.42,262129
2023-08-16,132.76,133.30,131.93,132.09,384096
2023-08-17,131.84,132.69,128.92,128.98,321965
2023-08-18,127.83,129.08,127.79,128.50,236064
2023-08-21,128.79,129.67,128.32,129.34,373567
2023-08-22,129.34,129.47,127.85,128.12,204747
2023-08-23,128.62,130.09,128.62,129.59,237128
2023-08-24,129.66,129.72,127.92,128.17,236437
2023-08-25,128.64,129.48,127.76,128.75,174227
2023-08-28,128.58,129.51,128.43,128.62,152690
2023-08-29,128.05,130.67,127.80,130.40,183835
2023-08-30,130.98,132.12,130.62,131.09,267677
2023-08-31,131.37,131.62,130.10,130.81,354366
2023-09-01,131.34,131.34,129.34,130.91,195416
2023-09-05,131.06,131.73,129.68,129.69,146885
2023-09-06,129.97,130.32,128.39,128.91,204989
2023-09-07,129.10,130.47,129.10,130.42,257098
2023-09-08,130.53,130.97,130.06,130.66,262578
2023-09-11,130.58,131.13,129.89,131.03,290915
2023-09-12,130.72,130.77,129.45,130.10,162208
2023-09-13,130.13,131.25,129.66,130.87,218942
2023-09-14,131.52,132.80,130.79,132.26,200639
2023-09-15,132.11,132.57,131.48,131.94,313947
2023-09-18,131.68,132.97,131.68,132.27,213717
2023-09-19,132.02,133.03,130.15,130.32,382123
2023-09-20,130.30,131.68,130.22,130.30,191319
2023-09-21,129.53,129.71,126.65,127.31,458618
2023-09-22,127.09,128.40,126.66,127.50,182847
2023-09-25,126.98,128.12,126.96,127.83,196523
2023-09-26,127.17,127.56,125.66,125.70,195213
2023-09-27,125.95,126.57,124.31,125.39,295033
2023-09-28,125.48,126.52,124.59,125.57,355797
2023-09-29,126.32,126.32,124.01,124.24,244348
2023-10-02,123.51,124.11,122.95,123.54,206189
2023-10-03,122.87,123.86,122.78,122.95,171851
2023-10-04,123.31,125.02,123.21,124.56,195974
2023-10-05,124.64,126.44,124.64,125.91,241471
2023-10-06,124.81,127.58,124.81,127.02,255511
2023-10-09,126.38,129.27,126.38,128.60,241344
2023-10-10,128.62,129.69,128.14,128.92,252535
2023-10-11,129.41,130.09,128.93,129.72,161557
2023-10-12,130.05,130.35,127.47,128.48,185152
2023-10-13,128.91,129.96,128.18,128.64,335023
2023-10-16,128.99,129.82,128.36,129.18,268876
2023-10-17,128.37,129.68,128.21,128.45,335080
2023-10-18,128.18,128.38,125.95,126.15,342087
2023-10-19,126.64,126.64,124.15,124.49,375505
2023-10-20,124.30,125.02,123.69,123.76,320727
2023-10-23,123.56,126.06,123.56,125.12,313553
2023-10-24,125.20,126.02,124.51,124.88,349565
2023-10-25,124.52,125.18,123.50,123.69,290648
2023-10-26,123.70,123.90,121.73,121.94,334372
2023-10-27,122.14,122.38,119.30,119.73,326309
2023-10-30,120.40,122.53,120.40,122.37,471037
2023-10-31,122.46,122.46,120.77,121.76,435992
2023-11-01,124.92,127.38,121.72,124.16,806561
2023-11-02,126.00,129.73,124.71,128.91,550351
2023-11-03,129.48,129.85,128.63,129.45,360348
2023-11-06,129.14,131.30,129.14,130.87,334680
2023-11-07,130.83,132.36,130.22,130.42,606692
2023-11-08,130.28,131.85,129.69,131.39,491806
2023-11-09,131.86,134.12,131.04,133.78,440096
2023-11-10,134.07,134.65,131.72,132.97,283608
2023-11-13,132.27,135.38,132.27,135.05,479187
2023-11-14,136.36,137.23,135.47,135.92,542652
2023-11-15,135.97,136.39,134.95,135.48,554302
2023-11-16,135.35,139.30,135.35,138.87,709383
2023-11-17,138.95,140.49,138.95,139.51,489476
2023-11-20,139.36,141.75,139.08,141.07,531159
2023-11-21,140.85,142.18,139.63,140.69,533670
2023-11-22,140.67,141.35,140.38,140.63,1017892
2023-11-24,140.26,141.45,140.26,140.97,164124
2023-11-27,140.72,143.66,140.47,143.47,467059
2023-11-28,143.70,144.60,142.06,142.43,396420
2023-11-29,142.63,142.63,140.74,141.22,448890
2023-11-30,141.67,142.40,140.98,142.10,379391
2023-12-01,141.98,143.30,141.98,143.21,254130
2023-12-04,142.20,143.84,141.93,143.60,285531
2023-12-05,142.83,145.19,142.56,144.38,403781
2023-12-06,144.42,145.95,143.28,143.43,288347
2023-12-07,143.87,144.46,143.10,143.76,176210
2023-12-08,143.33,144.12,142.87,143.60,156308
2023-12-11,143.75,144.35,143.08,143.57,274011
2023-12-12,143.71,146.00,143.15,145.76,241664
2023-12-13,146.26,146.85,145.28,145.91,205405
