date,open,high,low,close,volume
2021-01-04,58.45,58.53,55.98,55.98,329425
2021-01-05,56.13,56.80,55.76,56.35,239430
2021-01-06,56.84,56.89,55.48,55.81,453875
2021-01-07,55.56,55.97,55.15,55.75,286927
2021-01-08,55.90,56.71,55.78,56.23,402792
2021-01-11,55.88,56.17,55.29,55.55,479253
2021-01-12,55.70,55.78,54.59,54.77,452697
2021-01-13,55.16,55.92,55.16,55.44,441522
2021-01-14,55.73,55.86,54.87,55.32,281442
2021-01-15,55.16,56.06,54.96,56.06,399060
2021-01-19,56.42,56.42,55.48,55.51,292905
2021-01-20,55.60,56.84,55.57,56.54,390536
2021-01-21,56.42,57.16,55.80,56.88,193079
2021-01-22,56.49,57.19,56.35,57.06,204012
2021-01-25,57.14,57.91,56.65,57.29,258872
2021-01-26,57.45,58.46,57.45,58.02,281870
2021-01-27,57.27,58.07,56.09,56.44,413727
2021-01-28,56.69,57.16,56.03,56.47,287471
2021-01-29,56.11,57.23,55.32,56.58,347708
2021-02-01,56.77,58.57,56.01,58.37,217340
2021-02-02,58.83,59.67,58.27,59.40,238098
2021-02-03,59.04,59.05,58.15,58.95,266870
2021-02-04,58.90,60.04,58.64,59.97,332639
2021-02-05,60.22,60.44,59.70,59.93,157815
2021-02-08,60.44,60.49,59.19,60.42,268450
2021-02-09,60.34,60.66,59.12,59.29,345475
2021-02-10,59.75,60.13,59.12,59.40,280380
2021-02-11,59.51,61.24,59.51,61.03,302679
2021-02-12,60.75,61.23,60.58,61.12,280785
2021-02-16,61.30,61.30,59.61,59.98,268783
2021-02-17,59.68,60.17,59.34,59.48,202515
2021-02-18,59.55,59.80,58.57,58.66,158984
2021-02-19,58.82,58.97,58.20,58.46,234171
2021-02-22,58.28,58.67,57.74,58.46,209942
2021-02-23,58.57,59.32,58.23,58.90,428710
2021-02-24,59.05,59.05,58.00,58.14,293574
2021-02-25,57.74,58.60,56.81,57.03,238447
2021-02-26,57.30,57.65,56.04,56.04,574598
2021-03-01,56.53,57.30,56.16,56.40,440975
2021-03-02,56.07,56.23,54.86,55.44,282724
2021-03-03,55.19,55.31,54.44,54.52,276929
2021-03-04,54.68,55.67,54.07,54.34,360100
2021-03-05,54.82,56.07,53.98,55.90,415197
2021-03-08,55.98,56.28,55.38,55.42,287296
2021-03-09,55.91,56.30,55.34,55.51,354471
2021-03-10,55.51,56.01,55.17,55.52,772937
2021-03-11,55.70,56.40,55.53,56.35,325520
2021-03-12,56.41,57.61,56.17,57.44,458077
2021-03-15,57.38,58.43,57.00,58.31,451847
2021-03-16,58.31,58.59,57.90,58.35,352503
2021-03-17,58.28,58.28,57.30,58.05,207285
2021-03-18,57.77,58.48,57.42,58.36,308310
2021-03-19,58.48,58.61,57.13,57.14,856756
2021-03-22,56.89,57.84,56.83,57.74,271017
2021-03-23,57.56,59.19,57.56,58.82,424869
2021-03-24,58.78,59.44,58.22,58.51,402882
2021-03-25,58.13,58.58,57.04,58.09,290459
2021-03-26,58.09,59.31,58.09,59.25,226850
2021-03-29,59.25,59.50,58.47,58.51,226792
2021-03-30,58.32,58.73,57.88,58.57,269685
2021-03-31,58.54,59.15,57.77,57.77,525795
2021-04-01,58.10,59.22,57.97,59.21,474231
2021-04-05,59.50,60.16,58.71,59.16,407155
2021-04-06,59.19,59.98,59.09,59.89,338860
2021-04-07,60.13,60.46,59.22,59.49,332789
2021-04-08,59.74,60.31,59.46,59.63,221434
2021-04-09,59.82,60.11,59.39,59.96,190206
2021-04-12,59.90,60.44,59.53,60.26,161512
2021-04-13,60.58,61.60,60.52,61.42,285672
2021-04-14,61.37,62.02,60.31,60.44,319920
2021-04-15,60.75,62.22,60.75,62.12,224394
2021-04-16,62.31,62.31,61.39,61.59,254449
2021-04-19,61.46,62.35,61.20,62.31,275187
2021-04-20,62.32,63.83,62.32,63.67,225599
2021-04-21,64.00,64.14,63.52,63.58,229215
2021-04-22,63.86,63.86,62.73,62.92,220615
2021-04-23,62.99,63.41,62.69,63.35,195976
2021-04-26,63.68,63.75,63.26,63.46,214994
2021-04-27,63.52,63.68,62.80,63.57,206473
2021-04-28,63.74,64.15,63.47,63.65,388645
2021-04-29,63.92,64.62,63.55,64.05,273161
2021-04-30,63.79,64.83,63.79,64.52,363494
2021-05-03,64.82,64.82,63.84,63.99,386752
2021-05-04,63.97,64.36,63.32,63.70,260503
2021-05-05,63.70,63.89,62.12,62.62,196503
2021-05-06,62.99,64.03,61.56,63.69,238276
2021-05-07,63.63,64.23,63.48,64.16,234930
2021-05-10,64.41,64.87,63.80,63.80,159473
2021-05-11,63.31,63.31,62.07,62.60,193142
2021-05-12,62.20,62.77,61.24,61.34,187485
