date,open,high,low,close,volume
2016-09-15,42.38,43.22,42.38,42.99,873821
2016-09-16,42.68,43.15,42.56,43.05,873883
2016-09-19,43.26,43.38,43.00,43.19,610811
2016-09-20,43.27,43.60,43.04,43.10,675367
2016-09-21,43.26,43.84,43.11,43.80,888020
2016-09-22,44.39,44.60,44.20,44.38,964967
2016-09-23,44.11,44.37,43.63,43.94,1170529
2016-09-26,43.93,43.93,43.26,43.30,621250
2016-09-27,43.09,43.42,42.96,43.26,913629
2016-09-28,43.39,43.98,42.95,43.79,747241
2016-09-29,43.99,44.27,43.54,43.75,806511
2016-09-30,44.06,44.21,43.71,43.72,664251
2016-10-03,43.79,44.05,43.49,43.67,626781
2016-10-04,43.42,43.79,42.71,43.16,808151
2016-10-05,43.49,43.68,43.04,43.14,629673
2016-10-06,43.04,43.21,42.77,42.84,578704
2016-10-07,42.83,42.99,42.24,42.57,738447
2016-10-10,42.93,43.67,42.93,43.55,720546
2016-10-11,42.94,43.10,41.68,41.97,1478078
2016-10-12,41.92,42.52,41.74,42.41,703457
2016-10-13,42.20,42.66,41.88,42.51,787050
2016-10-14,42.72,43.33,42.30,42.32,865892
2016-10-17,42.37,42.84,42.26,42.80,584233
2016-10-18,43.13,43.76,43.13,43.45,1092999
2016-10-19,43.72,44.02,43.61,43.79,952209
2016-10-20,43.53,43.76,43.10,43.32,919487
2016-10-21,43.01,43.44,43.01,43.35,544592
2016-10-24,43.33,43.33,42.42,42.53,992776
2016-10-25,42.44,42.64,41.96,42.06,974692
2016-10-26,41.79,42.39,41.78,42.18,741449
2016-10-27,42.26,42.39,41.95,42.14,664691
2016-10-28,42.12,42.32,41.61,41.75,976053
2016-10-31,41.79,41.90,41.53,41.62,894963
2016-11-01,41.87,41.94,41.48,41.59,918112
2016-11-02,40.09,40.09,39.46,39.60,3414770
2016-11-03,39.67,39.85,39.41,39.52,1139756
2016-11-04,39.33,40.03,39.27,39.73,1139824
2016-11-07,40.05,40.17,39.82,40.13,641675
2016-11-08,39.97,40.38,39.97,40.22,943961
2016-11-09,40.02,41.27,39.86,41.20,2662727
2016-11-10,41.11,41.53,40.68,41.06,2569192
2016-11-11,40.58,40.80,39.89,39.96,1367516
2016-11-14,39.98,40.08,39.24,39.70,1424390
2016-11-15,40.19,40.54,40.01,40.48,1534180
2016-11-16,40.33,41.05,40.20,41.02,1374611
2016-11-17,41.36,41.52,40.77,41.14,1759763
2016-11-18,41.15,41.22,40.96,41.06,1158065
2016-11-21,41.66,42.10,41.50,41.85,1212362
2016-11-22,42.06,42.33,41.74,41.81,1146731
2016-11-23,41.49,41.91,41.49,41.74,716728
2016-11-25,41.86,42.02,41.62,41.82,397223
2016-11-28,42.02,42.14,41.63,41.69,852543
2016-11-29,41.36,41.47,40.69,41.29,1347110
2016-11-30,41.93,42.05,41.20,41.21,1443654
2016-12-01,41.78,41.84,40.62,40.66,1240456
2016-12-02,40.78,40.91,40.47,40.62,658025
2016-12-05,40.79,40.87,40.27,40.59,851798
2016-12-06,40.43,40.92,40.18,40.90,569974
2016-12-07,40.91,41.65,40.69,41.65,619103
2016-12-08,41.67,41.70,41.20,41.43,493197
2016-12-09,41.56,41.61,40.88,41.01,692288
2016-12-12,41.56,41.64,41.22,41.28,1019737
2016-12-13,41.61,42.54,41.47,42.40,1240010
2016-12-14,42.26,42.55,41.59,41.69,751709
2016-12-15,41.43,41.61,41.20,41.35,854340
2016-12-16,41.54,42.48,41.36,42.46,1008446
2016-12-19,42.48,42.68,42.09,42.28,609636
2016-12-20,42.36,42.47,42.00,42.18,573864
2016-12-21,42.28,42.66,42.02,42.36,718059
2016-12-22,42.24,42.60,42.05,42.52,412871
2016-12-23,42.38,42.71,42.16,42.20,601811
2016-12-27,42.19,42.44,42.09,42.39,362293
2016-12-28,41.92,41.94,41.34,41.35,509422
2016-12-29,41.25,41.75,41.25,41.56,617774
2016-12-30,41.67,41.78,41.41,41.50,501100
2017-01-03,41.82,41.97,41.27,41.47,739066
2017-01-04,41.70,42.14,41.60,41.89,646692
2017-01-05,42.09,42.44,41.89,42.42,1167928
2017-01-06,42.49,42.60,42.12,42.25,600407
2017-01-09,42.12,42.65,41.95,42.35,908509
2017-01-10,42.49,42.70,41.95,42.07,754453
2017-01-11,42.13,42.41,41.87,42.40,725199
2017-01-12,42.58,42.72,42.26,42.54,583884
2017-01-13,42.53,42.86,42.28,42.82,552760
2017-01-17,43.12,43.66,43.12,43.51,893965
2017-01-18,43.33,43.57,42.93,42.96,935112
2017-01-19,42.90,43.00,42.65,42.74,678606
2017-01-20,42.92,43.24,42.72,43.11,832320
2017-01-23,43.06,43.50,42.87,43.36,1015416
2017-01-24,43.97,45.03,43.65,44.89,4340003
2017-01-25,45.56,45.74,45.26,45.35,1648435
2017-01-26,45.31,45.39,44.29,44.59,1923711
2017-01-27,44.59,44.66,43.59,43.85,1161754
2017-01-30,43.76,43.90,43.07,43.21,1283776
2017-01-31,43.39,43.62,43.17,43.40,906061
2017-02-01,43.25,43.66,42.91,43.34,821519
2017-02-02,43.64,43.80,43.51,43.63,711050
2017-02-03,43.69,44.39,43.63,44.07,994275
2017-02-06,44.01,44.01,43.21,43.49,746756
2017-02-07,43.15,43.30,42.53,42.88,935953
2017-02-08,42.92,43.28,42.48,43.20,700569
2017-02-09,43.39,43.72,43.17,43.38,793349
2017-02-10,43.61,43.84,43.47,43.53,770609
2017-02-13,43.56,43.89,43.35,43.89,922973
2017-02-14,43.89,43.95,43.48,43.80,581957
2017-02-15,43.72,43.90,43.57,43.70,714637
2017-02-16,44.22,44.27,43.55,43.72,1360673
2017-02-17,43.71,43.84,43.32,43.66,613987
2017-02-21,43.73,43.81,43.26,43.43,1245881
2017-02-22,43.29,43.75,43.26,43.40,1162709
2017-02-23,43.66,43.71,43.01,43.30,1014538
2017-02-24,43.18,43.40,42.51,42.54,1265024
2017-02-27,42.77,42.81,42.22,42.50,1419479
2017-02-28,42.19,42.80,42.05,42.27,1228014
2017-03-01,42.49,42.49,42.01,42.05,1437690
2017-03-02,41.82,42.21,41.79,41.95,834039
2017-03-03,41.89,41.94,41.67,41.79,978666
2017-03-06,41.86,42.24,41.56,42.19,802074
2017-03-07,42.18,42.70,42.10,42.68,790409
