date,open,high,low,close,volume
2021-01-04,99.28,99.82,94.55,95.85,1424459
2021-01-05,96.08,96.39,94.81,95.79,1616410
2021-01-06,95.73,95.96,93.29,93.65,2066028
2021-01-07,93.71,94.44,92.44,94.44,2306573
2021-01-08,94.59,94.94,92.68,94.56,1503009
2021-01-11,93.76,95.97,93.14,93.47,780164
2021-01-12,93.47,93.97,92.80,93.66,1189053
2021-01-13,93.65,94.62,93.17,93.64,952529
2021-01-14,94.11,94.79,92.50,92.75,940622
2021-01-15,92.53,93.09,90.98,91.27,993560
2021-01-19,91.54,92.25,89.94,91.37,1195383
2021-01-20,92.09,93.70,91.62,93.30,777089
2021-01-21,92.85,93.53,92.31,92.48,884317
2021-01-22,92.20,92.41,91.08,91.91,555941
2021-01-25,92.14,92.35,90.67,91.62,1342894
2021-01-26,91.84,92.14,90.42,91.14,1149694
2021-01-27,90.00,90.01,87.51,87.73,1286823
2021-01-28,88.24,90.36,88.04,89.53,1338517
2021-01-29,88.88,89.41,86.90,87.04,1169450
2021-02-01,87.92,91.33,87.92,90.83,953049
2021-02-02,91.68,93.20,91.35,92.77,617314
2021-02-03,92.78,92.78,91.44,92.23,453430
2021-02-04,92.73,93.88,92.47,93.14,614122
2021-02-05,93.89,94.42,93.07,93.59,966651
2021-02-08,94.05,94.41,93.30,93.64,716425
2021-02-09,93.60,94.03,93.04,93.51,579633
2021-02-10,94.20,94.52,91.86,92.72,560592
2021-02-11,93.04,93.47,91.43,92.13,1051711
2021-02-12,93.29,95.50,92.55,95.06,1127254
2021-02-16,88.71,91.58,87.32,87.60,4541950
2021-02-17,86.00,88.80,84.68,88.51,2250938
2021-02-18,88.11,90.81,88.08,89.71,1817487
2021-02-19,89.78,90.50,89.00,89.27,1790639
2021-02-22,88.16,89.00,86.37,86.50,2180241
2021-02-23,86.65,87.89,85.21,87.18,1740081
2021-02-24,86.67,88.49,85.63,87.78,1445543
2021-02-25,87.44,88.59,84.52,85.16,2362429
2021-02-26,85.93,86.97,83.50,84.21,2798032
2021-03-01,85.33,86.44,84.91,85.78,2550007
2021-03-02,86.43,88.68,85.56,87.91,2364728
2021-03-03,87.72,88.76,86.58,87.04,2213223
2021-03-04,87.28,88.03,84.56,84.94,2729056
2021-03-05,85.84,88.09,83.11,87.77,2024072
2021-03-08,88.02,89.42,87.52,87.97,1194949
2021-03-09,88.97,89.94,88.38,88.86,1033867
2021-03-10,89.84,90.45,87.82,87.82,1463464
2021-03-11,88.15,88.29,86.78,87.90,1587525
2021-03-12,87.53,88.88,87.10,88.06,1506987
2021-03-15,87.98,89.31,87.79,88.86,1362026
2021-03-16,89.25,89.77,87.99,88.50,910901
2021-03-17,88.55,88.55,85.98,87.23,951397
2021-03-18,86.72,88.54,85.44,87.36,1817969
2021-03-19,87.27,88.14,86.32,87.53,1490487
2021-03-22,87.48,89.63,87.17,88.83,1721633
2021-03-23,88.51,90.31,87.82,88.76,1153843
2021-03-24,88.64,89.20,87.83,88.35,1216228
2021-03-25,88.32,90.00,87.18,89.66,1068592
2021-03-26,90.00,92.66,89.87,92.59,1191143
2021-03-29,91.98,92.00,90.31,90.66,1137013
2021-03-30,90.08,90.83,89.22,89.67,651098
2021-03-31,89.61,91.00,89.18,90.00,917678
2021-04-01,90.41,92.36,89.29,92.26,1009169
2021-04-05,92.50,95.06,92.11,94.44,1665586
2021-04-06,93.77,96.05,93.77,94.91,1819403
2021-04-07,94.79,95.17,93.04,93.81,828708
2021-04-08,94.65,96.34,94.08,95.85,1750337
2021-04-09,95.53,95.92,94.64,95.85,926166
2021-04-12,95.64,97.17,95.48,96.87,732815
2021-04-13,96.55,97.62,95.94,96.31,852692
2021-04-14,96.29,96.84,94.95,95.17,773407
2021-04-15,95.86,96.34,95.32,95.48,1358234
2021-04-16,95.79,96.80,95.79,96.35,1145601
2021-04-19,95.87,96.93,95.83,96.86,761942
2021-04-20,96.53,97.81,96.25,96.57,823071
2021-04-21,96.61,98.33,96.29,97.88,1664178
2021-04-22,99.69,104.23,99.00,101.92,4056614
2021-04-23,101.82,104.11,101.16,103.27,1672434
2021-04-26,102.97,103.38,100.46,100.57,2824513
2021-04-27,106.03,110.42,104.64,104.99,2931221
2021-04-28,105.07,105.72,103.52,104.03,1518451
2021-04-29,105.10,105.65,104.46,104.60,1314335
2021-04-30,103.93,105.08,103.29,104.59,1364209
2021-05-03,105.36,106.25,104.43,106.00,1653870
2021-05-04,105.72,106.67,105.28,106.42,1371744
2021-05-05,106.94,107.42,105.26,106.60,772998
2021-05-06,106.92,107.19,104.33,105.07,699152
2021-05-07,105.74,106.64,105.25,106.21,897878
2021-05-10,106.11,107.81,106.02,106.52,1564069
2021-05-11,105.14,105.93,104.14,104.83,813381
2021-05-12,104.83,104.92,102.76,102.92,765002
2021-05-13,103.49,106.07,103.49,105.56,1150159
2021-05-14,106.22,108.14,105.87,108.05,1005746
2021-05-17,107.39,108.29,107.05,108.04,987791
2021-05-18,108.20,108.81,106.75,106.86,1420181
2021-05-19,106.01,106.44,104.74,106.28,678873
2021-05-20,106.83,108.70,106.50,108.35,785950
2021-05-21,108.61,109.63,107.15,108.30,967045
2021-05-24,109.05,109.73,108.09,109.29,697141
2021-05-25,109.35,109.60,107.78,108.07,794346
2021-05-26,108.19,108.46,107.33,107.54,500921
2021-05-27,107.70,107.98,106.81,107.00,2884816
2021-05-28,107.82,107.82,106.33,107.00,2411009
2021-06-01,107.72,107.83,105.69,106.01,879683
2021-06-02,107.36,107.50,105.16,105.40,616925
2021-06-03,105.34,105.34,103.47,104.25,911583
2021-06-04,104.99,105.82,104.44,105.71,547661
2021-06-07,105.40,105.68,104.23,104.68,810285
2021-06-08,104.98,106.20,104.68,106.14,669408
2021-06-09,105.59,106.49,104.86,105.47,449204
2021-06-10,106.04,106.70,104.89,106.63,1009512
2021-06-11,106.98,107.36,105.50,106.56,784757
2021-06-14,106.56,107.01,106.10,106.78,603808
2021-06-15,106.83,107.76,106.30,107.57,679650
2021-06-16,107.86,107.86,106.25,106.99,1240383
2021-06-17,106.96,109.28,106.34,108.90,1169686
2021-06-18,107.87,109.22,107.80,108.47,1007797
2021-06-21,108.74,110.08,107.26,109.99,737299
2021-06-22,110.77,111.71,110.07,111.56,834789
2021-06-23,111.44,111.46,109.65,109.65,723268
2021-06-24,109.97,110.79,109.41,110.32,769183
2021-06-25,110.25,111.30,109.90,111.11,1795027
2021-06-28,111.26,111.34,108.78,109.52,631608
2021-06-29,109.24,110.35,108.94,109.42,517910
2021-06-30,109.50,110.15,109.14,109.81,806237
2021-07-01,110.21,110.95,109.99,110.43,659355
2021-07-02,110.49,112.88,110.41,112.47,638719
2021-07-06,112.43,112.78,111.35,112.45,714313
2021-07-07,112.59,113.87,112.59,113.64,529186
2021-07-08,112.61,113.72,112.33,112.64,733900
2021-07-09,113.19,114.00,112.84,113.84,463984
2021-07-12,114.11,114.25,112.28,113.23,626572
2021-07-13,113.18,113.33,111.75,112.16,529309
2021-07-14,112.64,113.12,112.34,112.78,454723
2021-07-15,112.41,114.64,112.07,114.55,994684
2021-07-16,115.35,116.67,115.03,115.76,939081
2021-07-19,114.27,115.58,112.17,112.77,1145492
2021-07-20,113.07,116.26,113.07,115.43,807585
2021-07-21,115.22,115.81,114.79,115.09,513336
2021-07-22,115.54,115.54,113.31,114.33,864254
2021-07-23,115.70,116.09,114.25,115.74,710761
2021-07-26,114.96,116.96,114.96,116.53,1118856
2021-07-27,116.98,118.45,113.61,118.22,1703776
2021-07-28,118.51,119.19,117.29,118.34,1084920
2021-07-29,118.55,120.64,118.55,119.86,1048468
2021-07-30,119.63,120.82,119.63,120.06,1123492
2021-08-02,120.59,121.47,120.14,120.50,739016
2021-08-03,120.80,120.81,119.31,120.69,680776
2021-08-04,120.44,120.81,118.62,119.46,1078397
2021-08-05,119.85,120.56,119.50,120.46,411171
2021-08-06,120.45,120.61,119.52,119.89,668314
2021-08-09,119.94,120.01,119.11,119.18,777553
2021-08-10,119.74,119.74,118.65,118.70,540809
2021-08-11,119.04,119.47,118.22,119.45,607947
2021-08-12,118.96,119.55,118.61,118.64,1275112
2021-08-13,118.48,119.35,118.34,119.31,465699
2021-08-16,119.25,119.46,118.38,119.24,457860
2021-08-17,118.39,119.49,118.15,118.98,565371
2021-08-18,118.58,119.08,116.90,116.93,552856
2021-08-19,116.09,117.69,114.88,117.40,922989
2021-08-20,117.30,118.06,116.90,117.70,597685
2021-08-23,118.22,119.21,117.78,118.59,589598
2021-08-24,118.71,118.76,117.84,118.65,520251
2021-08-25,118.81,119.28,118.39,119.09,513038
2021-08-26,119.59,120.28,117.17,118.19,680853
2021-08-27,118.39,119.81,118.00,119.63,697252
2021-08-30,120.02,120.40,119.18,119.95,579654
2021-08-31,120.02,121.99,119.81,121.53,1225232
2021-09-01,121.72,122.67,121.16,122.62,746441
2021-09-02,123.62,124.57,123.08,124.26,769920
2021-09-03,123.88,124.95,123.26,124.47,607588
2021-09-07,123.98,124.16,122.34,123.16,667627
2021-09-08,123.23,124.86,123.17,124.72,513585
2021-09-09,124.58,125.35,124.12,124.18,468547
2021-09-10,124.88,125.15,123.23,123.23,493322
2021-09-13,124.00,124.00,119.31,120.71,1848567
2021-09-14,121.75,121.75,118.99,119.00,1074453
2021-09-15,118.91,118.91,116.66,117.91,994896
2021-09-16,117.95,118.34,116.26,117.57,1046132
2021-09-17,117.01,117.05,115.50,116.08,2195651
2021-09-20,114.77,115.84,114.26,115.59,711871
2021-09-21,115.92,115.95,113.93,114.38,850445
2021-09-22,115.07,116.83,114.51,116.20,596914
2021-09-23,116.72,118.77,116.72,116.84,1579668
2021-09-24,116.16,117.08,115.95,116.27,512084
2021-09-27,115.87,116.35,114.33,115.02,800280
2021-09-28,113.80,114.86,111.99,112.68,667810
2021-09-29,113.06,114.17,112.40,113.51,672256
2021-09-30,114.21,114.73,112.27,112.31,1022635
2021-10-01,112.88,114.47,111.94,114.02,862569
2021-10-04,113.54,114.99,112.11,112.95,1460361
2021-10-05,113.59,115.42,113.07,114.72,934583
2021-10-06,113.82,114.41,112.83,113.98,572070
2021-10-07,114.93,116.00,114.17,114.48,460582
2021-10-08,114.63,114.63,113.18,113.34,410197
2021-10-11,113.21,113.41,111.50,111.58,759360
2021-10-12,111.81,112.20,110.59,111.18,1581208
2021-10-13,111.42,112.98,109.49,111.97,548722
2021-10-14,113.31,115.01,112.88,115.01,705779
2021-10-15,115.44,116.11,114.88,115.78,610817
2021-10-18,115.45,117.13,115.08,116.50,658234
2021-10-19,116.96,117.76,116.60,117.29,620424
2021-10-20,117.81,118.41,115.28,115.84,695174
2021-10-21,114.93,115.56,112.03,114.93,795172
2021-10-22,115.06,117.00,115.06,116.31,543873
