date,open,high,low,close,volume
2021-01-04,80.60,80.65,75.60,77.34,12177260
2021-01-05,77.68,80.00,77.20,78.85,8202190
2021-01-06,76.67,77.28,73.83,74.06,14599410
2021-01-07,75.50,76.45,74.05,76.30,14376600
2021-01-08,77.20,80.19,76.30,79.58,10808180
2021-01-11,77.60,79.86,76.60,77.93,6509610
2021-01-12,78.88,81.46,78.30,80.56,7894050
2021-01-13,81.10,81.60,78.35,78.55,6738010
2021-01-14,79.17,79.98,77.15,77.53,6386410
2021-01-15,77.53,79.12,76.72,78.54,5217820
2021-01-19,79.23,79.62,76.60,78.06,6421690
2021-01-20,78.70,81.50,78.00,81.10,6973470
2021-01-21,83.39,83.93,81.24,81.30,7615620
2021-01-22,81.17,82.10,80.00,81.30,3780720
2021-01-25,81.72,82.64,76.60,78.56,7658040
2021-01-26,79.30,79.52,77.22,77.63,4511340
2021-01-27,75.90,77.94,73.11,75.63,7073720
2021-01-28,77.50,80.40,76.80,79.45,7933340
2021-01-29,78.66,79.79,75.37,76.60,5823630
2021-02-01,78.25,79.94,77.11,79.32,6811950
2021-02-02,81.00,83.50,80.64,83.14,6527210
2021-02-03,85.00,87.51,83.73,83.92,8364160
2021-02-04,85.10,85.98,84.01,85.40,4105720
2021-02-05,86.43,87.14,84.49,85.51,5764430
2021-02-08,86.50,87.80,85.11,85.23,4860570
2021-02-09,85.00,87.00,83.85,86.46,4265390
2021-02-10,87.14,87.82,84.12,86.19,5360280
2021-02-11,86.70,87.06,84.70,86.68,3960440
2021-02-12,86.10,87.42,85.71,86.40,4074200
2021-02-16,86.95,88.09,84.80,86.90,6878930
2021-02-17,85.10,85.65,81.66,84.44,7627840
2021-02-18,83.57,84.99,82.34,84.65,8883500
2021-02-19,84.10,92.11,83.60,90.33,23759800
2021-02-22,88.47,90.22,84.41,84.52,11642590
2021-02-23,81.00,81.00,74.50,79.11,14833710
2021-02-24,79.05,79.39,75.70,78.10,6836520
2021-02-25,77.29,79.60,74.50,75.46,7966150
2021-02-26,76.53,81.27,76.15,80.54,9059890
2021-03-01,81.98,83.40,79.72,83.23,5140440
2021-03-02,83.50,83.50,79.69,79.79,4629700
2021-03-03,79.12,79.17,69.10,69.59,18667880
2021-03-04,69.00,69.50,61.49,64.02,21327310
2021-03-05,65.00,66.50,56.10,65.42,30282380
2021-03-08,67.80,72.34,66.10,67.89,24635840
2021-03-09,71.90,72.78,68.18,71.93,13767700
2021-03-10,73.60,74.92,70.58,72.26,7752810
2021-03-11,74.50,75.90,72.84,75.65,6743530
2021-03-12,73.50,75.33,72.74,75.12,5832590
2021-03-15,75.20,76.20,74.13,75.83,5482950
2021-03-16,76.43,80.50,75.50,76.89,11217950
2021-03-17,74.76,77.97,73.01,77.15,8103120
2021-03-18,74.90,75.31,69.36,70.01,9654060
2021-03-19,70.50,73.80,69.70,73.32,7992650
2021-03-22,74.23,75.30,72.91,74.08,5634570
2021-03-23,74.21,75.00,71.56,72.43,4745550
2021-03-24,72.46,72.54,66.29,66.81,8322010
2021-03-25,65.30,66.54,63.20,65.34,12676260
2021-03-26,65.46,67.64,64.47,67.12,6771590
2021-03-29,66.80,67.70,60.60,61.26,10003490
2021-03-30,60.50,63.15,59.11,62.59,8823530
2021-03-31,63.97,66.46,63.65,65.17,7272580
2021-04-01,67.39,68.34,65.44,65.88,5643200
2021-04-05,67.50,67.50,63.93,65.32,4159950
2021-04-06,66.61,68.06,65.21,66.96,6995930
2021-04-07,67.00,68.50,66.30,67.79,4720360
2021-04-08,68.71,70.22,67.70,69.04,6782040
2021-04-09,69.00,69.62,67.22,69.26,5838360
2021-04-12,68.74,71.86,67.80,70.59,6076140
2021-04-13,71.58,73.50,71.24,72.30,6078950
2021-04-14,72.69,73.61,70.31,71.61,7662100
2021-04-15,73.30,74.29,72.28,73.50,6001760
2021-04-16,73.10,73.40,71.26,71.89,4995630
2021-04-19,70.24,71.77,68.72,69.55,5953110
2021-04-20,69.52,69.95,67.03,68.61,4711280
2021-04-21,68.33,70.80,67.58,70.73,4134700
2021-04-22,71.11,72.80,69.77,70.02,6987470
2021-04-23,70.78,73.08,69.89,72.65,4456770
2021-04-26,73.00,75.18,71.84,74.76,4315420
2021-04-27,74.88,75.60,73.31,74.86,5372950
2021-04-28,75.11,75.89,73.76,74.64,4002580
2021-04-29,75.89,76.87,73.29,74.90,6906980
2021-04-30,73.58,75.45,72.80,72.93,4556210
2021-05-03,73.24,73.58,69.53,70.16,5019160
2021-05-04,69.33,69.33,64.72,66.66,6143640
2021-05-05,67.94,67.94,63.80,63.91,5312150
2021-05-06,63.50,64.43,59.17,61.23,11224630
2021-05-07,62.85,66.70,62.70,66.14,11326760
2021-05-10,56.74,56.79,48.02,48.96,87308540
2021-05-11,47.49,51.55,46.71,51.44,36805290
2021-05-12,50.30,52.12,49.61,50.48,21362880
2021-05-13,50.84,51.73,48.76,49.35,18576780
2021-05-14,50.34,52.43,48.95,51.75,13961060
2021-05-17,51.01,51.90,49.64,50.76,11646240
2021-05-18,50.72,52.15,50.30,50.85,7280190
2021-05-19,50.00,50.91,49.08,50.91,8642390
2021-05-20,51.60,54.60,51.30,54.33,11388130
2021-05-21,55.38,55.50,53.45,53.97,9424840
2021-05-24,54.70,56.22,54.00,55.56,8550350
2021-05-25,56.52,56.67,55.26,56.13,9357890
2021-05-26,56.52,58.60,56.29,58.15,10411040
2021-05-27,57.88,59.02,56.20,58.46,9121240
2021-05-28,58.84,59.50,58.26,58.81,6429710
2021-06-01,59.52,60.27,57.82,58.31,6463460
2021-06-02,58.15,58.81,57.01,58.19,6689110
2021-06-03,57.50,57.84,56.28,56.80,5819560
2021-06-04,57.26,58.49,57.22,57.48,4893970
2021-06-07,57.40,60.24,56.70,59.98,6898540
2021-06-08,60.45,62.80,60.27,60.49,10905950
2021-06-09,61.00,61.37,58.45,58.53,9336640
2021-06-10,58.50,59.17,57.53,59.03,8993820
2021-06-11,59.59,60.76,59.16,59.98,6114280
2021-06-14,60.64,61.55,59.97,60.16,6242320
2021-06-15,60.05,60.09,58.25,58.58,7733420
2021-06-16,58.50,60.10,57.76,59.02,8644310
2021-06-17,59.14,63.34,58.51,62.14,13050830
2021-06-18,61.81,62.70,60.03,60.88,8938229
2021-06-21,60.68,62.25,59.12,61.26,6057446
2021-06-22,60.87,64.78,60.80,64.50,6670676
2021-06-23,64.95,65.98,63.67,65.39,5735635
2021-06-24,66.23,77.97,66.00,75.88,35328610
