date,open,high,low,close,volume
2021-01-04,62.91,64.43,61.13,62.24,628773
2021-01-05,62.16,62.82,61.31,62.40,504198
2021-01-06,61.93,65.44,61.93,64.42,1759815
2021-01-07,64.63,66.06,64.60,65.25,756667
2021-01-08,64.51,65.89,64.51,65.34,365665
2021-01-11,64.44,65.47,64.11,64.64,339345
2021-01-12,64.58,65.64,64.45,64.98,619064
2021-01-13,65.66,66.75,64.76,66.34,606288
2021-01-14,66.46,66.46,64.29,64.50,473843
2021-01-15,64.50,65.20,64.28,64.62,750704
2021-01-19,64.73,66.00,64.68,65.65,530593
2021-01-20,66.20,66.66,65.05,65.39,387692
2021-01-21,65.31,65.38,63.95,64.96,428619
2021-01-22,64.87,65.10,63.98,64.32,322839
2021-01-25,64.88,64.88,62.28,62.84,441966
2021-01-26,62.96,63.00,61.86,62.05,368181
2021-01-27,61.76,61.76,59.60,60.54,662160
2021-01-28,60.78,62.14,59.35,61.34,678547
2021-01-29,60.76,61.66,59.88,60.79,528635
2021-02-01,61.06,64.54,60.38,64.50,1653735
2021-02-02,65.35,67.00,64.61,65.86,1101727
2021-02-03,65.72,66.27,63.89,64.38,1434408
2021-02-04,64.07,65.81,62.38,63.36,752071
2021-02-05,63.83,65.85,63.32,65.00,2240435
2021-02-08,65.55,66.40,63.62,66.28,908698
2021-02-09,66.17,67.99,66.00,67.69,1851685
2021-02-10,68.00,68.37,66.17,67.99,1364163
2021-02-11,68.08,68.46,66.44,67.86,1010923
2021-02-12,67.90,68.69,67.78,68.29,924904
2021-02-16,68.44,68.73,67.29,68.28,776795
2021-02-17,68.22,68.32,67.38,67.86,1457259
2021-02-18,67.53,69.19,67.12,69.00,622080
2021-02-19,69.12,69.90,69.03,69.30,527723
2021-02-22,69.95,70.11,68.92,69.80,1041209
2021-02-23,69.19,70.08,68.50,69.61,1011779
2021-02-24,69.21,71.29,68.94,70.63,854997
2021-02-25,71.18,73.98,70.14,73.76,2275829
2021-02-26,73.86,74.41,71.72,72.79,1578023
2021-03-01,73.23,74.48,71.45,73.69,1613862
2021-03-02,74.23,74.81,72.70,73.30,753593
2021-03-03,73.47,74.60,70.80,70.97,1350603
2021-03-04,70.35,71.23,66.50,69.94,2263480
2021-03-05,70.16,73.07,69.00,71.93,1777506
2021-03-08,72.31,73.61,71.91,72.45,684571
2021-03-09,72.96,74.24,72.96,73.42,567372
2021-03-10,74.08,74.23,72.02,72.09,497479
2021-03-11,72.05,74.55,72.05,74.24,652181
2021-03-12,74.38,74.66,73.26,74.16,494156
2021-03-15,74.44,75.18,74.14,74.85,524052
2021-03-16,75.12,75.53,74.27,75.00,674537
2021-03-17,75.31,75.63,74.41,74.68,998231
2021-03-18,74.56,75.50,72.50,72.75,815118
2021-03-19,72.51,75.31,71.93,73.71,1698874
2021-03-22,73.65,74.23,72.91,73.68,467689
2021-03-23,73.42,74.67,72.90,74.23,609002
2021-03-24,74.65,74.65,72.72,72.98,490115
2021-03-25,72.82,73.16,71.93,73.05,492108
2021-03-26,72.87,74.68,72.33,73.86,320347
2021-03-29,73.74,74.74,73.14,74.47,358440
2021-03-30,74.29,75.00,73.08,73.26,367640
2021-03-31,73.60,74.99,73.28,74.00,583493
2021-04-01,74.46,76.27,74.25,76.00,632364
2021-04-05,76.70,76.99,75.74,76.97,503368
2021-04-06,77.21,79.69,77.15,79.27,731816
2021-04-07,80.00,80.00,76.76,77.59,832023
2021-04-08,78.55,79.38,77.77,78.72,658195
2021-04-09,78.61,79.37,77.54,78.95,496783
2021-04-12,78.74,79.24,77.77,79.02,633507
2021-04-13,79.17,79.69,78.63,78.70,456996
2021-04-14,78.51,79.35,78.37,78.92,430705
2021-04-15,79.50,80.62,79.19,79.90,315220
2021-04-16,80.24,80.27,79.27,79.71,330094
2021-04-19,79.61,80.16,78.95,79.69,448480
2021-04-20,79.60,80.23,78.47,78.87,330694
2021-04-21,78.80,79.95,78.80,79.72,370907
2021-04-22,79.40,80.23,78.90,79.65,642468
2021-04-23,79.89,80.74,79.59,80.23,444492
2021-04-26,79.97,80.84,79.97,80.33,727829
2021-04-27,81.32,81.36,79.41,80.19,541161
