date,open,high,low,close,volume
2021-01-04,339.00,340.60,326.26,334.59,1968892
2021-01-05,330.43,341.79,329.00,341.24,1375448
2021-01-06,329.09,337.93,326.11,329.01,1837625
2021-01-07,339.88,357.50,337.31,357.15,2057891
2021-01-08,362.34,373.00,355.79,360.27,2136182
2021-01-11,359.60,367.68,356.00,362.01,1261723
2021-01-12,363.00,375.74,362.25,375.15,1258195
2021-01-13,376.00,381.95,367.99,369.00,1486075
2021-01-14,373.33,386.75,371.23,385.10,1817137
2021-01-15,385.00,398.29,383.37,388.65,1791592
2021-01-19,388.50,390.00,377.62,382.25,1882638
2021-01-20,388.69,394.36,383.66,392.97,1142413
2021-01-21,392.51,394.48,383.00,389.00,1064476
2021-01-22,389.06,392.81,387.68,392.01,1166158
2021-01-25,398.95,404.27,373.34,380.00,2340600
2021-01-26,381.30,381.30,354.45,355.15,2706597
2021-01-27,341.04,352.44,329.13,337.77,2378957
2021-01-28,345.00,366.93,341.92,360.91,2193619
2021-01-29,360.50,362.53,347.77,359.43,1848727
2021-02-01,364.00,372.09,356.00,371.55,1110793
2021-02-02,378.00,388.88,375.68,387.25,1579036
2021-02-03,391.20,393.61,381.68,389.50,1637932
2021-02-04,391.00,399.50,387.01,399.49,1186989
2021-02-05,398.99,401.00,395.68,400.06,1216513
2021-02-08,402.01,407.77,395.70,399.51,1021213
2021-02-09,409.00,411.92,402.26,406.57,1809897
2021-02-10,412.32,437.98,411.67,433.30,2826611
2021-02-11,428.98,441.19,422.00,433.19,1753882
2021-02-12,430.41,437.90,421.18,435.29,1239848
2021-02-16,433.92,435.75,411.53,421.26,2658706
2021-02-17,420.00,420.00,398.04,411.65,3107617
2021-02-18,441.00,457.30,437.00,443.49,6392463
2021-02-19,427.01,434.33,423.96,425.55,6473341
2021-02-22,422.20,430.00,406.00,409.21,2874292
2021-02-23,388.54,414.44,371.70,410.59,4417204
2021-02-24,402.81,414.73,392.28,408.96,2282561
2021-02-25,410.00,417.11,377.07,377.59,2788277
2021-02-26,388.15,395.00,376.00,392.88,2982810
2021-03-01,405.03,417.11,399.35,415.78,2173558
2021-03-02,416.99,418.00,393.64,394.62,1882055
2021-03-03,390.53,393.05,361.11,364.52,2832795
2021-03-04,356.97,371.68,328.10,346.05,4204568
2021-03-05,350.00,350.36,311.44,337.28,4230446
2021-03-08,338.84,349.46,320.00,320.59,2903226
2021-03-09,352.26,365.96,343.74,362.36,3662903
2021-03-10,373.00,377.00,351.12,352.77,2238396
2021-03-11,370.02,377.14,362.60,374.25,1579866
2021-03-12,368.00,371.35,357.60,369.03,1557769
2021-03-15,366.68,369.97,361.01,369.58,1438976
2021-03-16,380.12,388.30,365.15,373.22,2162381
2021-03-17,358.31,388.91,357.03,386.27,3570705
2021-03-18,380.68,381.18,350.06,352.05,3312043
2021-03-19,353.59,360.13,342.90,355.80,3020019
2021-03-22,356.22,363.80,351.37,359.80,1701599
2021-03-23,361.70,364.16,352.48,354.42,1551792
2021-03-24,355.81,356.98,325.13,326.50,2773928
2021-03-25,318.38,334.18,315.25,327.61,2374706
2021-03-26,327.73,336.00,310.19,319.79,2497065
2021-03-29,320.00,324.76,306.05,315.08,2206565
2021-03-30,310.25,323.88,306.04,321.20,1752341
2021-03-31,329.65,346.65,328.29,340.76,2742255
2021-04-01,350.36,360.62,346.00,352.04,1735013
2021-04-05,355.00,355.55,336.36,348.43,1688517
2021-04-06,349.00,362.50,346.80,357.53,1616144
2021-04-07,355.62,364.93,351.35,353.11,2277128
2021-04-08,361.00,370.10,359.75,367.07,1372645
2021-04-09,365.00,369.27,358.75,368.24,1073850
2021-04-12,365.68,373.77,362.01,371.06,1099055
2021-04-13,375.00,389.69,374.50,386.60,1604966
2021-04-14,388.12,393.86,370.36,372.00,1437796
2021-04-15,377.60,391.81,375.10,389.89,1794008
2021-04-16,391.00,394.20,383.19,385.24,1195058
2021-04-19,377.86,385.99,362.50,367.46,1949925
2021-04-20,369.00,377.91,362.28,367.65,1523136
2021-04-21,362.00,373.30,357.67,370.20,956592
2021-04-22,373.00,384.84,371.33,373.77,1350179
2021-04-23,381.79,387.71,378.70,384.64,1243781
2021-04-26,386.83,400.92,384.27,400.68,1463523
2021-04-27,403.00,405.80,390.68,395.89,1022864
2021-04-28,393.34,396.70,388.04,393.80,1005532
2021-04-29,394.43,396.04,369.65,375.44,1843843
2021-04-30,370.36,377.43,365.11,367.80,1583927
2021-05-03,370.71,374.00,358.00,359.92,1660944
2021-05-04,348.98,350.00,328.27,342.03,3362652
2021-05-05,346.00,349.95,332.08,335.72,1703736
2021-05-06,305.88,319.85,298.89,304.12,6885491
2021-05-07,315.99,321.00,305.00,307.15,3143534
2021-05-10,300.12,300.38,286.07,294.70,3466908
2021-05-11,283.69,309.99,281.32,306.07,3106165
2021-05-12,296.20,304.06,287.31,296.32,3264764
2021-05-13,301.08,305.18,275.60,281.02,3533798
2021-05-14,285.46,299.65,283.54,299.40,2279679
2021-05-17,297.00,304.00,288.12,297.20,2319472
2021-05-18,302.15,308.66,297.00,299.54,1853639
2021-05-19,289.00,300.50,285.35,298.37,2370584
2021-05-20,300.00,318.40,299.51,316.31,3047794
2021-05-21,318.20,322.75,310.40,314.64,1831418
2021-05-24,316.00,325.77,313.64,324.09,1890750
2021-05-25,326.80,329.62,322.28,324.21,1691375
2021-05-26,326.95,335.93,325.35,332.36,2714914
2021-05-27,333.00,339.84,322.55,338.69,2806877
2021-05-28,338.00,342.03,336.00,336.00,1253895
2021-06-01,339.19,340.96,329.23,333.68,1537553
2021-06-02,331.22,338.69,327.24,331.48,1134500
2021-06-03,328.42,330.50,309.67,309.83,2277370
2021-06-04,313.70,319.00,309.01,309.91,1833589
2021-06-07,308.84,315.78,304.50,314.52,1719334
2021-06-08,316.38,323.81,312.50,317.20,1424033
2021-06-09,318.90,326.74,314.28,314.61,1573897
2021-06-10,314.00,324.95,312.75,324.10,1419715
2021-06-11,324.04,333.99,322.29,332.73,1815676
2021-06-14,335.50,347.13,333.00,343.07,2036400
2021-06-15,340.76,341.95,333.50,335.50,1582902
2021-06-16,335.50,338.66,325.79,334.40,2022420
2021-06-17,335.00,365.00,333.84,360.97,3228862
2021-06-18,359.26,372.86,357.50,367.61,2718299
2021-06-21,367.43,368.80,353.16,363.19,1902378
2021-06-22,369.80,382.08,367.24,377.53,2079531
2021-06-23,378.00,386.44,377.90,385.41,1476196
2021-06-24,389.00,393.93,382.48,386.56,1346426
2021-06-25,386.11,387.79,376.55,383.69,5778782
2021-06-28,389.42,397.76,387.64,394.12,1573464
2021-06-29,394.00,403.40,391.13,400.18,1531950
2021-06-30,400.18,400.18,390.80,394.16,1643696
2021-07-01,396.00,396.60,380.66,387.00,1693205
2021-07-02,390.79,395.13,385.37,388.68,826928
2021-07-06,386.08,400.33,386.08,394.39,1146295
2021-07-07,398.51,401.45,387.55,388.85,1012543
2021-07-08,379.42,387.17,375.61,384.85,1056940
2021-07-09,384.27,393.00,380.63,392.27,1086589
2021-07-12,399.00,403.31,388.58,393.41,1309686
2021-07-13,392.00,399.85,386.83,389.26,1364297
2021-07-14,392.85,395.71,374.02,375.35,1477152
2021-07-15,372.45,376.50,361.28,366.27,1541307
2021-07-16,369.00,380.45,366.78,374.98,1352774
2021-07-19,364.18,382.85,362.78,379.06,1231303
2021-07-20,382.95,394.20,375.14,390.22,1426243
2021-07-21,388.98,395.64,384.30,393.90,1152433
2021-07-22,395.07,409.07,394.70,405.51,1520986
2021-07-23,406.35,412.68,404.37,409.84,1013964
2021-07-26,407.23,407.89,395.58,398.25,1502531
2021-07-27,398.47,398.62,378.31,387.48,1491435
2021-07-28,388.07,397.52,386.24,394.00,970664
2021-07-29,393.74,399.48,389.20,392.20,1500105
2021-07-30,381.94,382.88,370.36,373.59,2901654
2021-08-02,375.00,384.48,366.08,379.55,1581289
2021-08-03,376.38,378.28,363.00,370.26,1617616
2021-08-04,368.79,376.83,365.86,374.51,1211709
2021-08-05,370.02,379.68,368.02,377.08,1029453
2021-08-06,376.67,380.92,367.74,371.90,976497
2021-08-09,374.34,378.12,368.51,376.02,835583
2021-08-10,378.43,382.75,364.50,366.69,859147
2021-08-11,368.45,369.19,353.17,355.96,1345748
2021-08-12,355.93,370.50,353.55,368.29,1643934
2021-08-13,367.75,369.36,363.00,364.94,1045756
2021-08-16,360.58,361.34,342.28,346.61,2326381
2021-08-17,344.00,346.98,337.50,344.56,1390240
2021-08-18,342.43,346.76,338.77,338.99,914340
2021-08-19,334.25,347.73,331.74,341.27,1471991
2021-08-20,341.39,345.00,339.44,340.93,988396
2021-08-23,344.42,350.21,342.30,349.12,971923
2021-08-24,352.02,356.98,351.00,356.00,1201094
2021-08-25,356.94,360.48,353.18,355.30,799933
2021-08-26,355.65,360.56,353.34,354.13,916409
2021-08-27,355.03,361.29,350.78,361.25,1064267
2021-08-30,364.45,371.51,362.94,366.68,1370290
2021-08-31,363.46,363.59,356.03,356.96,1280136
