date,open,high,low,close,volume
2021-01-04,138.61,141.92,129.34,132.93,701178
2021-01-05,132.93,138.72,131.67,138.50,545501
2021-01-06,139.61,145.60,137.70,143.42,448324
2021-01-07,151.01,157.68,148.40,156.97,819543
2021-01-08,159.41,174.48,159.41,166.51,884221
2021-01-11,162.48,175.60,156.49,170.31,1086515
2021-01-12,170.40,173.48,159.31,162.84,630569
2021-01-13,164.50,172.94,159.55,168.41,492899
2021-01-14,169.00,189.68,168.97,189.43,969213
2021-01-15,188.15,196.48,178.18,181.35,897964
2021-01-19,185.51,207.12,185.00,205.49,1056850
2021-01-20,210.15,211.95,198.09,207.97,807175
2021-01-21,212.13,214.07,191.79,194.53,854824
2021-01-22,192.09,193.40,186.00,190.64,753160
2021-01-25,193.00,200.70,183.09,186.04,627863
2021-01-26,184.25,185.69,161.00,162.82,894371
2021-01-27,160.22,163.83,145.70,160.01,1442921
2021-01-28,161.02,175.98,161.02,169.73,633607
2021-01-29,170.11,172.17,158.89,164.54,549145
2021-02-01,166.74,180.60,166.74,180.27,890844
2021-02-02,183.59,201.37,183.59,197.56,750641
2021-02-03,196.75,202.18,187.24,189.96,678089
2021-02-04,191.52,199.32,188.68,197.65,467213
2021-02-05,160.45,171.07,155.00,158.02,2862492
2021-02-08,171.01,176.24,163.56,175.38,1423983
2021-02-09,175.85,181.71,171.61,179.46,826092
2021-02-10,178.94,182.86,165.03,166.80,746423
2021-02-11,168.00,169.41,158.02,165.41,886113
2021-02-12,167.14,171.50,160.37,167.90,585705
2021-02-16,173.57,173.57,156.08,156.25,870636
2021-02-17,155.00,156.00,145.72,154.95,981909
2021-02-18,148.63,152.96,143.26,149.04,1036555
2021-02-19,150.58,153.47,146.79,150.81,1065837
2021-02-22,146.98,151.18,136.77,137.21,949926
2021-02-23,127.64,136.79,111.85,135.29,1832343
2021-02-24,134.31,144.81,131.99,142.20,809254
2021-02-25,139.03,141.44,129.47,134.44,1241983
2021-02-26,134.71,140.95,125.98,137.64,883398
2021-03-01,140.78,151.79,140.78,144.95,909454
2021-03-02,145.01,149.48,141.53,141.70,635398
2021-03-03,141.52,141.52,128.21,130.00,980153
2021-03-04,125.38,131.91,113.76,116.62,1540980
2021-03-05,118.11,120.75,105.25,117.55,2045882
2021-03-08,116.16,120.31,103.53,105.48,1230460
2021-03-09,113.58,128.77,113.05,125.03,1517827
2021-03-10,131.07,139.00,124.90,126.44,1087215
2021-03-11,134.60,145.52,134.25,145.34,1125495
2021-03-12,136.79,143.32,135.06,141.40,1311249
2021-03-15,141.00,146.70,138.91,144.47,675549
2021-03-16,145.36,149.96,133.27,139.33,795361
2021-03-17,132.52,149.34,131.11,144.73,1073217
2021-03-18,137.77,141.27,124.00,124.31,1316937
2021-03-19,126.56,135.25,124.71,130.29,2986375
2021-03-22,130.04,138.70,126.55,135.46,846749
