date,open,high,low,close,volume
2021-01-04,29.71,30.27,29.30,29.39,438130
2021-01-05,29.38,31.32,29.06,31.06,526108
2021-01-06,31.72,33.95,31.64,32.58,701260
2021-01-07,33.01,33.42,32.39,33.14,538903
2021-01-08,33.16,33.28,31.91,32.61,405768
2021-01-11,32.97,33.99,32.73,33.23,443551
2021-01-12,33.07,33.36,32.71,32.98,496289
2021-01-13,32.81,33.07,31.55,31.75,503932
2021-01-14,32.01,32.33,31.41,31.48,842162
2021-01-15,31.00,31.15,29.77,30.45,565998
2021-01-19,30.74,30.74,29.67,30.34,541289
2021-01-20,30.82,31.15,30.12,30.15,262660
2021-01-21,30.63,30.88,29.49,30.04,447249
2021-01-22,29.45,29.75,29.04,29.34,455205
2021-01-25,29.35,29.35,28.02,28.75,410249
2021-01-26,28.96,29.29,28.15,28.16,475956
2021-01-27,27.69,28.00,26.62,27.37,453044
2021-01-28,27.68,27.91,26.90,27.81,357171
2021-01-29,28.08,28.20,26.45,26.45,438646
2021-02-01,26.72,27.48,26.41,27.34,364305
2021-02-02,27.61,27.71,26.97,27.29,243871
2021-02-03,27.36,27.84,27.24,27.58,330923
2021-02-04,27.38,27.71,27.10,27.69,360636
2021-02-05,28.00,28.48,27.70,28.24,380343
2021-02-08,28.61,29.16,28.61,28.72,309496
2021-02-09,28.94,28.94,28.09,28.52,224774
2021-02-10,28.90,29.09,28.19,28.19,462440
2021-02-11,28.43,28.59,27.67,27.80,351628
2021-02-12,27.56,29.38,27.48,29.28,887793
2021-02-16,29.78,30.13,28.95,29.26,298199
2021-02-17,29.14,29.23,28.63,29.02,435435
2021-02-18,28.95,29.15,28.12,29.10,365979
2021-02-19,29.36,30.38,29.26,30.28,304044
2021-02-22,30.30,31.83,30.06,31.60,685359
2021-02-23,31.56,32.15,30.12,32.04,467154
2021-02-24,32.50,32.90,32.00,32.69,536737
2021-02-25,32.90,33.55,31.65,32.14,476752
2021-02-26,31.88,32.05,30.43,30.71,403586
2021-03-01,32.20,32.99,31.74,32.49,431555
2021-03-02,32.90,34.45,32.21,34.42,809303
2021-03-03,35.02,37.84,35.02,36.58,1368974
2021-03-04,36.48,36.61,32.39,32.67,1115568
2021-03-05,33.17,33.59,31.50,33.46,856023
2021-03-08,33.55,34.63,33.01,34.11,697867
2021-03-09,34.45,35.56,33.17,35.43,1135402
2021-03-10,36.25,37.29,35.78,36.61,819135
2021-03-11,37.26,37.98,36.49,36.53,969144
2021-03-12,36.19,36.56,35.60,35.99,779573
2021-03-15,36.97,36.98,35.79,36.52,603574
2021-03-16,36.52,37.40,35.12,36.85,1332214
2021-03-17,37.10,37.15,36.15,36.68,578302
2021-03-18,36.43,37.21,36.15,36.27,425457
2021-03-19,36.44,37.38,34.73,37.12,1193184
2021-03-22,37.50,38.50,36.40,36.94,738604
2021-03-23,36.60,37.18,34.88,35.10,677951
2021-03-24,35.64,36.65,35.57,35.90,595657
2021-03-25,35.57,36.05,34.49,36.02,629599
2021-03-26,36.80,37.79,36.50,37.77,1126427
2021-03-29,38.02,40.08,37.78,38.07,995976
2021-03-30,38.64,39.56,38.17,39.31,572175
2021-03-31,39.60,40.55,38.39,38.84,603992
2021-04-01,39.17,39.28,37.39,39.07,621279
2021-04-05,40.16,40.55,39.53,39.93,533876
2021-04-06,40.00,40.35,39.06,39.70,506479
2021-04-07,39.60,39.89,39.03,39.40,496782
2021-04-08,39.40,39.58,38.52,38.92,463004
2021-04-09,39.21,39.35,38.17,38.56,580595
2021-04-12,38.57,38.94,38.17,38.44,362647
2021-04-13,38.44,38.73,37.94,38.41,362770
2021-04-14,38.57,40.17,38.57,38.83,1486110
2021-04-15,39.25,39.48,38.31,38.48,610664
2021-04-16,38.94,39.80,38.80,39.64,1863638
2021-04-19,40.11,40.26,39.00,39.36,757410
2021-04-20,39.35,39.49,38.17,38.34,476461
2021-04-21,38.33,38.90,38.22,38.81,706536
2021-04-22,38.95,39.80,38.17,38.74,642609
2021-04-23,39.19,40.30,38.85,39.94,595085
2021-04-26,40.36,41.75,40.12,41.07,2100334
2021-04-27,41.08,41.44,40.30,41.07,790494
2021-04-28,41.90,41.98,40.04,40.38,933917
2021-04-29,40.63,41.14,39.70,40.32,812595
2021-04-30,40.05,40.16,39.05,39.09,589065
2021-05-03,39.52,40.42,39.30,40.09,1115636
2021-05-04,40.07,40.56,39.48,40.25,2391130
2021-05-05,38.74,39.73,37.49,37.53,1035277
2021-05-06,38.11,38.37,36.68,38.24,1416905
2021-05-07,38.51,39.69,38.06,39.64,1148613
2021-05-10,40.30,40.71,39.75,40.09,1623970
2021-05-11,39.28,40.93,38.78,40.88,1668364
2021-05-12,41.00,41.63,38.75,38.98,1105632
2021-05-13,39.30,40.49,38.84,39.63,747572
2021-05-14,39.39,40.58,38.81,40.41,1148684
2021-05-17,40.50,41.27,40.10,40.55,674390
2021-05-18,40.80,41.06,40.08,40.33,707722
2021-05-19,39.29,39.29,37.57,38.08,828167
2021-05-20,38.17,38.70,37.01,38.67,1226835
2021-05-21,39.10,39.56,38.67,39.34,1298335
2021-05-24,39.40,39.41,38.40,38.92,528157
2021-05-25,38.74,38.98,37.01,37.01,772843
2021-05-26,37.24,37.75,36.33,36.78,1220640
2021-05-27,37.50,37.98,36.83,36.96,1130697
2021-05-28,36.95,37.00,35.68,36.61,962321
2021-06-01,37.50,37.99,37.25,37.73,550052
2021-06-02,37.50,37.55,36.70,37.36,736103
2021-06-03,36.98,37.36,36.37,37.25,384611
2021-06-04,37.42,37.62,36.83,37.12,268959
2021-06-07,37.02,37.24,36.24,36.27,585233
2021-06-08,36.30,36.88,35.34,36.63,429203
