date,open,high,low,close,volume
2016-09-15,14.10,14.31,14.06,14.26,1756003
2016-09-16,13.80,13.83,13.72,13.77,1700195
2016-09-19,13.76,13.80,13.56,13.63,2140933
2016-09-20,13.59,13.61,13.51,13.51,1219600
2016-09-21,13.71,13.85,13.65,13.83,1976996
2016-09-22,14.01,14.06,13.89,13.97,1656541
2016-09-23,13.81,13.89,13.78,13.81,1147236
2016-09-26,13.48,13.57,13.40,13.45,2160001
2016-09-27,13.21,13.44,13.18,13.43,2339435
2016-09-28,13.50,13.59,13.39,13.57,1338228
2016-09-29,13.40,13.57,12.86,13.06,4728900
2016-09-30,13.37,13.71,13.36,13.62,3363603
2016-10-03,13.65,13.66,13.44,13.52,2196045
2016-10-04,13.71,13.86,13.66,13.83,3131132
2016-10-05,14.02,14.14,13.98,14.10,1927587
2016-10-06,14.12,14.12,13.92,13.93,2060724
2016-10-07,13.96,13.96,13.78,13.91,1506028
2016-10-10,13.78,13.99,13.77,13.93,2192977
2016-10-11,13.93,13.94,13.70,13.77,1336867
2016-10-12,13.73,13.80,13.66,13.68,1049153
2016-10-13,13.28,13.42,13.21,13.35,1429417
2016-10-14,13.49,13.58,13.36,13.42,1735861
2016-10-17,13.38,13.39,13.28,13.35,2266869
2016-10-18,13.44,13.55,13.37,13.51,1488996
2016-10-19,13.58,13.75,13.55,13.71,2049286
2016-10-20,13.59,13.72,13.53,13.64,2153857
2016-10-21,13.56,13.69,13.54,13.67,1125606
2016-10-24,13.87,13.92,13.80,13.85,1240715
2016-10-25,13.77,13.82,13.74,13.80,1202843
2016-10-26,13.72,13.82,13.71,13.77,1048326
2016-10-27,13.91,14.10,13.90,13.98,1638422
2016-10-28,14.29,14.47,14.23,14.36,3516944
2016-10-31,14.22,14.23,14.05,14.07,1961530
2016-11-01,14.27,14.29,13.92,13.99,2687214
2016-11-02,13.83,13.90,13.73,13.77,2191832
2016-11-03,13.80,13.83,13.54,13.58,1556886
2016-11-04,13.46,13.60,13.38,13.51,2789273
2016-11-07,14.09,14.17,13.99,14.15,3280934
2016-11-08,14.07,14.24,13.99,14.15,1913842
2016-11-09,14.06,14.52,14.03,14.44,3403241
2016-11-10,15.57,15.73,15.24,15.70,6454718
2016-11-11,15.62,15.83,15.56,15.81,2947416
2016-11-14,15.93,16.37,15.93,16.35,5063750
2016-11-15,15.98,16.34,15.91,16.33,2199589
2016-11-16,16.00,16.02,15.85,15.90,1963099
2016-11-17,15.97,16.05,15.93,15.99,1802253
2016-11-18,15.95,15.96,15.85,15.89,1768128
2016-11-21,15.75,15.77,15.63,15.75,1527957
2016-11-22,15.73,15.80,15.65,15.78,1201222
2016-11-23,15.49,15.66,15.43,15.62,1699909
2016-11-25,15.74,15.80,15.70,15.77,660612
2016-11-28,15.60,15.64,15.35,15.35,1588467
2016-11-29,15.50,15.62,15.45,15.51,1680045
2016-11-30,15.63,15.95,15.62,15.85,2097458
2016-12-01,15.84,16.09,15.78,15.96,2312509
2016-12-02,15.72,15.80,15.61,15.66,2017518
2016-12-05,15.75,16.14,15.75,16.13,4780892
2016-12-06,16.47,17.03,16.45,17.03,5976886
2016-12-07,16.93,17.44,16.93,17.37,4221130
2016-12-08,17.27,17.38,17.16,17.30,3761598
2016-12-09,16.78,16.81,16.68,16.78,2761225
2016-12-12,16.73,16.78,16.47,16.54,1942630
2016-12-13,16.62,16.91,16.56,16.77,2834624
2016-12-14,16.39,16.62,16.31,16.36,3382388
2016-12-15,16.14,16.34,16.11,16.21,3182758
2016-12-16,16.11,16.16,16.01,16.03,2300463
2016-12-19,16.04,16.14,15.99,16.07,1940268
2016-12-20,16.02,16.18,15.98,16.17,3229000
2016-12-21,16.09,16.11,16.00,16.03,1860501
2016-12-22,15.96,15.97,15.86,15.89,1456204
