date,open,high,low,close,volume
2021-01-04,69.50,70.00,67.33,68.64,146273
2021-01-05,68.57,70.25,68.44,69.51,195156
2021-01-06,71.56,76.00,71.56,75.44,342163
2021-01-07,75.76,76.86,75.49,76.41,203756
2021-01-08,76.04,76.78,72.81,74.08,140124
2021-01-11,73.58,75.66,73.16,75.37,119133
2021-01-12,76.00,77.00,75.52,76.45,277312
2021-01-13,76.27,76.27,74.01,74.56,154749
2021-01-14,75.12,76.78,74.98,75.70,127751
2021-01-15,74.47,75.42,73.58,74.24,112649
2021-01-19,74.30,75.31,73.41,74.15,167748
2021-01-20,74.29,74.91,73.37,74.64,237571
2021-01-21,74.55,74.91,72.16,72.23,162070
2021-01-22,71.58,75.45,71.58,75.18,236972
2021-01-25,73.95,73.95,71.31,73.02,184101
2021-01-26,73.87,74.40,71.83,71.99,125464
2021-01-27,70.00,71.33,68.00,70.02,286993
2021-01-28,72.18,73.48,70.84,73.17,280824
2021-01-29,72.69,72.75,70.34,70.97,426689
2021-02-01,71.99,73.70,70.97,73.34,237411
2021-02-02,73.94,75.42,73.02,74.52,179517
2021-02-03,74.07,74.42,72.92,74.16,129081
2021-02-04,75.00,77.49,74.44,77.49,210035
2021-02-05,77.53,77.53,75.96,76.44,160244
2021-02-08,77.19,77.74,76.09,77.31,124834
2021-02-09,77.03,78.28,76.36,78.28,107100
2021-02-10,78.36,79.19,77.77,77.97,117127
2021-02-11,78.05,78.75,76.74,78.10,188351
2021-02-12,77.53,79.26,76.21,78.51,131635
2021-02-16,79.28,80.53,78.50,79.73,145656
2021-02-17,79.32,80.51,78.21,79.14,148354
2021-02-18,78.37,79.58,78.04,78.76,139046
2021-02-19,79.23,80.96,78.59,80.89,209366
2021-02-22,80.30,82.70,79.75,82.43,188329
2021-02-23,82.45,85.42,80.97,85.14,359089
2021-02-24,85.08,87.89,84.34,87.63,242913
2021-02-25,87.99,88.61,85.73,86.56,266188
2021-02-26,85.39,86.28,83.01,84.37,291759
2021-03-01,86.49,88.20,84.94,87.79,220850
2021-03-02,87.14,87.22,85.50,86.36,197661
2021-03-03,87.06,90.75,86.66,89.50,225013
2021-03-04,89.50,91.86,87.17,88.52,288466
2021-03-05,90.41,92.15,89.38,91.88,333466
2021-03-08,93.05,95.31,92.59,94.33,260847
2021-03-09,94.51,95.18,90.60,93.19,221522
2021-03-10,93.36,95.44,93.21,95.17,217597
2021-03-11,94.47,95.94,91.66,94.36,301871
2021-03-12,95.42,97.24,94.73,96.83,230263
2021-03-15,97.07,97.08,94.48,96.08,170232
2021-03-16,95.51,95.51,93.14,94.92,185071
2021-03-17,95.17,96.41,94.51,95.47,194186
2021-03-18,97.14,99.82,96.05,97.05,329802
2021-03-19,96.85,98.66,94.42,96.45,725093
2021-03-22,95.87,96.64,92.23,92.77,205787
2021-03-23,91.72,92.38,89.56,90.15,313238
2021-03-24,91.10,94.00,88.90,89.07,356219
2021-03-25,90.04,92.45,87.93,91.90,194871
2021-03-26,93.69,94.13,92.05,93.69,192287
2021-03-29,92.12,93.44,89.67,91.89,278461
2021-03-30,92.21,93.72,92.16,93.25,150475
2021-03-31,92.63,93.48,91.51,92.33,181685
2021-04-01,91.44,92.66,90.72,92.53,167231
2021-04-05,92.95,93.44,92.13,93.05,148080
2021-04-06,92.82,93.21,91.25,91.72,117750
2021-04-07,92.26,92.79,90.70,91.18,133362
2021-04-08,91.08,91.57,89.59,91.32,107252
2021-04-09,91.50,92.96,84.30,92.83,144154
2021-04-12,93.45,93.97,92.85,93.83,78489
2021-04-13,93.35,93.35,90.78,91.07,359576
2021-04-14,91.63,94.07,91.63,93.00,106248
2021-04-15,93.24,94.80,90.84,93.32,337221
