date,open,high,low,close,volume
2016-09-15,92.28,93.24,91.32,92.94,3402644
2016-09-16,92.50,93.14,91.76,92.38,5185204
2016-09-19,92.97,93.68,92.73,93.09,3195742
2016-09-20,93.53,93.68,92.91,93.14,2477440
2016-09-21,93.61,95.22,93.61,95.03,2508430
2016-09-22,95.78,96.17,95.03,95.08,2960852
2016-09-23,94.78,94.93,94.22,94.33,2912890
2016-09-26,94.11,94.45,93.53,94.18,3625109
2016-09-27,94.13,95.36,93.79,94.85,3163838
2016-09-28,94.98,96.23,94.94,96.16,2533466
2016-09-29,96.24,96.79,95.50,95.96,2671490
2016-09-30,96.78,98.00,96.61,97.53,4690634
2016-10-03,97.18,97.89,97.06,97.35,2378679
2016-10-04,97.57,98.16,96.57,96.67,2626083
2016-10-05,97.21,98.83,96.98,98.54,3222519
2016-10-06,98.36,98.80,97.95,98.35,3088637
2016-10-07,98.42,98.64,97.31,98.07,3275087
2016-10-10,98.52,98.72,97.26,97.35,3041851
2016-10-11,97.32,97.48,96.01,96.54,4202412
2016-10-12,96.74,96.80,95.57,95.91,3417593
2016-10-13,95.39,97.11,94.30,96.74,4312261
2016-10-14,97.07,98.26,96.83,96.84,4927443
2016-10-17,96.71,97.12,96.44,96.77,2363346
2016-10-18,97.60,98.07,96.67,96.72,3565833
2016-10-19,96.65,98.44,96.26,97.12,3707266
2016-10-20,94.40,95.00,89.81,90.64,16101640
2016-10-21,89.57,91.50,89.37,90.37,8285363
2016-10-24,90.78,91.49,89.77,89.88,7037945
2016-10-25,89.73,90.42,89.15,89.99,5599063
2016-10-26,90.02,90.02,88.63,89.05,4750218
2016-10-27,89.21,89.39,88.58,88.82,4365747
2016-10-28,88.94,89.32,87.79,88.37,3784440
2016-10-31,88.75,89.07,88.11,88.18,3681197
2016-11-01,88.65,88.89,87.06,87.89,3980365
2016-11-02,88.08,89.31,87.74,88.69,4434634
2016-11-03,88.68,89.64,88.25,88.77,4468624
2016-11-04,88.70,89.48,88.38,88.76,3745635
2016-11-07,90.00,90.88,89.85,90.75,4556539
2016-11-08,90.79,90.96,89.72,90.60,4268481
2016-11-09,87.88,94.96,87.88,93.95,9655178
2016-11-10,95.13,98.79,95.03,97.49,8952910
2016-11-11,97.05,97.70,95.67,96.88,6663396
2016-11-14,97.52,100.63,97.51,99.43,6616974
