date,open,high,low,close,volume
2018-09-18,98850.00,99650.00,96275.00,99500.00,5337
2018-09-19,95050.00,95150.00,92875.00,94075.00,5351
2018-09-20,92050.00,92700.00,90675.00,91900.00,5398
2018-09-21,91750.00,92525.00,89950.00,92100.00,4252
2018-09-24,92800.00,95600.00,91637.50,92050.00,5209
2018-09-25,90125.00,93825.00,89725.00,93225.00,3752
2018-09-26,91600.00,95875.00,90150.00,94750.00,5047
2018-09-27,92925.00,93325.00,91125.00,92025.00,4051
2018-09-28,93750.00,94375.00,91850.00,92000.00,4605
2018-10-01,88300.00,92175.00,87600.00,90300.00,4310
2018-10-02,90650.00,91875.00,88950.00,90575.00,4220
2018-10-03,88850.00,91225.00,88475.00,89300.00,4028
2018-10-04,91825.00,103000.00,91700.00,97600.00,10423
2018-10-05,95750.00,108975.00,93475.00,100725.00,14586
2018-10-08,104700.00,112200.00,101250.00,102125.00,7324
2018-10-09,106000.00,108450.00,100575.00,104875.00,6236
2018-10-10,107625.00,131400.00,107550.00,130775.00,11159
2018-10-11,128050.00,157200.00,122894.25,147750.00,13696
2018-10-12,127425.00,150475.00,126875.00,130550.00,8066
2018-10-15,135750.00,140375.00,128675.00,133600.00,4269
2018-10-16,127000.00,129475.00,118750.00,119675.00,4697
2018-10-17,119100.00,131900.00,119100.00,121825.00,4529
2018-10-18,123950.00,140250.00,123690.75,133725.00,7072
2018-10-19,131625.00,138750.00,126875.00,131900.00,5898
2018-10-22,130325.00,141825.00,129925.00,133450.00,4562
2018-10-23,150200.00,156700.00,137200.00,140800.00,6121
2018-10-24,139600.00,161950.00,138450.00,159950.00,7269
2018-10-25,155200.00,162301.00,147775.00,152325.00,4857
2018-10-26,167750.00,175675.00,157500.00,166375.00,6892
2018-10-29,157250.00,178975.00,153075.00,167000.00,5363
2018-10-30,168950.00,171375.00,157253.25,158300.00,3983
2018-10-31,153025.00,156875.00,146650.00,150575.00,3173
2018-11-01,151075.00,154925.00,142925.00,143675.00,2796
2018-11-02,140025.00,153175.00,136525.00,144275.00,4084
2018-11-05,145425.00,146975.00,140400.00,142875.00,1689
2018-11-06,142875.00,143375.00,135650.00,135750.00,1646
2018-11-07,128150.00,128475.00,120875.00,121175.00,2248
2018-11-08,121050.00,122625.00,115500.00,119750.00,2042
2018-11-09,122950.00,130225.00,121625.00,124975.00,3506
2018-11-12,125450.00,141850.00,124750.00,140250.00,4402
2018-11-13,140500.00,147975.00,136350.25,142225.00,5058
