date,open,high,low,close,volume
2016-09-15,5.01,5.12,4.90,5.03,23177600
2016-09-16,4.96,5.06,4.91,5.03,21449450
2016-09-19,5.16,5.19,5.04,5.08,23825360
2016-09-20,5.12,5.17,5.04,5.11,14542110
2016-09-21,5.33,5.48,5.28,5.47,31716200
2016-09-22,5.57,5.63,5.37,5.42,26084080
2016-09-23,5.39,5.55,5.38,5.42,14912390
2016-09-26,5.40,5.46,5.35,5.38,13012030
2016-09-27,5.31,5.45,5.27,5.44,11148710
2016-09-28,5.51,5.66,5.43,5.65,18778160
2016-09-29,5.66,5.74,5.49,5.53,19459590
2016-09-30,5.56,5.59,5.43,5.50,13523280
2016-10-03,5.54,5.70,5.49,5.66,16082500
2016-10-04,5.65,5.70,5.38,5.45,22737060
2016-10-05,5.54,5.58,5.46,5.53,15910280
2016-10-06,5.48,5.57,5.46,5.51,13134030
2016-10-07,5.67,5.69,5.47,5.57,32929230
2016-10-10,5.67,5.94,5.63,5.89,31307640
2016-10-11,5.91,5.92,5.69,5.78,25446830
2016-10-12,5.73,5.94,5.71,5.82,24204340
2016-10-13,5.65,5.65,5.51,5.53,48930620
2016-10-14,5.69,5.75,5.56,5.58,29113370
2016-10-17,5.60,5.75,5.60,5.68,13168430
2016-10-18,5.82,5.90,5.72,5.84,23580620
2016-10-19,5.86,5.94,5.79,5.84,14963660
2016-10-20,5.92,6.07,5.87,6.03,26150890
2016-10-21,6.01,6.36,5.96,6.26,45130510
2016-10-24,6.47,6.58,6.38,6.49,34473430
2016-10-25,6.58,6.83,6.58,6.79,55507430
2016-10-26,6.78,6.95,6.63,6.91,46184200
2016-10-27,7.02,7.05,6.83,6.95,42102550
2016-10-28,6.98,7.05,6.86,6.90,29351930
2016-10-31,6.93,6.97,6.77,6.92,23957740
2016-11-01,6.99,7.03,6.64,6.90,34997160
2016-11-02,6.82,6.90,6.70,6.72,27539020
2016-11-03,6.92,6.97,6.73,6.76,29491360
2016-11-04,6.66,6.82,6.59,6.67,24401280
2016-11-07,7.05,7.21,7.01,7.17,32430000
2016-11-08,7.21,7.65,7.14,7.54,44733130
2016-11-09,7.72,8.03,7.67,7.76,65048350
2016-11-10,7.89,8.10,7.70,8.00,51731450
2016-11-11,8.04,8.04,7.56,7.69,59283110
2016-11-14,7.69,7.74,7.41,7.69,43002860
2016-11-15,7.31,7.38,6.85,7.32,28672680
2016-11-16,7.29,7.34,7.06,7.31,21640580
2016-11-17,7.36,7.48,7.24,7.31,26517230
2016-11-18,7.06,7.30,7.00,7.24,28339130
2016-11-21,7.44,7.73,7.43,7.66,35955140
2016-11-22,8.11,8.31,8.00,8.29,53611310
2016-11-23,8.10,8.44,8.06,8.39,41014250
2016-11-25,8.32,8.44,8.15,8.42,24372910
2016-11-28,8.44,9.18,8.40,9.10,61701400
2016-11-29,8.70,8.79,8.45,8.55,51093350
2016-11-30,8.42,8.71,8.40,8.49,43133020
2016-12-01,8.80,8.83,8.07,8.21,54455690
2016-12-02,8.11,8.52,8.10,8.44,39831740
2016-12-05,8.61,8.75,8.53,8.66,36693150
2016-12-06,8.61,8.82,8.52,8.81,34370040
2016-12-07,9.11,9.32,8.95,9.16,43696830
2016-12-08,9.26,9.34,8.85,8.94,37107910
2016-12-09,8.91,9.01,8.73,8.78,25999890
2016-12-12,8.91,8.96,8.73,8.80,31605540
2016-12-13,8.77,8.88,8.44,8.49,30184960
2016-12-14,8.38,8.62,8.25,8.28,37960290
2016-12-15,8.21,8.52,8.09,8.45,35487250
2016-12-16,8.39,8.46,8.15,8.17,30733900
2016-12-19,8.08,8.13,7.71,7.72,37410430
2016-12-20,7.86,7.96,7.72,7.90,19820650
2016-12-21,8.02,8.03,7.88,7.91,14345030
2016-12-22,7.76,7.87,7.63,7.79,20599210
2016-12-23,7.76,7.89,7.69,7.71,20259880
2016-12-27,7.91,8.05,7.87,7.90,15141690
2016-12-28,8.15,8.19,8.00,8.02,22012680
2016-12-29,8.09,8.16,7.79,7.91,25083470
2016-12-30,7.92,7.95,7.54,7.62,14614760
