date,open,high,low,close,volume
2021-01-04,92.12,94.47,89.41,90.22,156490
2021-01-05,89.55,93.90,89.55,92.88,172799
2021-01-06,92.82,98.22,91.95,98.07,351035
2021-01-07,98.21,100.20,97.31,99.08,176788
2021-01-08,99.44,100.75,98.71,99.50,136159
2021-01-11,97.78,100.89,97.50,100.41,183521
2021-01-12,100.03,102.87,100.03,102.83,147428
2021-01-13,103.00,103.59,99.60,99.79,128280
2021-01-14,100.30,103.58,99.42,101.40,109408
2021-01-15,100.10,102.39,96.93,97.47,92304
2021-01-19,99.83,100.77,98.50,99.92,132547
2021-01-20,100.41,102.02,97.87,99.74,105609
2021-01-21,100.00,100.05,97.95,99.05,107904
2021-01-22,98.19,99.04,97.45,98.57,132297
2021-01-25,98.70,99.70,95.00,96.28,92646
2021-01-26,96.68,96.68,91.95,92.39,88928
2021-01-27,89.88,91.80,86.72,88.06,201372
2021-01-28,89.24,90.58,86.65,89.61,146432
2021-01-29,89.53,89.85,85.48,86.54,112402
2021-02-01,87.59,89.84,85.09,88.93,119223
2021-02-02,90.46,90.72,87.65,90.32,98694
2021-02-03,90.85,91.76,88.11,90.32,81496
2021-02-04,90.52,93.78,90.31,93.48,83505
2021-02-05,94.99,96.13,94.45,95.45,84526
2021-02-08,96.49,97.95,94.73,97.80,125819
2021-02-09,97.42,100.46,96.42,99.96,97466
2021-02-10,100.24,101.00,98.00,98.06,84950
2021-02-11,97.91,100.97,97.85,100.97,126954
2021-02-12,100.69,103.00,99.95,102.96,91973
2021-02-16,103.28,104.68,99.72,100.37,87686
2021-02-17,99.33,100.59,96.87,98.78,72779
2021-02-18,96.87,98.31,95.07,95.84,80336
2021-02-19,96.88,100.06,96.88,98.19,94557
2021-02-22,97.21,97.21,94.55,94.93,92067
2021-02-23,92.99,92.99,88.38,92.01,168935
2021-02-24,91.61,96.33,90.79,95.22,95966
2021-02-25,94.16,94.43,88.82,90.08,139753
2021-02-26,94.47,103.30,92.84,98.49,394884
2021-03-01,99.23,102.82,99.08,101.18,227324
2021-03-02,101.03,101.06,97.40,98.32,118770
2021-03-03,98.29,99.09,93.00,94.22,118524
2021-03-04,93.41,93.58,86.89,89.86,172772
2021-03-05,91.41,92.00,86.44,91.38,196710
2021-03-08,94.00,94.88,88.24,89.94,224847
2021-03-09,91.79,95.67,91.79,93.00,129503
2021-03-10,95.07,97.98,94.47,94.72,130246
2021-03-11,96.30,99.96,96.30,99.90,110774
2021-03-12,99.20,102.00,97.79,98.55,113050
2021-03-15,98.27,99.31,95.30,96.32,167441
2021-03-16,96.34,96.68,93.42,94.37,109795
2021-03-17,93.47,95.24,91.83,94.44,94138
2021-03-18,93.42,93.97,88.65,89.08,189273
2021-03-19,88.58,92.07,86.39,87.82,514047
2021-03-22,88.50,91.14,86.31,88.35,148342
2021-03-23,87.71,88.51,84.15,84.59,125860
2021-03-24,85.66,86.37,82.69,82.69,130662
2021-03-25,81.66,83.87,79.81,82.95,207975
2021-03-26,83.40,86.28,83.31,85.93,84005
2021-03-29,85.80,87.63,81.86,82.53,125610
2021-03-30,81.92,84.22,80.70,83.65,100278
2021-03-31,84.91,86.26,84.25,85.03,122872
2021-04-01,86.22,89.74,85.75,88.32,110628
2021-04-05,88.91,89.00,86.48,86.98,106214
2021-04-06,86.69,87.55,84.86,85.05,91472
2021-04-07,84.73,84.99,82.46,82.78,124046
2021-04-08,83.35,85.12,83.10,84.47,72446
2021-04-09,84.52,85.59,82.32,85.59,122915
2021-04-12,86.52,87.46,85.26,87.04,114512
2021-04-13,87.81,88.60,84.92,85.46,101526
2021-04-14,86.22,87.75,84.41,84.53,122580
2021-04-15,85.43,86.81,84.34,86.31,147686
2021-04-16,86.23,86.79,85.45,85.56,60966
2021-04-19,85.18,85.40,82.00,82.67,114215
2021-04-20,82.17,82.91,80.95,81.65,96993
