date,open,high,low,close,volume
2021-01-04,25.32,25.50,24.55,25.25,736569
2021-01-05,25.32,25.60,25.10,25.17,832725
2021-01-06,25.28,26.00,25.06,25.96,1445089
2021-01-07,26.01,26.26,25.48,25.60,1026304
2021-01-08,25.60,25.99,25.28,25.64,1007075
2021-01-11,25.50,25.59,24.00,24.07,1572883
2021-01-12,24.25,24.77,24.03,24.24,1656976
2021-01-13,24.34,25.23,24.19,24.58,1354581
2021-01-14,24.67,24.80,24.24,24.67,981664
2021-01-15,24.62,24.69,24.28,24.46,529521
2021-01-19,24.56,24.92,24.39,24.77,961248
2021-01-20,24.84,25.04,24.60,24.67,480509
2021-01-21,24.64,24.90,24.63,24.73,398308
2021-01-22,24.78,24.98,24.59,24.84,762043
2021-01-25,24.87,26.60,24.56,26.30,1555048
2021-01-26,26.31,26.38,25.61,26.19,1101066
2021-01-27,26.14,27.81,26.10,27.44,3273569
2021-01-28,28.50,29.42,26.42,26.95,5947857
2021-01-29,27.51,27.98,26.88,27.77,4443126
2021-02-01,28.28,29.76,27.93,29.64,2944138
2021-02-02,29.08,29.24,27.85,27.98,2734210
2021-02-03,28.48,28.88,27.34,27.59,2926583
2021-02-04,27.70,27.96,26.53,27.46,1622561
2021-02-05,27.46,28.08,27.23,27.64,1272980
2021-02-08,28.42,28.42,27.60,27.96,1248334
2021-02-09,28.02,28.35,27.57,28.03,1583519
2021-02-10,28.03,29.23,27.90,29.06,2887994
2021-02-11,28.99,29.26,27.10,27.77,3176955
2021-02-12,27.84,28.37,27.16,27.26,1632176
2021-02-16,27.45,29.17,27.10,29.13,2562768
2021-02-17,29.08,29.08,27.64,28.39,1684418
2021-02-18,28.23,28.65,27.55,28.09,1429453
2021-02-19,28.11,28.46,27.84,27.98,1311461
2021-02-22,27.77,27.93,26.88,26.97,1970532
2021-02-23,26.68,27.13,26.12,27.11,2156805
2021-02-24,27.50,27.95,26.58,27.00,2157879
2021-02-25,27.06,28.45,26.92,28.18,2181089
2021-02-26,27.73,28.33,27.24,27.27,1441777
2021-03-01,27.64,27.87,27.38,27.53,1071287
2021-03-02,27.62,27.85,26.63,26.97,1961977
2021-03-03,27.10,27.29,26.64,26.94,1412492
2021-03-04,26.85,27.02,26.22,26.77,2103847
2021-03-05,26.90,27.17,26.18,26.98,1416328
2021-03-08,27.12,27.76,27.03,27.43,1440559
2021-03-09,27.62,28.46,27.52,28.05,1702846
2021-03-10,28.23,28.27,27.41,27.72,1801290
2021-03-11,28.00,28.49,27.82,28.44,969676
2021-03-12,28.39,29.66,28.33,29.60,1866683
2021-03-15,29.82,30.37,29.47,30.05,1978052
2021-03-16,30.20,30.44,29.87,30.22,1237412
2021-03-17,30.05,30.30,29.68,30.14,1580598
2021-03-18,30.28,30.39,29.23,29.33,1570573
2021-03-19,29.25,29.70,29.17,29.48,1353143
2021-03-22,29.21,30.27,29.21,30.21,1226057
2021-03-23,30.24,30.34,29.87,30.07,849417
2021-03-24,30.19,30.30,29.72,29.73,812997
2021-03-25,29.71,29.92,29.34,29.82,788428
2021-03-26,29.80,30.30,29.80,30.28,817866
2021-03-29,30.32,31.11,30.14,31.05,1677298
2021-03-30,31.09,31.10,30.24,30.60,1941526
2021-03-31,30.61,31.60,30.54,31.05,3284936
2021-04-01,31.34,31.50,30.69,31.50,1320957
2021-04-05,31.75,32.27,31.66,32.19,1171350
2021-04-06,32.29,32.35,31.56,31.66,1158813
2021-04-07,31.58,32.07,31.56,31.88,814100
2021-04-08,31.93,32.10,31.04,31.08,1472722
2021-04-09,31.19,31.35,30.79,30.95,1316397
2021-04-12,31.11,31.79,31.04,31.32,1179106
2021-04-13,31.19,31.49,30.62,30.82,1253042
2021-04-14,30.70,31.39,30.70,31.20,721732
2021-04-15,31.23,31.99,31.07,31.19,1104729
2021-04-16,31.24,31.73,31.02,31.57,784348
2021-04-19,31.56,31.95,31.38,31.86,759909
2021-04-20,31.95,31.95,31.14,31.15,681279
2021-04-21,31.15,31.41,30.77,31.28,831712
2021-04-22,31.17,31.39,30.70,30.75,1208884
2021-04-23,30.77,31.23,30.66,30.82,936687
2021-04-26,30.86,31.32,30.72,30.96,1331558
2021-04-27,30.91,31.26,30.81,30.84,1218537
2021-04-28,30.85,31.09,30.23,30.36,1015067
2021-04-29,30.41,30.60,29.56,29.96,1387648
2021-04-30,29.84,30.09,29.47,29.63,1114094
2021-05-03,29.61,30.17,29.20,29.64,1863405
2021-05-04,29.46,30.02,27.94,28.54,4118570
2021-05-05,28.77,29.20,27.18,27.84,3214639
2021-05-06,27.88,28.62,27.57,28.53,1695128
2021-05-07,28.25,28.47,27.91,28.13,1357350
2021-05-10,27.82,28.61,27.64,28.29,1893920
2021-05-11,27.98,29.07,27.98,28.69,1799388
2021-05-12,28.68,28.85,28.21,28.36,1552745
2021-05-13,28.16,29.02,28.16,28.82,1360649
2021-05-14,28.98,29.43,28.83,28.99,1320592
2021-05-17,29.01,29.28,28.58,29.02,988107
2021-05-18,29.03,29.23,28.63,28.74,1341271
2021-05-19,28.45,28.85,28.25,28.83,1006304
2021-05-20,28.74,29.15,28.67,29.03,811818
2021-05-21,29.16,29.30,28.70,29.00,836280
2021-05-24,29.03,29.22,28.85,28.89,676814
2021-05-25,29.02,29.16,28.84,28.93,1025745
2021-05-26,29.15,29.80,29.10,29.55,1161065
2021-05-27,29.58,30.07,29.47,29.93,2325499
2021-05-28,29.55,30.47,29.52,30.45,1192810
2021-06-01,30.59,30.82,30.14,30.16,1471949
2021-06-02,30.16,30.93,30.00,30.89,1730621
2021-06-03,30.89,32.09,30.78,31.70,2375066
2021-06-04,31.99,32.01,31.18,31.64,1004822
2021-06-07,31.69,31.80,31.05,31.49,1521367
2021-06-08,31.44,31.68,31.15,31.46,1376014
2021-06-09,31.36,31.61,28.82,29.04,5055166
2021-06-10,29.05,29.85,28.56,29.14,2308244
2021-06-11,29.34,29.65,28.89,29.06,1350212
2021-06-14,29.16,29.48,28.77,28.89,1288771
2021-06-15,28.88,29.08,28.57,28.76,1058446
2021-06-16,28.78,28.94,28.51,28.91,1113423
2021-06-17,28.96,30.40,28.41,29.39,1775271
2021-06-18,29.36,29.59,28.69,28.72,1311423
2021-06-21,28.82,29.08,28.72,28.86,1016660
2021-06-22,28.86,28.97,28.58,28.80,818723
2021-06-23,28.77,28.91,27.79,27.90,2374528
2021-06-24,27.85,27.95,27.18,27.39,2462618
2021-06-25,27.49,28.05,27.36,27.75,4128142
2021-06-28,27.73,27.85,27.30,27.66,984702
2021-06-29,27.74,27.99,27.62,27.82,728426
2021-06-30,27.86,27.90,27.48,27.63,1427433
2021-07-01,27.81,28.05,27.67,27.99,1180639
2021-07-02,28.01,28.07,27.71,27.89,693471
2021-07-06,28.59,28.64,27.71,28.28,1798472
2021-07-07,28.35,28.41,27.49,27.49,1357986
2021-07-08,27.44,27.50,26.90,27.02,2139713
2021-07-09,27.20,27.31,26.79,27.31,2387277
2021-07-12,27.09,27.15,26.74,26.82,1403589
2021-07-13,26.75,26.83,26.04,26.09,1630103
2021-07-14,26.07,26.49,25.95,26.09,762987
2021-07-15,25.93,26.27,25.93,26.10,848655
2021-07-16,26.10,26.34,25.91,26.02,918744
2021-07-19,25.87,25.92,25.44,25.89,1350108
2021-07-20,25.83,26.20,25.83,25.95,1079541
2021-07-21,25.95,26.30,25.86,25.98,885799
2021-07-22,25.97,26.02,25.41,25.49,1475248
2021-07-23,25.54,25.78,25.26,25.28,986088
2021-07-26,25.35,25.75,25.29,25.57,1117003
2021-07-27,25.48,25.70,24.72,25.66,1332881
2021-07-28,25.59,25.82,25.30,25.62,1277910
2021-07-29,25.61,25.97,25.51,25.70,647680
2021-07-30,25.48,26.18,25.48,25.74,1130555
2021-08-02,25.78,25.97,25.72,25.72,729581
2021-08-03,25.66,26.02,25.65,25.81,1101945
2021-08-04,24.49,24.61,23.19,24.46,6222228
2021-08-05,24.33,25.95,24.21,25.83,2022954
2021-08-06,25.85,26.43,25.84,26.20,1854196
2021-08-09,26.31,26.75,26.16,26.41,1080310
2021-08-10,26.32,26.53,25.73,25.84,1460193
2021-08-11,25.85,26.31,25.75,26.19,756399
2021-08-12,26.25,26.30,25.80,26.08,858339
2021-08-13,26.05,26.96,25.47,26.08,2573025
2021-08-16,25.97,26.02,25.58,26.00,1194565
2021-08-17,25.72,25.93,25.45,25.64,963295
2021-08-18,25.58,25.77,25.27,25.31,855197
2021-08-19,25.23,25.53,25.07,25.27,572181
2021-08-20,25.23,25.47,25.23,25.47,599115
2021-08-23,25.59,25.75,25.32,25.54,692759
