date,open,high,low,close,volume
2023-09-27,77.25,83.90,77.25,80.60,850237
2023-09-28,81.50,87.50,81.01,84.65,926153
2023-09-29,85.94,86.99,84.50,84.56,991246
2023-10-02,83.11,89.00,81.53,85.12,23045070
2023-10-03,82.65,83.25,76.01,77.05,12671220
2023-10-04,76.67,80.62,76.35,77.80,8358286
2023-10-05,76.30,76.99,72.65,74.45,15351920
2023-10-06,73.04,78.47,73.04,77.98,7781111
2023-10-09,76.75,78.00,73.73,74.61,7000973
2023-10-10,73.96,75.51,72.50,75.00,5385623
2023-10-11,74.44,76.56,73.61,74.47,4602585
2023-10-12,73.75,75.30,72.75,74.23,4668757
2023-10-13,73.63,73.99,70.47,71.85,5286581
2023-10-16,71.62,74.84,71.62,74.21,4555029
2023-10-17,73.13,75.12,73.01,74.48,2584906
2023-10-18,73.50,73.93,72.27,72.45,2959766
2023-10-19,71.82,72.74,69.95,70.29,2867355
2023-10-20,70.40,70.78,68.90,69.93,3151456
2023-10-23,69.30,72.47,67.65,71.90,4089800
2023-10-24,72.29,73.71,71.79,72.01,3432182
2023-10-25,71.30,72.33,69.78,70.79,3298234
2023-10-26,66.33,72.23,65.51,70.00,3537099
2023-10-27,68.64,69.44,67.75,67.99,3411996
2023-10-30,68.48,69.33,67.42,68.36,3393797
2023-10-31,68.92,69.73,67.65,69.00,3370678
2023-11-01,68.16,69.19,67.47,67.51,2503527
2023-11-02,68.00,70.54,66.69,70.28,2848740
2023-11-03,70.47,71.09,69.06,70.80,2225964
2023-11-06,70.05,70.07,68.08,68.26,2854957
2023-11-07,67.75,70.25,67.36,70.07,2133633
2023-11-08,69.80,70.32,69.55,69.80,2053773
2023-11-09,69.09,70.32,69.09,69.63,2020509
2023-11-10,69.31,70.78,69.14,70.55,1645264
2023-11-13,70.28,73.20,70.18,72.98,2964323
2023-11-14,73.85,74.10,73.01,73.63,2814594
2023-11-15,73.47,74.64,73.01,73.91,3437210
2023-11-16,72.74,73.06,70.58,70.88,2446603
2023-11-17,70.90,71.37,70.06,70.99,1500407
2023-11-20,71.00,71.35,70.58,70.76,1814335
2023-11-21,70.80,72.80,70.47,72.31,1767834
2023-11-22,72.80,73.83,72.34,72.94,1906288
2023-11-24,72.66,74.13,72.23,74.01,823414
2023-11-27,73.82,73.99,73.00,73.50,1649887
2023-11-28,72.92,74.54,72.85,73.32,2062140
2023-11-29,73.40,75.25,73.24,74.22,2519236
2023-11-30,74.70,77.62,74.70,77.25,8454137
2023-12-01,77.17,77.17,75.97,76.51,2039378
2023-12-04,75.97,76.92,75.49,75.78,1625807
2023-12-05,75.40,76.14,75.22,75.55,1411618
2023-12-06,75.55,76.49,75.02,75.83,2001213
2023-12-07,75.80,76.29,74.62,74.63,1295954
2023-12-08,74.60,75.64,74.27,75.43,1131349
2023-12-11,75.00,77.36,74.65,76.82,1649031
2023-12-12,76.37,77.88,75.78,77.45,2329324
2023-12-13,77.17,78.70,76.30,77.74,3854108
2023-12-14,78.51,79.72,77.63,79.33,3230981
2023-12-15,78.87,79.93,78.03,78.85,6727619
2023-12-18,79.19,80.92,78.43,80.84,1954959
2023-12-19,81.60,83.62,80.99,83.44,2902975
2023-12-20,83.55,83.89,80.62,80.64,1704062
2023-12-21,81.32,81.98,79.81,81.12,919333
2023-12-22,80.64,81.79,80.03,81.64,712712
2023-12-26,81.70,82.33,81.39,82.13,700231
2023-12-27,82.14,83.50,81.98,83.22,1018083
2023-12-28,83.00,83.44,82.27,83.04,799382
2023-12-29,82.84,83.36,81.86,82.26,675034
2024-01-02,81.10,82.00,79.95,81.02,1129572
2024-01-03,80.60,80.90,77.75,78.05,1198293
2024-01-04,77.45,78.28,76.57,76.61,1388580
2024-01-05,76.61,77.64,76.25,76.90,1899250
2024-01-08,76.47,77.84,76.47,77.51,1555832
2024-01-09,77.50,77.58,76.72,76.74,2100342
2024-01-10,76.40,76.73,75.00,76.43,1624996
2024-01-11,76.40,76.59,74.96,76.08,1020115
2024-01-12,76.21,76.42,75.00,75.76,1066082
2024-01-16,74.36,75.28,73.91,74.55,1342697
2024-01-17,74.47,75.98,74.27,75.88,1469107
2024-01-18,75.84,76.58,75.03,76.01,1253369
2024-01-19,75.87,77.68,75.87,77.55,1280970
2024-01-22,77.66,79.76,77.50,79.69,1496056
2024-01-23,80.50,80.50,78.86,78.89,1202811
2024-01-24,79.50,79.50,76.22,76.26,1338565
2024-01-25,76.45,76.94,75.99,76.70,1081051
2024-01-26,77.07,78.10,76.44,76.99,997632
2024-01-29,76.63,77.96,76.06,77.90,1044183
2024-01-30,77.74,78.37,76.83,78.33,1199127
2024-01-31,78.33,78.60,76.61,76.69,2405758
2024-02-01,76.75,77.13,75.17,76.79,1508019
2024-02-02,76.69,77.13,75.34,76.84,1069247
2024-02-05,76.07,76.61,75.49,75.77,1323430
2024-02-06,75.21,77.72,75.05,77.62,1552898
2024-02-07,80.24,82.96,79.43,81.16,2520341
2024-02-08,81.73,83.89,81.50,82.56,2085564
2024-02-09,82.57,83.55,81.99,82.13,1319529
2024-02-12,82.53,83.79,82.04,83.50,1681787
2024-02-13,81.92,83.78,81.23,82.19,1068944
2024-02-14,83.04,84.45,82.90,84.22,1413997
2024-02-15,84.70,87.03,84.31,86.59,1767697
2024-02-16,86.42,86.70,85.80,86.09,1486355
2024-02-20,85.15,86.14,85.01,85.77,1534591
2024-02-21,84.16,85.54,83.34,85.36,869074
2024-02-22,86.04,86.58,85.70,85.94,1006638
2024-02-23,86.41,87.41,86.36,86.71,1152707
2024-02-26,86.78,87.44,86.16,86.31,893903
2024-02-27,87.58,87.87,86.78,87.79,1836644
2024-02-28,87.59,88.81,86.85,87.57,1064607
2024-02-29,87.90,87.90,86.01,86.42,2953361
2024-03-01,85.70,87.04,85.70,86.76,816792
2024-03-04,87.23,88.44,86.89,87.74,1522779
2024-03-05,87.37,88.79,86.83,88.50,1683550
2024-03-06,88.82,89.62,88.08,88.87,1298436
2024-03-07,89.27,90.55,89.19,89.32,934545
2024-03-08,89.45,90.51,88.88,89.26,698859
2024-03-11,88.87,89.17,87.33,88.76,1085483
2024-03-12,89.34,89.56,88.40,88.43,1316783
2024-03-13,88.40,89.61,87.89,89.10,1281083
2024-03-14,88.93,89.14,87.66,88.23,1124650
2024-03-15,87.01,88.27,85.90,86.50,5058450
